m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,25.5,27.1,26.4,90.0,5.6,0.3
1,1,27.0,29.0,28.3,81.5,9.2,0.42
1,2,28.0,30.0,29.0,76.5,11.4,0.72
1,3,28.3,30.6,29.5,74.5,11.0,0.75
1,4,29.0,31.0,30.0,71.0,14.8,0.8
1,5,29.0,32.0,30.2,71.5,15.7,0.86
1,6,28.1,31.6,29.9,74.0,13.9,0.86
1,7,27.7,31.0,29.5,73.5,15.9,0.82
1,8,27.0,31.0,29.0,77.0,14.8,0.83
1,9,26.6,30.2,28.6,79.5,11.4,0.72
1,10,26.0,29.0,27.5,81.0,11.0,0.59
1,11,25.8,28.0,26.6,86.0,8.1,0.47
1,12,25.4,27.6,26.5,88.0,6.5,0.32
1,13,25.0,27.0,26.0,91.0,6.5,0.23
1,14,25.0,27.0,26.0,92.0,6.3,0.26
1,15,24.7,26.4,25.6,92.5,5.6,0.25
1,16,25.0,26.0,25.5,94.0,5.6,0.26
1,17,24.0,26.0,25.1,94.5,4.7,0.25
1,18,24.2,25.6,24.9,94.5,4.0,0.26
1,19,24.0,25.0,24.7,94.5,3.8,0.29
1,20,24.0,25.0,24.5,95.5,4.7,0.31
1,21,23.8,25.2,24.5,95.0,3.8,0.31
1,22,24.0,25.0,24.5,96.5,5.2,0.26
1,23,24.0,26.0,25.0,96.5,5.6,0.26
2,0,25.2,26.6,26.0,91.5,5.6,0.22
2,1,27.0,29.0,28.5,79.5,8.3,0.37
2,2,28.0,30.0,29.5,75.5,11.0,0.59
2,3,29.0,30.9,29.9,73.5,10.1,0.71
2,4,29.0,32.0,30.5,69.0,12.7,0.78
2,5,29.0,32.0,31.0,70.5,13.9,0.85
2,6,28.5,31.8,30.1,73.0,13.0,0.83
2,7,29.0,32.0,30.0,72.5,13.9,0.89
2,8,27.0,31.0,29.0,77.0,13.0,0.84
2,9,27.2,30.0,28.8,78.5,11.2,0.75
2,10,27.0,29.0,28.0,81.5,8.3,0.71
2,11,26.0,27.0,27.0,89.0,6.5,0.42
2,12,25.7,27.2,26.6,89.0,5.6,0.34
2,13,25.0,27.0,26.0,91.5,3.8,0.25
2,14,25.0,26.0,25.5,91.5,3.8,0.21
2,15,25.0,26.2,25.6,94.0,3.8,0.25
2,16,25.0,26.0,25.5,94.0,3.8,0.24
2,17,24.0,26.0,25.0,94.5,2.7,0.33
2,18,24.3,25.4,24.9,95.0,2.7,0.28
2,19,24.0,25.0,24.5,95.0,3.8,0.25
2,20,24.0,25.0,24.5,97.0,2.7,0.26
2,21,23.9,25.0,24.4,96.0,2.7,0.3
2,22,24.0,25.0,24.5,97.0,3.0,0.28
2,23,24.0,25.0,24.5,97.0,3.6,0.25
3,0,25.2,26.6,25.9,92.0,3.8,0.16
3,1,28.0,29.0,28.5,79.5,4.7,0.29
3,2,29.0,31.0,30.0,72.5,7.4,0.51
3,3,29.8,31.0,30.3,71.0,9.2,0.64
3,4,31.0,32.0,31.5,66.5,10.1,0.79
3,5,31.0,32.0,31.5,66.5,12.1,0.87
3,6,29.9,32.1,30.8,69.5,12.1,0.9
3,7,27.0,32.0,29.5,75.5,13.0,0.86
3,8,27.0,31.0,29.0,77.5,11.8,0.81
3,9,27.0,30.0,28.4,79.5,9.2,0.81
3,10,26.0,29.0,27.5,84.0,7.4,0.56
3,11,26.0,28.0,27.0,88.0,5.6,0.26
3,12,25.7,27.4,26.6,90.5,3.6,0.19
3,13,26.0,27.0,26.0,91.5,3.6,0.14
3,14,25.0,27.0,26.0,94.0,2.7,0.15
3,15,25.0,26.2,25.6,94.0,2.7,0.18
3,16,25.0,26.0,25.5,95.0,2.0,0.15
3,17,25.0,26.0,25.4,97.0,1.8,0.18
3,18,24.6,25.4,25.0,95.5,1.8,0.19
3,19,24.0,25.0,24.5,96.0,2.7,0.19
3,20,24.0,25.0,24.5,97.0,1.8,0.17
3,21,23.8,25.0,24.4,96.5,2.7,0.17
3,22,24.0,25.0,24.5,97.0,2.7,0.18
3,23,24.0,25.0,24.5,97.0,1.8,0.19
4,0,25.5,26.9,26.3,91.0,1.8,0.08
4,1,28.0,29.0,29.0,77.0,6.5,0.28
4,2,29.0,31.0,30.0,70.8,8.3,0.43
4,3,30.1,31.3,30.7,68.5,9.8,0.53
4,4,31.0,32.0,31.5,63.3,11.2,0.62
4,5,31.0,32.0,31.5,64.0,12.1,0.7
4,6,30.6,32.2,31.4,67.3,12.6,0.73
4,7,29.0,32.0,30.5,70.5,13.9,0.74
4,8,28.0,31.0,29.5,72.8,13.0,0.73
4,9,28.0,30.1,29.1,76.3,9.3,0.6
4,10,27.0,29.0,28.0,81.5,8.3,0.45
4,11,26.0,28.0,27.0,86.5,5.6,0.18
4,12,26.2,27.6,27.0,89.0,3.6,0.13
4,13,26.0,27.0,26.5,91.5,2.8,0.08
4,14,25.0,26.0,26.0,91.5,2.7,0.09
4,15,25.0,26.2,25.8,93.5,2.7,0.13
