m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,24.8,26.7,25.7,90.0,4.8,0.56
1,1,26.0,29.0,27.5,89.0,7.4,0.62
1,2,26.0,30.0,28.0,84.0,8.3,0.8
1,3,27.4,30.6,28.9,78.0,6.8,0.82
1,4,27.0,31.0,29.0,80.0,11.2,0.86
1,5,27.0,31.0,29.0,77.5,13.8,0.91
1,6,27.3,31.1,29.3,76.0,8.3,0.85
1,7,26.0,30.0,28.5,80.5,13.0,0.86
1,8,26.0,30.0,28.0,83.5,13.0,0.91
1,9,25.8,30.0,28.0,81.0,7.4,0.81
1,10,25.0,29.0,27.0,87.0,9.1,0.78
1,11,25.0,28.0,26.5,91.5,7.4,0.64
1,12,25.1,27.7,26.5,88.0,4.5,0.52
1,13,25.0,26.0,25.5,94.5,5.6,0.47
1,14,24.0,26.0,25.5,97.0,5.7,0.5
1,15,24.7,26.6,25.6,91.5,4.7,0.45
1,16,24.0,25.0,25.0,97.0,5.6,0.49
1,17,24.0,25.0,24.5,97.0,5.4,0.49
1,18,24.2,25.6,24.9,92.5,4.5,0.51
1,19,24.0,25.0,24.5,97.0,5.6,0.57
1,20,24.0,25.0,24.5,97.0,5.6,0.6
1,21,23.9,25.0,24.5,93.5,4.5,0.61
1,22,24.0,25.0,24.5,97.0,5.6,0.61
1,23,24.0,25.0,24.5,97.0,5.6,0.57
2,0,24.8,26.0,25.5,90.0,4.5,0.59
2,1,26.0,28.0,27.5,86.5,6.5,0.63
2,2,27.0,30.0,28.5,82.0,6.5,0.72
2,3,27.6,30.6,29.0,78.0,6.5,0.8
2,4,27.0,31.0,29.0,79.0,12.1,0.75
2,5,28.0,31.0,29.5,77.5,13.0,0.81
2,6,28.0,31.4,29.8,75.5,9.2,0.83
2,7,27.0,31.0,28.5,80.0,12.7,0.84
2,8,27.0,30.0,28.5,80.0,11.2,0.84
2,9,26.4,30.4,28.5,80.0,6.5,0.79
2,10,26.0,29.0,27.0,86.5,8.3,0.72
2,11,25.0,28.0,26.5,89.5,6.5,0.6
2,12,25.0,28.3,26.7,87.0,4.5,0.58
2,13,25.0,27.0,25.5,94.5,5.6,0.56
2,14,24.0,26.0,25.5,97.0,5.6,0.53
2,15,24.6,26.6,25.8,91.0,3.7,0.47
2,16,24.0,26.0,25.0,97.0,5.6,0.47
2,17,24.0,25.0,24.5,97.0,4.7,0.49
2,18,24.2,25.5,24.9,92.0,4.5,0.51
2,19,24.0,25.0,24.5,97.0,5.6,0.53
2,20,24.0,25.0,24.5,97.0,5.6,0.58
2,21,23.8,24.9,24.3,93.0,4.5,0.53
2,22,23.0,24.0,24.0,97.0,4.7,0.55
2,23,24.0,25.0,24.5,97.0,5.3,0.59
3,0,25.1,26.7,26.0,88.0,4.5,0.31
3,1,27.0,29.0,28.0,84.0,5.6,0.38
3,2,28.0,30.0,29.0,79.5,7.4,0.6
3,3,29.0,31.0,30.1,72.0,5.6,0.64
3,4,29.0,31.0,30.5,72.5,12.1,0.85
3,5,29.0,32.0,30.0,73.5,13.9,0.83
3,6,29.3,31.8,30.6,71.0,9.4,0.86
3,7,28.0,31.0,29.5,77.5,13.9,0.85
3,8,27.0,31.0,29.0,80.0,12.1,0.83
3,9,26.4,30.8,28.5,78.0,7.4,0.8
3,10,26.0,29.0,27.5,86.5,8.3,0.67
3,11,25.0,28.0,27.0,89.5,6.5,0.52
3,12,25.6,28.4,27.0,86.5,4.5,0.32
3,13,25.0,27.0,26.0,97.0,5.6,0.29
3,14,25.0,26.0,25.5,97.0,4.7,0.27
3,15,25.0,26.8,25.9,90.0,3.6,0.27
3,16,24.0,26.0,25.0,97.0,4.7,0.27
3,17,24.0,25.0,24.5,97.0,4.5,0.26
3,18,24.3,25.7,25.1,91.5,3.7,0.27
3,19,24.0,25.0,24.5,97.0,4.5,0.3
3,20,24.0,25.0,24.5,97.0,4.5,0.35
3,21,24.0,25.0,24.5,92.5,3.8,0.35
3,22,23.0,25.0,24.0,97.0,4.5,0.32
3,23,24.0,25.0,24.5,97.0,4.7,0.3
4,0,25.6,27.0,26.3,85.3,4.5,0.13
4,1,28.0,29.5,28.5,81.5,5.0,0.16
4,2,29.0,31.0,30.0,74.5,5.6,0.34
4,3,30.2,31.8,31.2,68.0,5.6,0.5
4,4,30.5,32.0,31.5,69.8,9.8,0.68
4,5,30.0,32.0,31.5,71.0,12.6,0.84
4,6,31.0,32.6,31.8,67.0,9.4,0.88
4,7,29.0,32.0,30.5,75.0,13.9,0.88
4,8,28.0,31.0,29.5,76.5,12.1,0.83
4,9,27.6,31.3,29.3,76.3,7.4,0.68
4,10,26.0,29.5,28.0,86.5,7.9,0.5
4,11,26.0,28.5,27.0,90.5,6.5,0.3
4,12,26.2,28.6,27.3,85.5,4.5,0.17
4,13,25.0,27.0,26.0,94.5,5.1,0.18
4,14,25.0,27.0,26.0,94.5,4.7,0.17
4,15,25.4,27.1,26.3,89.5,3.6,0.15
4,16,25.0,26.0,25.5,97.0,4.5,0.16
4,17,24.0,26.0,25.0,97.0,4.5,0.18
4,18,24.6,26.0,25.3,90.5,3.6,0.16
4,19,24.0,25.0,24.5,97.0,4.5,0.14
4,20,24.0,25.0,24.5,97.0,4.5,0.18
4,21,23.8,25.2,24.5,91.0,3.6,0.18
4,22,23.0,25.0,24.0,97.0,4.1,0.17
4,23,24.0,25.0,24.5,94.5,3.6,0.16
5,0,25.8,27.0,26.5,85.5,4.5,0.06
5,1,28.0,29.0,28.5,79.5,5.6,0.03
5,2,29.0,31.0,30.0,73.0,4.7,0.19
5,3,30.7,32.2,31.3,65.5,5.6,0.5
5,4,31.0,32.0,31.5,66.5,8.3,0.69
5,5,31.0,33.0,32.0,67.0,10.3,0.79
5,6,31.0,33.0,32.0,65.5,9.2,0.82
5,7,30.0,32.0,31.0,69.5,13.0,0.81
5,8,29.0,32.0,30.5,73.5,11.2,0.7
5,9,28.7,31.6,30.3,72.5,7.4,0.56
5,10,27.0,30.0,28.5,82.0,7.4,0.29
5,11,27.0,29.0,28.0,86.5,5.6,0.19
5,12,27.2,28.9,28.0,83.0,4.5,0.1
5,13,26.0,27.0,26.5,92.0,5.6,0.07
5,14,25.0,27.0,26.0,92.0,4.7,0.1
5,15,25.9,27.1,26.6,86.5,3.6,0.09
5,16,25.0,26.0,25.5,94.5,3.6,0.06
5,17,25.0,26.0,25.0,94.5,3.6,0.1
5,18,24.9,26.1,25.5,89.0,3.6,0.1
5,19,24.0,25.0,24.5,97.0,3.6,0.09
5,20,24.0,25.0,24.5,97.0,4.5,0.07
5,21,24.2,25.5,24.8,90.5,3.6,0.14
5,22,23.0,25.0,24.0,97.0,3.6,0.07
5,23,24.0,26.0,25.0,94.5,3.6,0.07
6,0,24.9,26.1,25.4,86.3,4.2,0.03
6,1,27.0,29.0,27.5,81.5,4.5,0.05
6,2,29.0,30.0,29.5,72.5,5.2,0.17
6,3,30.1,31.7,31.0,64.5,5.6,0.38
6,4,30.0,32.0,31.0,64.0,7.4,0.62
6,5,30.5,32.0,31.5,65.3,10.3,0.78
6,6,30.9,32.7,31.8,63.8,8.3,0.83
6,7,30.0,32.0,30.5,69.0,13.0,0.77
6,8,29.0,31.0,30.0,71.8,12.1,0.65
6,9,29.0,31.2,29.7,71.5,6.5,0.4
6,10,26.5,29.0,27.8,81.5,7.4,0.22
6,11,26.0,28.0,27.0,86.5,5.6,0.1
6,12,26.4,28.2,27.3,82.8,4.5,0.05
6,13,25.0,26.0,25.5,92.0,4.7,0.02
6,14,25.0,26.0,25.5,94.5,4.5,0.04
6,15,25.1,26.6,25.7,87.0,3.2,0.05
6,16,24.0,25.0,24.5,97.0,4.0,0.06
6,17,24.0,25.0,24.5,95.8,3.8,0.06
6,18,24.2,25.4,24.9,89.0,3.6,0.06
6,19,23.0,25.0,24.0,97.0,4.5,0.07
6,20,22.0,25.0,23.5,97.0,3.6,0.07
6,21,23.3,24.8,24.0,91.0,3.6,0.05
6,22,22.0,24.0,23.5,97.0,3.6,0.04
6,23,23.0,25.0,23.8,97.0,3.6,0.03
7,0,24.4,25.7,25.0,84.5,3.6,0.06
7,1,27.0,28.0,27.5,73.0,4.5,0.04
7,2,29.0,30.0,29.5,64.5,5.6,0.16
7,3,30.0,31.3,30.6,60.5,5.6,0.36
7,4,30.0,32.0,31.0,56.5,7.4,0.52
7,5,31.0,32.0,31.5,56.0,11.2,0.57
7,6,31.2,32.6,32.0,58.5,10.1,0.65
7,7,30.0,32.0,31.0,59.0,13.0,0.61
7,8,30.0,31.0,30.5,61.0,12.1,0.55
7,9,29.7,31.4,30.5,64.5,7.4,0.41
7,10,28.0,29.0,28.5,68.5,9.2,0.23
7,11,26.0,28.0,27.0,72.5,6.5,0.11
7,12,26.4,28.0,27.2,76.5,5.6,0.06
7,13,25.0,26.0,25.5,86.0,5.6,0.05
7,14,24.0,26.0,25.0,84.0,5.3,0.06
7,15,24.8,26.0,25.4,82.0,4.5,0.06
7,16,23.0,25.0,24.0,88.5,3.7,0.08
7,17,23.0,25.0,23.5,91.5,3.6,0.06
7,18,23.2,25.0,24.3,86.0,3.6,0.08
7,19,22.0,24.0,23.0,94.0,3.7,0.08
7,20,22.0,24.0,23.0,94.5,3.6,0.08
7,21,22.4,24.4,23.4,88.0,3.6,0.05
7,22,21.0,24.0,22.5,94.5,3.7,0.04
7,23,22.0,24.0,23.0,94.0,3.6,0.06
8,0,24.6,26.6,25.6,75.0,4.5,0.02
8,1,28.0,30.0,29.0,59.5,5.6,0.03
8,2,30.0,31.0,30.5,50.5,6.5,0.15
8,3,31.5,33.2,32.3,50.0,7.4,0.26
8,4,32.0,33.0,32.5,46.0,13.0,0.43
8,5,32.0,33.0,32.5,46.5,14.8,0.49
8,6,32.1,33.6,32.9,52.0,12.1,0.51
8,7,31.0,33.0,32.0,49.5,16.6,0.49
8,8,31.0,32.0,31.5,51.5,13.9,0.43
8,9,30.8,32.0,31.5,57.5,8.5,0.28
8,10,29.0,30.0,29.5,60.0,11.2,0.11
8,11,27.0,29.0,28.0,66.0,8.3,0.02
8,12,27.1,28.6,28.0,69.0,5.6,0.01
8,13,25.0,27.0,26.0,74.0,6.5,0.01
8,14,24.0,26.0,25.0,74.5,5.6,0.03
8,15,24.9,26.3,25.7,75.0,4.5,0.03
8,16,23.0,25.0,24.0,81.0,4.5,0.02
8,17,23.0,25.0,24.0,83.5,4.5,0.04
8,18,23.2,25.4,24.3,79.5,3.6,0.02
8,19,21.0,24.0,22.5,88.5,3.7,0.02
8,20,21.0,24.0,22.5,88.5,3.9,0.02
8,21,22.0,24.2,23.0,83.5,3.6,0.03
8,22,21.0,23.0,22.0,88.5,4.5,0.05
8,23,22.0,24.0,22.5,87.5,3.6,0.03
9,0,25.6,27.7,26.7,71.0,4.7,0.03
9,1,29.0,31.0,30.0,57.8,5.6,0.03
9,2,30.0,32.0,31.5,51.0,6.5,0.14
9,3,31.8,34.0,32.8,49.8,8.3,0.27
9,4,32.0,34.0,33.0,49.0,14.9,0.4
9,5,32.0,34.0,33.0,50.0,17.7,0.51
9,6,32.2,34.0,33.1,51.3,13.0,0.56
9,7,31.0,33.0,32.0,52.0,16.7,0.46
9,8,31.0,33.0,32.0,52.8,14.8,0.38
9,9,30.8,33.0,31.9,56.3,8.3,0.28
9,10,29.0,31.0,29.5,62.8,9.8,0.14
9,11,28.0,29.0,28.5,68.5,8.3,0.03
9,12,27.6,29.3,28.6,68.0,4.5,0.01
9,13,25.5,27.4,26.5,74.8,5.6,0.0
9,14,25.0,27.0,26.0,74.8,4.7,0.02
9,15,25.4,27.2,26.4,72.3,4.2,0.03
9,16,24.0,26.0,25.0,79.5,4.6,0.03
9,17,23.0,25.0,24.0,81.5,4.5,0.03
9,18,24.0,25.7,24.8,78.0,4.1,0.06
9,19,22.0,25.0,23.0,86.0,4.5,0.06
9,20,22.0,24.0,23.0,86.0,4.5,0.06
9,21,22.2,24.8,23.5,81.5,3.6,0.06
9,22,21.0,24.0,22.3,89.0,3.6,0.05
9,23,23.0,25.0,24.0,84.0,3.6,0.04
10,0,26.4,28.4,27.4,72.5,4.5,0.01
10,1,29.0,31.0,30.4,61.0,5.6,0.04
10,2,31.0,33.0,32.0,55.5,7.4,0.18
10,3,31.6,34.0,32.8,54.5,8.3,0.31
10,4,32.0,34.0,33.0,56.0,15.8,0.52
10,5,32.0,34.0,33.0,56.5,17.7,0.66
10,6,31.7,34.4,33.1,57.5,12.1,0.69
10,7,30.0,34.0,31.5,62.0,17.5,0.58
10,8,29.0,33.0,31.0,65.0,14.8,0.51
10,9,28.8,33.4,30.6,66.0,7.4,0.37
10,10,27.0,31.0,28.5,74.5,9.3,0.19
10,11,26.0,29.0,28.0,80.0,7.4,0.06
10,12,26.8,29.8,28.3,76.5,4.5,0.02
10,13,26.0,28.0,26.5,84.0,5.6,0.02
10,14,25.0,27.0,26.0,86.5,4.5,0.03
10,15,25.6,27.4,26.5,81.5,3.6,0.02
10,16,24.0,26.0,25.0,88.5,3.7,0.02
10,17,24.0,25.0,24.5,89.0,3.6,0.02
10,18,24.3,25.7,25.0,83.5,3.6,0.03
10,19,23.0,25.0,23.5,90.0,4.5,0.06
10,20,23.0,24.0,23.5,90.0,4.5,0.03
10,21,23.2,24.6,23.9,85.0,2.8,0.02
10,22,22.0,24.0,23.0,90.0,3.6,0.02
10,23,24.0,26.0,25.0,84.0,3.6,0.01
11,0,26.2,28.2,27.3,80.8,4.6,0.13
11,1,29.0,30.1,29.5,73.5,4.6,0.17
11,2,30.0,32.0,30.8,68.5,6.5,0.25
11,3,30.5,32.7,31.7,64.5,6.9,0.43
11,4,31.0,33.0,32.0,65.3,13.0,0.73
11,5,31.0,33.0,31.9,65.0,16.4,0.89
11,6,30.1,33.1,31.6,66.8,10.8,0.85
11,7,27.5,32.0,29.6,74.8,14.1,0.79
11,8,26.0,31.0,28.6,78.5,12.1,0.71
11,9,26.2,30.9,28.6,77.8,6.5,0.6
11,10,25.9,30.0,27.5,85.0,7.4,0.34
11,11,25.0,29.0,27.0,87.5,7.0,0.21
