m,m3,coco,coco_pct
5,3,4.0,0.002
10,3,1.0,0.003
4,2,9.0,0.004
9,1,1.0,0.011
8,1,26.0,0.0
11,1,27.0,0.016
3,1,18.0,0.013
10,2,18.0,0.036
5,3,17.0,0.0
12,1,26.0,0.002
1,3,7.0,0.232
8,2,18.0,0.0
3,2,27.0,0.001
9,1,4.0,0.005
10,3,4.0,0.002
11,1,4.0,0.0
4,1,8.0,0.1
7,1,4.0,0.008
2,2,3.0,0.267
6,2,18.0,0.0
7,2,27.0,0.0
9,3,1.0,0.005
1,2,3.0,0.212
8,3,27.0,0.0
12,2,2.0,0.152
2,1,3.0,0.352
11,2,9.0,0.015
4,1,26.0,0.002
7,2,4.0,0.007
5,2,17.0,0.0
8,3,2.0,0.86
1,1,8.0,0.179
6,3,3.0,0.276
10,1,1.0,0.004
10,1,5.0,0.005
7,2,18.0,0.0
6,1,27.0,0.0
6,3,5.0,0.001
6,3,8.0,0.023
6,2,1.0,0.001
11,3,8.0,0.057
5,2,2.0,0.734
3,1,8.0,0.113
4,2,7.0,0.071
3,1,25.0,0.045
8,3,17.0,0.0
4,3,27.0,0.008
12,2,18.0,0.015
10,3,17.0,0.0
5,3,1.0,0.0
11,3,1.0,0.0
8,2,17.0,0.0
11,1,9.0,0.002
11,2,5.0,0.002
10,2,17.0,0.001
4,2,1.0,0.0
2,1,18.0,0.004
9,2,26.0,0.0
11,3,7.0,0.13
2,3,3.0,0.217
2,2,18.0,0.006
4,1,25.0,0.054
8,2,27.0,0.0
9,1,3.0,0.164
10,3,26.0,0.001
10,2,5.0,0.005
8,3,7.0,0.022
8,1,18.0,0.0
2,3,2.0,0.266
1,2,26.0,0.002
9,3,5.0,0.004
4,1,5.0,0.002
3,2,8.0,0.099
7,1,1.0,0.007
7,1,3.0,0.227
8,2,4.0,0.004
5,2,27.0,0.007
3,3,18.0,0.025
1,3,25.0,0.018
4,1,4.0,0.0
11,1,17.0,0.0
1,1,2.0,0.091
5,2,3.0,0.157
11,1,26.0,0.002
3,2,18.0,0.015
1,2,4.0,0.002
6,2,25.0,0.003
1,3,27.0,0.0
