m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,23.5,26.5,30.7,14.3,6.9,1.0
1,1,2,24.3,26.4,29.7,12.7,7.4,1.0
1,1,3,23.5,26.1,30.6,19.4,7.8,1.0
1,1,4,23.8,26.2,29.8,14.7,8.1,0.83
1,1,5,23.5,25.5,29.4,28.0,7.0,1.0
1,1,6,23.4,26.7,30.7,14.5,6.9,1.0
1,1,7,24.3,26.8,31.2,13.9,6.8,1.0
1,1,8,24.0,26.9,31.2,17.9,7.3,1.0
1,1,9,23.9,26.4,31.5,9.3,7.2,1.0
1,1,10,24.3,27.1,31.3,14.2,7.2,1.0
1,2,11,24.0,26.6,31.4,28.8,7.2,0.83
1,2,12,23.9,26.3,31.1,15.9,7.7,1.0
1,2,13,23.6,26.7,31.6,17.1,7.5,0.8
1,2,14,24.1,26.4,30.2,21.3,7.6,1.0
1,2,15,24.0,25.7,29.7,30.0,7.7,1.0
1,2,16,23.9,26.1,30.0,15.8,7.3,1.0
1,2,17,24.2,26.4,30.2,24.7,7.6,1.0
1,2,18,23.5,25.8,29.1,15.2,6.8,1.0
1,2,19,24.0,26.4,30.1,45.4,7.7,1.0
1,2,20,23.7,25.8,29.7,42.0,7.5,1.0
1,3,21,24.1,26.1,29.9,23.2,7.2,1.0
1,3,22,24.3,26.6,30.6,19.7,9.0,1.0
1,3,23,23.6,26.4,30.5,25.0,7.9,1.0
1,3,24,23.5,26.5,31.1,10.7,7.8,1.0
1,3,25,23.5,27.4,31.7,10.5,7.9,1.0
1,3,26,24.3,26.7,30.7,26.7,6.8,1.0
1,3,27,24.5,26.9,31.2,18.3,6.9,1.0
1,3,28,24.0,26.2,30.4,22.0,7.3,1.0
1,3,29,23.5,26.8,31.1,18.5,7.5,1.0
1,3,30,23.8,26.5,31.6,16.4,8.6,0.8
1,3,31,23.5,26.3,31.1,3.7,7.3,1.0
2,1,1,23.5,26.3,30.9,19.5,6.8,1.0
2,1,2,23.6,26.7,31.3,10.7,7.3,0.8
2,1,3,23.6,26.5,30.8,20.4,7.4,1.0
2,1,4,23.5,26.5,31.3,19.7,7.4,1.0
2,1,5,23.8,26.8,31.5,15.6,7.6,1.0
2,1,6,23.5,26.3,30.9,10.5,7.4,1.0
2,1,7,23.6,26.2,30.7,10.8,6.7,1.0
2,1,8,23.5,26.5,30.8,19.6,6.1,1.0
2,1,9,23.7,26.3,31.0,10.2,6.7,0.75
2,1,10,23.9,26.1,30.4,14.9,7.1,1.0
2,2,11,23.5,26.3,30.5,18.0,7.0,1.0
2,2,12,23.5,26.0,31.3,22.0,6.7,1.0
2,2,13,23.5,25.7,30.8,17.4,6.6,1.0
2,2,14,23.9,26.4,30.5,12.5,7.4,1.0
2,2,15,23.7,26.1,30.8,19.4,7.3,1.0
2,2,16,23.9,25.9,30.5,16.5,6.8,1.0
2,2,17,23.8,26.8,31.9,13.4,7.1,1.0
2,2,18,23.9,26.7,31.2,19.2,6.9,0.8
2,2,19,24.0,27.3,31.8,7.7,6.9,1.0
2,2,20,23.5,26.7,31.4,32.9,7.0,0.75
2,3,21,23.5,26.5,31.3,14.5,6.8,1.0
2,3,22,24.0,25.8,31.0,31.5,6.7,1.0
2,3,23,23.2,26.0,31.0,17.6,6.6,0.75
2,3,24,23.1,27.4,32.0,8.8,7.0,1.0
2,3,25,23.9,26.5,31.7,32.0,7.8,1.0
2,3,26,23.5,26.6,31.5,16.6,6.5,1.0
2,3,27,23.5,26.6,30.6,10.3,6.2,1.0
2,3,28,23.8,27.3,32.0,10.4,7.7,1.0
2,3,29,25.0,27.5,31.8,1.7,5.7,1.0
3,1,1,23.8,26.5,31.3,8.2,7.4,1.0
3,1,2,23.9,27.1,31.4,5.8,7.0,0.8
3,1,3,23.9,27.2,31.8,11.7,6.9,1.0
3,1,4,24.0,26.8,31.9,10.1,6.5,1.0
3,1,5,24.4,26.5,31.0,19.3,7.6,1.0
3,1,6,23.9,25.9,30.6,17.0,6.8,0.75
3,1,7,23.4,25.6,29.6,29.1,6.7,1.0
3,1,8,23.5,26.4,31.1,12.6,6.9,1.0
3,1,9,23.5,25.9,29.0,15.5,5.9,1.0
