m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,23.7,24.8,24.4,95.5,5.6,0.24
1,1,25.0,26.0,25.2,94.0,6.5,0.24
1,2,25.6,27.8,26.5,87.0,8.3,0.25
1,3,26.4,29.4,28.0,81.5,10.3,0.35
1,4,28.0,30.0,28.9,77.0,10.3,0.45
1,5,29.0,30.4,29.5,75.0,13.0,0.56
1,6,28.7,31.0,29.9,74.0,14.8,0.65
1,7,29.0,31.0,29.8,75.5,15.7,0.68
1,8,29.0,30.0,29.5,77.0,15.9,0.66
1,9,28.5,30.2,29.5,76.0,15.7,0.66
1,10,28.0,29.0,28.5,79.5,13.9,0.58
1,11,27.6,28.5,28.0,82.0,10.3,0.53
1,12,26.8,28.0,27.4,84.5,8.3,0.39
1,13,26.0,27.1,26.6,89.5,6.5,0.34
1,14,26.0,27.0,26.5,91.5,6.5,0.29
1,15,25.4,26.7,26.1,91.5,6.5,0.26
1,16,25.0,26.0,25.5,94.5,6.5,0.23
1,17,25.0,26.0,25.5,95.5,5.6,0.29
1,18,24.7,25.7,25.2,94.0,6.5,0.27
1,19,24.0,25.2,24.8,97.0,5.6,0.24
1,20,24.0,25.0,24.5,97.0,5.6,0.25
1,21,24.0,25.0,24.5,95.5,5.6,0.24
1,22,24.0,25.0,24.5,97.0,5.6,0.23
1,23,24.0,25.0,24.5,97.0,5.6,0.19
2,0,23.8,25.0,24.4,95.5,5.6,0.12
2,1,25.0,26.0,25.5,91.5,6.5,0.14
2,2,26.0,28.0,27.5,84.0,8.3,0.17
2,3,28.0,30.0,29.0,76.0,9.4,0.3
2,4,29.0,31.0,30.0,72.5,12.1,0.49
2,5,29.0,31.0,30.5,70.5,14.1,0.45
2,6,29.8,31.4,30.7,70.5,15.7,0.5
2,7,30.0,31.0,30.5,71.0,16.6,0.59
2,8,29.0,31.0,30.1,72.5,16.9,0.52
2,9,29.2,30.7,29.9,72.5,16.6,0.48
2,10,29.0,30.0,29.5,76.5,14.8,0.5
2,11,28.0,29.0,28.5,79.5,11.2,0.49
2,12,27.4,28.4,27.9,82.5,7.4,0.3
2,13,26.0,28.0,27.0,86.5,5.6,0.22
2,14,26.0,27.0,26.5,89.5,5.6,0.23
2,15,25.9,26.9,26.5,90.0,6.3,0.17
2,16,25.0,26.4,26.0,93.5,5.8,0.14
2,17,25.0,26.0,25.5,94.0,5.8,0.09
2,18,24.8,26.2,25.5,93.0,5.6,0.12
2,19,24.7,26.0,25.3,96.5,5.5,0.16
2,20,24.0,25.9,25.0,97.0,4.8,0.14
2,21,24.0,25.4,24.8,95.0,5.3,0.09
2,22,24.0,25.0,24.5,97.0,4.8,0.13
2,23,24.0,25.0,24.5,97.0,4.6,0.1
3,0,24.1,25.4,24.8,95.5,5.6,0.17
3,1,26.0,27.0,26.0,91.5,6.5,0.21
3,2,27.0,29.0,28.0,84.0,9.2,0.2
3,3,28.8,31.0,29.8,75.5,10.3,0.3
3,4,30.0,31.0,30.5,72.5,12.2,0.48
3,5,30.0,32.0,31.0,70.5,15.7,0.5
3,6,30.4,32.2,31.4,69.5,16.8,0.47
3,7,30.0,32.0,31.0,69.0,18.6,0.54
3,8,30.0,31.9,31.0,71.0,18.7,0.56
3,9,30.0,31.4,30.7,72.0,17.7,0.55
3,10,29.0,31.0,30.0,77.0,15.7,0.55
3,11,29.0,30.0,29.5,79.5,12.1,0.49
3,12,27.8,29.0,28.3,82.5,8.3,0.33
3,13,27.0,28.0,27.5,86.5,6.5,0.24
3,14,26.0,28.0,27.0,89.0,6.5,0.13
3,15,26.2,27.6,26.9,89.5,6.5,0.08
3,16,26.0,27.0,26.5,91.5,6.2,0.1
3,17,25.0,27.0,26.0,93.5,5.4,0.08
3,18,24.9,26.5,25.8,93.0,5.6,0.1
3,19,25.0,26.0,25.5,97.0,4.6,0.17
3,20,25.0,26.0,25.3,97.0,4.6,0.15
3,21,24.4,25.8,25.2,95.0,4.5,0.12
3,22,24.0,25.0,25.0,97.0,4.5,0.16
3,23,24.0,25.0,24.5,97.0,4.6,0.15
4,0,24.4,25.7,25.1,95.5,4.7,0.13
4,1,26.0,27.0,26.5,89.0,6.5,0.15
4,2,27.0,30.0,28.5,81.5,7.4,0.23
4,3,28.6,31.5,30.1,73.8,9.2,0.38
4,4,30.3,32.0,31.1,70.5,11.2,0.51
4,5,31.0,32.0,31.5,69.0,14.8,0.57
4,6,30.9,33.0,31.8,68.8,16.2,0.63
4,7,31.0,32.0,31.5,70.5,17.0,0.59
4,8,30.0,32.0,31.0,70.5,15.9,0.56
4,9,30.2,31.9,31.0,71.5,16.3,0.66
4,10,30.0,31.0,30.5,74.5,13.9,0.7
4,11,29.0,30.0,29.5,78.3,11.2,0.48
4,12,28.0,29.4,28.8,82.0,7.4,0.36
4,13,27.0,29.0,28.0,86.5,6.5,0.21
4,14,27.0,28.0,27.5,89.0,6.5,0.15
4,15,26.2,27.8,27.1,89.0,6.5,0.1
4,16,26.0,27.0,26.5,91.5,5.8,0.12
4,17,25.0,27.0,26.0,92.0,5.7,0.13
4,18,25.2,26.8,26.0,92.3,5.6,0.12
4,19,25.0,26.1,25.6,95.3,5.6,0.19
4,20,25.0,26.0,25.5,97.0,4.5,0.18
4,21,24.6,26.0,25.3,94.5,4.5,0.23
4,22,24.8,26.0,25.0,97.0,4.6,0.19
4,23,24.0,25.5,25.0,97.0,4.6,0.16
5,0,24.7,26.2,25.5,96.0,4.5,0.18
5,1,26.0,27.2,27.0,91.5,6.5,0.15
5,2,28.0,29.0,28.5,82.0,6.5,0.18
5,3,28.5,30.8,29.5,77.0,8.3,0.25
5,4,30.0,32.0,31.0,72.5,10.3,0.37
5,5,31.0,32.0,31.5,69.0,11.2,0.47
5,6,30.6,32.6,31.6,69.5,13.9,0.49
5,7,31.0,32.0,31.5,71.0,15.7,0.54
5,8,31.0,32.0,31.5,73.0,15.7,0.59
5,9,30.4,31.7,31.1,72.5,15.0,0.65
5,10,30.0,31.0,30.5,77.0,13.0,0.56
5,11,29.0,30.0,29.5,79.5,11.0,0.47
5,12,28.0,29.6,28.6,83.0,7.4,0.31
5,13,27.0,29.0,28.0,86.5,7.4,0.28
5,14,27.0,28.0,27.5,89.0,6.5,0.24
5,15,26.2,28.0,27.0,90.0,6.5,0.21
5,16,26.0,27.0,26.5,91.5,6.5,0.23
5,17,26.0,27.0,26.4,94.0,6.5,0.2
5,18,25.2,26.7,25.9,93.5,5.6,0.17
5,19,25.0,26.0,25.8,97.0,4.6,0.18
5,20,25.0,26.0,25.5,97.0,4.6,0.14
5,21,24.7,26.2,25.4,95.5,4.5,0.16
5,22,25.0,26.0,25.5,97.0,4.6,0.19
5,23,25.0,26.0,25.5,97.0,4.5,0.2
6,0,24.3,25.6,24.9,96.0,5.6,0.09
6,1,25.7,27.0,26.1,91.5,6.5,0.11
6,2,27.0,29.0,27.5,86.3,7.5,0.08
6,3,27.6,30.4,28.8,79.5,8.9,0.15
6,4,29.0,31.0,30.0,75.0,9.4,0.27
6,5,30.0,32.0,31.0,72.5,10.3,0.25
6,6,30.2,32.2,31.2,70.5,13.9,0.35
6,7,30.0,32.0,30.9,72.0,14.8,0.52
6,8,30.0,31.9,31.0,72.5,15.8,0.58
6,9,30.0,31.4,30.7,73.0,15.3,0.65
6,10,29.0,31.0,30.0,75.0,13.5,0.59
6,11,29.0,30.0,29.5,80.8,11.6,0.38
6,12,27.9,29.2,28.5,83.5,8.3,0.28
6,13,27.0,28.1,27.5,86.5,6.5,0.21
6,14,26.0,28.0,27.0,89.5,6.5,0.27
6,15,25.7,27.8,26.8,90.5,6.5,0.24
6,16,26.0,27.0,26.5,93.3,6.5,0.17
6,17,25.0,26.8,25.9,94.0,6.5,0.17
6,18,24.8,26.5,25.6,94.3,6.5,0.17
6,19,25.0,26.0,25.5,97.0,5.6,0.16
6,20,25.0,26.0,25.3,97.0,5.6,0.17
6,21,24.4,25.7,25.1,95.5,4.5,0.18
6,22,24.0,25.1,24.8,97.0,5.4,0.16
6,23,24.0,25.0,24.6,97.0,4.6,0.18
7,0,24.2,25.4,24.9,96.5,5.4,0.06
7,1,25.0,26.5,26.0,91.5,6.5,0.04
7,2,27.0,28.4,27.5,86.5,7.5,0.06
7,3,27.7,30.2,28.9,78.0,9.2,0.1
7,4,29.0,31.0,30.3,71.0,10.3,0.14
7,5,30.0,32.0,31.0,71.0,11.9,0.22
7,6,30.3,32.3,31.3,68.5,13.0,0.27
7,7,30.0,32.0,31.0,69.0,15.7,0.35
7,8,30.0,32.0,31.0,71.0,15.8,0.51
7,9,30.0,31.6,30.7,71.5,15.9,0.48
7,10,29.0,31.0,30.0,75.0,15.7,0.48
7,11,29.0,30.0,29.5,79.0,13.0,0.46
7,12,27.7,29.2,28.5,83.5,8.5,0.28
7,13,27.0,28.1,27.5,87.0,6.5,0.23
7,14,26.0,28.0,27.0,90.0,6.5,0.21
7,15,25.5,27.4,26.6,90.5,6.5,0.16
7,16,25.8,27.0,26.5,91.5,6.5,0.13
7,17,25.0,27.0,26.0,94.5,5.6,0.1
7,18,24.8,26.4,25.7,94.5,5.6,0.12
7,19,24.7,26.0,25.5,97.0,5.5,0.16
7,20,24.3,26.0,25.0,97.0,5.5,0.17
7,21,24.3,25.8,25.1,96.0,4.5,0.13
7,22,24.0,25.6,24.9,97.0,4.6,0.08
7,23,24.0,25.0,24.8,97.0,5.6,0.09
8,0,24.0,25.1,24.5,96.5,5.4,0.24
8,1,25.0,26.3,25.7,91.5,6.5,0.21
8,2,26.9,28.0,27.5,84.5,8.3,0.22
8,3,27.4,30.0,28.7,79.5,8.3,0.31
8,4,29.0,31.0,30.0,73.5,10.3,0.39
8,5,29.9,32.0,30.5,70.5,12.1,0.41
8,6,29.8,32.0,30.9,69.5,14.8,0.49
8,7,30.0,32.0,31.0,70.0,14.8,0.56
8,8,30.0,32.0,31.0,70.5,15.9,0.68
8,9,29.7,31.4,30.5,70.5,15.9,0.63
8,10,29.0,31.0,30.0,74.5,14.8,0.65
8,11,28.3,30.0,29.1,77.0,12.1,0.56
8,12,27.7,29.0,28.4,82.5,8.3,0.42
8,13,26.3,28.0,27.5,86.5,6.5,0.34
8,14,26.0,27.0,26.5,89.0,7.4,0.28
8,15,25.3,27.0,26.2,90.5,7.4,0.25
8,16,25.0,26.5,25.8,92.0,6.5,0.22
8,17,25.0,26.0,25.5,94.5,5.7,0.19
8,18,24.4,26.0,25.3,93.5,5.6,0.22
8,19,24.0,25.4,24.9,96.0,5.6,0.21
8,20,24.0,25.0,24.6,97.0,5.5,0.22
8,21,24.1,25.3,24.8,95.5,4.5,0.22
8,22,24.0,25.0,24.5,97.0,4.7,0.28
8,23,24.0,25.0,24.5,97.0,5.6,0.26
9,0,24.0,25.1,24.6,96.0,5.6,0.21
9,1,25.0,26.3,25.8,91.5,6.5,0.19
9,2,26.5,28.0,27.3,85.0,7.5,0.17
9,3,27.2,29.8,28.6,79.8,8.4,0.22
9,4,29.0,31.0,29.7,74.3,10.2,0.27
9,5,29.5,31.0,30.4,72.5,12.1,0.38
9,6,29.7,31.4,30.7,71.3,13.9,0.42
9,7,30.0,31.5,30.8,70.5,15.7,0.56
9,8,30.0,31.2,30.5,70.8,16.2,0.69
9,9,29.3,30.9,30.2,73.5,15.8,0.68
9,10,29.0,30.0,29.5,75.5,13.9,0.66
9,11,28.0,29.0,28.5,80.3,11.2,0.57
9,12,26.7,28.5,27.5,85.0,8.3,0.35
9,13,26.2,28.0,27.0,88.8,7.4,0.21
9,14,25.9,27.0,26.5,91.0,6.5,0.2
9,15,24.9,26.8,25.7,91.5,6.5,0.23
9,16,25.0,26.0,25.5,93.0,6.5,0.22
9,17,24.8,26.0,25.4,94.0,6.5,0.21
9,18,24.4,26.0,25.2,93.5,6.5,0.21
9,19,24.0,25.1,24.8,95.8,5.5,0.16
9,20,24.0,25.0,24.5,96.3,4.6,0.17
9,21,24.0,25.3,24.6,95.5,4.5,0.19
9,22,24.0,25.0,24.5,97.0,4.6,0.17
9,23,24.0,25.0,24.5,97.0,5.2,0.19
10,0,24.3,25.2,24.7,96.5,4.5,0.19
10,1,25.0,27.0,26.0,92.0,6.5,0.17
10,2,26.0,28.0,27.1,86.5,7.4,0.19
10,3,26.7,30.0,28.3,82.5,8.3,0.35
10,4,28.0,31.0,29.5,75.5,9.3,0.47
10,5,29.0,31.0,30.0,74.0,12.1,0.51
10,6,29.0,31.4,30.1,75.5,13.9,0.57
10,7,29.0,31.0,30.1,73.0,14.8,0.69
10,8,29.1,31.0,30.1,74.0,14.8,0.71
10,9,28.7,30.4,29.7,76.5,14.8,0.67
10,10,28.0,30.0,29.0,78.5,13.0,0.69
10,11,27.6,29.0,28.2,83.0,9.4,0.6
10,12,26.6,28.4,27.5,86.5,6.5,0.48
10,13,26.2,28.0,27.0,89.0,7.4,0.46
10,14,25.9,27.0,26.5,91.5,6.5,0.43
10,15,25.1,26.9,26.1,92.0,6.5,0.29
10,16,25.0,26.2,25.6,94.0,6.5,0.27
10,17,25.0,26.0,25.5,94.5,6.5,0.29
10,18,24.5,25.9,25.2,94.5,6.5,0.3
10,19,24.4,25.4,25.0,97.0,5.7,0.24
10,20,24.3,25.1,24.8,97.0,4.9,0.24
10,21,24.2,25.4,24.7,96.0,4.5,0.31
10,22,24.0,25.0,24.5,97.0,4.6,0.26
10,23,24.0,25.0,24.5,97.0,4.6,0.23
11,0,24.3,25.1,24.7,96.3,5.6,0.25
11,1,25.0,26.0,25.6,94.5,6.5,0.22
11,2,26.0,28.0,27.0,88.8,7.4,0.24
11,3,26.9,29.2,28.1,83.8,8.3,0.3
11,4,28.0,30.0,29.0,80.0,10.3,0.52
11,5,29.0,30.2,29.5,78.0,12.1,0.68
11,6,29.0,30.8,29.8,76.8,14.8,0.78
11,7,29.0,30.3,29.7,77.3,14.4,0.83
11,8,29.0,30.0,29.5,77.3,15.7,0.86
11,9,28.6,30.0,29.3,79.0,14.8,0.83
11,10,28.0,29.0,28.5,81.8,12.1,0.85
11,11,27.5,29.0,28.0,86.3,10.3,0.68
11,12,26.6,28.0,27.4,88.0,8.3,0.63
11,13,26.0,28.0,27.0,91.0,7.4,0.5
11,14,26.0,27.0,26.5,91.5,6.5,0.42
11,15,25.1,27.0,26.2,91.8,7.4,0.38
