m,m3,coco,coco_pct
12,1,7.0,0.156
11,1,2.0,0.002
7,1,26.0,0.001
6,2,25.0,0.041
6,3,2.0,0.027
2,1,3.0,0.532
3,3,9.0,0.0
2,1,2.0,0.033
11,1,27.0,0.005
5,1,8.0,0.024
4,3,25.0,0.041
2,3,3.0,0.508
9,2,2.0,0.005
11,1,4.0,0.001
5,2,3.0,0.514
7,3,7.0,0.048
1,1,5.0,0.24
8,2,3.0,0.534
4,3,27.0,0.015
8,3,8.0,0.028
4,2,4.0,0.0
2,3,27.0,0.002
8,3,9.0,0.007
9,2,25.0,0.099
5,1,9.0,0.001
2,1,7.0,0.025
5,3,26.0,0.0
10,3,26.0,0.001
3,2,26.0,0.0
12,3,4.0,0.001
1,3,8.0,0.021
1,3,25.0,0.026
5,2,25.0,0.086
5,3,3.0,0.557
10,2,2.0,0.03
9,3,18.0,0.036
7,1,4.0,0.003
9,1,5.0,0.174
10,2,25.0,0.11
6,1,3.0,0.569
1,3,26.0,0.0
12,2,7.0,0.119
3,1,5.0,0.305
10,3,27.0,0.008
10,2,4.0,0.002
11,3,7.0,0.178
9,3,25.0,0.098
6,3,26.0,0.001
1,3,3.0,0.504
1,1,3.0,0.602
5,1,25.0,0.069
2,1,18.0,0.001
2,2,5.0,0.347
12,3,18.0,0.005
11,2,5.0,0.175
11,2,2.0,0.007
12,1,27.0,0.0
10,1,7.0,0.086
4,2,7.0,0.024
10,1,27.0,0.008
5,1,26.0,0.0
4,3,9.0,0.001
12,2,17.0,0.0
12,3,9.0,0.009
7,3,25.0,0.046
7,2,18.0,0.012
12,3,8.0,0.029
7,2,8.0,0.018
1,3,5.0,0.314
1,2,4.0,0.001
9,1,4.0,0.003
3,3,27.0,0.003
6,1,25.0,0.064
4,1,25.0,0.028
2,3,8.0,0.003
9,3,27.0,0.019
6,2,2.0,0.053
12,1,4.0,0.001
1,2,17.0,0.0
11,2,8.0,0.034
4,3,8.0,0.016
1,2,3.0,0.486
2,2,9.0,0.0
2,2,17.0,0.001
1,1,27.0,0.0
10,1,2.0,0.009
11,2,4.0,0.001
5,2,18.0,0.055
4,2,2.0,0.051
8,1,8.0,0.008
3,1,8.0,0.009
2,1,26.0,0.0
10,2,18.0,0.058
8,3,2.0,0.014
12,3,27.0,0.0
2,3,7.0,0.029
7,2,25.0,0.036
5,3,17.0,0.001
6,2,7.0,0.039
10,3,5.0,0.134
3,3,7.0,0.026
1,2,8.0,0.032
12,3,17.0,0.0
8,2,17.0,0.002
12,2,26.0,0.001
10,1,26.0,0.001
6,3,25.0,0.079
6,2,9.0,0.0
12,2,8.0,0.091
6,1,7.0,0.039
1,3,18.0,0.015
9,3,9.0,0.001
3,2,25.0,0.015
12,2,2.0,0.007
4,1,26.0,0.0
10,3,3.0,0.547
8,2,25.0,0.074
3,3,25.0,0.011
10,3,17.0,0.002
8,3,25.0,0.047
4,1,2.0,0.027
10,3,25.0,0.119
7,3,3.0,0.537
12,1,17.0,0.001
11,2,27.0,0.008
6,2,8.0,0.02
9,2,27.0,0.028
1,2,27.0,0.0
11,2,17.0,0.001
1,1,26.0,0.0
9,1,18.0,0.018
11,2,3.0,0.519
9,2,3.0,0.579
2,2,8.0,0.004
9,1,9.0,0.01
11,3,25.0,0.079
11,3,5.0,0.153
4,1,18.0,0.02
9,1,8.0,0.035
11,3,2.0,0.008
1,2,7.0,0.086
3,2,5.0,0.293
3,3,4.0,0.0
9,3,7.0,0.06
8,3,27.0,0.01
12,1,9.0,0.04
5,2,26.0,0.0
5,3,9.0,0.0
5,2,17.0,0.001
8,2,27.0,0.001
7,2,7.0,0.019
7,3,4.0,0.001
10,1,3.0,0.549
7,3,18.0,0.028
5,3,25.0,0.075
7,3,9.0,0.003
9,3,2.0,0.009
11,1,7.0,0.079
9,2,5.0,0.169
7,1,3.0,0.623
7,1,17.0,0.0
2,2,18.0,0.01
9,2,4.0,0.002
12,1,5.0,0.184
4,1,4.0,0.0
5,1,27.0,0.017
2,1,25.0,0.011
11,3,9.0,0.032
10,3,18.0,0.049
3,2,27.0,0.002
1,1,17.0,0.001
6,2,27.0,0.015
1,1,25.0,0.015
6,3,5.0,0.214
2,3,2.0,0.058
8,1,18.0,0.04
9,3,3.0,0.582
1,3,27.0,0.0
4,2,18.0,0.021
8,2,5.0,0.234
1,2,25.0,0.03
7,1,9.0,0.005
3,1,2.0,0.071
7,1,8.0,0.008
7,2,5.0,0.281
3,1,27.0,0.0
10,2,17.0,0.001
4,2,3.0,0.595
1,1,7.0,0.087
2,3,4.0,0.0
1,2,26.0,0.001
2,3,9.0,0.001
6,1,17.0,0.0
1,2,5.0,0.315
7,3,27.0,0.009
6,3,4.0,0.001
10,3,2.0,0.008
4,2,8.0,0.005
6,2,18.0,0.026
7,2,3.0,0.546
3,2,8.0,0.001
10,2,7.0,0.083
8,1,5.0,0.236
5,3,5.0,0.216
9,3,5.0,0.172
9,2,17.0,0.0
11,1,5.0,0.11
2,3,17.0,0.0
10,1,25.0,0.1
7,3,5.0,0.255
6,2,5.0,0.193
1,2,18.0,0.008
11,3,4.0,0.0
4,3,17.0,0.0
3,3,17.0,0.0
10,2,9.0,0.011
5,2,2.0,0.026
5,1,3.0,0.547
2,2,25.0,0.025
