m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,23.9,25.0,24.5,95.5,5.6,0.37
1,1,1,25.0,26.0,25.5,91.5,7.4,0.35
1,1,2,25.6,27.9,26.5,87.8,8.3,0.35
1,1,3,26.5,29.2,27.9,81.8,10.2,0.49
1,1,4,27.5,30.0,28.5,79.8,10.3,0.53
1,1,5,28.0,30.1,29.3,77.8,13.1,0.7
1,1,6,28.4,30.7,29.6,75.5,14.4,0.84
1,1,7,29.0,30.3,29.7,77.5,15.3,0.75
1,1,8,28.5,30.0,29.5,77.0,14.8,0.68
1,1,9,28.7,30.1,29.4,76.3,14.8,0.75
1,1,10,28.0,29.0,28.5,81.0,13.5,0.69
1,1,11,27.0,28.2,27.9,83.8,10.3,0.53
1,1,12,26.8,28.0,27.4,85.5,8.3,0.35
1,1,13,26.0,27.3,26.6,89.0,6.5,0.31
1,1,14,26.0,27.0,26.4,91.5,6.1,0.31
1,1,15,25.6,26.8,26.3,91.5,6.5,0.25
1,1,16,25.0,26.1,25.7,94.5,7.0,0.25
1,1,17,25.0,26.0,25.5,94.8,6.5,0.39
1,1,18,24.7,25.7,25.4,94.3,6.5,0.38
1,1,19,24.0,25.5,25.0,96.8,7.0,0.32
1,1,20,24.0,25.0,24.5,97.0,5.7,0.39
1,1,21,24.1,25.0,24.6,95.3,6.5,0.39
1,1,22,24.0,25.0,24.5,97.0,6.1,0.4
1,1,23,24.0,25.0,24.5,97.0,6.5,0.28
1,2,0,23.7,24.6,24.2,96.3,6.5,0.18
1,2,1,24.4,26.0,25.2,94.5,7.0,0.2
1,2,2,25.5,27.7,26.5,88.3,8.3,0.24
1,2,3,26.4,29.3,27.7,82.3,10.3,0.32
1,2,4,27.2,30.0,28.6,79.0,11.6,0.36
1,2,5,28.0,30.0,29.5,76.3,12.6,0.44
1,2,6,28.9,31.0,29.9,73.8,14.8,0.56
1,2,7,29.0,30.4,29.7,75.5,14.8,0.68
1,2,8,29.0,30.0,29.5,76.3,16.2,0.68
1,2,9,28.6,30.2,29.5,76.0,16.3,0.62
1,2,10,28.0,29.2,28.6,80.0,13.5,0.5
1,2,11,27.9,28.4,28.1,81.8,11.2,0.48
1,2,12,27.0,27.8,27.5,85.5,8.3,0.34
1,2,13,26.0,27.0,26.5,90.8,6.5,0.3
1,2,14,26.0,27.0,26.5,91.5,6.5,0.28
1,2,15,25.6,26.4,26.1,91.5,6.5,0.32
1,2,16,25.0,26.0,25.6,94.5,6.1,0.24
1,2,17,25.0,26.0,25.4,95.8,5.6,0.24
1,2,18,24.7,25.9,25.2,94.0,6.5,0.28
1,2,19,24.2,25.1,24.8,97.0,5.6,0.3
1,2,20,24.0,25.0,24.5,97.0,6.1,0.22
1,2,21,24.0,25.1,24.5,95.5,6.1,0.18
1,2,22,24.0,24.9,24.4,97.0,6.1,0.14
1,2,23,24.0,25.0,24.5,97.0,6.1,0.16
1,3,0,23.8,24.7,24.4,95.0,4.5,0.18
1,3,1,24.0,26.0,25.0,95.0,6.5,0.18
1,3,2,26.0,27.6,26.5,86.5,7.4,0.16
1,3,3,26.8,29.6,28.2,79.0,9.4,0.25
1,3,4,28.5,30.0,29.5,73.5,10.1,0.47
1,3,5,29.0,31.0,30.0,73.5,12.1,0.55
1,3,6,29.2,31.2,30.2,71.5,14.8,0.56
1,3,7,29.0,31.0,30.0,72.0,16.6,0.62
1,3,8,29.0,30.6,30.0,74.5,15.9,0.64
1,3,9,28.5,30.6,29.6,74.0,15.7,0.62
1,3,10,28.0,29.4,29.0,77.0,14.9,0.55
1,3,11,27.6,29.0,28.2,81.5,10.4,0.58
1,3,12,26.8,28.0,27.4,83.5,8.3,0.47
1,3,13,26.0,27.1,26.7,89.0,5.6,0.4
1,3,14,26.0,27.0,26.4,91.5,6.5,0.29
1,3,15,25.3,26.7,26.0,91.5,6.5,0.22
1,3,16,25.0,26.0,25.5,94.5,5.6,0.2
1,3,17,25.0,26.0,25.3,96.5,5.6,0.24
1,3,18,24.7,25.6,25.2,94.0,6.5,0.16
1,3,19,24.0,25.2,24.7,97.0,4.6,0.13
1,3,20,24.0,25.0,24.5,97.0,5.6,0.15
1,3,21,24.0,25.0,24.4,96.0,5.6,0.16
1,3,22,24.0,25.0,24.5,97.0,4.5,0.15
1,3,23,24.0,25.0,24.5,97.0,4.5,0.15
2,1,0,23.9,25.0,24.4,95.0,5.6,0.14
2,1,1,25.0,26.0,25.5,93.5,6.5,0.18
2,1,2,26.0,28.0,27.5,86.5,8.9,0.18
2,1,3,27.8,29.7,28.8,77.0,10.3,0.3
2,1,4,28.9,31.0,29.8,73.0,11.6,0.52
2,1,5,29.0,31.0,30.2,70.5,14.5,0.56
2,1,6,29.7,31.5,30.6,70.5,15.7,0.5
2,1,7,30.0,31.0,30.4,71.8,16.6,0.54
2,1,8,29.0,31.0,30.1,72.5,17.7,0.5
2,1,9,29.1,30.7,30.0,73.3,16.7,0.44
2,1,10,28.9,30.0,29.2,76.5,14.8,0.32
2,1,11,28.0,29.0,28.5,80.3,11.2,0.36
2,1,12,27.4,28.3,27.9,83.3,8.3,0.28
2,1,13,26.0,27.5,26.9,88.0,5.6,0.14
2,1,14,26.0,27.0,26.5,89.8,5.6,0.18
2,1,15,25.9,27.0,26.5,90.3,6.5,0.14
2,1,16,25.0,26.2,25.9,94.3,5.6,0.14
2,1,17,25.0,26.0,25.5,96.8,5.6,0.1
2,1,18,25.0,26.2,25.6,93.3,5.6,0.1
2,1,19,25.0,26.0,25.4,96.8,5.6,0.18
2,1,20,24.2,25.9,25.0,97.0,4.9,0.16
2,1,21,24.2,25.5,24.9,95.0,5.1,0.1
2,1,22,24.0,25.0,24.5,97.0,4.5,0.12
2,1,23,24.0,25.0,24.5,97.0,4.5,0.12
2,2,0,23.6,25.1,24.4,95.0,4.5,0.1
2,2,1,25.0,26.0,25.5,91.5,5.6,0.08
2,2,2,26.8,28.0,27.5,83.8,7.9,0.12
2,2,3,27.9,29.7,28.8,76.0,9.3,0.34
2,2,4,29.0,30.2,29.6,72.5,11.3,0.46
2,2,5,29.0,31.0,30.3,73.5,13.5,0.4
2,2,6,29.5,31.4,30.6,71.0,14.5,0.46
2,2,7,30.0,31.0,30.5,71.3,16.7,0.58
2,2,8,29.1,31.0,30.1,72.5,16.2,0.6
2,2,9,29.4,30.7,30.0,72.5,16.2,0.58
2,2,10,29.0,30.0,29.5,76.3,14.8,0.56
2,2,11,28.2,29.0,28.6,78.8,10.3,0.5
2,2,12,27.4,28.3,27.9,82.0,7.4,0.34
2,2,13,27.0,28.0,27.2,86.5,5.6,0.32
2,2,14,26.0,27.0,26.6,90.0,5.2,0.28
2,2,15,26.0,26.7,26.4,90.0,5.6,0.14
2,2,16,25.0,26.3,25.9,93.5,6.2,0.04
2,2,17,25.0,26.0,25.6,93.5,6.5,0.04
2,2,18,24.8,26.0,25.4,92.5,4.6,0.1
2,2,19,24.8,25.9,25.2,95.8,5.5,0.1
2,2,20,24.2,25.5,24.9,96.0,4.8,0.1
2,2,21,24.0,25.5,24.7,95.0,5.4,0.06
2,2,22,24.0,25.0,24.5,97.0,4.7,0.1
2,2,23,24.0,25.0,24.5,97.0,4.6,0.04
2,3,0,24.0,25.0,24.5,96.0,5.6,0.13
2,3,1,25.0,26.0,25.5,91.5,6.5,0.18
2,3,2,26.0,29.0,27.5,84.0,7.4,0.2
2,3,3,28.4,30.4,29.3,75.5,10.1,0.24
2,3,4,29.0,31.0,30.0,70.5,12.1,0.49
2,3,5,30.0,31.0,30.5,69.0,14.7,0.38
2,3,6,30.1,31.4,30.8,69.5,16.8,0.56
2,3,7,30.0,31.0,30.5,70.5,16.8,0.67
2,3,8,29.0,31.0,30.5,71.0,17.7,0.44
2,3,9,29.0,30.8,29.9,72.0,16.6,0.42
2,3,10,29.0,30.0,29.5,75.0,15.9,0.64
2,3,11,28.0,29.0,28.5,79.5,11.2,0.62
2,3,12,27.4,28.7,28.1,82.5,7.4,0.29
2,3,13,26.0,28.0,27.5,86.5,5.8,0.2
2,3,14,26.0,28.0,27.0,89.0,5.3,0.24
2,3,15,26.0,27.4,26.5,91.0,5.3,0.24
2,3,16,25.0,27.0,26.0,91.5,6.5,0.24
2,3,17,25.0,27.0,25.5,94.0,6.5,0.13
2,3,18,24.8,26.4,25.6,93.0,6.5,0.16
2,3,19,24.0,26.0,25.2,97.0,5.6,0.2
2,3,20,24.0,26.0,25.0,97.0,4.9,0.16
2,3,21,24.0,25.3,24.7,95.5,5.3,0.11
2,3,22,24.0,25.0,24.5,97.0,5.6,0.18
2,3,23,24.0,25.0,24.5,97.0,5.5,0.13
3,1,0,24.1,25.7,24.9,96.5,5.7,0.22
3,1,1,25.0,27.0,26.0,91.5,7.0,0.18
3,1,2,27.0,29.0,28.0,85.5,9.1,0.2
3,1,3,28.2,30.7,29.4,76.5,9.4,0.3
3,1,4,29.0,31.0,30.0,73.5,11.1,0.42
3,1,5,29.5,31.0,30.5,72.3,15.1,0.4
