m,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,25.3,28.1,30.8,14.2,30.0,0.97,199.0
2,25.2,28.2,31.0,11.7,29.0,0.98,263.0
3,25.2,28.3,31.3,9.1,28.0,0.91,144.0
4,25.4,28.5,31.1,8.9,28.0,0.93,138.0
5,25.7,28.0,30.4,11.1,24.0,0.78,51.0
6,24.9,27.4,29.8,12.5,25.0,0.85,63.0
7,24.7,26.7,29.1,14.0,26.0,0.85,45.0
8,24.4,26.6,29.2,13.3,24.0,0.79,29.0
9,24.6,27.0,30.0,11.6,24.0,0.78,35.0
10,25.0,27.8,31.2,9.5,25.0,0.8,31.0
11,25.7,28.4,31.6,8.4,27.0,0.9,57.0
12,25.5,28.3,31.1,11.5,27.0,0.88,148.0
