m,m3,coco,coco_pct
1,2,7.0,0.163
4,3,4.0,0.0
8,3,18.0,0.001
3,2,4.0,0.0
6,3,8.0,0.019
4,2,25.0,0.013
9,3,8.0,0.004
12,1,1.0,0.0
6,2,3.0,0.248
8,3,9.0,0.0
2,3,27.0,0.0
7,1,27.0,0.0
2,3,1.0,0.0
4,3,7.0,0.046
4,2,7.0,0.053
6,1,9.0,0.002
11,1,4.0,0.0
6,1,7.0,0.015
10,3,2.0,0.67
3,1,1.0,0.0
11,1,2.0,0.552
11,1,25.0,0.049
11,2,2.0,0.561
2,1,7.0,0.167
10,1,8.0,0.032
6,1,18.0,0.0
2,2,9.0,0.025
5,3,27.0,0.001
10,2,1.0,0.0
4,1,27.0,0.001
8,2,3.0,0.285
3,2,27.0,0.005
7,1,4.0,0.001
9,3,7.0,0.007
4,1,1.0,0.0
2,1,2.0,0.175
1,2,2.0,0.242
4,2,4.0,0.0
8,3,1.0,0.002
8,3,8.0,0.008
12,2,1.0,0.0
4,3,1.0,0.0
3,3,17.0,0.002
7,1,7.0,0.05
1,2,25.0,0.036
3,1,9.0,0.03
6,3,2.0,0.624
5,3,2.0,0.784
8,3,7.0,0.004
3,2,17.0,0.001
9,2,18.0,0.001
9,1,17.0,0.0
12,2,3.0,0.395
10,1,9.0,0.004
3,1,2.0,0.3
7,2,9.0,0.002
5,1,18.0,0.004
5,3,4.0,0.0
11,2,1.0,0.0
7,2,2.0,0.643
6,1,17.0,0.0
6,2,25.0,0.0
9,3,4.0,0.0
7,3,17.0,0.0
10,2,4.0,0.0
5,2,7.0,0.018
4,3,17.0,0.0
7,3,3.0,0.255
9,3,27.0,0.0
2,3,7.0,0.13
12,1,4.0,0.004
6,2,2.0,0.663
6,2,8.0,0.026
12,2,2.0,0.303
12,3,7.0,0.133
1,3,27.0,0.0
1,3,7.0,0.199
2,2,17.0,0.0
8,1,1.0,0.002
11,1,8.0,0.014
10,3,18.0,0.015
8,2,27.0,0.0
8,2,8.0,0.01
8,3,27.0,0.0
9,3,17.0,0.0
12,1,17.0,0.001
9,1,25.0,0.003
1,3,1.0,0.0
5,2,18.0,0.003
4,2,27.0,0.0
6,2,1.0,0.001
2,1,1.0,0.0
11,2,8.0,0.021
8,1,2.0,0.658
1,3,25.0,0.031
8,1,25.0,0.0
7,1,17.0,0.0
7,2,7.0,0.013
10,3,27.0,0.0
9,2,4.0,0.001
3,1,4.0,0.002
8,3,4.0,0.0
8,2,1.0,0.01
6,1,8.0,0.007
4,3,25.0,0.005
7,1,8.0,0.038
4,1,7.0,0.095
8,2,17.0,0.0
3,1,27.0,0.0
6,1,1.0,0.0
9,2,3.0,0.189
1,3,9.0,0.052
1,2,17.0,0.0
7,3,2.0,0.737
5,1,7.0,0.007
2,1,3.0,0.433
6,2,7.0,0.053
3,2,8.0,0.081
3,3,7.0,0.056
12,3,17.0,0.0
12,2,25.0,0.036
3,1,17.0,0.001
3,2,25.0,0.045
1,1,4.0,0.003
10,1,1.0,0.0
7,3,7.0,0.002
11,1,1.0,0.0
10,3,9.0,0.001
1,1,17.0,0.001
1,3,4.0,0.003
9,3,1.0,0.0
4,1,25.0,0.021
2,1,17.0,0.001
6,2,27.0,0.0
3,2,18.0,0.023
9,2,9.0,0.0
12,3,3.0,0.386
4,1,9.0,0.001
10,3,4.0,0.0
7,2,18.0,0.001
8,1,4.0,0.001
7,3,4.0,0.001
10,1,18.0,0.015
6,3,7.0,0.052
12,2,18.0,0.015
8,2,9.0,0.002
6,3,25.0,0.003
10,1,4.0,0.001
10,2,17.0,0.002
1,1,3.0,0.348
7,1,18.0,0.0
3,3,3.0,0.286
10,2,18.0,0.017
9,1,2.0,0.703
10,2,2.0,0.739
5,2,3.0,0.131
3,3,4.0,0.0
12,1,25.0,0.033
3,3,25.0,0.04
1,2,1.0,0.0
2,2,8.0,0.083
3,3,27.0,0.005
9,3,3.0,0.198
5,1,8.0,0.001
12,3,4.0,0.001
11,3,8.0,0.088
1,1,7.0,0.205
5,1,1.0,0.0
3,3,9.0,0.001
12,1,7.0,0.12
1,3,3.0,0.318
9,3,18.0,0.0
7,2,4.0,0.0
4,2,2.0,0.713
2,3,8.0,0.114
12,2,9.0,0.03
8,1,8.0,0.019
9,1,18.0,0.002
1,1,1.0,0.0
2,1,8.0,0.124
2,2,2.0,0.279
9,1,4.0,0.0
4,1,2.0,0.463
2,2,18.0,0.02
10,1,25.0,0.032
9,1,7.0,0.015
3,2,3.0,0.241
5,1,27.0,0.0
11,2,25.0,0.051
10,2,8.0,0.017
7,3,8.0,0.004
8,3,17.0,0.0
12,1,8.0,0.082
9,2,2.0,0.77
10,1,3.0,0.217
3,2,9.0,0.013
11,2,9.0,0.004
4,3,2.0,0.792
5,3,25.0,0.008
7,3,1.0,0.001
7,1,1.0,0.0
5,2,9.0,0.0
9,1,1.0,0.002
11,3,2.0,0.345
10,3,3.0,0.248
11,1,9.0,0.002
11,1,7.0,0.031
3,3,1.0,0.001
5,1,3.0,0.115
10,3,25.0,0.027
11,1,17.0,0.001
4,3,27.0,0.0
11,2,17.0,0.001
9,2,25.0,0.0
7,2,17.0,0.0
9,3,9.0,0.002
2,3,17.0,0.0
2,1,18.0,0.008
3,2,1.0,0.0
6,2,4.0,0.001
11,3,9.0,0.005
1,1,8.0,0.114
2,2,7.0,0.156
2,1,27.0,0.0
8,2,4.0,0.0
11,2,27.0,0.0
12,1,27.0,0.0
3,2,7.0,0.086
10,1,17.0,0.0
1,2,4.0,0.003
8,3,25.0,0.0
2,1,25.0,0.042
1,2,27.0,0.0
10,2,3.0,0.184
7,2,8.0,0.003
8,2,18.0,0.0
2,3,3.0,0.272
7,1,9.0,0.017
7,3,9.0,0.0
8,1,7.0,0.023
12,2,4.0,0.001
7,1,25.0,0.001
3,1,7.0,0.11
10,2,25.0,0.017
6,3,1.0,0.0
6,3,17.0,0.0
12,1,2.0,0.366
5,1,17.0,0.0
9,1,8.0,0.002
8,3,3.0,0.227
9,3,2.0,0.79
6,2,18.0,0.001
2,3,4.0,0.0
7,2,1.0,0.007
3,3,18.0,0.024
9,2,1.0,0.008
6,3,18.0,0.002
8,1,18.0,0.0
6,1,27.0,0.0
3,1,18.0,0.021
8,1,27.0,0.0
4,2,8.0,0.016
11,3,18.0,0.008
12,3,27.0,0.0
10,3,7.0,0.021
4,3,3.0,0.141
2,2,25.0,0.063
1,3,18.0,0.011
1,2,9.0,0.063
7,3,25.0,0.0
11,1,18.0,0.039
3,1,3.0,0.343
10,2,7.0,0.02
11,2,7.0,0.055
3,3,2.0,0.565
6,3,4.0,0.0
11,3,1.0,0.0
5,2,27.0,0.0
12,1,9.0,0.014
5,2,25.0,0.006
5,2,17.0,0.0
3,3,8.0,0.021
3,1,25.0,0.111
12,3,2.0,0.248
5,2,2.0,0.836
4,1,18.0,0.022
8,2,25.0,0.0
4,3,9.0,0.0
9,1,9.0,0.0
10,3,1.0,0.001
5,1,9.0,0.0
6,1,25.0,0.0
5,1,4.0,0.0
1,3,17.0,0.001
6,3,3.0,0.296
11,2,4.0,0.0
5,2,8.0,0.003
1,3,2.0,0.238
2,2,27.0,0.0
2,2,1.0,0.0
12,1,3.0,0.365
5,3,1.0,0.0
4,2,17.0,0.001
6,2,17.0,0.001
2,2,4.0,0.0
10,1,27.0,0.0
10,2,9.0,0.004
12,2,8.0,0.097
12,2,27.0,0.0
3,1,8.0,0.084
7,2,25.0,0.0
2,3,2.0,0.321
11,3,27.0,0.009
6,3,27.0,0.0
6,1,4.0,0.0
4,1,8.0,0.026
12,3,8.0,0.099
1,1,9.0,0.039
5,3,18.0,0.008
4,2,1.0,0.0
2,1,9.0,0.049
8,3,2.0,0.759
11,1,3.0,0.31
4,3,8.0,0.011
5,3,7.0,0.05
8,1,9.0,0.003
9,1,27.0,0.0
5,3,17.0,0.0
4,1,3.0,0.373
2,2,3.0,0.376
11,3,17.0,0.0
12,3,25.0,0.023
10,3,8.0,0.017
6,3,9.0,0.005
1,1,18.0,0.01
7,3,18.0,0.001
5,2,4.0,0.0
4,3,18.0,0.004
11,3,25.0,0.091
9,1,3.0,0.274
7,2,27.0,0.0
8,2,2.0,0.675
2,3,18.0,0.018
4,1,4.0,0.0
5,3,9.0,0.002
1,1,25.0,0.063
11,3,7.0,0.169
6,2,9.0,0.005
1,2,18.0,0.011
9,3,25.0,0.0
7,3,27.0,0.0
2,3,25.0,0.069
9,2,27.0,0.0
10,3,17.0,0.001
10,1,7.0,0.027
8,1,3.0,0.294
5,3,3.0,0.133
10,2,27.0,0.0
5,1,25.0,0.003
12,3,1.0,0.0
1,3,8.0,0.148
9,2,7.0,0.027
5,3,8.0,0.013
10,1,2.0,0.672
4,2,9.0,0.001
12,2,7.0,0.123
5,2,1.0,0.002
12,1,18.0,0.016
8,2,7.0,0.019
11,2,3.0,0.297
4,1,17.0,0.0
11,2,18.0,0.011
9,2,8.0,0.005
12,3,18.0,0.005
1,1,27.0,0.0
2,3,9.0,0.077
5,1,2.0,0.871
11,3,3.0,0.285
11,3,4.0,0.0
6,1,2.0,0.674
4,2,18.0,0.012
1,1,2.0,0.217
12,3,9.0,0.105
7,1,2.0,0.528
9,2,17.0,0.0
1,2,8.0,0.152
8,1,17.0,0.0
2,1,4.0,0.002
6,1,3.0,0.302
3,2,2.0,0.506
4,2,3.0,0.192
7,1,3.0,0.366
7,2,3.0,0.331
11,1,27.0,0.002
1,2,3.0,0.331
12,2,17.0,0.001
