m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,25.3,26.3,25.8,88.8,5.6,
1,1,1,26.3,27.2,26.8,83.8,7.4,
1,1,2,27.3,28.5,27.9,79.3,8.9,
1,1,3,28.1,29.9,29.0,74.8,10.2,
1,1,4,28.8,30.4,29.6,73.3,10.2,
1,1,5,29.3,31.1,30.2,71.0,12.1,
1,1,6,29.4,31.6,30.4,69.8,13.0,
1,1,7,29.1,31.3,30.3,70.8,13.0,
1,1,8,28.6,30.7,29.8,72.5,12.6,
1,1,9,28.0,30.3,29.1,74.8,12.1,
1,1,10,27.5,29.3,28.5,77.3,9.8,
1,1,11,26.7,28.8,27.8,79.3,8.9,
1,1,12,26.2,28.3,27.2,82.5,8.3,
1,1,13,25.9,28.0,26.9,84.8,7.0,
1,1,14,25.5,27.7,26.6,86.3,6.1,
1,1,15,25.3,27.4,26.3,87.0,5.6,
1,1,16,25.0,26.9,26.0,89.3,4.6,
1,1,17,24.8,26.7,25.8,90.0,4.6,
1,1,18,24.6,26.5,25.6,90.5,4.6,
1,1,19,24.5,26.2,25.4,91.0,4.6,
1,1,20,24.4,26.0,25.2,91.5,5.6,
1,1,21,24.3,25.8,25.0,91.5,6.4,
1,1,22,24.2,26.2,25.2,91.0,4.6,
1,1,23,24.3,26.3,25.3,90.3,4.6,
1,2,0,25.0,26.3,25.7,89.8,5.6,
1,2,1,26.1,27.3,26.7,84.8,7.4,
1,2,2,27.2,28.6,27.8,79.5,9.3,
1,2,3,28.2,29.8,28.9,74.0,10.2,
1,2,4,28.5,30.3,29.4,72.8,11.6,
1,2,5,29.0,31.0,30.1,70.8,12.6,
1,2,6,29.2,31.4,30.3,69.8,14.9,
1,2,7,29.2,31.2,30.3,69.5,14.4,
1,2,8,28.7,30.9,29.7,72.0,13.5,
1,2,9,28.1,30.7,29.2,73.3,13.0,
1,2,10,27.8,29.4,28.6,76.5,10.2,
1,2,11,27.3,29.0,28.1,79.3,8.8,
1,2,12,26.5,28.6,27.5,81.8,8.3,
1,2,13,26.1,28.2,27.1,83.8,7.4,
1,2,14,25.7,27.8,26.7,85.5,6.5,
1,2,15,25.2,27.4,26.4,87.5,6.5,
1,2,16,24.8,26.9,25.9,88.0,4.6,
1,2,17,24.5,26.7,25.7,89.5,4.6,
1,2,18,24.2,26.5,25.5,90.0,4.6,
1,2,19,24.2,26.3,25.3,90.3,5.1,
1,2,20,24.1,26.2,25.1,90.8,5.6,
1,2,21,24.1,26.1,25.0,91.3,6.1,
1,2,22,24.1,26.1,25.1,91.3,4.6,
1,2,23,24.1,26.2,25.2,91.5,5.6,
1,3,0,25.0,26.0,25.5,92.0,5.6,
1,3,1,26.2,27.0,26.6,86.5,7.4,
1,3,2,27.3,28.0,27.7,81.5,8.3,
1,3,3,28.0,29.2,28.6,77.5,8.4,
1,3,4,28.7,29.7,29.1,75.0,10.2,
1,3,5,29.2,30.6,29.7,72.5,11.2,
1,3,6,29.5,30.9,30.3,69.0,12.1,
1,3,7,29.4,30.8,30.3,70.0,13.0,
1,3,8,29.0,30.5,29.8,73.0,12.1,
1,3,9,28.5,30.2,29.6,73.5,11.2,
1,3,10,28.0,29.0,28.5,77.5,8.3,
1,3,11,27.3,28.6,28.0,80.0,7.4,
1,3,12,26.8,28.1,27.5,83.5,6.5,
1,3,13,26.4,27.9,27.1,85.0,5.6,
1,3,14,25.9,27.5,26.7,86.5,5.6,
1,3,15,25.6,27.2,26.3,88.0,5.5,
1,3,16,25.2,26.7,26.0,89.0,3.7,
1,3,17,25.3,26.5,26.0,90.0,4.6,
1,3,18,24.9,26.3,25.7,91.0,4.6,
1,3,19,24.8,26.2,25.5,91.5,4.6,
1,3,20,24.7,26.0,25.4,92.5,5.6,
1,3,21,24.6,25.8,25.2,93.0,5.6,
1,3,22,24.6,26.1,25.3,93.0,3.7,
1,3,23,24.5,26.0,25.3,93.0,4.6,
2,1,0,24.6,26.1,25.4,93.0,5.5,
2,1,1,25.7,26.9,26.3,88.0,6.5,
2,1,2,26.8,27.9,27.4,82.5,7.4,
2,1,3,27.5,29.0,28.4,77.8,8.4,
2,1,4,27.9,30.0,28.9,76.5,11.1,
2,1,5,28.6,30.6,29.6,74.5,11.1,
2,1,6,29.3,30.8,30.1,72.8,11.2,
2,1,7,29.1,30.6,29.9,73.0,12.1,
2,1,8,28.7,30.1,29.4,74.5,11.2,
2,1,9,28.5,30.0,29.2,75.0,10.2,
2,1,10,27.4,29.1,28.2,80.0,8.3,
2,1,11,26.8,28.6,27.7,82.3,7.4,
2,1,12,26.5,28.3,27.3,84.0,6.1,
2,1,13,26.1,27.9,27.0,86.0,5.6,
2,1,14,25.9,27.5,26.7,87.8,4.6,
2,1,15,25.6,27.2,26.4,90.0,4.6,
2,1,16,25.2,26.8,26.0,90.0,3.7,
2,1,17,25.1,26.8,25.9,90.5,3.7,
2,1,18,24.9,26.7,25.7,91.5,3.7,
2,1,19,24.8,26.4,25.5,91.8,4.6,
2,1,20,24.5,26.1,25.3,92.8,5.1,
2,1,21,24.4,25.8,25.1,93.3,5.6,
2,1,22,24.4,26.1,25.2,92.8,3.7,
2,1,23,24.5,26.0,25.2,93.3,4.2,
2,2,0,24.6,26.0,25.3,92.0,4.6,
2,2,1,25.6,27.1,26.4,87.3,6.1,
2,2,2,26.6,28.1,27.5,82.3,6.5,
2,2,3,27.6,29.0,28.3,77.8,8.3,
2,2,4,28.1,30.1,29.1,75.8,9.3,
2,2,5,28.7,30.7,29.7,72.8,10.2,
2,2,6,29.3,31.2,30.2,71.3,11.1,
2,2,7,29.3,31.0,30.1,72.3,11.2,
2,2,8,29.0,30.4,29.7,72.8,11.1,
2,2,9,28.5,29.8,29.2,75.0,9.8,
2,2,10,27.5,29.3,28.4,78.3,7.9,
2,2,11,26.8,28.6,27.7,81.5,6.5,
2,2,12,26.2,28.1,27.1,84.8,5.6,
2,2,13,25.9,27.8,26.8,86.5,5.1,
2,2,14,25.7,27.5,26.5,87.8,3.7,
2,2,15,25.5,27.1,26.3,89.0,3.7,
2,2,16,25.2,26.9,26.0,90.5,3.3,
2,2,17,24.8,26.7,25.8,91.5,3.3,
2,2,18,24.7,26.4,25.5,91.8,3.7,
2,2,19,24.5,26.3,25.4,92.5,3.7,
2,2,20,24.4,26.1,25.2,93.0,4.6,
2,2,21,24.3,25.9,25.0,93.5,4.6,
2,2,22,24.0,26.0,25.0,93.0,3.7,
2,2,23,23.9,26.0,24.9,93.0,3.7,
2,3,0,24.7,26.2,25.5,92.5,4.6,
2,3,1,25.9,27.4,26.6,87.5,5.5,
2,3,2,26.8,28.4,27.6,82.5,6.5,
2,3,3,27.7,29.5,28.7,78.0,7.4,
2,3,4,28.2,30.5,29.4,74.0,8.4,
2,3,5,28.8,31.3,30.1,72.0,10.2,
2,3,6,29.4,31.9,30.6,71.0,12.1,
2,3,7,29.3,31.4,30.4,71.5,11.1,
2,3,8,28.7,30.5,29.6,74.5,10.2,
2,3,9,28.4,29.9,29.2,76.0,10.2,
2,3,10,28.0,29.2,28.6,77.5,7.4,
2,3,11,27.1,28.6,28.0,81.5,6.5,
2,3,12,26.5,28.0,27.4,84.5,4.6,
2,3,13,26.1,27.6,27.1,86.0,4.6,
2,3,14,25.8,27.2,26.7,87.0,4.6,
2,3,15,25.6,26.9,26.4,89.0,4.6,
2,3,16,25.3,26.6,26.2,90.0,3.7,
2,3,17,25.2,26.4,25.9,91.0,3.7,
2,3,18,25.1,26.3,25.6,91.0,4.6,
2,3,19,24.8,26.1,25.4,92.0,4.6,
2,3,20,24.7,25.9,25.3,92.5,4.6,
2,3,21,24.5,25.7,25.1,94.0,4.6,
2,3,22,24.7,25.9,25.3,93.0,3.7,
2,3,23,24.7,25.9,25.3,92.5,3.7,
3,1,0,24.8,26.5,25.6,92.3,4.6,
3,1,1,25.9,27.4,26.6,86.5,5.6,
3,1,2,27.0,28.4,27.7,80.8,6.5,
3,1,3,28.1,29.5,29.0,75.5,7.4,
3,1,4,28.7,30.3,29.6,73.5,8.3,
3,1,5,29.1,30.9,30.2,71.8,9.3,
3,1,6,29.6,31.4,30.6,70.0,11.2,
3,1,7,29.5,31.1,30.4,70.5,11.2,
3,1,8,29.3,30.9,30.0,72.0,10.2,
3,1,9,28.6,30.5,29.7,74.3,9.3,
3,1,10,27.7,29.6,28.8,77.5,7.4,
3,1,11,27.0,28.9,28.0,81.0,6.5,
3,1,12,26.2,28.2,27.3,84.3,5.6,
3,1,13,25.8,27.9,26.9,85.8,4.6,
3,1,14,25.5,27.6,26.6,87.3,4.6,
3,1,15,25.3,27.3,26.3,88.8,4.6,
3,1,16,25.1,27.0,26.0,90.0,4.6,
3,1,17,24.9,26.8,25.7,90.5,4.6,
3,1,18,24.5,26.4,25.5,91.3,4.6,
3,1,19,24.4,26.2,25.3,92.5,4.6,
3,1,20,24.3,25.9,25.1,93.5,4.6,
3,1,21,24.1,25.6,25.0,94.0,4.6,
3,1,22,24.2,26.2,25.3,93.0,3.7,
3,1,23,24.1,26.2,25.3,92.8,4.2,
3,2,0,24.8,26.0,25.4,91.0,4.6,
3,2,1,26.3,27.3,26.8,85.5,6.1,
3,2,2,27.5,28.5,28.0,79.3,6.5,
3,2,3,28.6,29.7,29.2,74.0,6.5,
3,2,4,29.7,30.9,30.3,70.3,7.4,
3,2,5,30.3,31.6,30.8,68.0,8.4,
3,2,6,30.5,32.0,31.3,66.3,10.2,
3,2,7,30.4,31.6,31.0,67.8,10.2,
3,2,8,29.8,31.1,30.3,70.3,10.2,
3,2,9,28.8,30.6,29.5,72.5,10.6,
3,2,10,28.2,29.8,29.0,75.5,8.3,
3,2,11,27.3,29.2,28.3,78.8,6.5,
3,2,12,25.8,28.4,27.2,82.3,6.1,
3,2,13,26.1,28.0,27.2,84.5,5.6,
3,2,14,25.7,27.6,26.8,85.8,5.1,
3,2,15,24.8,27.2,25.9,88.3,5.6,
3,2,16,25.3,26.8,26.2,89.3,4.6,
3,2,17,25.2,26.6,26.0,90.3,4.6,
3,2,18,24.3,26.4,25.3,91.0,4.6,
3,2,19,24.7,26.1,25.5,91.5,4.6,
3,2,20,24.5,25.8,25.2,92.5,4.6,
3,2,21,23.7,25.5,24.7,94.0,5.6,
3,2,22,24.5,26.0,25.3,92.0,4.2,
3,2,23,24.5,26.1,25.2,91.8,4.2,
3,3,0,24.9,26.3,25.7,90.0,3.7,
3,3,1,26.7,27.5,27.2,83.5,4.6,
3,3,2,28.0,28.7,28.3,77.5,5.6,
3,3,3,28.9,30.1,29.5,72.0,7.4,
3,3,4,30.1,31.1,30.6,68.0,8.3,
3,3,5,30.7,31.7,31.2,66.5,9.3,
3,3,6,30.5,32.4,31.5,64.5,10.2,
3,3,7,30.5,31.8,31.3,66.5,10.2,
3,3,8,30.0,31.2,30.6,69.0,10.2,
3,3,9,29.1,30.9,30.0,70.5,10.2,
3,3,10,28.6,29.8,29.3,74.5,7.4,
3,3,11,27.8,29.0,28.4,77.5,5.6,
3,3,12,26.3,28.2,27.4,82.5,4.6,
3,3,13,26.3,27.8,27.2,83.0,3.7,
3,3,14,26.1,27.5,26.8,85.5,3.7,
3,3,15,25.3,27.2,26.2,87.0,4.6,
3,3,16,25.5,26.8,26.2,89.0,3.7,
3,3,17,25.2,26.6,26.0,90.0,3.7,
3,3,18,24.7,26.4,25.6,91.0,3.7,
3,3,19,25.0,26.2,25.6,91.5,3.7,
3,3,20,24.9,25.9,25.4,92.5,4.6,
3,3,21,24.1,25.5,24.9,94.0,5.6,
3,3,22,24.7,25.9,25.5,91.5,2.8,
3,3,23,24.7,26.2,25.4,91.0,2.8,
4,1,0,25.0,26.5,25.7,90.8,4.6,
4,1,1,26.4,27.7,27.1,83.5,4.6,
4,1,2,27.7,28.9,28.4,77.8,5.6,
4,1,3,28.9,30.4,29.7,72.0,6.5,
4,1,4,29.8,31.1,30.4,69.0,6.5,
4,1,5,30.5,31.6,31.1,67.0,8.3,
4,1,6,30.7,32.3,31.7,64.5,8.8,
4,1,7,30.5,31.8,31.1,66.8,8.9,
4,1,8,29.7,30.8,30.2,70.8,9.3,
4,1,9,28.7,30.4,29.7,72.0,9.3,
4,1,10,28.0,29.4,28.7,76.0,6.5,
4,1,11,27.2,28.7,27.9,79.8,5.6,
4,1,12,26.2,27.8,27.2,83.0,4.6,
4,1,13,26.1,27.6,26.9,84.8,4.2,
4,1,14,25.7,27.3,26.5,86.3,3.7,
4,1,15,25.3,26.8,26.1,87.5,3.7,
4,1,16,25.3,26.6,26.0,89.3,4.6,
4,1,17,25.2,26.4,25.8,89.8,4.6,
4,1,18,24.6,26.1,25.4,90.8,4.2,
4,1,19,24.9,25.9,25.4,91.5,4.2,
4,1,20,24.7,25.6,25.1,92.5,4.2,
4,1,21,24.2,25.3,24.8,93.8,4.6,
4,1,22,24.7,25.8,25.2,91.8,2.8,
4,1,23,24.6,26.1,25.4,91.5,3.7,
4,2,0,25.3,26.8,26.1,89.5,3.7,
4,2,1,26.8,27.9,27.4,82.5,4.6,
4,2,2,28.2,29.1,28.6,76.8,5.6,
4,2,3,29.4,30.5,30.0,70.5,6.5,
4,2,4,30.7,31.4,31.1,66.5,6.5,
4,2,5,31.4,32.0,31.7,64.8,8.4,
4,2,6,31.4,32.6,32.1,62.8,9.3,
4,2,7,31.2,32.1,31.6,64.8,10.2,
4,2,8,30.5,31.7,31.1,67.0,10.2,
4,2,9,29.5,31.6,30.5,68.5,9.8,
4,2,10,28.8,30.5,29.7,73.0,7.4,
4,2,11,27.8,29.6,28.7,77.0,6.5,
4,2,12,26.7,28.8,27.7,81.5,4.6,
4,2,13,26.3,28.4,27.4,83.0,5.1,
4,2,14,26.0,27.9,27.0,84.5,3.7,
4,2,15,25.5,27.4,26.5,86.3,4.2,
4,2,16,25.4,27.0,26.3,87.0,4.6,
4,2,17,25.2,26.8,26.1,88.5,4.2,
4,2,18,24.8,26.6,25.7,90.0,3.7,
4,2,19,25.1,26.3,25.7,91.0,3.7,
4,2,20,24.9,26.1,25.5,92.3,3.7,
4,2,21,24.3,25.8,25.0,93.0,3.7,
4,2,22,24.4,26.3,25.4,91.3,2.8,
4,2,23,24.5,26.5,25.5,90.8,3.7,
4,3,0,24.9,26.8,25.8,88.5,3.7,
4,3,1,27.0,27.8,27.3,82.0,5.6,
4,3,2,28.2,29.0,28.6,76.5,5.6,
4,3,3,29.3,30.5,29.8,71.3,7.4,
4,3,4,30.7,31.5,31.1,67.0,7.4,
4,3,5,31.3,32.3,31.7,64.5,9.3,
4,3,6,31.3,32.7,32.0,62.8,10.2,
4,3,7,31.1,32.5,31.7,65.3,11.2,
4,3,8,30.6,31.8,31.3,66.5,11.2,
4,3,9,29.0,31.4,30.3,69.3,11.1,
4,3,10,28.5,30.5,29.5,73.8,8.3,
