m,coco,coco_pct
12,17.0,0.0
10,3.0,0.283
9,9.0,0.02
5,26.0,0.0
10,26.0,0.0
11,1.0,0.203
9,26.0,0.0
8,12.0,0.0
9,15.0,0.0
7,9.0,0.011
12,5.0,0.258
11,2.0,0.126
9,4.0,0.004
6,26.0,0.0
1,7.0,0.049
8,9.0,0.011
12,3.0,0.26
4,18.0,0.001
12,14.0,0.003
5,14.0,0.0
9,18.0,0.005
6,2.0,0.305
2,25.0,0.0
5,3.0,0.306
7,2.0,0.353
1,17.0,0.001
7,5.0,0.006
9,3.0,0.228
1,5.0,0.208
4,2.0,0.234
2,1.0,0.325
2,15.0,0.0
6,18.0,0.008
7,26.0,0.001
12,1.0,0.207
6,5.0,0.012
7,25.0,0.019
7,8.0,0.009
7,14.0,0.0
3,4.0,0.011
2,8.0,0.035
12,12.0,0.003
3,2.0,0.204
6,14.0,0.0
9,7.0,0.034
2,5.0,0.214
7,15.0,0.0
1,8.0,0.035
3,18.0,0.001
10,4.0,0.018
7,18.0,0.012
10,15.0,0.0
1,9.0,0.017
4,14.0,0.0
1,12.0,0.0
12,2.0,0.122
9,27.0,0.0
1,25.0,0.0
2,4.0,0.013
3,12.0,0.0
10,5.0,0.123
4,27.0,0.001
1,18.0,0.0
5,1.0,0.146
5,25.0,0.011
1,27.0,0.0
11,15.0,0.0
12,7.0,0.061
4,12.0,0.0
5,15.0,0.0
3,7.0,0.047
7,7.0,0.022
4,7.0,0.071
11,14.0,0.0
5,2.0,0.325
8,18.0,0.008
6,12.0,0.0
11,4.0,0.03
1,1.0,0.272
11,18.0,0.001
11,27.0,0.0
7,1.0,0.383
12,4.0,0.03
6,1.0,0.337
2,12.0,0.0
12,8.0,0.04
6,4.0,0.001
1,3.0,0.275
10,1.0,0.231
4,9.0,0.018
9,17.0,0.011
8,2.0,0.341
7,27.0,0.004
9,5.0,0.027
12,15.0,0.001
3,17.0,0.005
2,18.0,0.0
1,15.0,0.0
2,7.0,0.033
11,26.0,0.0
8,4.0,0.001
9,14.0,0.0
4,8.0,0.034
5,27.0,0.003
8,17.0,0.011
4,3.0,0.285
2,2.0,0.118
6,27.0,0.002
10,18.0,0.002
8,7.0,0.023
3,9.0,0.013
6,15.0,0.0
3,25.0,0.001
7,12.0,0.0
10,27.0,0.001
8,8.0,0.015
6,9.0,0.019
4,15.0,0.0
10,8.0,0.035
8,15.0,0.0
3,3.0,0.242
6,8.0,0.02
8,14.0,0.0
2,9.0,0.02
12,18.0,0.0
8,27.0,0.001
4,4.0,0.017
2,27.0,0.0
10,7.0,0.06
10,17.0,0.005
2,17.0,0.003
8,26.0,0.0
6,17.0,0.014
3,1.0,0.366
5,18.0,0.005
10,25.0,0.002
5,8.0,0.044
5,9.0,0.027
6,7.0,0.035
7,17.0,0.013
11,25.0,0.001
10,9.0,0.032
8,25.0,0.017
5,7.0,0.095
12,27.0,0.0
9,2.0,0.287
5,17.0,0.01
9,12.0,0.0
5,5.0,0.019
11,5.0,0.198
2,26.0,0.0
11,9.0,0.024
1,14.0,0.0
11,8.0,0.049
11,17.0,0.004
5,4.0,0.009
1,26.0,0.0
6,3.0,0.233
1,4.0,0.014
2,14.0,0.0
3,5.0,0.084
10,12.0,0.0
6,25.0,0.013
8,1.0,0.397
12,9.0,0.015
11,7.0,0.078
9,1.0,0.352
11,3.0,0.287
9,25.0,0.012
10,14.0,0.0
1,2.0,0.129
3,15.0,0.0
4,25.0,0.001
7,4.0,0.002
8,5.0,0.006
11,12.0,0.0
2,3.0,0.239
5,12.0,0.0
7,3.0,0.164
3,27.0,0.001
4,5.0,0.028
12,25.0,0.0
4,26.0,0.0
3,14.0,0.0
4,1.0,0.304
3,8.0,0.026
9,8.0,0.021
10,2.0,0.208
4,17.0,0.005
8,3.0,0.169
12,26.0,0.0
3,26.0,0.0
