m,m3,coco,coco_pct
1,1,5.0,0.202
11,3,4.0,0.03
5,2,17.0,0.01
12,1,3.0,0.275
5,2,15.0,0.0
1,1,17.0,0.0
10,1,25.0,0.0
6,2,25.0,0.01
8,3,2.0,0.361
2,1,12.0,0.0
12,3,9.0,0.006
5,1,18.0,0.003
9,1,8.0,0.024
1,3,27.0,0.0
2,3,14.0,0.0
8,2,18.0,0.007
6,3,5.0,0.001
7,2,26.0,0.001
6,3,14.0,0.0
1,2,26.0,0.0
4,3,25.0,0.001
4,1,1.0,0.358
12,1,26.0,0.0
9,1,14.0,0.0
6,2,4.0,0.001
6,3,9.0,0.02
3,1,15.0,0.0
5,3,15.0,0.0
10,3,8.0,0.031
1,1,3.0,0.314
2,2,26.0,0.0
2,1,14.0,0.0
6,3,17.0,0.013
10,3,1.0,0.236
11,3,14.0,0.0
1,3,14.0,0.0
2,2,15.0,0.0
8,2,5.0,0.01
12,1,9.0,0.029
11,2,7.0,0.076
3,3,8.0,0.019
7,1,26.0,0.001
9,1,25.0,0.025
6,1,8.0,0.033
11,3,2.0,0.12
9,3,7.0,0.047
6,1,9.0,0.02
8,2,17.0,0.009
8,1,4.0,0.001
6,2,9.0,0.017
8,2,27.0,0.002
9,3,17.0,0.014
6,1,12.0,0.0
10,3,7.0,0.057
11,2,8.0,0.049
7,1,9.0,0.014
6,3,18.0,0.009
12,3,27.0,0.0
5,1,12.0,0.0
5,2,25.0,0.014
12,2,17.0,0.0
12,1,12.0,0.002
5,3,8.0,0.032
5,3,1.0,0.125
10,1,9.0,0.027
2,2,4.0,0.019
7,2,14.0,0.0
8,2,8.0,0.008
9,2,7.0,0.027
1,3,3.0,0.261
1,1,25.0,0.0
10,3,18.0,0.004
12,3,3.0,0.253
9,3,14.0,0.0
12,2,18.0,0.0
6,2,27.0,0.002
2,3,2.0,0.121
7,3,3.0,0.155
8,2,25.0,0.008
1,1,9.0,0.028
9,1,9.0,0.02
4,3,17.0,0.007
10,3,14.0,0.0
4,3,1.0,0.222
7,1,7.0,0.017
7,3,26.0,0.001
11,2,9.0,0.013
10,3,2.0,0.147
12,3,2.0,0.108
8,3,9.0,0.011
10,3,17.0,0.009
12,1,18.0,0.001
8,3,12.0,0.0
11,3,3.0,0.3
10,2,27.0,0.0
1,3,7.0,0.053
7,3,7.0,0.024
3,3,17.0,0.004
9,1,3.0,0.173
1,3,12.0,0.0
4,2,2.0,0.276
6,1,3.0,0.227
2,3,15.0,0.0
9,3,12.0,0.0
8,1,14.0,0.0
6,1,27.0,0.003
3,2,14.0,0.0
5,3,26.0,0.0
2,1,17.0,0.0
8,3,8.0,0.017
12,3,4.0,0.016
9,1,17.0,0.012
5,2,14.0,0.0
1,1,18.0,0.0
12,2,15.0,0.0
7,2,9.0,0.008
6,2,1.0,0.336
6,1,18.0,0.01
5,1,14.0,0.0
7,1,18.0,0.013
3,3,2.0,0.161
8,1,8.0,0.018
2,2,18.0,0.0
4,2,12.0,0.0
2,1,15.0,0.0
10,3,15.0,0.0
2,1,7.0,0.06
11,3,27.0,0.0
4,3,26.0,0.001
4,2,18.0,0.001
12,3,25.0,0.0
5,1,5.0,0.022
9,1,18.0,0.005
4,1,12.0,0.0
4,3,12.0,0.0
8,3,3.0,0.169
4,2,26.0,0.0
12,1,15.0,0.002
8,3,18.0,0.01
3,2,4.0,0.01
