m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,3.6,8.9,6.0,86.0,4.6,0.27
1,1,1,2.9,8.9,5.4,87.5,3.6,0.22
1,1,2,2.9,8.0,5.2,89.0,5.2,0.16
1,1,3,3.2,8.1,5.3,88.5,5.9,0.18
1,1,4,3.5,8.1,5.4,88.0,7.2,0.16
1,1,5,2.7,8.2,5.4,89.5,6.2,0.16
1,1,6,2.6,8.4,5.2,89.5,5.4,0.14
1,1,7,2.9,8.3,5.2,86.8,5.1,0.2
1,1,8,3.3,8.2,5.3,87.5,5.6,0.2
1,1,9,4.2,8.7,6.1,86.8,6.3,0.2
1,1,10,4.9,9.1,7.1,86.5,5.5,0.18
1,1,11,5.6,9.3,7.5,81.5,6.4,0.18
1,1,12,6.7,10.7,8.8,78.0,5.9,0.2
1,1,13,7.3,11.8,9.6,76.0,6.4,0.16
1,1,14,6.7,10.8,8.9,75.8,6.4,0.24
1,1,15,6.2,10.2,8.3,78.3,5.8,0.26
1,1,16,5.8,9.3,7.6,82.0,5.1,0.24
1,1,17,4.9,9.3,7.1,85.3,5.2,0.2
1,1,18,4.2,8.4,6.5,87.0,4.4,0.22
1,1,19,4.0,8.6,6.4,87.0,4.5,0.22
1,1,20,3.9,8.6,6.2,86.5,4.5,0.2
1,1,21,3.7,8.6,6.0,89.0,5.1,0.24
1,1,22,4.0,8.3,6.0,87.3,6.0,0.26
1,1,23,4.0,8.5,6.4,85.8,6.3,0.24
1,2,0,2.6,6.8,4.8,85.5,3.5,0.02
1,2,1,2.3,6.6,4.5,85.8,4.1,0.04
1,2,2,2.2,6.2,4.3,84.8,4.8,0.04
1,2,3,2.1,6.1,4.2,85.3,5.1,0.1
1,2,4,2.6,5.9,4.4,85.8,4.6,0.1
1,2,5,2.7,6.0,4.3,82.5,4.3,0.06
1,2,6,2.8,5.9,4.3,85.5,4.3,0.04
1,2,7,1.8,5.9,4.4,85.5,4.9,0.04
1,2,8,2.0,5.7,4.3,85.3,6.2,0.0
1,2,9,3.6,7.1,5.5,80.3,5.6,0.06
1,2,10,4.4,8.0,6.3,75.0,5.2,0.1
1,2,11,5.4,9.1,7.1,71.5,4.9,0.12
1,2,12,6.4,10.0,8.3,66.0,5.6,0.12
1,2,13,6.6,10.6,8.6,65.8,5.3,0.12
1,2,14,6.5,10.3,8.6,65.5,5.6,0.14
1,2,15,6.1,9.5,7.9,67.8,4.5,0.08
1,2,16,5.2,8.6,7.0,72.5,3.8,0.08
1,2,17,4.3,7.7,5.7,76.3,3.2,0.08
1,2,18,3.8,7.0,5.2,79.5,3.5,0.1
1,2,19,3.2,6.3,4.7,83.0,3.5,0.12
1,2,20,3.1,6.2,5.0,83.8,4.1,0.08
1,2,21,2.8,6.5,4.9,83.3,4.2,0.06
1,2,22,2.7,6.9,4.7,85.0,4.5,0.06
1,2,23,2.8,6.7,4.7,84.5,3.6,0.08
1,3,0,1.9,6.5,4.1,87.0,4.9,0.06
1,3,1,1.9,6.2,3.9,87.5,3.8,0.08
1,3,2,1.7,6.4,4.1,85.5,5.2,0.13
1,3,3,1.8,6.2,4.3,86.5,5.1,0.1
1,3,4,1.6,6.4,4.4,85.0,4.7,0.11
1,3,5,1.3,6.8,4.1,85.5,4.3,0.13
1,3,6,1.0,6.6,3.7,85.5,4.2,0.13
1,3,7,1.1,6.5,4.1,84.0,3.8,0.15
1,3,8,1.6,5.8,4.3,86.5,5.6,0.17
1,3,9,3.3,7.2,5.4,83.0,4.5,0.17
1,3,10,4.9,8.4,6.4,82.0,5.4,0.13
1,3,11,5.9,9.5,7.4,77.0,5.6,0.13
1,3,12,6.4,11.1,8.6,72.0,3.8,0.11
1,3,13,7.1,12.2,9.4,68.0,4.7,0.11
1,3,14,7.2,12.4,9.9,70.5,3.6,0.09
1,3,15,7.0,11.5,9.2,71.5,4.2,0.07
1,3,16,6.1,10.3,8.2,74.5,3.1,0.07
1,3,17,5.1,8.6,6.9,79.0,2.7,0.1
1,3,18,4.6,7.4,5.9,81.0,3.6,0.05
1,3,19,3.6,7.2,5.4,84.0,2.7,0.1
1,3,20,3.2,6.7,5.1,86.0,2.9,0.1
1,3,21,2.7,6.6,4.6,86.5,2.7,0.11
1,3,22,2.2,6.6,4.9,87.0,3.8,0.11
1,3,23,2.1,6.6,4.2,87.0,3.4,0.08
2,1,0,4.2,9.5,6.7,86.5,3.8,0.18
2,1,1,4.2,9.0,6.6,87.8,4.3,0.13
2,1,2,4.2,9.2,6.3,88.8,4.7,0.13
2,1,3,3.6,8.8,5.8,89.0,3.9,0.1
2,1,4,3.8,8.9,5.7,90.3,3.8,0.13
2,1,5,3.9,8.3,5.6,90.3,2.6,0.15
2,1,6,3.5,7.7,5.5,90.3,3.8,0.15
2,1,7,3.0,7.6,5.7,91.5,3.3,0.15
2,1,8,4.1,7.7,6.1,90.0,4.6,0.18
2,1,9,5.8,8.5,7.5,82.5,4.0,0.18
2,1,10,6.8,10.1,8.6,81.0,5.2,0.13
2,1,11,7.7,10.9,9.4,79.5,3.3,0.13
2,1,12,8.3,12.2,10.3,76.3,4.3,0.13
2,1,13,8.7,12.9,10.9,75.0,5.6,0.13
2,1,14,9.2,12.6,10.8,74.3,5.2,0.1
2,1,15,9.0,12.5,10.8,76.3,3.9,0.1
2,1,16,8.3,12.3,10.4,77.8,3.3,0.13
2,1,17,7.5,11.4,9.7,79.0,5.3,0.15
2,1,18,6.6,10.3,8.5,79.0,3.2,0.15
2,1,19,5.8,9.6,7.8,82.5,2.7,0.1
2,1,20,5.2,10.0,7.7,84.5,2.9,0.15
2,1,21,5.0,9.3,7.1,86.5,2.9,0.18
2,1,22,4.8,10.0,7.3,86.3,4.7,0.18
2,1,23,5.0,9.7,6.9,87.3,4.3,0.2
2,2,0,3.8,8.6,6.4,85.5,2.1,0.1
2,2,1,3.4,8.1,6.0,85.3,2.2,0.08
2,2,2,3.3,9.0,6.4,85.5,1.8,0.08
2,2,3,3.6,8.7,6.1,86.3,1.8,0.1
2,2,4,3.4,6.4,4.9,85.3,2.4,0.08
2,2,5,3.1,7.4,5.4,85.0,1.8,0.08
2,2,6,3.7,7.2,5.3,86.0,2.8,0.03
2,2,7,2.9,7.1,5.1,86.8,3.7,0.03
