m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,7.1,10.4,8.9,78.0,17.3,0.1
1,1,6.9,10.4,8.7,78.5,17.0,0.13
1,2,6.6,10.4,8.6,77.0,17.3,0.14
1,3,6.4,10.2,8.4,78.0,16.8,0.1
1,4,6.5,10.2,8.2,78.0,16.1,0.12
1,5,6.4,9.9,8.3,78.0,16.1,0.12
1,6,6.4,10.0,8.2,77.5,16.7,0.13
1,7,6.6,10.1,8.5,77.5,16.8,0.14
1,8,7.8,11.3,9.6,74.5,15.9,0.12
1,9,9.3,13.0,11.2,70.5,15.9,0.12
1,10,10.4,14.0,12.0,66.5,16.6,0.11
1,11,10.6,14.3,12.6,64.5,16.8,0.15
1,12,10.8,15.1,13.0,64.5,17.3,0.17
1,13,11.0,14.7,13.0,64.0,18.2,0.19
1,14,10.8,14.7,12.7,65.5,17.7,0.16
1,15,10.6,14.0,12.4,67.5,17.7,0.14
1,16,10.1,13.3,11.9,67.0,15.5,0.17
1,17,9.6,12.8,11.3,71.5,16.4,0.16
1,18,9.0,12.3,10.7,73.0,16.8,0.17
1,19,8.6,11.8,10.3,76.0,16.8,0.19
1,20,8.0,11.5,9.9,77.0,16.8,0.19
1,21,7.6,11.2,9.6,77.0,16.6,0.15
1,22,7.2,10.8,9.1,78.0,15.5,0.11
1,23,7.0,10.5,9.0,78.0,16.1,0.11
2,0,7.3,11.2,9.4,75.5,16.4,0.11
2,1,7.4,11.0,9.4,76.0,16.6,0.09
2,2,7.5,10.8,9.2,75.5,15.8,0.08
2,3,7.0,10.6,9.0,75.5,15.2,0.06
2,4,7.1,10.5,8.8,76.5,15.0,0.08
2,5,7.1,10.4,8.8,77.0,15.3,0.1
2,6,6.9,10.3,8.6,78.5,15.0,0.06
2,7,7.6,10.8,9.4,76.5,15.0,0.12
2,8,9.4,12.3,11.1,72.0,14.6,0.1
2,9,11.0,14.0,12.6,65.5,15.9,0.04
2,10,11.6,15.0,13.3,63.0,16.4,0.12
2,11,12.2,15.7,13.8,63.0,17.7,0.14
2,12,12.4,15.5,13.9,63.0,17.7,0.15
2,13,12.8,15.4,14.1,63.0,18.5,0.13
2,14,12.0,15.3,13.7,63.0,18.9,0.1
2,15,11.8,14.8,13.6,63.5,18.7,0.08
