m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,7.3,11.6,9.2,80.5,15.6,0.09
1,1,1,7.1,11.4,9.1,78.8,16.1,0.14
1,1,2,7.1,10.6,8.9,78.3,15.5,0.14
1,1,3,6.8,10.5,8.6,78.0,15.4,0.1
1,1,4,6.6,10.4,8.6,78.0,14.7,0.1
1,1,5,6.6,10.4,8.5,77.5,14.6,0.08
1,1,6,6.6,10.4,8.7,78.8,14.9,0.12
1,1,7,7.0,10.5,8.9,78.8,14.9,0.14
1,1,8,8.3,11.3,9.8,78.0,15.6,0.12
1,1,9,9.8,13.2,11.5,73.0,15.9,0.1
1,1,10,10.4,14.8,12.7,69.3,16.3,0.12
1,1,11,11.0,15.2,13.3,67.0,15.3,0.18
1,1,12,11.5,16.0,14.2,67.5,16.1,0.2
1,1,13,11.3,15.5,13.8,67.5,16.4,0.18
1,1,14,10.9,15.4,13.2,68.3,16.8,0.14
1,1,15,10.8,14.8,13.2,70.3,17.5,0.13
1,1,16,10.4,14.1,12.3,71.8,15.5,0.16
1,1,17,9.6,13.5,11.6,75.5,15.4,0.18
1,1,18,9.6,13.2,11.3,76.8,16.1,0.23
1,1,19,9.1,12.4,10.6,78.0,16.8,0.24
1,1,20,8.5,12.0,10.2,77.5,16.4,0.24
1,1,21,8.2,11.9,9.9,77.8,16.7,0.18
1,1,22,7.6,11.8,9.6,79.3,15.6,0.14
1,1,23,7.2,11.1,9.3,80.8,14.8,0.12
1,2,0,7.3,10.0,8.9,75.3,17.2,0.17
1,2,1,6.8,9.8,8.6,76.3,17.7,0.18
1,2,2,6.7,10.2,8.8,76.5,18.6,0.18
1,2,3,6.5,10.3,8.6,76.8,17.9,0.12
1,2,4,6.7,10.0,8.8,76.8,16.6,0.18
1,2,5,6.5,9.9,8.6,75.5,16.9,0.16
1,2,6,6.5,9.7,8.6,76.3,18.9,0.15
1,2,7,6.4,10.0,8.6,76.3,19.5,0.12
1,2,8,7.5,11.7,9.6,75.3,18.2,0.12
1,2,9,9.4,12.5,10.8,68.3,15.2,0.13
1,2,10,10.3,13.3,11.9,65.8,16.6,0.1
1,2,11,10.7,13.8,12.2,65.5,17.5,0.14
1,2,12,10.9,14.1,12.6,63.8,18.1,0.13
1,2,13,10.6,14.5,12.6,62.8,18.8,0.16
1,2,14,10.8,14.2,12.5,65.0,17.4,0.14
1,2,15,10.7,13.8,12.3,64.3,16.3,0.13
1,2,16,10.2,12.8,11.4,67.0,15.1,0.14
1,2,17,9.4,12.1,11.0,69.0,16.9,0.16
1,2,18,8.7,11.8,10.6,71.5,18.6,0.13
1,2,19,8.1,11.7,10.1,73.8,20.1,0.16
1,2,20,7.4,11.4,9.5,74.0,17.7,0.18
1,2,21,7.1,11.0,9.1,75.0,15.5,0.13
1,2,22,7.3,10.4,9.1,74.8,15.2,0.12
1,2,23,7.4,10.4,9.0,75.8,16.8,0.1
1,3,0,6.8,10.1,8.8,77.5,17.7,0.05
1,3,1,6.6,10.3,8.6,76.5,17.0,0.07
1,3,2,5.9,10.2,8.2,77.0,17.3,0.09
1,3,3,5.9,9.8,8.1,79.5,16.8,0.07
1,3,4,5.8,9.7,7.8,79.5,16.8,0.07
1,3,5,6.0,9.9,7.9,78.5,16.4,0.11
1,3,6,5.6,9.9,7.8,78.0,16.8,0.12
1,3,7,6.0,10.0,8.1,77.5,16.8,0.16
1,3,8,7.4,10.9,9.5,74.0,15.9,0.11
1,3,9,9.1,12.4,11.0,66.5,16.8,0.13
1,3,10,10.4,13.6,11.8,62.5,16.6,0.11
1,3,11,10.3,14.3,12.5,61.5,17.5,0.15
1,3,12,10.5,15.2,12.5,63.5,17.5,0.19
1,3,13,10.5,14.6,12.7,61.5,18.6,0.22
1,3,14,10.0,14.4,12.5,63.0,19.6,0.2
1,3,15,10.0,13.7,12.1,64.5,18.2,0.15
1,3,16,10.0,13.3,11.7,66.5,16.8,0.2
1,3,17,9.4,12.2,10.8,68.5,16.4,0.15
1,3,18,8.4,11.7,10.4,70.0,16.8,0.16
1,3,19,8.0,11.4,9.9,75.0,18.6,0.18
1,3,20,8.0,11.0,9.5,73.0,16.8,0.15
1,3,21,7.6,10.7,9.1,77.0,16.8,0.14
1,3,22,7.0,10.7,8.9,78.0,17.1,0.07
1,3,23,6.7,10.3,9.0,76.5,17.1,0.11
2,1,0,7.1,11.5,9.3,72.8,18.2,0.11
2,1,1,7.2,11.2,9.2,74.0,15.4,0.06
