m,m3,coco,coco_pct
6,1,15.0,0.0
6,3,13.0,0.0
4,1,1.0,0.419
11,3,21.0,0.0
3,1,27.0,0.0
10,3,15.0,0.0
7,3,9.0,0.005
5,3,16.0,0.0
12,1,21.0,0.0
6,1,17.0,0.002
12,3,4.0,0.066
11,2,26.0,0.001
2,3,18.0,0.0
8,3,7.0,0.058
9,2,21.0,0.0
12,3,7.0,0.038
4,1,7.0,0.04
6,1,3.0,0.175
5,2,18.0,0.002
10,3,16.0,0.0
8,2,25.0,0.004
3,1,2.0,0.299
2,2,4.0,0.043
4,3,3.0,0.222
5,1,25.0,0.001
11,2,5.0,0.367
1,3,15.0,0.001
5,1,21.0,0.0
9,2,12.0,0.0
5,2,5.0,0.031
11,1,8.0,0.018
6,2,26.0,0.0
10,2,1.0,0.277
6,3,1.0,0.518
6,3,3.0,0.07
8,1,17.0,0.001
9,1,3.0,0.08
9,1,9.0,0.003
5,3,7.0,0.056
5,1,4.0,0.047
9,3,3.0,0.172
3,1,16.0,0.0
3,3,14.0,0.001
5,1,27.0,0.0
7,2,4.0,0.009
3,3,27.0,0.0
5,2,9.0,0.018
9,1,13.0,0.0
9,3,14.0,0.0
12,1,25.0,0.001
6,1,7.0,0.063
6,1,16.0,0.0
3,3,5.0,0.048
10,3,25.0,0.001
6,1,8.0,0.016
12,3,21.0,0.0
2,2,10.0,0.0
4,1,17.0,0.001
1,1,17.0,0.0
1,1,8.0,0.024
3,1,8.0,0.018
2,3,14.0,0.011
5,3,17.0,0.001
6,3,14.0,0.0
4,1,10.0,0.0
6,2,12.0,0.0
6,2,14.0,0.0
5,2,12.0,0.0
8,3,12.0,0.0
7,3,5.0,0.002
7,3,1.0,0.527
11,1,16.0,0.0
4,2,4.0,0.042
3,3,17.0,0.0
8,2,4.0,0.006
9,1,18.0,0.001
1,1,12.0,0.001
11,1,2.0,0.173
8,1,9.0,0.001
2,2,21.0,0.0
4,3,26.0,0.0
4,3,1.0,0.25
12,3,13.0,0.0
8,3,14.0,0.0
7,2,3.0,0.067
6,2,1.0,0.388
10,3,27.0,0.0
10,3,1.0,0.253
10,1,21.0,0.0
7,1,1.0,0.486
9,2,17.0,0.0
6,2,17.0,0.001
11,3,12.0,0.0
4,2,1.0,0.315
2,1,13.0,0.0
1,1,2.0,0.128
9,2,10.0,0.0
6,2,5.0,0.0
2,1,7.0,0.046
10,2,12.0,0.0
4,1,4.0,0.035
11,2,4.0,0.086
7,1,16.0,0.0
10,2,25.0,0.001
1,3,4.0,0.059
11,1,9.0,0.002
11,2,12.0,0.0
6,2,16.0,0.0
4,1,21.0,0.0
11,3,7.0,0.064
5,2,13.0,0.0
7,1,10.0,0.0
8,3,8.0,0.017
1,1,3.0,0.106
4,2,16.0,0.0
12,3,9.0,0.0
2,2,16.0,0.0
11,2,1.0,0.148
2,2,13.0,0.0
1,1,26.0,0.0
7,2,17.0,0.0
5,1,7.0,0.071
12,2,14.0,0.018
4,2,13.0,0.0
9,1,5.0,0.005
4,2,18.0,0.002
10,1,4.0,0.067
9,2,3.0,0.154
4,3,2.0,0.299
12,2,12.0,0.008
1,3,7.0,0.058
6,3,17.0,0.001
2,2,1.0,0.387
1,2,4.0,0.099
5,3,13.0,0.0
8,1,13.0,0.0
12,3,15.0,0.0
11,3,3.0,0.126
4,3,21.0,0.0
2,2,2.0,0.212
12,1,4.0,0.136
1,1,7.0,0.033
10,1,14.0,0.0
7,3,18.0,0.003
6,1,13.0,0.0
1,3,5.0,0.367
12,2,16.0,0.0
1,1,21.0,0.0
2,1,21.0,0.0
10,3,13.0,0.0
6,2,21.0,0.0
3,2,26.0,0.0
6,1,14.0,0.0
2,3,17.0,0.0
10,1,2.0,0.331
5,3,14.0,0.0
11,3,15.0,0.0
7,3,7.0,0.022
7,2,13.0,0.0
12,3,3.0,0.096
11,2,25.0,0.0
7,3,14.0,0.0
8,2,3.0,0.06
3,1,17.0,0.0
11,2,27.0,0.0
9,2,4.0,0.025
10,2,8.0,0.02
4,3,12.0,0.0
5,3,10.0,0.0
10,2,7.0,0.054
11,3,16.0,0.0
2,3,3.0,0.137
12,1,8.0,0.037
3,3,26.0,0.0
3,3,7.0,0.045
8,2,16.0,0.0
4,2,2.0,0.359
7,1,18.0,0.006
10,2,21.0,0.0
12,1,5.0,0.247
2,2,5.0,0.21
1,2,13.0,0.0
6,1,21.0,0.0
12,1,27.0,0.0
4,1,14.0,0.0
9,1,16.0,0.0
11,1,14.0,0.0
9,3,4.0,0.033
5,3,18.0,0.0
4,2,17.0,0.001
8,1,10.0,0.0
7,1,21.0,0.0
6,2,25.0,0.006
4,1,16.0,0.0
10,3,14.0,0.0
12,3,17.0,0.0
