m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,0.5,5.8,3.5,95.5,6.5,0.19
1,1,1,0.5,5.5,3.5,96.5,6.5,0.17
1,1,2,0.0,5.0,3.0,95.0,7.0,0.12
1,1,3,-0.6,4.9,2.7,94.8,6.5,0.1
1,1,4,-1.0,5.5,2.5,93.5,6.5,0.1
1,1,5,-0.5,5.0,2.5,96.5,6.5,0.1
1,1,6,-0.6,5.4,2.9,94.3,6.5,0.1
1,1,7,-1.0,5.0,2.3,93.5,7.0,0.1
1,1,8,0.0,6.0,3.0,93.5,8.0,0.12
1,1,9,2.0,7.2,4.7,89.5,6.5,0.18
1,1,10,3.0,8.0,5.3,86.3,7.4,0.18
1,1,11,4.0,9.0,6.0,85.5,8.8,0.16
1,1,12,4.8,9.6,7.0,81.3,7.0,0.12
1,1,13,5.5,10.0,7.5,78.0,7.4,0.14
1,1,14,6.0,10.5,7.5,77.3,7.4,0.08
1,1,15,5.4,9.9,7.6,80.3,6.1,0.12
1,1,16,4.0,9.0,6.5,83.5,6.5,0.12
1,1,17,3.0,8.0,5.5,86.3,6.1,0.12
1,1,18,3.0,7.1,4.8,91.5,5.6,0.14
1,1,19,2.0,7.0,4.5,92.0,6.1,0.12
1,1,20,2.0,6.5,4.0,93.5,6.5,0.16
1,1,21,1.7,6.6,4.0,92.8,5.6,0.12
1,1,22,1.0,6.0,3.5,93.3,6.5,0.08
1,1,23,0.5,6.5,3.5,92.0,7.0,0.12
1,2,0,0.4,4.1,2.2,87.3,6.5,0.02
1,2,1,0.0,4.5,2.3,88.5,7.0,0.04
1,2,2,0.0,4.5,2.3,88.0,7.4,0.02
1,2,3,-0.2,4.2,1.9,87.0,7.0,0.06
1,2,4,-0.5,3.5,1.5,89.5,6.6,0.02
1,2,5,-1.0,3.5,1.3,88.5,6.5,0.1
1,2,6,-1.1,3.3,1.1,87.3,5.6,0.08
1,2,7,-1.0,3.0,1.3,86.8,6.5,0.08
1,2,8,0.0,3.5,2.0,88.8,7.0,0.08
1,2,9,2.0,5.0,3.7,81.5,7.0,0.06
1,2,10,3.0,7.0,5.3,78.8,7.9,0.06
1,2,11,4.0,7.5,6.0,72.0,8.8,0.06
1,2,12,4.9,9.1,7.2,67.8,7.4,0.06
1,2,13,5.5,9.5,8.0,65.0,8.9,0.06
1,2,14,6.5,9.5,8.3,65.3,8.3,0.1
1,2,15,5.4,9.1,7.9,64.8,6.5,0.08
1,2,16,4.5,7.5,6.3,69.8,6.1,0.08
1,2,17,3.0,6.5,4.8,77.5,5.6,0.04
1,2,18,2.0,6.3,4.0,81.5,4.1,0.04
1,2,19,1.5,5.5,3.5,81.5,5.6,0.08
1,2,20,0.5,5.0,2.8,84.3,6.1,0.1
