m,m3,coco,coco_pct
5,2,23.0,0.001
5,3,14.0,0.0
11,2,5.0,0.043
11,3,17.0,0.0
3,1,23.0,0.0
10,3,15.0,0.0
3,3,26.0,0.0
4,3,15.0,0.0
5,3,25.0,0.003
9,1,1.0,0.469
1,1,26.0,0.001
11,1,21.0,0.0
11,3,14.0,0.0
12,3,15.0,0.0
1,2,7.0,0.054
1,1,17.0,0.001
9,2,8.0,0.006
12,1,27.0,0.0
10,2,7.0,0.067
1,1,24.0,0.001
12,3,3.0,0.12
2,1,7.0,0.051
10,2,1.0,0.375
8,2,8.0,0.005
11,1,2.0,0.398
10,2,14.0,0.0
4,3,7.0,0.052
4,1,17.0,0.001
3,3,3.0,0.085
11,3,26.0,0.0
1,3,4.0,0.019
10,1,2.0,0.358
2,2,4.0,0.018
1,1,25.0,0.01
8,2,16.0,0.0
12,2,15.0,0.0
4,1,23.0,0.001
12,1,9.0,0.01
8,1,9.0,0.0
3,3,12.0,0.0
6,1,24.0,0.0
9,3,21.0,0.0
1,3,21.0,0.0
7,1,16.0,0.0
6,2,25.0,0.011
11,1,4.0,0.021
1,2,15.0,0.0
7,3,14.0,0.0
3,3,21.0,0.0
10,2,5.0,0.01
6,2,7.0,0.022
12,3,2.0,0.416
11,1,7.0,0.045
3,2,12.0,0.0
5,3,18.0,0.0
3,1,17.0,0.001
8,3,17.0,0.001
1,3,17.0,0.002
1,3,12.0,0.0
8,2,24.0,0.0
6,1,14.0,0.0
3,2,5.0,0.005
11,2,26.0,0.001
8,2,25.0,0.006
12,2,7.0,0.075
5,3,21.0,0.0
9,3,26.0,0.0
12,2,20.0,0.0
9,1,17.0,0.0
2,3,18.0,0.001
4,2,18.0,0.0
8,3,8.0,0.001
5,1,8.0,0.029
7,1,14.0,0.0
7,2,27.0,0.0
1,1,8.0,0.021
1,1,3.0,0.175
12,2,12.0,0.0
12,1,24.0,0.0
3,2,15.0,0.0
3,2,2.0,0.316
10,2,9.0,0.008
11,2,8.0,0.035
9,3,18.0,0.0
6,1,26.0,0.0
3,2,25.0,0.003
9,2,24.0,0.0
7,1,4.0,0.003
7,2,9.0,0.0
9,3,23.0,0.001
10,3,14.0,0.0
4,1,14.0,0.0
12,2,5.0,0.03
12,3,9.0,0.001
8,1,12.0,0.0
2,1,20.0,0.0
5,1,12.0,0.0
12,3,7.0,0.038
3,3,7.0,0.082
11,1,12.0,0.0
1,2,26.0,0.0
1,3,7.0,0.066
2,1,23.0,0.0
