m,coco,coco_pct
12,14.0,0.007
5,12.0,0.0
12,1.0,0.266
4,7.0,0.074
5,18.0,0.007
3,13.0,0.0
6,7.0,0.075
4,16.0,0.0
8,18.0,0.011
6,5.0,0.0
5,1.0,0.058
10,7.0,0.079
1,27.0,0.0
7,15.0,0.0
1,15.0,0.0
7,7.0,0.03
2,12.0,0.002
5,2.0,0.375
3,14.0,0.0
6,1.0,0.093
9,13.0,0.0
5,7.0,0.132
3,3.0,0.157
5,25.0,0.012
7,14.0,0.0
9,16.0,0.0
12,16.0,0.0
4,8.0,0.044
1,25.0,0.0
6,2.0,0.423
10,17.0,0.001
10,9.0,0.091
5,9.0,0.042
7,13.0,0.0
1,16.0,0.0
7,1.0,0.125
12,3.0,0.157
3,9.0,0.03
7,27.0,0.002
4,10.0,0.0
8,8.0,0.02
3,2.0,0.351
9,9.0,0.029
11,10.0,0.0
5,3.0,0.222
7,12.0,0.0
5,17.0,0.003
12,15.0,0.0
6,27.0,0.001
2,18.0,0.0
10,18.0,0.001
6,13.0,0.0
2,8.0,0.02
3,17.0,0.0
4,1.0,0.187
7,25.0,0.033
11,18.0,0.0
12,4.0,0.168
2,14.0,0.005
5,13.0,0.0
7,3.0,0.176
9,18.0,0.006
8,10.0,0.0
1,13.0,0.001
7,9.0,0.016
10,25.0,0.006
2,3.0,0.119
6,17.0,0.005
12,2.0,0.274
10,4.0,0.102
2,1.0,0.326
9,10.0,0.0
5,4.0,0.101
8,1.0,0.127
3,8.0,0.03
8,13.0,0.0
3,27.0,0.0
12,17.0,0.0
11,2.0,0.271
12,8.0,0.021
9,8.0,0.029
7,17.0,0.002
5,16.0,0.0
8,7.0,0.033
1,3.0,0.128
1,1.0,0.345
2,5.0,0.001
1,14.0,0.004
9,3.0,0.197
7,4.0,0.031
1,9.0,0.01
9,12.0,0.0
4,14.0,0.0
10,14.0,0.0
8,4.0,0.026
1,10.0,0.0
2,17.0,0.0
10,3.0,0.156
10,12.0,0.0
8,5.0,0.002
10,5.0,0.001
2,16.0,0.0
9,5.0,0.001
1,17.0,0.0
2,15.0,0.003
1,8.0,0.017
6,10.0,0.0
3,10.0,0.0
11,25.0,0.0
4,5.0,0.0
2,2.0,0.293
10,10.0,0.0
11,13.0,0.001
10,13.0,0.0
12,9.0,0.021
4,18.0,0.001
3,5.0,0.0
12,12.0,0.005
10,2.0,0.343
5,10.0,0.0
11,16.0,0.0
10,27.0,0.0
3,4.0,0.109
8,27.0,0.003
8,2.0,0.532
3,12.0,0.0
8,3.0,0.189
1,18.0,0.0
6,12.0,0.0
6,25.0,0.049
7,10.0,0.0
4,27.0,0.001
5,8.0,0.045
3,16.0,0.0
8,9.0,0.017
4,4.0,0.101
11,7.0,0.127
11,9.0,0.037
11,12.0,0.001
9,7.0,0.066
5,5.0,0.0
2,10.0,0.0
1,12.0,0.003
2,9.0,0.015
12,13.0,0.002
4,17.0,0.001
2,27.0,0.0
10,16.0,0.0
9,1.0,0.148
5,27.0,0.003
6,8.0,0.025
1,5.0,0.001
3,25.0,0.0
1,7.0,0.059
5,14.0,0.0
7,16.0,0.0
10,1.0,0.172
4,13.0,0.0
7,8.0,0.017
12,5.0,0.001
6,14.0,0.0
4,15.0,0.0
12,18.0,0.0
11,5.0,0.0
9,4.0,0.072
8,25.0,0.036
4,25.0,0.006
8,16.0,0.0
5,15.0,0.0
6,3.0,0.225
2,7.0,0.066
11,14.0,0.0
12,25.0,0.0
9,2.0,0.439
6,4.0,0.051
3,1.0,0.26
2,13.0,0.001
3,7.0,0.061
7,5.0,0.001
6,15.0,0.0
11,17.0,0.0
11,27.0,0.0
9,27.0,0.001
8,17.0,0.003
6,9.0,0.027
6,18.0,0.025
6,16.0,0.0
11,1.0,0.241
12,7.0,0.079
3,18.0,0.0
11,8.0,0.043
9,17.0,0.001
10,15.0,0.0
1,2.0,0.292
10,8.0,0.049
4,2.0,0.37
2,4.0,0.149
7,18.0,0.009
4,9.0,0.032
8,14.0,0.0
9,25.0,0.013
8,12.0,0.0
12,10.0,0.0
1,4.0,0.139
11,4.0,0.127
4,12.0,0.0
9,14.0,0.0
9,15.0,0.0
11,15.0,0.0
11,3.0,0.152
2,25.0,0.0
7,2.0,0.557
3,15.0,0.0
12,27.0,0.0
4,3.0,0.183
8,15.0,0.0
