m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,2.5,6.4,4.7,69.3,3.3,
1,1,1,2.3,6.5,4.8,69.3,3.4,
1,1,2,2.1,6.6,4.7,69.5,3.4,
1,1,3,1.9,6.6,4.6,69.0,3.3,
1,1,4,2.2,7.0,4.6,70.3,3.3,
1,1,5,2.0,6.8,4.5,69.0,3.3,
1,1,6,1.9,6.8,4.5,65.8,2.8,
1,1,7,2.3,6.9,4.6,66.0,2.8,
1,1,8,2.3,7.4,4.9,66.5,2.8,
1,1,9,2.5,8.1,5.4,68.8,3.3,
1,1,10,3.4,8.9,6.1,66.3,3.7,
1,1,11,3.8,9.3,6.8,64.0,4.6,
1,1,12,4.3,10.2,7.2,61.8,4.6,
1,1,13,4.7,10.3,7.5,61.8,5.6,
1,1,14,4.4,10.1,7.5,61.3,5.1,
1,1,15,4.3,9.2,7.1,61.3,4.6,
1,1,16,3.9,8.8,6.5,60.3,4.2,
1,1,17,3.6,8.3,6.2,61.3,4.2,
1,1,18,3.2,7.4,5.9,61.5,4.6,
1,1,19,3.0,7.2,5.7,61.8,4.2,
1,1,20,2.8,7.0,5.4,62.8,4.2,
1,1,21,3.0,6.9,5.2,63.3,3.7,
1,1,22,3.1,6.4,4.8,65.5,4.2,
1,1,23,3.0,6.4,4.8,65.8,3.7,
1,2,0,1.7,5.1,3.6,56.8,3.7,
1,2,1,1.5,4.9,3.4,57.5,3.7,
1,2,2,1.3,4.7,3.2,58.3,3.7,
1,2,3,1.2,4.4,3.1,58.0,3.7,
1,2,4,0.6,4.7,2.8,60.5,3.3,
1,2,5,0.5,4.8,2.8,59.3,3.3,
1,2,6,0.6,4.9,2.8,60.5,2.8,
1,2,7,0.8,5.0,2.9,61.0,2.8,
1,2,8,1.4,5.1,3.4,61.5,2.8,
1,2,9,2.0,5.4,4.0,61.3,2.8,
1,2,10,3.0,7.4,5.2,58.0,4.6,
1,2,11,4.1,8.1,6.1,53.0,5.1,
1,2,12,4.9,9.0,7.0,50.5,5.6,
1,2,13,5.2,9.2,7.2,48.8,5.6,
1,2,14,5.3,9.1,7.2,48.5,5.6,
1,2,15,4.8,8.4,6.6,49.0,4.6,
1,2,16,4.6,7.3,5.9,50.5,4.6,
1,2,17,4.0,6.8,5.3,50.8,3.7,
1,2,18,3.6,6.8,4.8,52.5,3.7,
1,2,19,3.2,6.5,4.8,53.3,3.7,
1,2,20,2.8,5.9,4.6,54.5,3.7,
1,2,21,2.6,5.8,4.3,55.5,3.7,
1,2,22,1.9,5.5,3.9,56.0,3.3,
1,2,23,1.6,5.4,3.6,56.5,3.3,
1,3,0,2.3,5.3,3.6,59.5,3.7,
1,3,1,2.0,5.2,3.5,58.0,3.7,
1,3,2,1.8,4.9,3.2,59.0,3.7,
1,3,3,1.5,5.1,3.1,60.5,3.7,
1,3,4,1.4,4.6,3.2,60.0,3.7,
1,3,5,1.2,4.7,3.0,59.0,2.8,
1,3,6,1.3,4.8,3.0,60.5,2.8,
1,3,7,1.4,4.9,3.2,60.0,3.7,
1,3,8,2.0,5.3,3.8,59.0,2.8,
1,3,9,2.9,5.8,4.3,60.5,3.7,
1,3,10,4.2,6.5,5.3,59.5,3.7,
1,3,11,5.1,7.6,6.5,56.0,5.6,
1,3,12,5.6,8.5,7.3,53.0,5.6,
1,3,13,6.0,8.7,7.8,51.5,5.6,
1,3,14,6.2,8.7,8.0,47.5,5.6,
1,3,15,5.7,8.2,7.4,51.5,4.6,
1,3,16,5.3,8.1,7.0,48.5,4.6,
1,3,17,5.0,7.8,6.5,54.5,4.6,
1,3,18,4.4,7.5,6.0,55.0,4.6,
1,3,19,4.1,7.1,5.5,53.0,3.7,
1,3,20,3.6,6.2,5.1,54.5,3.7,
1,3,21,3.4,6.0,4.8,56.5,3.7,
1,3,22,3.1,5.7,4.2,56.0,2.8,
1,3,23,2.6,5.5,3.9,57.0,3.7,
2,1,0,3.2,7.0,5.1,65.0,3.7,
2,1,1,4.2,6.9,5.5,62.5,3.7,
2,1,2,4.1,6.7,5.4,63.8,3.7,
2,1,3,2.5,6.7,4.6,67.8,2.8,
2,1,4,3.7,6.2,4.9,64.5,3.7,
2,1,5,3.4,6.2,4.9,63.8,3.7,
2,1,6,2.5,6.3,4.4,64.8,4.2,
2,1,7,3.5,6.5,5.1,64.8,3.7,
2,1,8,3.8,7.1,5.3,63.8,3.7,
2,1,9,4.1,7.6,5.6,63.8,3.7,
2,1,10,5.1,9.6,7.3,56.3,4.6,
2,1,11,6.0,10.6,7.9,53.3,5.1,
2,1,12,5.8,11.2,8.2,58.5,5.6,
2,1,13,6.8,11.9,8.6,47.0,6.1,
2,1,14,7.1,11.9,8.8,46.3,6.5,
2,1,15,6.4,11.5,8.4,57.3,5.6,
2,1,16,7.0,10.8,8.3,49.8,5.1,
2,1,17,6.9,10.2,8.2,52.3,5.1,
2,1,18,4.8,9.4,7.1,59.5,4.6,
2,1,19,6.1,8.8,7.2,56.3,3.7,
2,1,20,5.6,8.3,6.6,58.0,3.7,
2,1,21,3.6,7.8,5.7,63.3,3.7,
2,1,22,5.0,7.4,6.1,60.3,3.7,
2,1,23,4.7,7.1,5.8,61.3,3.7,
2,2,0,2.9,7.8,5.5,57.3,3.3,
2,2,1,4.4,7.6,5.9,55.5,2.8,
2,2,2,4.2,7.2,5.7,56.5,2.8,
2,2,3,2.2,6.8,4.9,59.0,2.8,
2,2,4,3.6,6.5,5.1,57.3,2.8,
2,2,5,3.3,6.3,4.9,57.5,2.8,
2,2,6,2.3,6.5,4.5,60.0,2.8,
2,2,7,3.9,6.8,5.3,58.3,2.8,
2,2,8,4.5,7.7,5.9,58.8,2.8,
2,2,9,4.0,8.6,6.5,56.3,3.7,
2,2,10,6.4,9.9,8.3,54.8,4.6,
2,2,11,7.2,11.1,9.5,50.0,5.6,
2,2,12,7.3,12.1,9.9,47.0,6.5,
2,2,13,8.6,12.6,11.1,42.3,6.5,
2,2,14,8.8,12.7,11.1,41.0,6.5,
2,2,15,7.9,12.5,10.2,43.3,6.1,
2,2,16,8.6,12.3,10.6,42.5,5.6,
2,2,17,8.0,11.9,9.9,44.8,5.1,
2,2,18,6.7,11.1,9.0,47.8,4.7,
2,2,19,7.0,10.6,9.0,49.5,3.7,
2,2,20,6.6,10.0,8.4,50.8,3.3,
2,2,21,5.5,9.3,7.5,52.5,3.7,
2,2,22,5.5,8.8,7.2,51.5,2.8,
2,2,23,5.2,8.5,6.9,53.5,2.8,
2,3,0,4.9,9.2,7.0,58.5,3.7,
2,3,1,5.8,9.0,6.9,61.0,2.8,
2,3,2,5.5,8.8,6.7,61.0,2.8,
2,3,3,4.2,8.5,6.2,62.5,3.7,
2,3,4,4.9,8.3,6.3,61.5,2.8,
2,3,5,4.8,8.4,6.2,62.0,2.8,
2,3,6,3.7,8.2,5.9,64.0,2.8,
2,3,7,5.2,8.4,6.5,65.5,2.8,
2,3,8,6.1,8.8,7.2,63.0,3.7,
2,3,9,4.6,9.4,7.7,60.0,4.6,
2,3,10,8.3,10.8,9.9,53.0,4.6,
2,3,11,9.2,12.3,10.7,49.5,6.5,
2,3,12,6.1,13.5,10.6,46.0,6.5,
2,3,13,10.4,14.4,11.8,46.0,6.5,
2,3,14,10.8,14.8,12.2,44.5,6.5,
2,3,15,7.0,14.8,10.8,44.5,6.5,
2,3,16,10.0,14.2,12.1,45.5,6.5,
2,3,17,9.3,13.2,11.1,47.5,4.6,
2,3,18,6.0,12.4,9.3,50.5,5.6,
2,3,19,8.0,11.8,9.7,51.5,4.6,
2,3,20,7.1,11.0,8.9,54.0,4.6,
2,3,21,5.4,10.7,8.1,56.0,4.6,
2,3,22,6.0,10.1,7.7,61.5,3.7,
2,3,23,5.7,9.8,7.4,62.5,3.7,
3,1,0,4.0,7.9,6.0,64.3,3.7,
3,1,1,4.9,7.4,6.3,61.0,3.7,
3,1,2,4.5,7.0,5.9,60.0,3.3,
3,1,3,3.9,6.6,5.2,68.0,2.8,
3,1,4,4.3,6.7,5.6,62.5,2.8,
3,1,5,4.3,6.5,5.4,63.0,2.8,
3,1,6,3.7,6.4,5.0,70.0,3.3,
3,1,7,4.3,6.7,5.4,64.0,2.8,
3,1,8,4.9,7.5,6.1,63.5,3.7,
3,1,9,5.3,8.5,6.7,66.0,4.6,
3,1,10,6.4,9.8,8.1,60.0,5.6,
3,1,11,7.3,11.1,9.3,56.5,6.1,
3,1,12,7.2,12.6,9.6,57.3,6.5,
3,1,13,8.1,13.3,10.6,50.8,7.4,
3,1,14,8.4,13.6,11.0,49.3,7.4,
3,1,15,7.4,13.5,10.5,52.5,6.5,
3,1,16,8.1,13.6,11.0,49.0,6.5,
3,1,17,7.6,12.7,10.4,50.8,6.1,
3,1,18,6.7,11.7,9.1,61.5,5.6,
3,1,19,6.9,11.0,9.0,56.5,5.1,
3,1,20,6.7,10.2,8.4,58.8,4.6,
3,1,21,5.9,9.4,7.6,66.3,4.6,
3,1,22,6.1,8.9,7.6,58.0,4.6,
3,1,23,5.9,8.4,7.1,59.5,4.2,
3,2,0,6.2,10.8,8.3,61.3,4.2,
3,2,1,5.9,10.5,8.1,56.8,4.2,
3,2,2,5.5,10.1,7.9,56.5,3.7,
3,2,3,5.0,9.8,7.3,62.3,3.7,
3,2,4,5.0,9.6,7.1,59.0,4.2,
3,2,5,4.8,9.4,6.8,60.5,3.7,
3,2,6,4.8,8.9,6.9,63.3,3.7,
3,2,7,5.6,9.6,7.6,58.0,3.7,
3,2,8,6.4,10.1,8.5,56.3,4.6,
3,2,9,6.8,11.2,9.2,55.8,5.6,
3,2,10,9.2,13.0,11.1,48.3,6.5,
3,2,11,10.1,13.8,12.0,46.5,7.4,
3,2,12,10.2,14.7,12.3,46.0,8.3,
3,2,13,11.5,15.3,13.4,43.0,8.4,
3,2,14,11.6,15.6,13.7,41.8,8.4,
3,2,15,10.3,15.9,12.8,42.5,8.4,
3,2,16,11.1,16.2,13.7,38.5,8.4,
3,2,17,10.5,15.6,13.0,41.0,7.4,
3,2,18,8.4,14.8,11.4,46.0,6.5,
3,2,19,8.9,14.2,11.4,44.8,6.5,
3,2,20,8.4,13.6,10.8,48.3,6.5,
3,2,21,6.9,13.0,9.6,54.8,5.2,
3,2,22,7.4,12.2,9.7,51.3,4.6,
3,2,23,7.0,11.5,9.2,53.0,4.6,
3,3,0,6.5,11.2,8.8,50.5,3.7,
3,3,1,7.4,10.6,9.0,50.5,3.7,
3,3,2,7.0,10.1,8.7,53.0,3.7,
3,3,3,5.7,9.7,7.8,54.5,2.8,
3,3,4,5.9,9.8,8.0,56.0,3.7,
3,3,5,6.0,9.7,8.0,56.5,2.8,
3,3,6,5.6,9.7,7.6,56.0,3.7,
3,3,7,6.9,10.4,8.6,55.5,3.7,
3,3,8,7.9,11.2,9.5,53.0,4.6,
3,3,9,7.8,12.7,10.3,49.5,5.6,
3,3,10,10.8,14.2,12.1,42.5,6.5,
3,3,11,11.2,15.8,13.2,38.5,7.4,
3,3,12,9.8,17.2,13.1,38.0,8.4,
3,3,13,12.7,18.1,15.1,35.5,9.3,
3,3,14,13.3,18.3,15.4,35.0,9.3,
3,3,15,10.1,18.4,14.1,34.5,9.3,
3,3,16,12.6,18.0,15.1,32.5,9.3,
3,3,17,12.0,17.2,14.5,34.5,8.4,
3,3,18,8.9,15.7,12.4,37.5,7.5,
3,3,19,10.2,15.0,12.9,40.5,6.5,
3,3,20,9.9,14.4,12.3,43.5,6.5,
3,3,21,8.2,13.3,10.8,46.5,4.7,
3,3,22,8.5,12.6,10.8,44.5,4.6,
3,3,23,8.3,11.9,10.4,46.0,3.7,
4,1,0,7.4,11.7,9.5,56.0,4.2,
4,1,1,7.2,10.9,9.1,56.3,3.7,
4,1,2,6.8,10.4,8.6,57.8,3.7,
4,1,3,6.4,10.2,8.5,61.3,3.3,
4,1,4,6.2,9.7,8.2,60.8,2.8,
4,1,5,6.5,9.6,8.3,61.0,2.8,
4,1,6,6.8,10.1,8.6,60.8,3.3,
4,1,7,7.5,11.3,9.4,59.5,3.7,
4,1,8,8.1,12.6,10.3,56.8,4.6,
4,1,9,9.2,13.9,11.1,53.3,5.6,
4,1,10,10.8,15.2,12.6,46.8,7.0,
4,1,11,11.7,16.6,13.7,43.3,8.4,
4,1,12,11.6,18.0,14.8,41.8,8.4,
4,1,13,12.2,18.7,15.4,38.3,9.8,
4,1,14,12.2,18.8,15.3,37.8,10.2,
4,1,15,12.0,18.4,15.3,39.0,9.3,
4,1,16,11.4,18.8,14.3,39.3,9.3,
4,1,17,11.0,17.5,13.7,40.5,8.4,
4,1,18,10.1,16.5,13.1,43.5,7.9,
4,1,19,9.7,15.4,12.6,45.0,7.4,
4,1,20,9.5,14.4,12.2,47.3,6.5,
4,1,21,8.9,13.7,11.2,49.5,5.6,
4,1,22,8.6,12.7,10.8,52.5,5.1,
4,1,23,8.2,12.0,10.2,54.5,4.2,
4,2,0,8.6,14.4,11.2,54.5,4.2,
4,2,1,8.7,13.0,10.6,55.0,4.2,
4,2,2,8.3,12.6,10.1,57.3,3.7,
4,2,3,7.8,13.0,10.1,60.0,3.7,
