m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,-0.1,4.9,2.4,88.0,5.8,0.13
1,1,-0.5,4.7,2.1,88.0,5.9,0.13
1,2,-0.9,4.5,2.0,88.0,6.3,0.13
1,3,-0.7,3.4,1.2,87.5,6.3,0.11
1,4,-0.9,3.5,1.0,87.5,5.6,0.11
1,5,-1.1,3.9,1.3,87.0,6.5,0.1
1,6,-1.1,3.5,1.9,85.0,6.7,0.11
1,7,-0.8,3.9,1.5,84.5,6.5,0.1
1,8,0.8,4.3,2.7,82.5,6.9,0.1
1,9,2.8,6.2,4.5,79.0,6.3,0.12
1,10,4.8,7.4,6.3,75.5,5.8,0.12
1,11,6.0,8.5,7.3,73.5,6.5,0.13
1,12,6.5,9.6,8.2,70.5,6.5,0.14
1,13,6.8,10.1,8.6,69.0,6.5,0.12
1,14,7.0,10.1,8.6,72.5,6.5,0.1
1,15,6.3,9.3,8.0,72.5,5.6,0.12
1,16,4.2,7.6,6.0,77.0,6.5,0.1
1,17,3.1,6.8,4.8,82.5,6.5,0.09
1,18,2.1,6.4,4.1,86.0,6.3,0.1
1,19,1.5,5.8,3.6,87.5,6.5,0.1
1,20,1.0,5.4,3.2,88.5,6.5,0.12
1,21,0.2,4.7,2.8,88.0,6.1,0.12
1,22,0.3,4.8,2.6,89.5,6.3,0.12
1,23,0.1,4.5,2.5,89.0,5.8,0.12
2,0,3.0,6.4,4.3,90.5,6.1,0.11
2,1,3.0,6.3,4.2,90.5,6.3,0.1
2,2,2.4,6.1,4.2,90.0,6.2,0.1
2,3,2.3,5.6,3.9,90.5,6.1,0.11
2,4,1.5,5.5,3.6,90.0,6.2,0.11
2,5,1.8,5.4,3.8,89.0,6.0,0.12
2,6,0.9,5.6,3.6,89.5,6.3,0.14
2,7,2.0,5.9,4.1,88.5,6.5,0.12
2,8,4.0,6.8,5.5,84.5,6.7,0.1
2,9,6.1,8.6,7.1,80.5,6.0,0.09
2,10,7.9,10.1,9.3,71.5,6.2,0.08
2,11,9.3,11.6,10.5,70.0,6.9,0.08
2,12,10.0,12.3,11.4,67.0,7.0,0.09
2,13,10.5,12.8,11.3,65.5,7.2,0.11
2,14,10.7,12.7,11.4,65.5,7.9,0.11
2,15,10.2,12.0,10.9,66.0,7.6,0.09
2,16,7.9,10.5,9.1,75.5,7.4,0.09
2,17,6.2,9.0,7.3,84.5,7.2,0.14
2,18,5.2,7.8,6.6,87.0,7.0,0.1
2,19,4.8,7.5,6.0,89.5,6.5,0.09
2,20,4.2,7.3,5.4,91.0,5.9,0.12
2,21,4.6,6.7,5.3,91.5,5.8,0.12
2,22,4.0,6.9,4.9,91.0,5.8,0.13
2,23,3.4,6.7,4.5,90.5,6.1,0.11
3,0,4.0,7.4,5.7,84.0,7.4,0.11
3,1,3.7,7.2,5.5,85.0,6.7,0.1
3,2,3.2,7.1,5.4,85.5,6.9,0.1
3,3,3.2,7.2,5.2,85.0,6.9,0.06
3,4,2.8,7.0,5.0,84.5,7.4,0.06
3,5,2.4,6.7,4.6,85.0,7.4,0.07
3,6,2.9,7.0,5.0,83.0,7.4,0.07
3,7,5.4,8.5,6.8,80.5,7.2,0.08
3,8,8.5,10.4,9.8,76.0,7.4,0.11
3,9,9.4,12.2,11.3,67.5,8.0,0.12
3,10,11.4,13.6,12.7,63.5,7.6,0.13
3,11,12.1,14.7,13.7,58.5,8.1,0.14
3,12,12.6,15.3,13.9,56.0,8.5,0.13
3,13,12.9,15.8,14.4,54.0,9.7,0.12
3,14,13.1,15.9,14.7,53.0,10.7,0.15
3,15,12.9,14.8,13.6,56.0,11.4,0.14
3,16,11.8,13.8,13.0,60.5,9.8,0.1
3,17,9.9,12.4,11.1,71.0,8.0,0.1
3,18,8.1,10.3,9.3,75.0,8.1,0.09
3,19,7.2,9.8,8.6,79.0,7.9,0.09
3,20,6.6,8.9,7.8,81.0,7.8,0.12
3,21,5.7,8.9,7.2,84.5,7.2,0.13
3,22,5.1,8.3,6.6,86.0,7.0,0.09
3,23,4.5,7.6,6.0,84.0,6.7,0.1
4,0,7.3,11.1,9.4,86.5,7.2,0.13
4,1,6.8,10.8,8.9,87.0,7.4,0.13
4,2,6.7,10.4,8.8,86.8,7.8,0.1
4,3,6.4,10.1,8.5,85.0,7.5,0.12
4,4,5.9,10.1,8.4,84.3,7.4,0.13
4,5,6.2,10.1,8.6,84.3,7.5,0.13
4,6,7.9,11.4,9.6,81.8,8.5,0.12
4,7,10.2,13.7,12.0,77.0,9.0,0.12
4,8,11.5,15.8,13.9,69.3,8.6,0.13
4,9,12.8,17.6,15.5,63.0,8.8,0.18
4,10,13.8,19.0,16.5,56.5,9.1,0.18
4,11,14.4,19.7,17.3,52.5,10.3,0.19
4,12,14.9,20.3,17.4,52.8,11.1,0.22
4,13,14.9,20.4,17.6,51.5,11.8,0.16
4,14,14.9,19.6,17.2,50.5,11.5,0.16
4,15,14.5,18.7,16.2,52.8,11.6,0.11
4,16,13.9,18.9,16.3,55.5,10.9,0.13
4,17,12.9,17.4,15.1,64.8,9.2,0.09
4,18,11.4,14.9,13.1,72.5,8.3,0.09
4,19,10.1,13.5,12.0,76.0,7.5,0.13
4,20,9.5,12.2,11.0,79.0,7.4,0.12
4,21,9.0,11.7,10.6,82.5,7.1,0.15
4,22,8.3,11.4,10.1,83.8,7.1,0.14
4,23,7.7,11.1,9.7,85.5,7.2,0.14
5,0,13.2,15.8,14.7,88.5,7.8,0.21
5,1,12.8,15.6,14.2,89.0,7.6,0.19
5,2,12.4,15.4,13.7,88.5,8.1,0.18
5,3,12.4,14.7,13.7,87.0,7.6,0.16
5,4,12.5,14.5,13.4,86.5,7.9,0.18
5,5,13.1,15.3,14.3,84.5,8.9,0.17
5,6,14.5,16.6,15.5,80.5,9.2,0.15
5,7,16.2,19.1,17.3,74.5,9.1,0.16
5,8,17.6,20.3,18.9,68.0,9.0,0.2
5,9,18.5,21.5,20.0,64.0,9.9,0.24
5,10,19.2,22.1,20.9,60.5,9.9,0.27
5,11,20.6,23.3,22.0,58.5,9.8,0.24
5,12,20.2,23.6,22.2,57.0,11.0,0.22
5,13,20.4,23.9,22.3,56.5,10.5,0.19
5,14,20.3,23.4,22.0,56.5,11.9,0.21
5,15,20.2,23.2,22.0,58.5,12.5,0.27
5,16,19.3,22.6,21.3,60.5,10.1,0.26
5,17,18.4,21.9,20.3,65.0,9.8,0.19
5,18,17.4,19.6,18.9,71.0,9.2,0.23
5,19,16.5,18.4,17.4,77.5,8.8,0.21
5,20,15.7,17.7,16.5,81.5,8.3,0.22
5,21,14.5,17.2,15.8,83.5,8.1,0.19
5,22,13.7,16.6,15.6,85.0,7.2,0.19
5,23,13.5,16.4,15.3,88.0,7.9,0.19
6,0,17.6,20.5,19.0,86.8,6.2,0.08
6,1,17.5,20.6,18.9,87.5,6.5,0.07
6,2,17.0,19.9,18.4,87.5,6.5,0.08
6,3,16.9,19.4,18.1,87.5,6.6,0.06
6,4,16.9,19.1,18.0,88.0,6.7,0.06
6,5,18.0,20.3,19.0,85.0,6.9,0.08
6,6,19.6,22.4,20.8,81.3,8.0,0.09
6,7,21.2,24.7,23.0,74.3,7.4,0.09
6,8,22.8,26.3,24.4,66.5,7.5,0.13
6,9,23.9,27.5,25.5,61.5,7.3,0.14
6,10,24.7,28.3,26.9,59.0,7.4,0.17
6,11,25.5,28.8,27.3,56.5,8.4,0.11
6,12,25.9,29.5,27.4,55.0,10.2,0.12
6,13,26.2,29.6,27.5,53.8,11.2,0.2
6,14,25.4,29.0,27.4,54.5,10.2,0.18
6,15,24.9,29.3,26.9,55.3,11.0,0.14
6,16,25.0,28.8,26.7,56.3,10.0,0.12
6,17,24.5,27.8,26.1,59.8,9.4,0.08
6,18,23.0,26.4,24.5,66.3,7.5,0.08
6,19,21.0,24.5,22.7,74.0,6.5,0.1
6,20,20.4,22.9,21.5,78.0,6.3,0.08
6,21,19.5,22.2,20.7,82.0,6.3,0.08
6,22,19.1,21.8,20.8,85.0,6.6,0.1
6,23,18.7,21.3,20.1,85.5,6.6,0.08
7,0,19.5,22.9,21.0,83.5,6.3,0.08
7,1,19.1,22.1,20.7,84.0,6.5,0.08
7,2,18.5,21.8,20.3,85.5,6.5,0.1
7,3,18.5,21.4,20.0,86.0,6.7,0.06
7,4,18.3,21.4,19.9,84.5,7.4,0.09
7,5,19.2,22.1,20.8,82.5,7.6,0.06
7,6,20.7,24.3,22.7,79.0,7.9,0.05
7,7,22.6,25.8,24.4,72.5,7.9,0.06
7,8,24.4,27.6,26.0,64.5,7.4,0.07
7,9,25.6,29.3,27.3,59.0,6.5,0.09
7,10,26.7,30.5,28.5,54.5,7.0,0.1
7,11,27.4,30.8,28.9,53.0,7.4,0.09
7,12,27.4,31.4,29.3,51.0,8.3,0.1
7,13,27.9,31.7,29.7,51.5,9.6,0.09
7,14,27.8,31.9,29.8,51.5,9.2,0.08
7,15,27.2,31.8,29.5,52.5,10.3,0.15
7,16,27.3,31.0,29.2,52.5,8.7,0.1
7,17,26.3,29.9,28.3,56.0,8.5,0.07
7,18,24.8,28.6,27.0,64.0,6.5,0.05
7,19,22.9,26.5,24.7,70.0,6.3,0.06
7,20,21.6,25.4,23.5,75.5,6.0,0.06
7,21,21.0,24.6,22.8,78.5,6.3,0.09
7,22,20.5,23.7,22.1,82.0,5.8,0.07
7,23,20.1,23.0,21.7,83.0,6.5,0.1
8,0,19.7,23.4,21.8,81.5,6.7,0.09
8,1,19.6,22.4,21.1,82.5,6.9,0.13
8,2,19.2,21.9,20.7,83.0,7.2,0.1
8,3,19.3,22.2,20.6,83.0,7.0,0.11
8,4,18.7,21.2,20.1,83.5,7.4,0.1
8,5,19.0,21.6,20.2,82.5,7.4,0.08
8,6,20.5,23.7,22.0,78.0,8.5,0.08
8,7,22.5,25.4,23.9,71.5,7.4,0.1
8,8,24.2,27.4,25.8,64.5,7.4,0.08
8,9,25.8,29.2,27.7,57.0,7.4,0.12
8,10,27.2,30.3,28.7,53.5,6.5,0.12
8,11,27.9,31.3,29.6,50.5,8.3,0.15
8,12,28.2,31.9,30.0,48.5,8.5,0.12
8,13,28.1,32.1,30.3,48.5,8.5,0.14
8,14,28.3,32.2,30.4,48.5,8.1,0.17
8,15,27.7,31.5,29.5,49.5,10.3,0.16
8,16,27.5,31.1,29.2,51.0,7.9,0.16
8,17,26.1,29.7,27.9,55.5,8.3,0.06
8,18,24.2,27.7,26.0,64.5,6.7,0.08
