m,m3,coco,coco_pct
5,1,2.0,0.058
4,2,8.0,0.044
3,2,3.0,0.527
2,1,21.0,0.0
11,2,14.0,0.0
11,3,5.0,0.01
11,1,14.0,0.0
1,3,14.0,0.0
4,3,2.0,0.1
6,1,8.0,0.048
9,2,5.0,0.012
6,2,21.0,0.0
12,3,17.0,0.0
9,3,8.0,0.067
3,2,7.0,0.019
12,2,2.0,0.073
5,1,8.0,0.071
6,2,17.0,0.029
7,1,17.0,0.032
9,1,14.0,0.0
4,1,12.0,0.0
7,1,7.0,0.011
9,1,9.0,0.041
10,1,14.0,0.0
5,2,2.0,0.138
8,3,8.0,0.04
1,1,9.0,0.075
1,1,17.0,0.0
9,1,18.0,0.001
3,3,12.0,0.0
2,2,18.0,0.0
1,3,12.0,0.003
6,3,13.0,0.0
12,2,5.0,0.108
1,1,5.0,0.133
11,2,3.0,0.542
3,1,13.0,0.0
6,1,1.0,0.113
6,3,3.0,0.418
11,3,21.0,0.0
9,1,12.0,0.0
6,3,17.0,0.024
1,1,8.0,0.043
5,2,13.0,0.0
6,1,13.0,0.0
10,2,8.0,0.043
11,2,8.0,0.015
3,2,14.0,0.0
4,2,17.0,0.021
4,1,17.0,0.008
12,1,8.0,0.067
10,2,5.0,0.043
12,1,5.0,0.031
12,2,18.0,0.001
10,3,18.0,0.004
10,1,1.0,0.214
12,2,7.0,0.021
7,2,7.0,0.001
2,3,18.0,0.002
4,2,3.0,0.529
3,1,17.0,0.04
10,3,5.0,0.117
1,3,13.0,0.0
3,1,5.0,0.029
2,1,13.0,0.0
6,2,18.0,0.01
1,3,5.0,0.127
2,1,12.0,0.0
8,2,18.0,0.006
12,1,13.0,0.0
10,1,3.0,0.483
7,1,14.0,0.0
7,2,5.0,0.0
3,3,17.0,0.019
10,2,7.0,0.026
4,2,14.0,0.0
7,2,3.0,0.243
8,2,3.0,0.356
7,3,8.0,0.006
11,3,9.0,0.044
1,2,5.0,0.018
3,3,9.0,0.061
10,2,3.0,0.508
1,1,2.0,0.056
12,2,1.0,0.241
2,3,9.0,0.09
3,2,9.0,0.025
8,3,3.0,0.342
12,1,3.0,0.471
3,2,8.0,0.029
6,2,12.0,0.0
7,2,18.0,0.006
9,1,1.0,0.41
4,2,2.0,0.113
6,2,13.0,0.0
3,2,18.0,0.0
1,2,2.0,0.051
3,1,21.0,0.0
2,3,2.0,0.072
9,2,3.0,0.515
6,3,9.0,0.021
8,1,1.0,0.401
5,1,7.0,0.05
2,1,3.0,0.448
9,3,2.0,0.108
2,2,14.0,0.0
6,2,9.0,0.035
10,3,12.0,0.0
7,1,18.0,0.015
2,3,7.0,0.035
5,1,21.0,0.0
9,3,17.0,0.032
5,3,14.0,0.0
9,3,9.0,0.087
5,2,18.0,0.004
8,3,18.0,0.009
8,1,21.0,0.0
3,1,18.0,0.01
10,1,17.0,0.01
6,2,8.0,0.018
10,2,14.0,0.0
8,1,12.0,0.0
6,1,7.0,0.04
2,3,14.0,0.0
11,1,3.0,0.397
6,1,12.0,0.0
10,3,7.0,0.019
2,2,7.0,0.023
11,3,8.0,0.05
6,3,12.0,0.0
7,1,5.0,0.0
12,3,8.0,0.025
9,1,5.0,0.002
8,2,2.0,0.144
3,2,17.0,0.0
7,3,21.0,0.0
5,1,5.0,0.0
5,3,17.0,0.055
4,3,3.0,0.56
10,1,12.0,0.0
8,3,2.0,0.167
9,2,1.0,0.185
3,1,1.0,0.063
11,2,7.0,0.015
4,3,1.0,0.198
11,2,12.0,0.0
11,2,9.0,0.001
4,1,7.0,0.029
2,3,12.0,0.0
7,1,12.0,0.0
5,1,12.0,0.0
9,2,14.0,0.0
6,3,18.0,0.017
8,1,13.0,0.0
11,2,1.0,0.276
7,2,14.0,0.0
10,3,21.0,0.0
8,3,7.0,0.024
9,3,21.0,0.0
6,2,2.0,0.155
8,2,17.0,0.028
6,1,3.0,0.492
5,2,7.0,0.052
7,3,12.0,0.0
11,3,7.0,0.026
3,1,9.0,0.088
7,1,8.0,0.025
7,3,7.0,0.004
2,3,13.0,0.0
5,3,18.0,0.019
9,3,5.0,0.017
3,3,13.0,0.0
12,3,7.0,0.016
8,2,12.0,0.0
4,3,5.0,0.006
9,2,8.0,0.033
12,1,9.0,0.056
3,2,5.0,0.129
10,1,5.0,0.037
8,1,18.0,0.01
10,1,7.0,0.022
11,3,3.0,0.468
4,1,9.0,0.013
3,1,7.0,0.067
12,1,21.0,0.001
5,1,17.0,0.008
1,2,12.0,0.001
6,3,1.0,0.337
4,3,9.0,0.054
12,2,8.0,0.06
12,1,14.0,0.001
9,3,13.0,0.0
12,3,9.0,0.005
10,1,8.0,0.06
3,3,21.0,0.0
7,1,2.0,0.179
4,1,5.0,0.056
8,3,12.0,0.0
2,2,13.0,0.0
9,2,18.0,0.014
5,3,5.0,0.0
6,3,7.0,0.01
9,3,3.0,0.367
10,1,9.0,0.062
5,1,14.0,0.0
12,3,13.0,0.0
5,2,8.0,0.096
3,3,14.0,0.0
3,2,21.0,0.0
7,2,9.0,0.011
5,3,1.0,0.237
10,2,21.0,0.0
2,2,21.0,0.0
8,1,2.0,0.162
1,3,7.0,0.018
3,3,3.0,0.585
8,3,14.0,0.0
9,3,18.0,0.018
5,1,9.0,0.085
7,2,17.0,0.021
4,2,9.0,0.054
3,3,7.0,0.028
4,2,12.0,0.0
1,3,9.0,0.003
6,1,21.0,0.0
6,3,2.0,0.157
5,3,9.0,0.047
8,2,21.0,0.0
10,3,8.0,0.054
1,3,1.0,0.276
9,1,3.0,0.34
10,3,14.0,0.0
9,1,2.0,0.137
1,3,21.0,0.0
11,3,13.0,0.0
5,1,13.0,0.0
11,3,1.0,0.296
8,3,9.0,0.042
2,1,17.0,0.0
10,2,9.0,0.05
10,2,2.0,0.111
2,3,8.0,0.067
4,1,1.0,0.29
8,1,9.0,0.028
10,2,13.0,0.0
12,1,18.0,0.004
7,3,13.0,0.0
12,2,3.0,0.455
12,1,17.0,0.008
3,3,5.0,0.032
4,1,2.0,0.096
1,3,3.0,0.432
11,2,17.0,0.003
7,2,21.0,0.0
12,2,12.0,0.006
1,2,9.0,0.029
5,2,21.0,0.0
1,1,1.0,0.086
5,2,1.0,0.104
9,3,14.0,0.0
11,1,17.0,0.022
11,1,21.0,0.0
7,3,1.0,0.403
9,1,8.0,0.025
1,1,3.0,0.571
10,3,13.0,0.0
9,2,21.0,0.0
