m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,1.5,5.9,10.0,0.0,5.4,0.25
1,1,2,3.1,5.4,9.1,0.6,4.4,0.6
1,1,3,2.3,6.0,9.7,0.1,5.9,0.4
1,1,4,1.7,4.4,8.9,1.6,5.5,0.4
1,1,5,1.3,6.2,9.6,4.2,5.6,1.0
1,1,6,2.8,5.9,8.4,2.1,4.9,0.8
1,1,7,2.3,4.8,8.4,3.3,5.5,0.6
1,1,8,1.9,4.9,9.1,0.0,7.1,0.2
1,1,9,2.4,5.0,9.2,6.9,7.4,0.6
1,1,10,0.5,4.1,7.7,0.0,10.0,0.2
1,2,11,-1.0,2.8,8.2,0.0,9.8,0.0
1,2,12,-1.8,2.1,8.4,0.0,6.6,0.2
1,2,13,-2.2,2.1,8.6,0.0,4.9,0.0
1,2,14,-2.0,2.4,8.9,0.0,5.9,0.0
1,2,15,-1.5,2.6,8.0,0.5,6.3,0.6
1,2,16,-1.1,3.2,9.5,0.0,8.1,0.2
1,2,17,0.3,3.1,7.1,3.5,8.8,0.4
1,2,18,1.3,4.8,8.9,0.9,6.8,0.4
1,2,19,0.5,4.0,8.3,3.4,10.7,0.6
1,2,20,-0.2,2.9,8.3,0.0,7.7,0.2
1,3,21,-1.2,3.0,8.5,0.8,6.7,0.4
1,3,22,0.6,3.6,8.3,0.3,5.7,0.6
1,3,23,1.0,4.5,9.6,2.4,8.1,0.6
1,3,24,-0.4,4.6,9.6,0.0,6.7,0.2
1,3,25,2.3,5.5,9.4,0.3,6.5,0.4
1,3,26,1.8,5.4,9.8,0.0,7.3,0.2
1,3,27,-0.2,4.0,9.1,0.0,7.8,0.2
1,3,28,-1.0,3.0,8.0,0.0,5.9,0.0
1,3,29,-2.0,2.1,8.6,0.0,5.1,0.25
1,3,30,-2.1,2.8,9.3,0.0,5.6,0.25
1,3,31,-0.1,4.1,9.7,0.1,6.4,0.5
2,1,1,-1.3,3.5,10.1,0.0,6.0,0.0
2,1,2,0.8,5.0,10.5,0.0,4.4,0.0
2,1,3,0.4,4.8,11.1,0.0,4.7,0.25
2,1,4,2.2,6.4,12.1,0.0,7.1,0.0
2,1,5,2.8,6.6,11.9,0.0,9.0,0.25
2,1,6,2.4,6.6,10.3,0.0,6.4,0.25
2,1,7,2.6,6.0,11.2,1.3,9.6,0.75
2,1,8,1.7,5.6,11.3,0.4,5.7,0.5
2,1,9,2.8,6.4,11.4,1.7,7.5,0.5
2,1,10,3.2,6.6,9.6,5.6,6.9,0.75
2,2,11,2.0,5.9,10.5,1.3,8.5,0.75
2,2,12,-0.5,5.2,12.1,0.0,9.3,0.25
2,2,13,-0.6,4.8,11.4,0.0,7.5,0.0
2,2,14,-0.6,4.8,11.2,0.0,5.2,0.25
2,2,15,1.9,6.5,11.1,0.0,6.3,0.25
2,2,16,1.3,6.4,12.4,0.0,4.6,0.0
2,2,17,3.2,6.1,9.9,0.0,3.7,0.25
2,2,18,5.8,8.6,12.8,0.0,5.6,0.25
2,2,19,5.4,8.1,12.7,0.4,5.8,0.5
2,2,20,3.6,8.2,13.8,0.0,6.7,0.25
2,3,21,3.4,7.9,13.3,0.0,6.2,0.25
2,3,22,4.1,8.0,13.6,0.0,6.9,0.25
2,3,23,4.0,7.5,12.9,0.0,5.7,0.25
2,3,24,3.5,9.0,14.0,0.4,6.0,0.5
2,3,25,5.8,8.8,13.3,1.7,7.4,0.75
2,3,26,3.8,7.6,12.4,0.2,11.9,0.5
2,3,27,3.8,8.0,11.8,0.0,17.9,0.25
2,3,28,1.6,6.9,12.4,0.1,11.2,0.5
2,3,29,5.4,10.0,16.2,0.6,10.6,1.0
3,1,1,4.1,7.8,12.4,1.3,10.0,0.5
3,1,2,4.3,8.7,13.0,0.0,9.3,0.25
3,1,3,3.9,8.6,13.2,0.3,8.0,0.5
3,1,4,2.7,7.9,13.8,0.0,9.7,0.25
3,1,5,3.5,8.2,13.2,1.3,8.1,0.75
