m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,1.2,6.3,4.1,92.3,5.1,0.25
1,1,1,0.7,6.3,3.8,93.0,5.5,0.23
1,1,2,0.1,6.3,3.6,93.5,6.1,0.25
1,1,3,0.2,6.1,3.6,92.0,5.4,0.18
1,1,4,0.5,5.9,3.5,90.5,5.0,0.2
1,1,5,0.8,6.1,3.5,91.3,4.4,0.16
1,1,6,0.8,6.0,3.5,91.8,5.6,0.18
1,1,7,0.5,5.7,3.3,92.5,4.3,0.16
1,1,8,1.4,6.1,3.8,89.8,5.4,0.16
1,1,9,3.5,7.0,5.4,87.0,6.4,0.2
1,1,10,5.7,8.6,6.6,83.8,5.3,0.2
1,1,11,6.3,9.6,8.0,79.8,6.3,0.2
1,1,12,6.9,10.0,8.6,76.8,6.5,0.18
1,1,13,7.2,10.5,8.6,75.5,6.4,0.16
1,1,14,7.1,10.2,8.6,76.5,6.1,0.16
1,1,15,6.9,9.3,7.9,83.0,5.4,0.18
1,1,16,5.0,8.1,6.5,87.0,5.1,0.18
1,1,17,3.3,7.8,5.6,87.3,5.4,0.18
1,1,18,3.0,7.2,4.9,89.5,5.6,0.18
1,1,19,2.4,6.7,4.8,91.0,5.5,0.2
1,1,20,1.7,6.8,4.4,90.5,5.9,0.22
1,1,21,1.4,6.4,4.0,89.5,5.1,0.24
1,1,22,1.2,6.3,3.8,90.5,6.3,0.22
1,1,23,0.8,6.1,4.0,91.0,5.4,0.24
1,2,0,-1.2,2.6,0.6,86.3,6.4,0.04
1,2,1,-1.2,2.7,0.6,86.8,6.9,0.08
1,2,2,-1.3,2.2,0.2,87.8,6.8,0.08
1,2,3,-0.8,1.5,0.2,85.8,6.9,0.08
1,2,4,-1.0,1.5,-0.3,84.8,6.2,0.06
1,2,5,-1.3,1.2,0.1,83.8,7.7,0.06
1,2,6,-1.2,1.1,0.3,82.5,7.3,0.06
1,2,7,-1.0,1.5,0.4,80.8,8.0,0.04
1,2,8,0.5,2.8,1.7,78.0,8.4,0.04
1,2,9,2.3,5.1,3.8,74.8,7.4,0.06
1,2,10,3.9,6.8,5.4,67.3,6.6,0.02
1,2,11,5.0,8.4,6.5,62.8,6.6,0.06
1,2,12,6.0,9.5,7.8,60.3,7.7,0.12
1,2,13,6.4,9.9,8.1,60.3,7.2,0.08
1,2,14,6.4,10.0,8.1,60.0,7.1,0.06
1,2,15,5.0,9.3,7.1,67.5,5.8,0.06
1,2,16,3.8,7.1,5.1,73.5,6.6,0.08
1,2,17,2.5,5.3,3.9,79.3,7.3,0.02
1,2,18,1.3,4.6,2.9,82.0,7.1,0.04
1,2,19,0.5,4.4,2.5,83.3,7.9,0.04
1,2,20,-0.4,3.9,1.8,83.8,8.1,0.04
1,2,21,-0.6,3.8,1.6,85.8,6.9,0.04
1,2,22,-1.0,3.3,1.0,86.3,6.7,0.04
1,2,23,-1.1,2.7,0.8,86.3,6.7,0.04
1,3,0,-1.2,5.3,2.4,91.5,5.8,0.11
1,3,1,-1.3,5.7,2.1,92.0,5.9,0.11
1,3,2,-1.5,4.8,1.7,90.5,6.3,0.07
1,3,3,-1.9,3.5,1.0,90.5,6.1,0.09
1,3,4,-2.0,3.5,0.8,90.0,6.1,0.09
1,3,5,-1.9,3.7,1.0,91.0,6.8,0.09
1,3,6,-1.4,3.5,1.0,89.5,7.4,0.11
1,3,7,-1.2,3.9,1.4,88.5,7.2,0.11
1,3,8,0.5,4.9,2.9,86.0,7.4,0.09
1,3,9,3.1,6.4,5.1,81.5,6.3,0.11
1,3,10,5.1,7.6,6.4,77.5,5.8,0.16
1,3,11,6.5,8.7,7.8,76.0,6.8,0.16
1,3,12,7.3,9.7,8.6,72.5,6.7,0.13
1,3,13,7.6,10.3,8.9,70.0,6.5,0.15
1,3,14,7.4,10.6,9.2,72.5,6.8,0.13
1,3,15,7.0,9.8,8.5,75.0,6.7,0.13
1,3,16,4.6,8.3,6.4,81.5,6.7,0.07
1,3,17,3.6,6.9,5.2,86.0,6.7,0.11
1,3,18,2.2,6.4,4.4,87.5,6.3,0.11
1,3,19,1.4,5.9,3.6,88.0,6.5,0.09
1,3,20,1.0,5.5,3.2,91.0,6.5,0.11
1,3,21,0.2,6.0,2.9,91.5,6.2,0.09
1,3,22,0.4,5.9,3.0,90.5,6.0,0.13
1,3,23,0.1,4.8,2.5,91.0,6.9,0.15
2,1,0,-0.2,6.2,3.2,87.8,6.2,0.1
2,1,1,-0.1,6.5,3.6,85.5,7.0,0.14
2,1,2,-0.8,6.4,3.4,85.5,7.0,0.16
2,1,3,-0.7,6.5,3.2,87.3,6.7,0.18
2,1,4,-0.7,6.1,3.1,85.3,6.5,0.18
2,1,5,-0.5,6.1,3.0,85.3,6.1,0.16
2,1,6,-0.5,6.2,2.9,86.5,6.0,0.2
2,1,7,-0.1,6.1,3.0,85.0,6.6,0.1
2,1,8,2.5,6.7,4.4,81.8,6.7,0.1
2,1,9,5.1,7.9,6.5,78.5,5.4,0.1
2,1,10,7.3,9.1,8.1,71.0,7.8,0.1
2,1,11,8.5,10.4,9.4,69.3,6.3,0.1
2,1,12,9.1,11.3,10.2,68.0,6.2,0.12
2,1,13,9.6,12.0,10.9,68.3,6.4,0.14
2,1,14,9.9,11.9,11.1,67.0,7.4,0.16
2,1,15,9.2,11.3,10.4,73.3,6.9,0.14
2,1,16,6.9,10.0,8.6,79.5,7.0,0.1
2,1,17,5.6,8.2,6.7,82.0,6.8,0.14
2,1,18,4.3,7.8,6.1,83.5,7.1,0.1
2,1,19,3.5,7.2,5.3,83.8,6.9,0.12
2,1,20,3.1,6.4,4.5,85.5,6.6,0.14
2,1,21,2.0,6.7,4.3,87.0,6.6,0.16
2,1,22,1.3,6.9,3.9,85.8,7.0,0.18
2,1,23,0.5,6.9,3.6,84.8,6.5,0.14
2,2,0,0.4,6.7,2.8,92.5,6.1,0.14
2,2,1,0.3,6.4,2.9,90.3,6.8,0.1
2,2,2,-0.2,6.5,2.7,90.5,7.1,0.06
2,2,3,0.0,5.8,2.7,90.8,7.2,0.1
2,2,4,-0.1,5.4,2.6,90.8,6.7,0.1
2,2,5,-0.1,5.2,2.4,90.8,6.9,0.12
2,2,6,-0.2,5.1,2.5,89.8,6.9,0.12
2,2,7,0.9,5.9,3.2,87.8,6.8,0.14
2,2,8,2.9,6.6,4.8,84.3,6.7,0.12
2,2,9,5.2,8.5,6.7,80.0,6.0,0.1
2,2,10,6.9,10.3,8.5,72.8,6.0,0.08
2,2,11,7.7,11.6,9.3,66.8,7.0,0.06
2,2,12,8.6,12.8,10.4,64.3,7.3,0.04
2,2,13,9.1,13.7,11.0,61.5,7.3,0.06
2,2,14,9.1,13.9,11.2,62.5,6.7,0.04
2,2,15,8.6,13.0,10.8,64.3,7.2,0.02
2,2,16,7.1,11.0,9.0,71.3,8.2,0.02
2,2,17,5.0,8.7,6.9,79.3,6.4,0.0
2,2,18,4.2,7.8,6.1,82.5,7.0,0.02
2,2,19,3.7,7.8,5.7,87.0,5.7,0.0
2,2,20,2.8,7.7,5.2,88.8,6.4,0.02
2,2,21,2.8,6.9,4.6,88.8,5.9,0.04
2,2,22,1.8,6.5,3.8,90.0,5.8,0.06
2,2,23,0.5,6.2,3.3,93.0,5.9,0.1
2,3,0,4.4,7.2,6.1,92.0,5.4,0.13
2,3,1,3.7,7.1,5.4,92.5,6.1,0.11
2,3,2,2.8,6.5,5.0,92.5,5.8,0.13
2,3,3,2.8,5.8,4.8,91.0,5.9,0.09
2,3,4,2.9,6.1,4.6,91.0,6.5,0.11
2,3,5,2.5,6.0,4.3,91.5,5.6,0.11
2,3,6,2.6,6.2,4.3,89.5,6.0,0.09
2,3,7,3.4,6.8,5.1,88.0,7.8,0.11
2,3,8,5.4,8.1,6.7,83.5,8.3,0.09
2,3,9,8.1,9.8,9.1,74.5,6.3,0.09
2,3,10,9.8,11.5,10.6,67.5,8.0,0.07
2,3,11,10.8,12.5,11.5,66.0,8.5,0.09
2,3,12,11.1,13.6,12.1,65.0,8.8,0.13
2,3,13,11.2,13.6,12.6,63.5,8.7,0.13
2,3,14,11.3,13.8,12.7,65.0,8.5,0.11
2,3,15,10.9,13.8,12.3,60.0,8.6,0.11
2,3,16,10.0,11.9,11.1,73.0,7.2,0.13
2,3,17,8.0,10.3,9.0,81.0,7.2,0.29
2,3,18,7.3,8.8,8.4,86.0,7.0,0.18
2,3,19,6.2,8.3,7.9,89.0,7.9,0.16
2,3,20,5.5,8.2,6.9,86.5,7.9,0.2
2,3,21,5.4,8.4,7.0,87.5,8.1,0.16
2,3,22,4.5,8.1,6.7,89.0,7.1,0.16
2,3,23,4.5,8.1,6.5,90.5,6.9,0.11
3,1,0,3.2,7.0,5.0,85.5,7.1,0.14
3,1,1,2.5,6.9,4.8,86.5,6.8,0.14
3,1,2,2.4,6.6,4.9,85.3,6.4,0.16
3,1,3,1.9,6.6,4.7,84.3,7.2,0.1
3,1,4,2.0,6.6,4.2,86.0,8.1,0.14
3,1,5,1.5,6.6,4.3,87.3,8.0,0.1
3,1,6,1.4,6.6,4.1,86.8,7.7,0.14
