m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,4.7,12.3,8.4,83.5,17.6,0.35
1,1,1,4.1,12.3,8.1,82.8,14.4,0.35
1,1,2,4.2,12.1,8.2,83.3,12.7,0.34
1,1,3,3.4,12.0,7.8,83.5,12.1,0.36
1,1,4,4.0,11.7,8.0,84.0,12.9,0.38
1,1,5,4.0,11.5,8.0,83.3,12.9,0.39
1,1,6,3.9,11.1,7.7,82.8,13.3,0.38
1,1,7,3.2,11.0,7.5,83.5,14.4,0.35
1,1,8,3.5,11.3,7.6,82.0,14.8,0.38
1,1,9,3.7,11.5,7.7,82.5,13.2,0.46
1,1,10,5.1,12.2,8.6,81.0,13.4,0.38
1,1,11,5.9,12.6,9.3,78.0,13.7,0.42
1,1,12,7.4,12.6,10.0,77.0,13.5,0.4
1,1,13,7.6,12.7,10.1,75.8,12.5,0.36
1,1,14,7.4,12.4,10.0,75.8,11.7,0.3
1,1,15,7.0,12.6,10.0,76.5,10.4,0.34
1,1,16,6.5,12.6,9.9,76.8,13.9,0.34
1,1,17,5.6,12.4,9.0,79.8,14.1,0.3
1,1,18,5.3,12.5,8.7,81.0,15.4,0.3
1,1,19,5.3,12.3,8.4,81.0,14.9,0.36
1,1,20,5.3,11.7,8.5,81.3,13.9,0.38
1,1,21,5.1,11.6,8.5,81.5,14.6,0.36
1,1,22,4.8,11.9,8.4,80.8,16.3,0.34
1,1,23,4.6,12.2,8.3,81.5,16.0,0.32
1,2,0,5.3,9.3,7.2,76.3,12.5,0.2
1,2,1,5.2,9.2,7.1,76.8,12.3,0.16
1,2,2,5.0,9.1,6.9,79.3,12.2,0.12
1,2,3,4.9,9.0,7.0,78.8,12.4,0.16
1,2,4,4.9,8.6,6.9,77.0,11.8,0.16
1,2,5,4.9,9.0,6.7,77.3,12.4,0.18
1,2,6,4.7,8.6,6.1,77.0,12.5,0.14
1,2,7,4.8,8.8,6.2,76.5,12.4,0.18
1,2,8,4.8,8.7,6.7,74.8,14.1,0.16
1,2,9,5.1,9.1,7.1,74.5,15.6,0.14
1,2,10,5.8,9.9,8.0,73.8,11.8,0.14
1,2,11,6.8,10.9,8.7,72.3,11.1,0.14
1,2,12,7.3,11.0,9.1,68.8,10.3,0.14
1,2,13,7.5,11.3,9.2,70.3,10.9,0.14
1,2,14,7.8,11.6,9.4,70.5,11.3,0.12
1,2,15,7.6,11.5,9.5,69.5,13.3,0.14
1,2,16,7.3,10.6,9.1,71.8,13.1,0.16
1,2,17,6.4,10.1,8.3,74.5,13.1,0.14
1,2,18,6.0,9.8,8.0,76.3,14.9,0.18
1,2,19,5.7,9.9,7.7,77.3,14.0,0.18
1,2,20,5.4,9.7,7.4,76.8,13.4,0.14
1,2,21,5.4,9.2,7.1,76.0,13.6,0.12
1,2,22,5.3,9.1,7.2,75.8,13.6,0.16
1,2,23,5.3,9.2,7.2,76.5,12.0,0.18
1,3,0,5.6,8.9,7.4,76.5,18.0,0.11
1,3,1,5.7,8.5,7.1,77.0,16.8,0.13
1,3,2,5.4,8.5,7.0,77.5,16.8,0.11
1,3,3,5.1,8.4,6.9,79.5,17.0,0.13
1,3,4,5.1,8.4,6.8,78.5,17.1,0.11
1,3,5,5.1,8.4,6.8,79.0,16.9,0.11
1,3,6,5.2,8.5,6.8,78.0,18.9,0.17
1,3,7,4.9,8.3,6.8,76.5,16.9,0.15
1,3,8,5.4,8.7,7.0,76.5,14.8,0.19
