m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum,country,place
1,1,4.3,6.6,9.6,5.8,4.0,0.4,24.0,italië,bardolino
1,2,2.6,5.8,9.1,5.2,3.0,0.27,11.0,italië,bardolino
1,3,2.7,5.9,9.9,5.4,3.0,0.29,10.0,italië,bardolino
2,1,4.9,8.3,11.5,4.8,3.0,0.31,20.0,italië,bardolino
2,2,5.1,8.6,13.2,3.9,2.0,0.22,3.0,italië,bardolino
2,3,6.7,9.9,14.4,5.4,3.0,0.35,14.0,italië,bardolino
3,1,6.0,9.7,15.0,5.4,5.0,0.48,28.0,italië,bardolino
3,2,7.0,11.0,15.6,5.2,3.0,0.27,1.0,italië,bardolino
3,3,7.5,12.3,16.7,5.1,3.0,0.31,5.0,italië,bardolino
4,1,8.9,12.9,18.5,5.0,4.0,0.37,8.0,italië,bardolino
4,2,10.6,15.2,19.8,6.1,3.0,0.34,16.0,italië,bardolino
4,3,13.0,16.8,20.9,5.8,5.0,0.51,23.0,italië,bardolino
5,1,14.1,17.6,21.6,6.2,5.0,0.45,22.0,italië,bardolino
5,2,15.4,18.3,21.9,6.7,7.0,0.65,37.0,italië,bardolino
5,3,17.8,21.0,24.3,6.7,6.0,0.57,15.0,italië,bardolino
6,1,19.3,23.0,26.1,5.8,6.0,0.57,34.0,italië,bardolino
6,2,21.0,24.4,28.0,6.2,3.0,0.33,7.0,italië,bardolino
6,3,22.1,26.2,30.0,7.2,3.0,0.34,22.0,italië,bardolino
7,1,21.9,25.8,29.3,8.4,4.0,0.42,14.0,italië,bardolino
7,2,22.5,26.3,29.3,6.6,3.0,0.34,13.0,italië,bardolino
7,3,23.8,26.9,30.9,6.6,5.0,0.42,14.0,italië,bardolino
8,1,23.3,26.4,29.3,7.9,5.0,0.45,19.0,italië,bardolino
8,2,23.7,26.9,29.6,6.4,3.0,0.32,11.0,italië,bardolino
8,3,22.7,25.4,28.5,7.8,5.0,0.44,20.0,italië,bardolino
9,1,21.0,24.0,26.9,7.0,3.0,0.35,16.0,italië,bardolino
9,2,20.8,23.5,26.5,6.1,4.0,0.42,9.0,italië,bardolino
9,3,17.2,20.1,23.1,6.1,5.0,0.46,33.0,italië,bardolino
10,1,15.9,18.8,22.2,5.8,4.0,0.41,17.0,italië,bardolino
10,2,14.7,17.5,21.0,6.3,3.0,0.31,20.0,italië,bardolino
10,3,14.5,17.4,20.2,5.0,5.0,0.49,26.0,italië,bardolino
11,1,12.0,14.5,17.2,6.4,4.0,0.44,35.0,italië,bardolino
11,2,7.7,10.8,15.0,6.4,4.0,0.35,9.0,italië,bardolino
11,3,6.0,8.8,12.3,5.9,4.0,0.38,12.0,italië,bardolino
12,1,4.3,6.9,10.1,5.9,6.0,0.55,39.0,italië,bardolino
12,2,4.9,7.2,10.0,5.9,3.0,0.27,7.0,italië,bardolino
12,3,5.1,7.4,10.1,5.1,3.0,0.26,4.0,italië,bardolino
1,1,7.8,10.9,14.3,15.7,4.0,0.42,16.0,italië,bari
1,2,7.2,9.8,13.2,17.6,6.0,0.64,6.0,italië,bari
1,3,6.8,9.9,13.4,17.2,6.0,0.55,8.0,italië,bari
2,1,7.8,10.6,15.1,17.2,3.0,0.34,3.0,italië,bari
2,2,7.4,10.8,14.4,14.2,3.0,0.34,5.0,italië,bari
2,3,7.7,11.6,14.9,16.6,4.0,0.44,21.0,italië,bari
3,1,8.5,12.0,15.3,14.9,6.0,0.58,21.0,italië,bari
3,2,9.1,12.2,15.5,16.6,6.0,0.56,9.0,italië,bari
3,3,9.2,12.6,15.4,17.4,4.0,0.39,6.0,italië,bari
4,1,10.6,13.8,17.8,14.2,5.0,0.48,6.0,italië,bari
4,2,12.1,14.5,17.7,14.1,6.0,0.55,16.0,italië,bari
4,3,13.8,17.2,20.7,13.0,4.0,0.4,5.0,italië,bari
5,1,15.2,17.9,21.2,13.2,4.0,0.38,9.0,italië,bari
5,2,16.7,19.4,22.3,13.0,4.0,0.38,3.0,italië,bari
5,3,17.7,20.9,23.7,13.7,3.0,0.28,1.0,italië,bari
6,1,20.0,23.1,26.2,12.6,4.0,0.4,3.0,italië,bari
6,2,21.0,23.9,26.9,14.2,2.0,0.2,1.0,italië,bari
6,3,23.3,26.4,29.2,14.2,1.0,0.08,1.0,italië,bari
7,1,23.4,26.7,29.5,13.9,2.0,0.15,0.0,italië,bari
