m,m3,coco,coco_pct,country,place
1,1,1.0,0.203,italië,bardolino
1,1,2.0,0.132,italië,bardolino
1,1,3.0,0.314,italië,bardolino
1,1,4.0,0.017,italië,bardolino
1,1,5.0,0.202,italië,bardolino
1,1,7.0,0.06,italië,bardolino
1,1,8.0,0.045,italië,bardolino
1,1,9.0,0.028,italië,bardolino
1,1,12.0,0.0,italië,bardolino
1,1,14.0,0.0,italië,bardolino
1,1,15.0,0.0,italië,bardolino
1,1,17.0,0.0,italië,bardolino
1,1,18.0,0.0,italië,bardolino
1,1,25.0,0.0,italië,bardolino
1,1,26.0,0.0,italië,bardolino
1,1,27.0,0.0,italië,bardolino
1,2,1.0,0.402,italië,bardolino
1,2,2.0,0.12,italië,bardolino
1,2,3.0,0.25,italië,bardolino
1,2,4.0,0.014,italië,bardolino
1,2,5.0,0.142,italië,bardolino
1,2,7.0,0.035,italië,bardolino
1,2,8.0,0.026,italië,bardolino
1,2,9.0,0.011,italië,bardolino
1,2,12.0,0.0,italië,bardolino
1,2,14.0,0.0,italië,bardolino
1,2,15.0,0.0,italië,bardolino
1,2,17.0,0.001,italië,bardolino
1,2,18.0,0.0,italië,bardolino
1,2,25.0,0.0,italië,bardolino
1,2,26.0,0.0,italië,bardolino
1,2,27.0,0.0,italië,bardolino
1,3,1.0,0.216,italië,bardolino
1,3,2.0,0.133,italië,bardolino
1,3,3.0,0.261,italië,bardolino
1,3,4.0,0.013,italië,bardolino
1,3,5.0,0.274,italië,bardolino
1,3,7.0,0.053,italië,bardolino
1,3,8.0,0.035,italië,bardolino
1,3,9.0,0.013,italië,bardolino
1,3,12.0,0.0,italië,bardolino
1,3,14.0,0.0,italië,bardolino
1,3,15.0,0.0,italië,bardolino
1,3,17.0,0.001,italië,bardolino
1,3,18.0,0.001,italië,bardolino
1,3,25.0,0.0,italië,bardolino
1,3,26.0,0.0,italië,bardolino
1,3,27.0,0.0,italië,bardolino
2,1,1.0,0.296,italië,bardolino
2,1,2.0,0.107,italië,bardolino
2,1,3.0,0.217,italië,bardolino
2,1,4.0,0.017,italië,bardolino
2,1,5.0,0.235,italië,bardolino
2,1,7.0,0.06,italië,bardolino
2,1,8.0,0.05,italië,bardolino
2,1,9.0,0.019,italië,bardolino
2,1,12.0,0.0,italië,bardolino
2,1,14.0,0.0,italië,bardolino
2,1,15.0,0.0,italië,bardolino
2,1,17.0,0.0,italië,bardolino
2,1,18.0,0.0,italië,bardolino
2,1,25.0,0.0,italië,bardolino
2,1,26.0,0.0,italië,bardolino
2,1,27.0,0.0,italië,bardolino
2,2,1.0,0.335,italië,bardolino
2,2,2.0,0.126,italië,bardolino
2,2,3.0,0.222,italië,bardolino
2,2,4.0,0.019,italië,bardolino
2,2,5.0,0.263,italië,bardolino
2,2,7.0,0.018,italië,bardolino
2,2,8.0,0.016,italië,bardolino
2,2,9.0,0.002,italië,bardolino
2,2,12.0,0.0,italië,bardolino
2,2,14.0,0.0,italië,bardolino
2,2,15.0,0.0,italië,bardolino
2,2,17.0,0.001,italië,bardolino
2,2,18.0,0.0,italië,bardolino
2,2,25.0,0.0,italië,bardolino
2,2,26.0,0.0,italië,bardolino
2,2,27.0,0.0,italië,bardolino
2,3,1.0,0.348,italië,bardolino
2,3,2.0,0.121,italië,bardolino
2,3,3.0,0.282,italië,bardolino
2,3,4.0,0.001,italië,bardolino
2,3,5.0,0.137,italië,bardolino
2,3,7.0,0.021,italië,bardolino
2,3,8.0,0.039,italië,bardolino
2,3,9.0,0.042,italië,bardolino
2,3,12.0,0.0,italië,bardolino
2,3,14.0,0.0,italië,bardolino
2,3,15.0,0.0,italië,bardolino
2,3,17.0,0.008,italië,bardolino
2,3,18.0,0.001,italië,bardolino
2,3,25.0,0.0,italië,bardolino
2,3,26.0,0.0,italië,bardolino
2,3,27.0,0.0,italië,bardolino
3,1,1.0,0.315,italië,bardolino
3,1,2.0,0.214,italië,bardolino
3,1,3.0,0.24,italië,bardolino
3,1,4.0,0.01,italië,bardolino
3,1,5.0,0.094,italië,bardolino
3,1,7.0,0.051,italië,bardolino
3,1,8.0,0.043,italië,bardolino
3,1,9.0,0.023,italië,bardolino
3,1,12.0,0.0,italië,bardolino
3,1,14.0,0.0,italië,bardolino
3,1,15.0,0.0,italië,bardolino
3,1,17.0,0.008,italië,bardolino
3,1,18.0,0.002,italië,bardolino
3,1,25.0,0.002,italië,bardolino
3,1,26.0,0.0,italië,bardolino
3,1,27.0,0.0,italië,bardolino
3,2,1.0,0.305,italië,bardolino
3,2,2.0,0.242,italië,bardolino
3,2,3.0,0.27,italië,bardolino
3,2,4.0,0.01,italië,bardolino
3,2,5.0,0.114,italië,bardolino
3,2,7.0,0.04,italië,bardolino
3,2,8.0,0.016,italië,bardolino
3,2,9.0,0.001,italië,bardolino
3,2,12.0,0.0,italië,bardolino
3,2,14.0,0.0,italië,bardolino
3,2,15.0,0.0,italië,bardolino
3,2,17.0,0.002,italië,bardolino
3,2,18.0,0.0,italië,bardolino
3,2,25.0,0.001,italië,bardolino
3,2,26.0,0.0,italië,bardolino
3,2,27.0,0.0,italië,bardolino
3,3,1.0,0.467,italië,bardolino
3,3,2.0,0.161,italië,bardolino
3,3,3.0,0.219,italië,bardolino
3,3,4.0,0.012,italië,bardolino
3,3,5.0,0.049,italië,bardolino
3,3,7.0,0.049,italië,bardolino
3,3,8.0,0.019,italië,bardolino
3,3,9.0,0.016,italië,bardolino
3,3,12.0,0.0,italië,bardolino
3,3,14.0,0.0,italië,bardolino
3,3,15.0,0.0,italië,bardolino
3,3,17.0,0.004,italië,bardolino
3,3,18.0,0.001,italië,bardolino
3,3,25.0,0.001,italië,bardolino
3,3,26.0,0.0,italië,bardolino
3,3,27.0,0.002,italië,bardolino
4,1,1.0,0.358,italië,bardolino
4,1,2.0,0.192,italië,bardolino
4,1,3.0,0.315,italië,bardolino
4,1,4.0,0.013,italië,bardolino
4,1,5.0,0.041,italië,bardolino
