m,coco,coco_pct
3,7.0,0.051
12,3.0,0.197
10,25.0,0.024
5,17.0,0.0
8,2.0,0.31
12,18.0,0.0
12,15.0,0.0
1,7.0,0.074
3,9.0,0.015
11,12.0,0.0
12,5.0,0.002
8,7.0,0.017
5,7.0,0.089
9,14.0,0.0
2,8.0,0.029
1,18.0,0.001
9,4.0,0.024
4,26.0,0.0
10,7.0,0.099
1,2.0,0.179
11,26.0,0.0
7,14.0,0.0
2,2.0,0.143
6,7.0,0.031
8,12.0,0.0
10,8.0,0.036
5,9.0,0.004
1,23.0,0.0
1,25.0,0.002
6,25.0,0.012
11,25.0,0.012
4,7.0,0.072
10,26.0,0.001
12,2.0,0.146
6,1.0,0.37
8,17.0,0.0
5,12.0,0.0
6,17.0,0.0
1,17.0,0.0
9,15.0,0.0
1,5.0,0.002
4,9.0,0.009
6,5.0,0.002
2,26.0,0.0
7,8.0,0.003
6,2.0,0.329
9,25.0,0.029
1,27.0,0.0
10,17.0,0.002
11,5.0,0.002
3,18.0,0.0
3,14.0,0.0
6,23.0,0.0
7,1.0,0.473
11,13.0,0.0
3,8.0,0.021
1,12.0,0.0
10,9.0,0.021
8,26.0,0.0
8,9.0,0.002
12,13.0,0.0
5,4.0,0.091
10,18.0,0.002
7,13.0,0.0
11,3.0,0.17
9,27.0,0.0
3,26.0,0.0
5,14.0,0.0
8,8.0,0.004
7,15.0,0.0
3,12.0,0.0
8,25.0,0.023
2,25.0,0.001
6,12.0,0.0
8,14.0,0.0
7,12.0,0.0
6,9.0,0.0
10,3.0,0.186
11,14.0,0.0
11,9.0,0.023
12,9.0,0.018
7,7.0,0.011
1,4.0,0.129
4,3.0,0.189
3,5.0,0.006
9,8.0,0.013
4,18.0,0.001
11,18.0,0.001
6,13.0,0.0
12,7.0,0.099
3,17.0,0.0
8,5.0,0.0
2,13.0,0.0
12,1.0,0.348
2,5.0,0.007
2,15.0,0.0
5,13.0,0.0
6,3.0,0.196
11,23.0,0.0
7,26.0,0.0
9,12.0,0.0
5,23.0,0.0
2,9.0,0.032
8,13.0,0.0
12,27.0,0.0
5,1.0,0.248
8,1.0,0.535
6,14.0,0.0
8,23.0,0.002
7,17.0,0.0
10,15.0,0.0
2,14.0,0.0
5,3.0,0.199
11,17.0,0.001
10,12.0,0.0
9,9.0,0.005
5,18.0,0.002
11,27.0,0.0
8,18.0,0.006
3,2.0,0.19
12,26.0,0.0
1,15.0,0.001
7,23.0,0.001
1,13.0,0.0
4,14.0,0.0
2,1.0,0.37
7,27.0,0.0
9,7.0,0.045
10,14.0,0.0
7,25.0,0.01
12,14.0,0.0
6,8.0,0.013
4,8.0,0.023
5,15.0,0.0
6,4.0,0.043
7,2.0,0.351
2,12.0,0.0
6,15.0,0.0
4,27.0,0.0
2,18.0,0.0
9,1.0,0.449
4,17.0,0.0
7,18.0,0.005
9,18.0,0.007
3,25.0,0.005
9,3.0,0.145
1,3.0,0.192
6,18.0,0.002
9,2.0,0.279
9,23.0,0.002
5,26.0,0.0
10,23.0,0.0
1,8.0,0.03
3,13.0,0.0
3,15.0,0.0
2,27.0,0.0
5,27.0,0.0
10,13.0,0.0
3,3.0,0.178
8,27.0,0.001
1,26.0,0.0
12,23.0,0.0
11,2.0,0.201
10,5.0,0.003
4,13.0,0.0
3,27.0,0.0
9,26.0,0.0
10,27.0,0.001
11,7.0,0.095
3,1.0,0.434
5,25.0,0.01
5,8.0,0.027
10,2.0,0.2
6,27.0,0.0
7,5.0,0.0
4,15.0,0.0
12,12.0,0.0
1,9.0,0.022
4,12.0,0.0
4,5.0,0.001
11,8.0,0.061
4,2.0,0.251
5,2.0,0.33
11,15.0,0.0
9,17.0,0.001
3,23.0,0.0
2,3.0,0.185
10,4.0,0.089
1,1.0,0.366
5,5.0,0.001
12,25.0,0.002
12,17.0,0.0
7,4.0,0.014
2,7.0,0.062
8,3.0,0.086
8,15.0,0.0
4,1.0,0.38
4,23.0,0.0
1,14.0,0.001
9,13.0,0.0
11,4.0,0.083
7,3.0,0.13
12,8.0,0.036
12,4.0,0.153
2,17.0,0.0
7,9.0,0.001
11,1.0,0.351
2,23.0,0.0
8,4.0,0.014
9,5.0,0.001
4,25.0,0.004
4,4.0,0.07
2,4.0,0.172
10,1.0,0.339
6,26.0,0.0
3,4.0,0.101
