m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,7.5,10.2,12.6,16.4,6.0,0.57,12.0
1,2,6.5,9.3,12.0,16.9,3.0,0.26,3.0
1,3,6.7,9.9,12.7,15.3,4.0,0.33,2.0
2,1,8.2,10.6,12.8,14.4,6.0,0.55,11.0
2,2,8.3,10.8,13.5,11.6,3.0,0.33,3.0
2,3,9.0,11.6,14.1,14.3,4.0,0.44,4.0
3,1,8.6,11.5,13.7,15.5,5.0,0.48,2.0
3,2,9.9,12.5,15.3,13.7,4.0,0.38,3.0
3,3,10.2,12.8,15.9,13.3,4.0,0.34,5.0
4,1,10.8,13.3,15.9,11.6,4.0,0.4,5.0
4,2,12.1,15.2,17.7,12.5,4.0,0.35,1.0
4,3,13.4,15.8,18.2,12.6,6.0,0.63,7.0
5,1,14.7,16.6,18.9,11.7,6.0,0.57,9.0
5,2,15.0,17.4,19.6,12.4,5.0,0.45,3.0
5,3,17.5,20.1,22.6,11.5,5.0,0.43,2.0
6,1,18.8,20.6,22.8,9.6,4.0,0.4,1.0
6,2,20.5,22.8,24.4,9.6,3.0,0.33,2.0
6,3,21.8,24.4,27.2,11.4,4.0,0.38,3.0
7,1,22.2,24.8,27.1,9.1,3.0,0.28,0.0
7,2,23.2,25.4,27.6,9.2,2.0,0.23,2.0
7,3,24.0,26.4,27.8,9.0,4.0,0.36,1.0
8,1,23.9,26.2,28.1,11.1,2.0,0.2,0.0
8,2,23.9,26.5,28.8,8.9,2.0,0.23,1.0
8,3,23.3,25.8,28.5,10.8,3.0,0.3,1.0
9,1,21.5,24.2,27.0,11.9,3.0,0.27,1.0
9,2,21.2,23.7,26.1,13.2,5.0,0.53,4.0
9,3,17.9,20.9,23.7,14.5,3.0,0.33,3.0
10,1,17.0,19.8,22.4,13.1,4.0,0.38,3.0
10,2,15.8,18.0,20.9,14.1,4.0,0.4,4.0
10,3,15.7,18.3,20.9,17.2,7.0,0.59,14.0
11,1,12.9,15.5,18.2,16.3,6.0,0.57,15.0
11,2,11.2,13.7,16.4,17.2,3.0,0.25,2.0
11,3,8.8,11.7,14.4,17.8,4.0,0.4,5.0
12,1,7.8,10.0,13.2,18.3,4.0,0.43,14.0
12,2,7.3,9.9,12.6,16.6,2.0,0.22,0.0
12,3,9.5,11.5,13.7,13.5,5.0,0.48,2.0
