m,m3,coco,coco_pct
9,3,14.0,0.0
11,3,13.0,0.0
5,3,25.0,0.007
7,1,3.0,0.132
1,3,15.0,0.002
10,2,4.0,0.103
3,3,26.0,0.0
9,3,12.0,0.0
3,3,25.0,0.005
10,2,27.0,0.0
8,3,10.0,0.0
9,1,3.0,0.081
4,3,25.0,0.008
12,1,14.0,0.0
4,2,3.0,0.174
8,2,5.0,0.0
10,1,15.0,0.0
10,3,15.0,0.0
1,1,15.0,0.0
1,3,13.0,0.001
4,2,2.0,0.211
5,2,9.0,0.004
12,3,2.0,0.136
9,3,10.0,0.0
10,3,3.0,0.217
1,3,23.0,0.0
9,3,17.0,0.001
2,3,25.0,0.001
8,2,13.0,0.0
10,1,4.0,0.059
11,1,3.0,0.144
10,3,2.0,0.15
6,1,2.0,0.348
11,2,8.0,0.052
4,3,27.0,0.001
1,1,12.0,0.001
10,2,5.0,0.001
3,1,18.0,0.001
1,2,23.0,0.0
1,3,18.0,0.001
5,3,18.0,0.001
2,3,27.0,0.0
5,1,3.0,0.171
11,1,2.0,0.237
4,1,7.0,0.062
4,1,25.0,0.0
7,3,10.0,0.0
3,2,17.0,0.0
7,1,4.0,0.015
7,2,27.0,0.0
9,2,25.0,0.018
8,2,26.0,0.0
1,2,3.0,0.184
1,2,7.0,0.042
12,3,9.0,0.005
12,3,25.0,0.004
4,1,14.0,0.0
2,3,7.0,0.071
1,2,18.0,0.001
2,1,3.0,0.215
10,2,9.0,0.025
12,2,23.0,0.0
8,1,1.0,0.519
3,1,10.0,0.001
12,2,5.0,0.0
7,3,26.0,0.0
9,1,25.0,0.037
2,2,26.0,0.0
4,1,4.0,0.038
6,1,26.0,0.001
12,3,18.0,0.001
4,1,10.0,0.0
7,2,14.0,0.0
5,1,14.0,0.0
11,1,23.0,0.001
9,3,13.0,0.0
8,2,4.0,0.005
10,1,27.0,0.0
3,1,13.0,0.0
9,2,17.0,0.002
1,1,7.0,0.114
4,1,12.0,0.0
5,2,5.0,0.002
10,3,25.0,0.031
3,3,9.0,0.01
12,1,12.0,0.001
9,2,4.0,0.021
3,1,3.0,0.195
12,2,17.0,0.0
5,1,12.0,0.0
4,3,13.0,0.0
10,3,26.0,0.002
6,2,2.0,0.321
9,2,7.0,0.038
1,2,26.0,0.0
5,2,27.0,0.0
1,1,10.0,0.0
4,2,1.0,0.468
9,2,9.0,0.0
5,2,18.0,0.003
10,2,15.0,0.0
2,1,17.0,0.0
7,3,12.0,0.0
6,2,7.0,0.012
12,1,23.0,0.0
3,3,27.0,0.0
4,1,1.0,0.401
3,2,3.0,0.173
4,1,8.0,0.015
10,3,7.0,0.116
8,3,5.0,0.0
4,3,4.0,0.114
1,1,23.0,0.0
5,2,13.0,0.0
2,2,4.0,0.156
9,3,5.0,0.002
11,3,17.0,0.0
3,3,3.0,0.173
8,1,5.0,0.0
3,2,5.0,0.01
9,2,15.0,0.0
11,1,13.0,0.0
3,3,5.0,0.006
6,2,27.0,0.001
