m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,9.4,11.6,12.6,0.3,8.8,0.5
1,1,2,10.5,11.9,14.6,1.6,15.3,1.0
1,1,3,9.2,11.0,13.0,0.6,13.5,0.6
1,1,4,9.0,10.6,12.2,2.2,16.2,0.4
1,1,5,7.5,9.7,12.1,5.5,16.5,1.0
1,1,6,7.0,9.4,12.7,0.5,12.7,0.6
1,1,7,7.5,8.9,12.2,0.9,17.4,0.8
1,1,8,7.0,10.5,13.5,0.2,16.7,0.4
1,1,9,6.5,9.8,13.6,0.2,18.2,0.4
1,1,10,7.0,9.7,12.5,0.0,17.8,0.0
1,2,11,6.5,9.4,11.7,0.0,18.8,0.0
1,2,12,6.2,9.1,13.0,0.0,16.2,0.0
1,2,13,6.5,9.1,12.0,0.0,15.0,0.0
1,2,14,7.4,10.8,14.0,0.0,13.4,0.2
1,2,15,7.0,10.0,12.4,0.1,15.2,0.4
1,2,16,7.5,9.4,11.9,0.0,15.7,0.0
1,2,17,6.0,8.5,11.0,0.4,18.0,0.4
1,2,18,6.4,9.4,12.6,0.1,17.5,0.4
1,2,19,6.8,8.6,10.2,0.3,21.1,0.6
1,2,20,6.0,7.8,10.8,1.8,18.4,0.6
1,3,21,5.4,7.8,11.0,0.4,19.6,0.4
1,3,22,5.7,8.8,11.5,1.0,13.5,0.6
1,3,23,6.2,9.1,12.0,0.2,13.3,0.6
1,3,24,6.7,9.7,12.7,0.0,16.9,0.2
1,3,25,7.7,10.1,12.2,0.0,15.3,0.2
1,3,26,7.7,10.4,13.3,0.2,15.8,0.4
1,3,27,7.5,10.1,12.6,0.0,15.9,0.2
1,3,28,7.3,11.0,14.0,0.0,15.3,0.25
1,3,29,6.3,9.9,13.9,0.0,11.7,0.0
1,3,30,6.3,9.9,13.0,0.1,12.2,0.5
1,3,31,9.3,10.9,13.1,0.0,12.6,0.25
2,1,1,9.0,11.1,13.5,0.1,12.9,0.5
2,1,2,7.3,10.6,13.0,0.0,9.1,0.0
2,1,3,9.0,10.9,12.6,0.2,10.2,0.5
2,1,4,9.3,12.0,14.5,1.6,10.9,0.5
2,1,5,8.4,10.9,13.7,0.3,14.8,0.75
2,1,6,7.9,9.7,12.5,0.7,15.9,0.75
2,1,7,7.4,9.6,12.1,0.4,14.4,0.5
2,1,8,7.5,10.0,12.6,0.1,14.4,0.5
2,1,9,8.0,10.4,12.5,2.0,19.3,0.75
2,1,10,9.0,10.6,13.0,5.9,19.6,0.75
2,2,11,7.6,10.6,13.2,0.0,11.5,0.25
2,2,12,6.5,10.2,13.5,0.0,14.0,0.25
2,2,13,6.1,9.3,12.2,0.0,15.1,0.0
2,2,14,6.3,8.9,11.6,0.0,11.1,0.25
2,2,15,5.0,8.6,11.6,0.0,7.9,0.25
2,2,16,8.9,11.0,13.4,0.0,11.7,0.25
2,2,17,9.7,12.1,13.6,0.0,10.1,0.25
2,2,18,10.5,12.0,14.0,0.5,11.9,0.5
2,2,19,10.0,12.1,13.6,1.9,13.5,0.75
2,2,20,9.4,12.1,14.5,0.2,9.9,0.5
2,3,21,8.5,11.9,14.7,0.3,12.5,0.5
2,3,22,9.8,12.2,14.6,0.4,17.0,0.5
2,3,23,9.3,11.6,14.1,0.6,12.5,0.5
2,3,24,9.0,11.4,13.5,0.9,12.3,0.75
2,3,25,10.0,12.1,14.4,0.1,14.3,0.75
2,3,26,8.0,10.4,13.7,0.5,12.7,0.5
2,3,27,6.4,9.2,11.2,1.1,15.9,0.5
2,3,28,8.0,10.2,13.1,0.0,17.9,0.0
2,3,29,10.5,13.4,15.5,0.0,19.2,0.0
3,1,1,8.0,10.4,12.1,0.6,18.5,0.75
3,1,2,7.9,11.0,13.6,0.0,15.9,0.25
3,1,3,8.0,11.6,14.1,0.1,14.1,0.5
3,1,4,9.4,12.0,14.5,0.2,14.2,0.5
3,1,5,7.8,10.7,13.0,0.3,14.8,0.75
3,1,6,8.5,10.8,13.4,0.6,14.6,0.5
3,1,7,8.7,11.4,13.7,0.0,15.2,0.25
3,1,8,9.0,11.9,14.1,0.1,15.8,0.5
3,1,9,9.4,11.7,13.5,0.3,18.3,0.5
3,1,10,10.3,12.4,14.1,0.0,17.7,0.25
3,2,11,9.4,12.2,14.7,0.3,11.7,0.5
