m,coco,coco_pct
2,9.0,0.02
5,3.0,0.234
1,27.0,0.0
3,9.0,0.031
3,25.0,0.0
3,7.0,0.058
11,18.0,0.0
1,4.0,0.132
4,17.0,0.002
11,17.0,0.0
5,18.0,0.004
7,18.0,0.016
9,27.0,0.0
2,8.0,0.02
8,26.0,0.0
10,3.0,0.172
10,2.0,0.285
8,1.0,0.241
2,17.0,0.0
7,27.0,0.002
3,18.0,0.0
8,8.0,0.029
4,3.0,0.186
8,18.0,0.017
10,25.0,0.004
9,1.0,0.24
7,17.0,0.001
6,17.0,0.003
5,14.0,0.0
12,12.0,0.002
9,17.0,0.0
4,14.0,0.0
5,15.0,0.0
4,2.0,0.311
10,4.0,0.102
6,25.0,0.029
6,2.0,0.397
1,12.0,0.0
10,5.0,0.0
3,5.0,0.003
4,5.0,0.001
8,27.0,0.0
2,1.0,0.452
8,13.0,0.0
7,25.0,0.022
8,9.0,0.023
10,14.0,0.0
7,12.0,0.0
9,8.0,0.037
12,17.0,0.0
9,12.0,0.0
7,4.0,0.009
9,26.0,0.0
2,2.0,0.195
12,1.0,0.366
12,4.0,0.167
2,3.0,0.112
2,27.0,0.0
2,4.0,0.14
6,13.0,0.0
4,12.0,0.0
5,25.0,0.006
9,5.0,0.0
12,14.0,0.002
9,18.0,0.004
1,5.0,0.0
3,8.0,0.035
3,14.0,0.0
6,7.0,0.082
9,7.0,0.069
2,25.0,0.0
3,4.0,0.096
11,1.0,0.282
6,8.0,0.044
6,12.0,0.0
11,14.0,0.0
5,1.0,0.098
7,8.0,0.027
10,15.0,0.0
10,7.0,0.081
5,12.0,0.0
1,8.0,0.019
6,27.0,0.0
1,13.0,0.0
5,4.0,0.08
4,18.0,0.001
12,25.0,0.0
12,2.0,0.194
2,13.0,0.0
7,14.0,0.0
3,2.0,0.271
8,15.0,0.0
4,4.0,0.066
3,15.0,0.0
8,5.0,0.0
11,26.0,0.0
9,2.0,0.394
1,14.0,0.001
3,3.0,0.138
1,17.0,0.0
6,5.0,0.002
8,7.0,0.032
11,5.0,0.0
6,1.0,0.171
1,2.0,0.193
9,14.0,0.0
2,5.0,0.001
8,2.0,0.502
12,26.0,0.0
11,13.0,0.0
8,14.0,0.0
3,13.0,0.0
1,26.0,0.0
5,26.0,0.0
4,8.0,0.056
8,25.0,0.025
5,8.0,0.058
8,12.0,0.0
5,9.0,0.045
7,2.0,0.5
9,13.0,0.0
8,17.0,0.001
5,2.0,0.342
11,9.0,0.036
3,1.0,0.366
2,14.0,0.002
6,15.0,0.0
10,12.0,0.0
4,26.0,0.0
4,25.0,0.001
12,3.0,0.16
4,13.0,0.0
3,27.0,0.0
11,3.0,0.156
5,27.0,0.001
7,15.0,0.0
10,26.0,0.0
3,17.0,0.001
6,4.0,0.029
9,9.0,0.031
4,1.0,0.266
10,17.0,0.0
11,12.0,0.002
6,9.0,0.024
12,13.0,0.001
9,15.0,0.0
2,26.0,0.0
9,3.0,0.179
2,12.0,0.004
10,9.0,0.08
10,1.0,0.218
7,5.0,0.0
11,27.0,0.0
7,9.0,0.017
11,25.0,0.0
12,15.0,0.001
10,27.0,0.0
6,18.0,0.021
6,14.0,0.0
2,18.0,0.0
11,7.0,0.105
4,7.0,0.075
4,27.0,0.0
1,7.0,0.047
3,12.0,0.0
9,4.0,0.04
3,26.0,0.0
9,25.0,0.007
12,8.0,0.025
7,1.0,0.243
10,13.0,0.0
11,15.0,0.0
7,13.0,0.0
5,7.0,0.128
10,18.0,0.001
11,4.0,0.144
5,5.0,0.002
12,27.0,0.0
12,7.0,0.061
1,3.0,0.119
4,9.0,0.035
12,9.0,0.02
1,18.0,0.0
2,7.0,0.054
8,4.0,0.008
6,26.0,0.0
5,17.0,0.003
7,26.0,0.0
1,9.0,0.013
5,13.0,0.0
1,25.0,0.0
2,15.0,0.0
1,1.0,0.476
8,3.0,0.122
10,8.0,0.058
4,15.0,0.0
6,3.0,0.198
12,5.0,0.001
12,18.0,0.0
11,8.0,0.049
7,3.0,0.127
1,15.0,0.0
11,2.0,0.227
7,7.0,0.037
