m,m3,coco,coco_pct
1,1,18.0,0.0
7,3,18.0,0.019
4,3,17.0,0.001
5,3,12.0,0.0
12,3,17.0,0.0
12,3,12.0,0.003
2,3,15.0,0.0
9,1,17.0,0.001
3,2,8.0,0.019
5,1,4.0,0.108
11,2,12.0,0.0
2,2,5.0,0.0
8,3,7.0,0.018
7,2,8.0,0.015
1,3,25.0,0.0
9,3,9.0,0.035
1,1,14.0,0.0
12,3,3.0,0.21
4,1,2.0,0.292
5,3,4.0,0.038
3,2,13.0,0.0
10,3,4.0,0.141
2,3,3.0,0.129
7,2,2.0,0.497
4,2,7.0,0.044
4,1,1.0,0.343
10,1,4.0,0.082
10,2,2.0,0.337
10,1,17.0,0.0
5,2,12.0,0.0
11,2,7.0,0.112
4,3,9.0,0.06
1,2,15.0,0.0
6,3,12.0,0.0
2,2,1.0,0.513
6,3,1.0,0.278
9,1,7.0,0.061
8,1,8.0,0.028
6,1,26.0,0.001
2,1,15.0,0.001
7,1,8.0,0.03
11,3,15.0,0.0
5,3,7.0,0.112
7,1,9.0,0.02
2,1,2.0,0.204
1,2,5.0,0.0
7,1,12.0,0.0
3,3,7.0,0.078
3,3,5.0,0.004
12,3,2.0,0.174
10,2,7.0,0.055
7,2,18.0,0.016
5,1,12.0,0.0
3,1,14.0,0.0
4,2,17.0,0.001
8,2,8.0,0.041
2,3,13.0,0.0
1,1,26.0,0.0
1,2,17.0,0.0
11,2,26.0,0.0
9,2,2.0,0.407
3,2,5.0,0.005
11,3,5.0,0.0
5,2,3.0,0.238
8,1,1.0,0.27
4,2,27.0,0.0
9,3,14.0,0.0
11,3,4.0,0.166
2,1,3.0,0.097
3,1,13.0,0.0
9,2,14.0,0.0
1,3,27.0,0.0
2,1,1.0,0.422
3,1,17.0,0.0
2,1,18.0,0.0
10,1,2.0,0.314
12,2,2.0,0.186
10,1,7.0,0.079
7,1,18.0,0.011
4,3,14.0,0.0
7,3,26.0,0.0
6,1,7.0,0.102
4,2,8.0,0.043
3,2,9.0,0.013
4,3,2.0,0.257
4,1,15.0,0.0
6,3,7.0,0.062
3,1,4.0,0.11
4,2,2.0,0.385
3,1,1.0,0.334
12,1,8.0,0.054
2,3,18.0,0.0
5,2,2.0,0.304
12,2,26.0,0.0
8,3,1.0,0.231
9,1,8.0,0.034
3,3,26.0,0.0
12,3,9.0,0.001
1,3,26.0,0.0
6,1,14.0,0.0
11,2,18.0,0.0
10,2,9.0,0.064
7,3,8.0,0.036
3,1,26.0,0.0
10,1,26.0,0.0
6,1,25.0,0.019
10,3,26.0,0.0
6,3,4.0,0.017
2,3,5.0,0.0
5,2,4.0,0.097
9,1,27.0,0.0
7,3,17.0,0.001
12,2,7.0,0.063
3,2,4.0,0.104
6,3,18.0,0.03
11,3,13.0,0.001
8,3,12.0,0.0
9,1,4.0,0.016
10,1,9.0,0.082
7,1,5.0,0.001
12,1,7.0,0.101
8,1,9.0,0.02
10,2,3.0,0.242
12,1,18.0,0.0
7,1,15.0,0.0
11,3,3.0,0.167
11,3,2.0,0.214
3,1,2.0,0.28
7,2,12.0,0.0
10,2,18.0,0.0
6,2,7.0,0.081
7,2,27.0,0.004
8,1,25.0,0.026
12,1,1.0,0.276
7,3,3.0,0.11
11,2,17.0,0.0
1,1,4.0,0.209
8,3,3.0,0.15
9,3,5.0,0.0
12,1,5.0,0.003
12,3,5.0,0.0
3,2,3.0,0.175
7,3,15.0,0.0
12,3,25.0,0.0
4,2,1.0,0.28
1,1,27.0,0.0
10,1,13.0,0.0
3,1,3.0,0.124
5,3,27.0,0.001
5,1,7.0,0.138
9,2,15.0,0.0
6,1,2.0,0.427
4,1,8.0,0.043
1,2,25.0,0.0
3,3,25.0,0.0
8,2,1.0,0.223
1,1,13.0,0.0
8,3,13.0,0.0
4,1,4.0,0.045
7,2,1.0,0.234
1,2,26.0,0.0
7,3,2.0,0.523
