m,coco,coco_pct
10,25.0,0.0
9,2.0,0.251
2,17.0,0.0
9,12.0,0.004
2,9.0,0.0
8,18.0,0.004
5,5.0,0.083
12,4.0,0.053
12,17.0,0.0
12,12.0,0.01
5,7.0,0.125
9,27.0,0.0
11,8.0,0.011
6,18.0,0.002
11,15.0,0.028
1,4.0,0.021
4,9.0,0.006
6,27.0,0.0
3,26.0,0.0
9,4.0,0.033
2,25.0,0.0
8,14.0,0.0
11,2.0,0.123
7,19.0,0.0
7,7.0,0.071
3,5.0,0.089
9,16.0,0.0
9,8.0,0.026
4,18.0,0.0
12,27.0,0.0
11,21.0,0.001
7,2.0,0.274
12,1.0,0.259
2,10.0,0.0
9,15.0,0.004
5,15.0,0.0
11,26.0,0.0
7,20.0,0.0
9,21.0,0.0
7,1.0,0.132
12,15.0,0.031
5,8.0,0.035
11,10.0,0.0
4,20.0,0.0
6,7.0,0.091
1,3.0,0.232
12,5.0,0.116
5,25.0,0.0
4,21.0,0.004
4,19.0,0.0
2,1.0,0.342
1,27.0,0.0
8,27.0,0.001
12,19.0,0.0
3,27.0,0.0
2,21.0,0.0
3,3.0,0.229
7,18.0,0.008
6,16.0,0.0
7,5.0,0.12
9,9.0,0.014
10,14.0,0.015
10,12.0,0.006
6,14.0,0.001
11,3.0,0.262
7,13.0,0.0
7,4.0,0.025
12,14.0,0.123
11,5.0,0.138
3,17.0,0.002
11,19.0,0.0
9,5.0,0.159
7,26.0,0.0
9,13.0,0.0
5,3.0,0.328
8,26.0,0.0
6,13.0,0.0
8,13.0,0.0
7,16.0,0.0
3,15.0,0.018
1,9.0,0.001
10,10.0,0.0
1,12.0,0.01
8,3.0,0.298
11,4.0,0.063
1,25.0,0.0
5,26.0,0.0
3,13.0,0.004
1,15.0,0.022
1,13.0,0.002
4,2.0,0.208
1,7.0,0.012
5,4.0,0.079
1,10.0,0.0
5,21.0,0.0
4,16.0,0.002
10,7.0,0.065
4,4.0,0.072
2,5.0,0.104
10,4.0,0.047
10,1.0,0.223
1,14.0,0.107
4,13.0,0.003
1,19.0,0.0
7,12.0,0.0
10,27.0,0.0
11,20.0,0.0
12,20.0,0.0
3,16.0,0.004
1,16.0,0.008
3,4.0,0.032
11,14.0,0.084
6,17.0,0.017
10,19.0,0.0
10,21.0,0.0
12,18.0,0.0
10,20.0,0.0
1,5.0,0.112
6,19.0,0.0
6,3.0,0.333
4,26.0,0.0
5,10.0,0.0
11,1.0,0.239
8,12.0,0.0
2,20.0,0.0
2,26.0,0.0
11,17.0,0.0
1,18.0,0.0
5,19.0,0.0
9,1.0,0.175
3,21.0,0.001
5,20.0,0.0
10,15.0,0.001
2,18.0,0.0
7,25.0,0.005
11,13.0,0.003
8,16.0,0.0
10,16.0,0.001
12,13.0,0.003
12,2.0,0.12
7,17.0,0.027
4,17.0,0.0
8,1.0,0.132
6,2.0,0.229
6,15.0,0.0
3,25.0,0.0
12,10.0,0.0
4,8.0,0.016
10,13.0,0.002
12,26.0,0.0
2,14.0,0.092
5,13.0,0.0
5,2.0,0.218
9,3.0,0.267
12,3.0,0.254
8,9.0,0.023
9,19.0,0.0
8,21.0,0.0
9,18.0,0.002
12,7.0,0.01
6,10.0,0.0
8,10.0,0.0
4,5.0,0.063
3,19.0,0.001
10,2.0,0.181
5,17.0,0.005
11,25.0,0.0
3,14.0,0.079
11,18.0,0.0
2,7.0,0.007
8,20.0,0.0
8,2.0,0.288
6,9.0,0.008
10,5.0,0.139
3,10.0,0.001
12,21.0,0.0
2,8.0,0.005
12,25.0,0.0
6,12.0,0.001
4,14.0,0.066
5,16.0,0.0
11,16.0,0.012
5,1.0,0.091
1,20.0,0.0
6,4.0,0.028
9,26.0,0.0
9,10.0,0.0
2,3.0,0.244
8,4.0,0.019
6,5.0,0.118
6,21.0,0.0
2,12.0,0.01
4,7.0,0.05
7,14.0,0.0
9,25.0,0.0
1,8.0,0.005
5,18.0,0.0
3,2.0,0.197
9,14.0,0.006
6,26.0,0.0
5,9.0,0.016
9,7.0,0.055
8,7.0,0.071
8,19.0,0.0
7,3.0,0.302
11,12.0,0.011
1,26.0,0.0
6,25.0,0.001
2,4.0,0.033
3,12.0,0.012
10,26.0,0.0
5,27.0,0.0
8,25.0,0.002
8,8.0,0.034
3,8.0,0.008
7,27.0,0.0
4,12.0,0.01
4,15.0,0.025
2,27.0,0.0
4,25.0,0.0
3,1.0,0.301
4,3.0,0.284
4,10.0,0.0
11,9.0,0.007
3,7.0,0.014
8,17.0,0.015
2,2.0,0.137
10,18.0,0.0
7,15.0,0.0
12,16.0,0.014
4,27.0,0.0
10,8.0,0.047
8,5.0,0.113
12,8.0,0.004
11,27.0,0.0
1,21.0,0.001
1,1.0,0.311
1,2.0,0.156
7,10.0,0.0
10,3.0,0.244
12,9.0,0.002
10,9.0,0.03
5,14.0,0.005
8,15.0,0.0
6,1.0,0.139
2,13.0,0.002
7,8.0,0.028
2,19.0,0.0
7,21.0,0.0
3,20.0,0.0
1,17.0,0.0
10,17.0,0.001
2,15.0,0.018
3,9.0,0.008
11,7.0,0.019
9,17.0,0.005
2,16.0,0.007
6,20.0,0.0
5,12.0,0.015
3,18.0,0.0
7,9.0,0.008
4,1.0,0.191
6,8.0,0.034
9,20.0,0.0
