m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,-15.0,-4.0,-10.0,83.0,4.5,0.23
1,1,-16.0,-5.0,-10.5,83.0,4.5,0.23
1,2,-16.0,-5.0,-11.0,85.0,3.6,0.22
1,3,-16.0,-5.0,-10.5,83.5,3.6,0.19
1,4,-15.0,-5.0,-10.5,83.0,3.6,0.2
1,5,-16.0,-5.0,-10.5,84.5,3.6,0.22
1,6,-16.0,-5.0,-10.5,84.5,4.5,0.21
1,7,-16.0,-5.0,-11.0,84.5,4.5,0.19
1,8,-16.0,-5.0,-10.5,85.0,3.6,0.18
1,9,-15.0,-5.0,-9.6,82.5,3.6,0.18
1,10,-13.0,-3.0,-7.5,79.5,3.6,0.15
1,11,-10.0,-2.0,-5.5,72.0,4.7,0.15
1,12,-7.0,0.0,-3.8,65.0,6.5,0.17
1,13,-7.0,1.0,-2.5,61.5,8.3,0.18
1,14,-6.0,1.0,-2.0,57.5,9.2,0.17
1,15,-5.0,1.0,-2.5,59.5,9.2,0.15
1,16,-7.0,-0.2,-3.5,65.5,9.2,0.18
1,17,-9.0,-2.0,-5.5,72.5,6.5,0.16
1,18,-11.0,-2.6,-6.5,76.5,6.5,0.18
1,19,-12.0,-3.3,-7.5,79.0,5.6,0.19
1,20,-12.0,-4.0,-8.0,81.5,5.6,0.2
1,21,-13.0,-4.0,-8.5,81.0,4.5,0.22
1,22,-14.0,-4.0,-9.4,82.0,4.5,0.23
1,23,-15.0,-4.0,-9.5,82.5,4.5,0.22
2,0,-11.0,-3.0,-6.5,84.5,4.5,0.12
2,1,-11.0,-3.0,-7.5,84.5,4.7,0.14
2,2,-12.0,-3.0,-8.0,85.0,4.7,0.14
2,3,-13.0,-3.0,-8.0,86.0,3.6,0.15
2,4,-13.6,-4.2,-8.5,86.0,4.5,0.15
2,5,-14.0,-3.8,-8.6,86.5,3.6,0.17
2,6,-14.0,-4.0,-8.5,85.5,3.6,0.16
2,7,-13.0,-4.0,-8.8,85.5,4.5,0.12
2,8,-13.0,-4.0,-7.8,82.5,3.6,0.14
