m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,-12.8,-6.8,-0.5,6.7,6.0,0.59,16.0
1,2,-17.0,-10.7,-2.8,4.8,4.0,0.44,6.0
1,3,-13.1,-6.7,-0.6,5.7,6.0,0.51,16.0
2,1,-12.5,-6.1,1.6,7.3,6.0,0.56,14.0
2,2,-11.5,-4.7,3.2,7.0,3.0,0.3,3.0
2,3,-9.0,-2.6,4.0,8.3,3.0,0.31,5.0
3,1,-10.2,-3.9,2.5,7.1,3.0,0.34,7.0
3,2,-7.0,-1.7,3.0,8.9,6.0,0.61,7.0
3,3,-7.5,-1.5,5.5,8.9,6.0,0.5,11.0
4,1,-5.3,0.5,6.0,9.0,6.0,0.55,14.0
4,2,-4.0,1.8,8.0,8.6,5.0,0.5,7.0
4,3,-2.0,4.2,10.3,10.1,5.0,0.53,16.0
5,1,0.3,6.0,12.0,10.6,6.0,0.6,21.0
5,2,1.8,6.6,11.3,11.0,7.0,0.68,17.0
5,3,1.5,8.0,14.0,9.0,7.0,0.64,12.0
6,1,4.5,10.5,16.5,8.9,6.0,0.55,7.0
6,2,4.3,11.3,17.5,10.2,5.0,0.45,4.0
6,3,5.8,13.2,20.2,9.6,7.0,0.68,12.0
7,1,5.1,12.4,19.9,9.9,7.0,0.68,16.0
7,2,5.9,13.2,20.0,10.2,5.0,0.48,8.0
7,3,7.1,13.7,20.0,10.1,7.0,0.64,11.0
8,1,6.5,12.9,20.3,9.7,6.0,0.57,22.0
8,2,6.9,13.1,20.3,9.2,5.0,0.53,6.0
8,3,4.9,11.5,19.4,8.8,6.0,0.57,8.0
9,1,4.8,10.5,16.7,9.0,5.0,0.45,5.0
9,2,3.5,9.9,17.3,8.5,6.0,0.6,8.0
9,3,1.3,7.0,13.6,8.9,4.0,0.43,7.0
10,1,-0.3,5.6,12.6,9.0,5.0,0.45,7.0
10,2,-1.9,3.9,11.3,8.0,3.0,0.3,2.0
10,3,-1.7,4.2,11.0,7.1,5.0,0.48,19.0
11,1,-5.8,-0.3,6.2,5.1,5.0,0.45,28.0
11,2,-6.0,-1.3,4.8,6.1,6.0,0.57,10.0
11,3,-8.8,-4.1,1.9,5.7,7.0,0.65,14.0
12,1,-11.0,-5.8,-1.0,5.9,7.0,0.7,20.0
12,2,-13.1,-7.8,-1.4,4.2,3.0,0.28,1.0
12,3,-11.5,-6.3,-0.4,6.0,4.0,0.34,3.0
