m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,-13.5,-8.4,0.0,0.0,3.7,0.25
1,1,2,-12.5,-5.9,1.5,1.1,9.3,0.6
1,1,3,-12.5,-5.0,1.3,1.5,6.8,0.8
1,1,4,-13.0,-8.0,-0.5,0.0,6.6,0.2
1,1,5,-10.5,-4.6,0.0,6.6,9.5,0.8
1,1,6,-11.0,-6.3,-1.0,0.6,6.3,0.8
1,1,7,-16.0,-9.2,-1.5,1.7,4.8,0.4
1,1,8,-14.5,-7.2,-1.2,0.6,7.3,0.8
1,1,9,-10.0,-4.9,-0.4,2.1,7.0,0.6
1,1,10,-17.0,-10.3,-4.5,1.4,5.3,0.6
1,2,11,-18.1,-12.1,-4.5,0.1,4.5,0.4
1,2,12,-18.0,-12.0,-3.7,0.1,3.7,0.4
1,2,13,-14.0,-10.0,-2.5,0.0,4.9,0.2
1,2,14,-13.5,-8.2,-0.6,0.0,6.6,0.2
1,2,15,-14.3,-6.8,-1.0,2.1,9.1,0.4
1,2,16,-19.5,-11.5,-3.0,0.0,4.6,0.2
1,2,17,-14.3,-7.5,-0.5,1.6,6.5,0.8
1,2,18,-16.5,-9.3,-2.1,0.8,4.2,0.6
1,2,19,-19.0,-11.3,-3.0,1.3,6.7,0.6
1,2,20,-17.5,-11.9,-4.5,0.2,3.9,0.6
1,3,21,-16.9,-11.0,-3.7,0.3,5.8,0.6
1,3,22,-15.5,-9.5,-2.5,1.1,5.3,0.6
1,3,23,-12.7,-6.5,-2.0,0.9,6.0,0.8
1,3,24,-17.0,-8.5,1.1,0.1,5.7,0.4
1,3,25,-13.1,-6.7,-0.6,1.9,6.8,0.6
1,3,26,-13.0,-5.5,1.5,1.0,5.5,0.6
1,3,27,-15.0,-8.4,-1.1,2.2,5.7,0.4
1,3,28,-9.5,-4.6,-1.5,7.0,9.8,0.6
1,3,29,-11.5,-7.4,1.0,0.0,5.6,0.2
1,3,30,-13.5,-6.2,2.3,0.0,5.5,0.2
1,3,31,-13.0,-6.3,0.6,1.1,6.8,0.6
2,1,1,-9.5,-4.3,1.6,0.7,7.3,0.8
2,1,2,-7.0,-2.4,2.5,0.9,7.3,0.8
2,1,3,-8.0,-2.3,3.7,0.3,12.0,0.6
2,1,4,-12.9,-6.2,2.7,0.0,9.4,0.2
2,1,5,-12.4,-6.1,0.5,0.3,5.0,0.4
2,1,6,-15.0,-8.6,0.8,0.5,6.2,0.6
2,1,7,-14.0,-6.7,0.1,7.0,7.2,0.6
2,1,8,-12.6,-7.5,0.0,0.4,5.7,0.6
2,1,9,-12.5,-6.1,1.5,0.8,6.9,0.4
2,1,10,-8.5,-3.7,2.5,2.6,9.4,0.6
2,2,11,-10.0,-4.4,1.0,1.3,8.0,0.8
2,2,12,-13.0,-7.2,0.3,0.0,6.7,0.0
2,2,13,-15.5,-8.1,0.0,0.0,7.7,0.0
2,2,14,-15.9,-7.0,2.0,0.1,7.0,0.4
2,2,15,-13.6,-7.7,3.5,0.3,4.5,0.4
2,2,16,-11.5,-4.9,6.0,0.7,5.0,0.4
2,2,17,-9.0,-3.3,6.0,0.1,8.7,0.4
2,2,18,-11.5,-4.2,5.0,0.0,7.0,0.0
2,2,19,-11.0,-3.2,2.9,0.1,8.4,0.4
2,2,20,-10.0,-3.1,5.6,0.0,5.1,0.2
2,3,21,-11.0,-3.3,4.8,0.1,7.7,0.4
2,3,22,-5.7,-0.9,5.0,3.7,9.2,0.4
2,3,23,-7.8,-1.4,6.5,0.0,8.0,0.2
2,3,24,-9.5,-2.6,5.0,0.0,7.2,0.2
2,3,25,-7.4,-2.6,4.0,0.2,10.2,0.4
2,3,26,-9.0,-4.8,2.5,0.8,11.5,0.8
2,3,27,-10.3,-4.4,1.5,0.4,8.3,0.4
2,3,28,-10.9,-4.2,3.5,0.0,5.3,0.0
2,3,29,-6.0,-1.5,3.0,0.0,10.6,0.0
3,1,1,-8.5,-3.5,3.0,0.0,5.8,0.2
3,1,2,-11.3,-4.9,4.0,0.0,5.3,0.2
3,1,3,-10.0,-3.8,5.0,0.1,6.9,0.4
3,1,4,-10.5,-4.0,2.0,0.0,6.1,0.2
3,1,5,-10.4,-3.6,2.0,0.4,7.3,0.4
3,1,6,-10.0,-4.4,2.0,0.0,9.4,0.2
3,1,7,-11.5,-4.5,2.0,0.0,8.8,0.2
3,1,8,-12.5,-4.6,2.5,0.0,7.3,0.2
3,1,9,-8.0,-3.3,2.5,0.9,6.9,0.6
3,1,10,-7.5,-2.8,3.0,5.3,8.5,0.8
3,2,11,-7.0,-1.7,3.0,0.4,11.5,0.6
3,2,12,-8.0,-1.6,3.0,0.4,9.0,0.5
3,2,13,-6.9,-1.2,4.0,0.4,10.8,0.75
3,2,14,-7.0,-2.1,3.0,3.7,8.7,0.75
3,2,15,-5.5,-1.8,3.0,0.8,12.1,0.75
3,2,16,-7.0,-1.0,6.5,0.4,6.1,0.5
3,2,17,-6.5,-0.6,5.0,0.1,8.6,0.5
3,2,18,-5.0,-1.7,3.0,0.6,7.3,0.75
3,2,19,-8.0,-3.3,3.0,0.3,8.8,0.5
3,2,20,-10.5,-3.7,3.5,0.2,9.8,0.5
3,3,21,-10.0,-3.3,4.5,0.5,7.0,0.5
3,3,22,-7.5,-0.8,6.0,0.0,7.9,0.25
3,3,23,-8.5,-2.0,7.0,0.2,8.9,0.5
3,3,24,-11.0,-2.9,4.5,0.3,7.9,0.5
3,3,25,-10.0,-2.8,5.5,0.0,8.0,0.25
3,3,26,-8.0,-2.1,4.0,0.0,11.4,0.25
3,3,27,-5.5,-1.5,4.0,3.4,9.3,0.75
3,3,28,-6.5,-0.7,5.0,0.4,9.0,0.5
3,3,29,-5.5,0.9,7.0,1.1,7.4,0.5
3,3,30,-3.0,1.4,5.5,0.8,11.2,0.75
3,3,31,-5.0,0.7,6.5,4.0,9.1,0.75
4,1,1,-6.0,-0.4,4.5,9.5,8.1,0.5
4,1,2,-7.5,-0.8,6.0,0.1,9.2,0.5
4,1,3,-2.5,0.4,4.0,0.3,11.6,0.5
4,1,4,-6.0,-0.6,4.5,0.0,11.3,0.25
4,1,5,-6.0,0.6,6.5,0.1,8.7,0.5
4,1,6,-6.0,-0.5,6.0,0.0,8.8,0.25
4,1,7,-4.5,1.1,7.5,2.6,6.8,0.75
4,1,8,-2.0,2.3,8.5,0.6,7.4,0.75
4,1,9,-3.5,1.3,6.5,1.1,10.4,0.75
4,1,10,-3.5,1.3,6.0,0.2,9.7,0.75
4,2,11,-2.0,2.5,8.0,0.3,8.9,0.5
4,2,12,-2.5,2.7,7.5,0.7,11.6,0.5
4,2,13,-5.0,1.6,8.0,0.8,10.6,0.5
4,2,14,-4.0,1.7,8.0,0.1,10.6,0.5
4,2,15,-5.0,1.5,8.5,1.2,8.2,0.5
4,2,16,-3.0,2.6,7.5,0.0,8.3,0.25
4,2,17,-4.0,0.9,7.0,0.4,9.4,0.75
4,2,18,-5.0,1.3,7.5,0.3,8.3,0.5
4,2,19,-3.5,1.9,9.0,0.2,8.2,0.5
4,2,20,-4.0,2.3,8.0,2.9,6.2,0.5
4,3,21,-3.5,2.7,8.0,1.9,8.3,0.5
4,3,22,-4.0,3.5,10.5,0.2,9.9,0.5
4,3,23,-2.0,4.1,10.5,2.2,10.1,0.75
4,3,24,-2.5,3.6,10.0,3.5,10.1,0.5
4,3,25,-2.0,3.1,9.0,0.4,9.0,0.5
4,3,26,-2.0,4.3,9.0,0.8,9.9,0.5
4,3,27,-0.5,4.4,9.5,0.0,10.0,0.0
4,3,28,-1.0,5.3,11.5,0.2,12.3,0.75
4,3,29,0.0,6.0,11.0,2.5,10.2,0.5
4,3,30,0.0,4.7,11.0,3.9,10.3,0.75
5,1,1,0.5,4.4,10.0,7.7,9.2,0.75
5,1,2,0.0,4.1,9.0,4.2,9.9,0.75
5,1,3,-1.5,4.7,10.5,0.2,10.3,0.5
5,1,4,0.0,5.7,11.5,0.0,11.7,0.25
5,1,5,-0.5,6.4,12.0,0.7,12.2,0.5
5,1,6,0.5,6.1,12.0,1.9,12.2,0.75
5,1,7,-0.5,6.6,12.5,1.9,10.8,1.0
5,1,8,1.0,5.9,13.5,2.9,10.7,0.75
5,1,9,1.0,7.5,14.5,0.0,10.6,0.25
5,1,10,2.5,7.7,13.5,1.7,10.6,0.5
5,2,11,1.0,5.9,12.0,4.4,10.2,0.5
5,2,12,1.5,6.5,11.5,1.2,11.4,0.5
5,2,13,2.0,6.2,10.0,1.3,11.0,0.5
