m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,-2.2,2.1,7.1,3.7,5.0,0.51,9.0
1,2,-4.1,1.0,7.5,4.0,4.0,0.44,6.0
1,3,-3.7,1.5,8.5,3.1,5.0,0.45,7.0
2,1,-1.5,3.1,8.9,4.1,5.0,0.48,16.0
2,2,-1.5,3.9,11.0,4.3,3.0,0.33,2.0
2,3,0.5,7.1,13.3,5.6,5.0,0.53,3.0
3,1,1.0,6.8,13.0,4.5,5.0,0.48,6.0
3,2,2.3,8.7,15.7,5.7,6.0,0.57,7.0
3,3,3.2,10.0,16.8,5.9,5.0,0.48,6.0
4,1,4.7,10.6,18.3,6.1,5.0,0.5,15.0
4,2,6.1,12.8,19.5,6.4,5.0,0.5,8.0
4,3,7.8,13.9,20.4,5.9,6.0,0.6,20.0
5,1,9.3,15.2,21.8,6.0,8.0,0.78,36.0
5,2,11.6,16.8,22.5,6.0,9.0,0.85,45.0
5,3,12.5,18.4,25.0,6.4,9.0,0.78,34.0
6,1,14.5,20.2,26.7,6.1,9.0,0.85,35.0
6,2,15.3,21.7,27.8,7.1,6.0,0.57,13.0
6,3,17.1,23.7,31.0,7.6,8.0,0.75,25.0
7,1,16.5,23.1,29.9,6.5,6.0,0.6,27.0
7,2,17.3,23.8,30.3,6.2,7.0,0.65,30.0
7,3,18.2,24.3,32.0,5.9,7.0,0.66,33.0
8,1,17.5,23.8,31.3,5.8,7.0,0.65,33.0
8,2,18.0,24.1,31.7,5.7,6.0,0.57,12.0
8,3,16.9,23.3,30.9,5.3,8.0,0.68,15.0
9,1,14.9,20.3,27.6,4.7,6.0,0.57,7.0
9,2,14.2,20.5,26.3,4.8,6.0,0.6,7.0
9,3,11.6,16.5,22.5,3.9,5.0,0.48,17.0
10,1,9.6,14.7,21.4,3.8,5.0,0.53,9.0
10,2,7.8,12.5,19.5,3.2,4.0,0.4,3.0
10,3,8.9,12.3,18.1,3.1,6.0,0.52,23.0
11,1,4.0,8.8,13.5,2.8,5.0,0.5,30.0
11,2,1.6,5.7,12.5,2.8,3.0,0.3,3.0
11,3,-0.2,4.1,10.0,2.8,4.0,0.43,4.0
12,1,-1.3,2.0,6.7,3.0,6.0,0.64,17.0
12,2,-3.3,0.5,6.8,2.8,3.0,0.29,1.0
12,3,-2.6,2.0,8.5,2.8,3.0,0.25,2.0
