m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,-0.4,4.6,2.4,93.5,4.5,0.16
1,1,-1.0,4.3,2.0,93.5,4.5,0.07
1,2,-0.9,4.0,2.0,93.5,4.5,0.07
1,3,-0.9,3.8,1.7,94.5,3.6,0.05
1,4,-1.0,4.0,1.5,94.0,4.7,0.08
1,5,-1.0,4.0,1.5,94.5,4.8,0.06
1,6,-1.4,3.9,1.3,94.0,3.6,0.13
1,7,-1.0,4.0,1.5,93.5,4.5,0.05
1,8,0.0,4.0,2.0,93.0,5.2,0.06
1,9,1.3,5.3,3.3,87.0,4.5,0.03
1,10,2.4,6.8,4.5,82.5,5.6,0.06
1,11,3.7,7.8,5.5,78.5,6.1,0.05
1,12,4.4,8.5,6.4,73.5,5.6,0.16
1,13,5.0,9.0,7.2,73.0,6.5,0.05
1,14,5.0,9.0,7.5,73.5,6.5,0.04
1,15,5.0,9.2,7.3,73.0,6.5,0.03
1,16,4.5,8.0,6.5,75.0,6.1,0.08
1,17,3.0,7.0,5.0,81.5,5.6,0.06
1,18,1.9,6.3,4.3,85.5,4.5,0.11
1,19,1.0,6.0,3.9,85.0,5.2,0.07
1,20,1.0,5.0,3.5,90.0,5.6,0.08
1,21,0.6,5.1,3.0,89.5,4.5,0.04
1,22,1.0,5.0,3.0,91.0,5.6,0.08
1,23,0.0,5.0,2.5,93.0,5.3,0.08
2,0,3.2,7.5,5.2,85.0,5.6,0.16
2,1,2.0,7.0,5.0,85.0,6.5,0.06
2,2,2.0,7.0,4.5,85.0,5.4,0.06
2,3,1.8,6.8,4.2,88.0,4.7,0.02
2,4,1.0,7.0,4.2,87.5,5.6,0.03
2,5,1.0,6.9,4.0,89.0,5.6,0.03
2,6,0.5,6.6,3.6,89.0,5.2,0.14
2,7,1.0,7.0,4.0,87.5,4.7,0.05
2,8,3.0,7.2,5.5,83.5,4.7,0.05
2,9,4.8,9.0,7.2,75.5,5.6,0.02
2,10,6.0,10.0,8.5,70.5,6.5,0.05
2,11,7.0,12.0,9.5,65.0,7.8,0.03
2,12,7.6,13.4,10.7,60.5,8.1,0.13
2,13,8.0,14.0,11.0,59.0,9.2,0.06
2,14,9.0,15.0,11.5,59.0,9.2,0.05
2,15,8.7,15.1,11.8,57.5,8.1,0.02
2,16,8.0,15.0,11.0,60.0,8.3,0.05
2,17,7.0,13.0,10.0,62.0,7.4,0.05
2,18,5.5,11.0,8.3,70.5,5.6,0.1
2,19,5.1,10.0,7.9,75.0,5.6,0.05
2,20,5.0,9.0,7.4,79.0,6.3,0.05
2,21,4.0,8.8,6.5,81.0,5.6,0.03
2,22,3.0,9.0,6.5,82.0,6.5,0.03
2,23,4.0,9.0,6.0,84.0,5.6,0.07
3,0,5.0,10.0,7.7,79.0,5.6,0.07
3,1,4.5,9.3,7.3,79.5,5.6,0.01
3,2,4.0,9.1,6.5,81.5,5.8,0.01
3,3,3.1,8.8,6.0,81.5,5.6,0.01
3,4,3.0,8.0,5.5,83.0,5.6,0.01
3,5,3.0,7.7,5.3,85.0,5.6,0.02
3,6,2.9,8.0,5.3,85.5,5.1,0.12
3,7,5.0,9.0,7.5,82.0,5.8,0.0
3,8,7.0,11.0,9.0,71.5,7.4,0.0
3,9,8.8,12.4,10.7,65.0,7.4,0.0
3,10,10.0,14.0,12.0,62.5,9.2,0.02
3,11,10.0,15.0,13.0,57.5,9.2,0.02
3,12,10.6,15.9,13.5,54.0,8.3,0.06
3,13,11.0,17.0,14.0,50.0,9.2,0.0
3,14,11.0,17.3,14.5,49.0,8.5,0.0
3,15,11.0,17.6,14.7,49.5,8.1,0.01
3,16,11.0,17.1,14.0,49.5,8.3,0.0
3,17,10.8,16.0,13.5,55.0,8.3,0.0
3,18,8.7,14.5,11.9,60.5,6.5,0.1
3,19,8.6,14.0,11.1,63.0,6.5,0.0
3,20,7.7,13.0,10.4,66.5,6.5,0.01
3,21,6.8,11.6,9.3,71.0,5.6,0.01
3,22,6.0,11.0,9.0,73.5,6.5,0.02
3,23,5.5,11.0,8.3,77.0,6.5,0.01
4,0,8.5,13.0,10.8,75.0,6.1,0.13
4,1,8.4,12.5,10.6,76.3,6.5,0.05
4,2,8.0,12.5,10.1,77.5,5.9,0.06
4,3,7.7,11.8,9.6,81.8,5.4,0.03
4,4,7.0,12.0,9.5,82.5,5.3,0.02
4,5,7.0,11.0,8.5,83.0,4.7,0.05
4,6,8.8,12.7,10.4,77.5,5.4,0.13
4,7,10.0,14.4,12.4,71.8,7.4,0.05
4,8,11.0,16.8,14.0,64.5,8.3,0.03
4,9,12.3,18.1,15.1,59.8,8.3,0.03
4,10,13.0,19.0,16.0,56.0,9.3,0.07
4,11,14.0,20.0,17.5,52.8,9.2,0.06
4,12,14.6,20.9,18.1,49.3,9.1,0.22
4,13,15.0,21.0,18.2,48.5,9.4,0.08
4,14,15.0,22.0,18.4,47.3,9.6,0.06
4,15,14.6,22.0,18.4,48.5,8.5,0.03
4,16,14.6,22.0,18.0,48.0,9.8,0.06
4,17,14.0,21.0,17.5,49.8,10.1,0.06
4,18,13.0,19.9,16.4,54.3,8.3,0.13
4,19,12.0,18.7,15.1,58.8,7.6,0.05
4,20,11.0,17.0,14.0,65.3,6.5,0.05
4,21,10.2,16.3,13.1,69.5,6.3,0.02
4,22,10.0,15.0,12.5,70.5,7.1,0.06
4,23,9.0,14.0,11.9,72.5,6.5,0.06
5,0,12.9,17.9,15.6,82.0,5.8,0.26
5,1,13.0,18.0,15.5,83.0,6.5,0.06
5,2,12.7,17.0,14.9,83.0,5.7,0.05
5,3,12.2,16.3,14.5,86.0,4.7,0.03
5,4,12.0,16.0,14.4,86.0,6.1,0.04
5,5,12.0,17.0,14.5,84.5,5.8,0.02
5,6,13.4,17.9,15.6,79.5,6.5,0.18
5,7,14.9,19.0,17.0,74.0,7.4,0.03
5,8,16.0,20.0,18.0,68.0,8.3,0.03
5,9,16.5,22.0,19.3,64.0,8.1,0.02
5,10,17.0,23.0,19.5,60.5,8.3,0.05
5,11,18.0,23.0,20.5,58.5,8.6,0.05
5,12,18.3,24.2,20.6,54.0,8.3,0.25
5,13,19.0,25.0,21.5,53.0,9.1,0.05
5,14,19.0,25.0,22.0,51.5,9.2,0.06
5,15,18.5,25.3,22.1,52.0,8.5,0.03
5,16,18.8,25.0,21.6,54.5,9.6,0.04
5,17,18.0,25.0,21.5,57.0,9.2,0.05
