m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,2.0,4.1,8.1,5.2,4.0,0.38,2.0
1,2,-0.5,3.2,7.9,4.8,3.0,0.28,2.0
1,3,0.3,3.5,8.0,5.4,4.0,0.39,1.0
2,1,1.8,6.3,10.9,6.5,3.0,0.33,4.0
2,2,2.0,7.4,12.1,5.6,2.0,0.2,1.0
2,3,3.3,8.3,13.1,7.4,3.0,0.37,1.0
3,1,3.5,8.1,12.9,6.4,4.0,0.37,1.0
3,2,5.4,10.4,15.2,8.0,3.0,0.27,0.0
3,3,5.5,11.5,16.9,6.7,2.0,0.18,0.0
4,1,7.0,11.9,17.5,7.7,3.0,0.27,3.0
4,2,8.5,14.3,19.7,8.0,4.0,0.37,1.0
4,3,11.6,15.5,20.2,8.6,6.0,0.57,3.0
5,1,12.4,16.8,21.4,7.6,6.0,0.57,11.0
5,2,13.5,17.5,21.5,7.8,7.0,0.7,13.0
5,3,15.2,20.0,24.3,7.5,5.0,0.49,4.0
6,1,16.8,22.2,27.1,7.2,4.0,0.38,7.0
6,2,18.9,23.4,28.8,7.1,3.0,0.28,1.0
6,3,19.5,25.3,31.0,7.8,4.0,0.35,1.0
7,1,20.4,25.8,31.0,7.2,3.0,0.33,1.0
7,2,20.7,26.0,30.4,7.3,2.0,0.23,2.0
7,3,21.5,26.3,31.5,6.7,5.0,0.41,5.0
8,1,20.4,25.4,30.9,6.4,3.0,0.28,1.0
8,2,21.0,25.9,30.9,6.1,2.0,0.15,0.0
8,3,20.0,24.7,29.6,5.9,4.0,0.38,2.0
9,1,17.7,22.5,28.2,6.2,2.0,0.18,2.0
9,2,17.2,22.3,27.3,5.5,4.0,0.38,3.0
9,3,13.8,18.1,23.3,5.4,4.0,0.4,2.0
10,1,12.8,16.5,21.6,5.2,4.0,0.38,3.0
10,2,10.9,14.6,19.8,3.6,3.0,0.25,4.0
10,3,11.5,15.0,19.0,5.3,6.0,0.52,5.0
11,1,8.0,11.1,14.6,4.2,4.0,0.43,5.0
11,2,5.5,9.3,12.5,4.2,2.0,0.23,1.0
11,3,4.1,7.1,10.3,4.9,3.0,0.33,2.0
12,1,2.2,4.7,7.6,4.9,4.0,0.44,10.0
12,2,1.8,4.4,7.6,4.7,1.0,0.14,0.0
12,3,2.4,5.3,9.0,5.0,2.0,0.18,0.0
