m,m3,coco,coco_pct
11,1,2.0,0.099
8,2,4.0,0.003
8,3,11.0,0.0
4,3,27.0,0.0
4,3,6.0,0.0
12,1,26.0,0.0
8,3,12.0,0.0
3,2,18.0,0.001
9,3,19.0,0.0
7,2,6.0,0.0
8,3,7.0,0.029
6,1,26.0,0.0
10,2,6.0,0.0
10,3,4.0,0.077
4,3,17.0,0.001
12,1,9.0,0.014
12,2,26.0,0.0
2,3,9.0,0.037
11,1,6.0,0.0
7,1,27.0,0.001
9,1,22.0,0.0
8,3,25.0,0.034
6,3,6.0,0.0
10,3,18.0,0.004
10,1,21.0,0.0
2,2,6.0,0.0
12,1,22.0,0.0
12,1,25.0,0.0
6,3,21.0,0.0
12,3,22.0,0.0
8,2,18.0,0.013
8,1,22.0,0.0
4,1,15.0,0.0
8,2,6.0,0.0
11,2,8.0,0.018
8,2,2.0,0.323
7,2,21.0,0.0
2,3,26.0,0.0
8,2,14.0,0.0
6,3,9.0,0.005
1,3,1.0,0.359
9,1,25.0,0.019
6,2,4.0,0.007
2,2,11.0,0.0
8,2,12.0,0.0
6,3,7.0,0.044
9,3,21.0,0.0
10,1,3.0,0.129
10,2,17.0,0.0
3,2,1.0,0.487
7,1,6.0,0.0
12,1,12.0,0.01
4,2,22.0,0.0
4,2,5.0,0.011
9,2,23.0,0.0
11,3,9.0,0.004
3,3,15.0,0.0
5,2,10.0,0.0
3,3,26.0,0.0
9,2,9.0,0.0
2,3,8.0,0.018
5,3,2.0,0.408
10,2,2.0,0.251
12,3,26.0,0.0
7,1,22.0,0.0
7,2,17.0,0.001
8,3,6.0,0.0
5,1,21.0,0.0
1,1,4.0,0.102
11,1,19.0,0.0
10,1,18.0,0.004
6,1,14.0,0.0
1,1,7.0,0.075
5,3,9.0,0.004
12,1,11.0,0.0
3,3,25.0,0.002
10,1,22.0,0.0
3,2,19.0,0.0
11,2,10.0,0.0
2,2,18.0,0.0
4,2,1.0,0.494
3,3,21.0,0.0
1,2,9.0,0.001
4,3,15.0,0.0
8,1,19.0,0.0
5,3,8.0,0.017
3,3,18.0,0.002
6,1,21.0,0.0
8,1,25.0,0.028
1,3,2.0,0.126
8,1,11.0,0.0
10,3,17.0,0.001
1,3,6.0,0.0
1,2,19.0,0.0
12,2,14.0,0.004
5,2,11.0,0.0
2,1,25.0,0.001
5,2,2.0,0.273
3,3,6.0,0.0
3,3,14.0,0.0
11,3,5.0,0.228
11,1,15.0,0.0
10,3,19.0,0.0
4,2,15.0,0.0
7,1,12.0,0.0
3,3,9.0,0.009
3,3,5.0,0.032
