m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,1.2,3.9,7.0,0.0,5.1,0.33
1,1,2,0.9,4.2,8.3,0.2,5.2,0.5
1,1,3,1.5,4.7,8.8,0.4,5.4,0.5
1,1,4,2.7,5.4,8.2,0.0,4.4,0.25
1,1,5,2.0,5.3,9.2,0.8,5.2,0.5
1,1,6,2.0,4.0,6.8,0.8,5.0,0.75
1,1,7,1.9,4.4,6.3,0.2,5.0,0.5
1,1,8,2.0,3.5,6.0,0.0,5.3,0.25
1,1,9,2.0,3.7,8.0,0.0,7.6,0.25
1,1,10,-0.3,3.4,8.4,0.0,7.4,0.0
1,2,11,-2.5,1.8,8.2,0.0,3.8,0.0
1,2,12,-3.0,1.7,8.0,0.0,3.1,0.0
1,2,13,-2.8,2.0,7.5,0.0,4.3,0.0
1,2,14,-1.4,2.5,8.9,0.0,8.1,0.0
1,2,15,0.6,4.5,8.6,0.2,5.3,0.5
1,2,16,-1.0,3.7,8.5,0.0,4.8,0.25
1,2,17,0.0,3.9,7.8,0.3,4.8,0.5
1,2,18,0.0,3.6,7.1,0.0,5.5,0.25
1,2,19,0.9,4.1,6.3,1.3,5.3,0.75
1,2,20,0.3,2.8,7.3,0.1,4.4,0.5
1,3,21,-1.7,1.7,5.5,0.1,4.7,0.5
1,3,22,-0.9,2.9,8.0,0.4,4.2,0.5
1,3,23,-0.8,3.9,7.1,0.2,5.3,0.75
1,3,24,0.8,3.3,9.0,0.0,4.4,0.0
1,3,25,0.5,4.1,7.6,0.1,5.9,0.5
1,3,26,0.5,3.9,7.5,0.0,5.4,0.25
1,3,27,0.3,3.3,6.2,0.1,4.9,0.5
1,3,28,1.8,4.8,8.9,0.1,7.5,0.5
1,3,29,-1.1,3.9,9.7,0.0,5.9,0.25
1,3,30,1.0,4.8,9.6,0.1,6.3,0.5
1,3,31,0.9,4.9,9.6,0.2,5.8,0.5
2,1,1,3.5,5.8,10.5,0.2,6.2,0.5
2,1,2,1.4,6.9,11.3,0.0,7.9,0.0
2,1,3,1.8,6.7,11.2,0.0,6.3,0.25
2,1,4,4.0,7.4,13.5,0.0,11.2,0.25
2,1,5,2.2,6.4,11.2,0.0,7.9,0.25
2,1,6,0.9,6.0,10.4,0.0,4.5,0.25
2,1,7,1.8,5.7,10.3,0.0,6.5,0.25
2,1,8,0.4,5.2,9.5,0.5,5.2,0.5
2,1,9,1.7,5.8,10.2,0.4,5.3,0.5
2,1,10,5.5,7.2,9.3,2.1,6.3,0.5
2,2,11,4.0,8.3,12.2,0.7,9.0,0.75
2,2,12,2.6,7.6,12.1,0.2,9.8,0.5
2,2,13,0.8,5.9,11.5,0.0,5.4,0.0
2,2,14,1.0,5.9,10.7,0.0,6.3,0.25
2,2,15,0.0,4.8,11.2,0.0,4.3,0.0
2,2,16,-0.5,5.7,12.0,0.0,4.6,0.0
2,2,17,1.7,8.2,13.6,0.0,4.7,0.25
2,2,18,2.8,8.2,12.4,0.0,5.7,0.25
2,2,19,4.8,9.0,13.8,0.0,6.5,0.25
2,2,20,3.9,8.2,13.4,0.0,4.5,0.0
2,3,21,2.3,8.1,14.5,0.0,5.0,0.0
2,3,22,6.2,9.4,14.8,0.1,6.3,0.5
2,3,23,5.2,9.4,13.1,0.0,7.4,0.25
2,3,24,5.0,9.3,15.3,0.3,6.1,0.5
2,3,25,5.2,10.0,14.5,0.2,5.9,0.75
2,3,26,4.0,8.8,13.6,0.4,8.7,0.5
2,3,27,2.2,8.4,13.2,0.2,6.5,0.5
2,3,28,3.8,8.2,13.9,0.0,7.6,0.25
2,3,29,6.0,9.5,12.0,0.0,5.4,0.0
3,1,1,4.1,8.5,11.6,0.3,6.7,0.75
3,1,2,2.0,7.1,12.8,0.0,6.5,0.25
3,1,3,3.2,8.9,13.7,0.0,6.0,0.25
3,1,4,3.5,8.5,13.5,0.0,6.1,0.25
3,1,5,3.0,8.0,13.6,0.3,6.5,0.5
3,1,6,3.9,8.1,12.3,0.0,6.0,0.25
3,1,7,3.6,8.1,13.7,0.0,5.2,0.0
3,1,8,4.0,8.0,13.8,0.0,6.9,0.25
3,1,9,4.3,9.8,14.0,0.0,5.4,0.25
3,1,10,3.7,9.8,15.0,2.2,7.5,0.5
3,2,11,6.1,10.1,16.0,0.1,8.9,0.5
3,2,12,5.0,10.8,16.0,0.0,9.0,0.33
3,2,13,4.7,10.5,16.0,0.0,6.5,0.33
3,2,14,5.3,10.6,15.6,0.1,8.6,0.67
3,2,15,6.0,10.8,15.1,0.0,9.4,0.0
3,2,16,6.1,11.7,17.5,0.0,9.6,0.0
3,2,17,6.0,10.3,15.2,0.0,6.2,0.0
3,2,18,5.0,9.4,15.0,0.0,7.0,0.33
3,2,19,3.8,9.2,14.0,0.0,7.3,0.33
3,2,20,4.2,9.3,13.7,0.0,6.6,0.33
3,3,21,4.0,9.1,14.5,0.0,6.4,0.0
3,3,22,5.4,10.6,17.3,0.0,6.1,0.0
3,3,23,4.0,10.3,16.9,0.0,6.7,0.0
3,3,24,4.2,11.5,16.5,0.0,8.3,0.0
3,3,25,6.7,12.4,17.5,0.0,7.8,0.0
3,3,26,5.0,10.5,14.7,0.0,6.7,0.33
3,3,27,5.5,11.2,15.5,0.0,6.9,0.33
3,3,28,6.8,11.6,17.0,0.1,6.3,0.67
3,3,29,7.3,12.5,16.3,0.0,6.2,0.33
3,3,30,9.0,13.0,17.5,0.0,9.2,0.33
3,3,31,7.0,12.1,18.1,0.0,8.1,0.0
4,1,1,6.8,12.7,18.5,0.0,8.6,0.33
4,1,2,6.9,11.6,17.1,0.0,8.0,0.0
4,1,3,6.0,10.9,15.2,0.3,7.7,1.0
4,1,4,7.3,11.0,15.2,0.0,8.6,0.0
4,1,5,7.0,11.6,17.4,0.0,8.1,0.0
4,1,6,7.0,11.5,17.7,0.0,6.6,0.33
4,1,7,7.0,12.3,17.7,0.0,7.2,0.0
4,1,8,8.0,13.6,20.0,0.0,6.9,0.0
4,1,9,8.5,13.9,17.5,0.0,7.6,0.33
4,1,10,8.0,12.1,16.5,2.4,7.4,0.67
4,2,11,8.5,13.0,17.5,0.0,6.6,0.33
4,2,12,9.5,14.4,20.4,0.9,7.2,0.67
4,2,13,8.5,13.4,17.9,0.0,8.4,0.33
4,2,14,8.0,12.7,18.9,0.0,8.9,0.33
4,2,15,7.9,14.6,20.0,0.0,8.0,0.33
4,2,16,8.5,15.4,21.0,0.0,7.9,0.0
4,2,17,7.5,14.1,19.7,0.0,8.3,0.33
4,2,18,8.5,13.9,19.6,0.2,7.6,0.67
4,2,19,7.7,14.6,21.0,0.0,6.7,0.33
4,2,20,10.0,14.4,19.2,0.0,10.4,0.33
4,3,21,9.8,14.6,19.3,0.2,7.8,0.67
4,3,22,9.4,14.1,18.6,0.1,6.6,0.67
4,3,23,10.0,15.2,18.5,0.4,9.6,0.67
4,3,24,11.0,15.0,20.2,0.0,8.8,0.33
4,3,25,11.7,16.5,20.7,0.0,9.5,0.33
4,3,26,11.9,16.2,20.5,0.9,8.5,0.67
4,3,27,11.8,15.2,19.1,0.7,7.1,0.67
4,3,28,12.0,15.8,20.7,0.1,8.6,0.67
4,3,29,11.4,15.8,20.1,0.0,7.8,0.33
4,3,30,12.0,16.4,22.0,0.1,8.7,0.67
5,1,1,12.2,15.9,19.7,1.2,7.7,0.67
5,1,2,11.3,15.4,19.1,2.8,9.4,1.0
5,1,3,11.1,15.9,19.6,0.4,7.0,0.67
5,1,4,12.7,16.8,22.0,0.0,6.9,0.33
5,1,5,11.9,16.8,20.8,0.0,8.4,0.0
5,1,6,10.5,16.0,20.5,0.0,9.0,0.33
5,1,7,14.0,17.7,22.0,1.1,7.5,1.0
5,1,8,12.5,17.0,22.5,5.4,7.7,0.67
5,1,9,12.6,18.1,23.1,0.0,6.7,0.33
5,1,10,13.4,18.7,23.5,0.4,6.4,0.67
5,2,11,13.5,18.1,22.2,0.0,9.2,0.33
5,2,12,13.6,17.6,22.0,2.9,7.1,0.67
5,2,13,13.5,17.3,21.5,1.0,8.9,1.0
5,2,14,12.4,16.7,21.5,5.6,7.7,1.0
5,2,15,12.1,15.7,19.3,0.2,7.7,0.67
5,2,16,12.7,16.7,20.6,1.9,6.7,1.0
5,2,17,13.4,17.4,21.5,0.3,8.4,0.67
5,2,18,14.5,18.6,22.8,0.0,6.6,0.33
5,2,19,14.8,17.7,20.5,0.1,8.0,0.67
5,2,20,14.0,18.1,21.7,1.3,7.8,0.67
5,3,21,15.0,20.0,25.3,0.4,8.7,1.0
5,3,22,15.0,20.0,24.1,0.3,7.0,0.67
5,3,23,16.2,19.9,25.5,0.9,5.7,0.67
5,3,24,13.9,18.9,24.3,0.4,7.5,0.67
5,3,25,14.5,19.3,24.2,1.6,7.7,0.67
5,3,26,14.4,21.2,26.6,0.0,5.9,0.0
5,3,27,17.0,20.7,26.2,0.0,7.3,0.0
5,3,28,15.2,20.2,25.3,0.0,7.4,0.25
5,3,29,16.0,19.3,23.4,0.0,9.4,0.25
5,3,30,15.6,20.4,24.0,0.1,7.8,0.5
5,3,31,15.9,19.9,24.2,0.2,8.2,0.75
6,1,1,15.2,21.3,27.0,0.0,7.0,0.0
6,1,2,16.5,21.7,27.6,0.0,6.9,0.0
6,1,3,16.3,22.5,27.3,0.0,6.1,0.25
6,1,4,16.8,22.0,27.1,0.1,7.4,0.5
6,1,5,17.5,22.3,28.3,0.2,7.5,0.75
6,1,6,16.8,22.1,26.9,0.0,7.4,0.25
6,1,7,17.7,22.1,26.8,6.5,7.8,0.75
6,1,8,16.7,22.2,26.7,0.1,6.4,0.5
6,1,9,16.7,22.7,27.8,0.1,7.0,0.5
6,1,10,18.2,23.2,27.1,0.0,7.6,0.25
6,2,11,16.7,22.8,26.8,0.1,6.9,0.5
6,2,12,16.7,22.2,28.1,0.0,6.2,0.25
6,2,13,17.4,23.2,28.5,0.7,7.0,0.5
6,2,14,18.4,23.5,27.8,0.0,8.3,0.25
6,2,15,19.3,23.2,27.9,0.0,8.2,0.25
6,2,16,19.0,23.2,29.0,0.0,7.1,0.25
6,2,17,18.9,24.6,29.9,0.0,6.7,0.25
6,2,18,18.8,25.3,31.1,0.0,6.4,0.0
