m,coco,coco_pct
10,14.0,0.0
11,21.0,0.0
10,25.0,0.009
10,3.0,0.168
12,12.0,0.0
9,27.0,0.0
3,12.0,0.0
8,3.0,0.069
10,16.0,0.0
4,14.0,0.0
6,12.0,0.0
10,4.0,0.005
2,21.0,0.002
3,8.0,0.026
1,1.0,0.298
1,7.0,0.119
4,3.0,0.215
7,27.0,0.0
11,18.0,0.003
7,25.0,0.003
5,8.0,0.028
11,16.0,0.0
5,3.0,0.182
5,12.0,0.0
6,14.0,0.0
7,2.0,0.231
5,14.0,0.0
11,3.0,0.233
6,17.0,0.004
1,15.0,0.0
7,18.0,0.001
5,9.0,0.011
1,3.0,0.225
8,14.0,0.0
12,1.0,0.289
6,16.0,0.0
4,12.0,0.0
9,26.0,0.001
12,21.0,0.0
2,18.0,0.002
3,15.0,0.0
8,25.0,0.007
7,26.0,0.0
5,16.0,0.0
3,4.0,0.011
1,4.0,0.013
11,8.0,0.073
9,8.0,0.024
4,8.0,0.023
10,9.0,0.012
2,3.0,0.213
9,4.0,0.001
3,9.0,0.016
10,1.0,0.372
8,8.0,0.005
7,8.0,0.004
8,9.0,0.0
7,3.0,0.035
3,18.0,0.002
12,3.0,0.228
6,18.0,0.001
11,4.0,0.009
8,12.0,0.0
9,15.0,0.0
3,27.0,0.0
10,5.0,0.03
11,14.0,0.0
9,21.0,0.0
5,26.0,0.0
6,2.0,0.272
5,4.0,0.015
6,9.0,0.003
1,17.0,0.012
8,5.0,0.005
5,15.0,0.0
12,26.0,0.0
4,1.0,0.368
11,25.0,0.009
9,7.0,0.044
3,3.0,0.232
2,26.0,0.0
4,17.0,0.007
2,9.0,0.022
11,27.0,0.0
2,15.0,0.0
7,17.0,0.001
1,25.0,0.003
8,15.0,0.0
10,18.0,0.001
3,5.0,0.028
4,25.0,0.002
3,1.0,0.338
12,16.0,0.0
2,4.0,0.01
10,26.0,0.001
8,1.0,0.574
10,2.0,0.301
10,17.0,0.006
2,27.0,0.0
12,7.0,0.103
6,7.0,0.03
9,25.0,0.009
6,8.0,0.012
6,5.0,0.019
8,7.0,0.013
10,8.0,0.032
12,25.0,0.004
1,2.0,0.206
6,1.0,0.531
5,27.0,0.0
10,12.0,0.0
5,5.0,0.018
1,8.0,0.041
5,2.0,0.343
11,17.0,0.016
8,16.0,0.0
7,15.0,0.0
8,4.0,0.001
9,3.0,0.126
8,27.0,0.0
6,15.0,0.0
1,12.0,0.0
6,26.0,0.0
9,16.0,0.0
6,3.0,0.122
9,17.0,0.009
9,12.0,0.0
10,21.0,0.0
5,18.0,0.0
2,17.0,0.007
3,26.0,0.0
4,5.0,0.04
4,7.0,0.06
7,7.0,0.012
3,17.0,0.014
9,2.0,0.326
12,14.0,0.0
8,21.0,0.0
1,27.0,0.0
1,5.0,0.058
1,18.0,0.003
5,25.0,0.007
7,4.0,0.0
1,26.0,0.0
1,21.0,0.0
7,1.0,0.699
2,2.0,0.248
6,21.0,0.0
4,26.0,0.0
9,5.0,0.005
2,25.0,0.002
7,14.0,0.0
7,9.0,0.0
6,25.0,0.005
4,4.0,0.012
4,27.0,0.0
7,16.0,0.0
10,7.0,0.062
4,21.0,0.0
5,21.0,0.0
9,18.0,0.006
3,25.0,0.004
11,5.0,0.026
11,12.0,0.0
2,1.0,0.317
5,17.0,0.007
5,7.0,0.079
12,27.0,0.0
12,9.0,0.028
7,5.0,0.012
11,26.0,0.0
3,16.0,0.0
7,21.0,0.0
10,27.0,0.0
11,2.0,0.201
1,16.0,0.0
1,14.0,0.0
2,16.0,0.0
4,9.0,0.011
10,15.0,0.0
2,14.0,0.005
4,18.0,0.001
8,2.0,0.312
9,1.0,0.432
5,1.0,0.31
3,21.0,0.0
8,26.0,0.0
3,14.0,0.0
12,2.0,0.216
11,7.0,0.124
2,5.0,0.086
9,14.0,0.0
11,1.0,0.26
12,17.0,0.013
8,18.0,0.004
12,15.0,0.0
3,2.0,0.259
11,9.0,0.046
4,16.0,0.0
8,17.0,0.01
6,27.0,0.0
4,2.0,0.26
7,12.0,0.0
2,7.0,0.052
2,12.0,0.002
2,8.0,0.031
3,7.0,0.07
1,9.0,0.023
12,5.0,0.04
12,8.0,0.064
12,18.0,0.002
4,15.0,0.0
6,4.0,0.002
9,9.0,0.017
12,4.0,0.012
11,15.0,0.0
