m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,5.0,7.7,12.1,0.0,7.0,0.0
1,1,2,2.7,7.2,11.1,0.0,8.7,0.2
1,1,3,4.4,7.9,12.5,0.7,9.5,0.4
1,1,4,3.6,6.5,11.3,0.0,9.7,0.2
1,1,5,2.7,7.0,11.6,0.2,8.8,0.6
1,1,6,4.5,7.4,10.9,0.4,11.4,0.4
1,1,7,4.3,7.5,10.7,0.0,9.5,0.2
1,1,8,4.7,6.7,10.0,0.6,14.7,0.6
1,1,9,4.5,7.1,10.9,4.9,13.0,1.0
1,1,10,4.6,6.7,8.9,2.9,17.1,0.8
1,2,11,3.6,5.9,8.1,1.2,15.6,0.6
1,2,12,2.7,5.4,8.1,0.0,21.5,0.2
1,2,13,0.8,4.5,8.8,0.0,14.3,0.0
1,2,14,1.5,5.0,11.0,0.1,14.5,0.4
1,2,15,2.7,5.9,10.0,0.1,12.2,0.4
1,2,16,3.6,6.4,10.2,0.4,12.8,0.6
1,2,17,2.8,6.7,9.3,0.2,11.7,0.6
1,2,18,3.0,6.1,9.8,0.6,14.7,0.8
1,2,19,0.9,5.1,10.6,2.4,10.1,0.6
1,2,20,1.3,4.8,9.1,1.3,15.8,0.8
1,3,21,2.0,4.7,9.0,0.1,18.4,0.6
1,3,22,1.4,4.8,9.0,0.3,11.7,0.4
1,3,23,3.4,6.9,10.9,7.8,12.5,0.8
1,3,24,3.4,6.1,9.8,1.2,13.2,0.8
1,3,25,1.6,5.6,10.1,0.2,11.9,0.4
1,3,26,3.1,5.0,8.8,0.3,12.6,0.4
1,3,27,2.7,5.4,9.9,0.0,11.1,0.2
1,3,28,1.5,4.8,9.4,0.1,13.6,0.4
1,3,29,2.2,5.7,10.2,0.1,12.3,0.4
1,3,30,2.6,6.2,11.7,0.0,11.0,0.2
1,3,31,1.4,6.0,11.3,1.6,10.9,0.6
2,1,1,2.6,6.2,11.3,0.1,14.5,0.4
2,1,2,4.2,7.3,11.9,0.1,13.6,0.4
2,1,3,2.5,7.3,12.0,0.0,12.0,0.2
2,1,4,3.8,7.8,13.2,0.0,12.7,0.0
2,1,5,2.9,6.5,10.8,0.0,13.4,0.0
2,1,6,4.0,7.4,11.5,0.0,11.7,0.0
2,1,7,2.6,6.7,12.0,0.6,13.6,0.4
2,1,8,2.6,7.9,12.2,0.7,12.6,0.6
2,1,9,3.3,7.2,12.8,0.1,10.9,0.4
2,1,10,3.1,8.0,11.7,0.0,16.0,0.2
2,2,11,2.9,6.9,11.0,1.1,11.8,0.4
2,2,12,3.8,6.6,10.5,1.1,13.4,0.6
2,2,13,2.8,6.9,10.9,2.6,14.7,0.4
2,2,14,2.8,7.0,11.9,0.5,15.0,0.6
2,2,15,3.5,6.9,10.7,0.5,11.9,0.4
2,2,16,1.8,5.5,11.0,0.0,8.8,0.2
2,2,17,2.7,6.5,12.5,0.0,9.8,0.2
2,2,18,2.8,7.5,13.3,0.0,11.3,0.0
2,2,19,4.2,8.3,13.5,0.1,10.4,0.4
2,2,20,4.2,8.3,13.3,0.2,11.3,0.4
2,3,21,3.9,8.2,13.4,0.0,9.6,0.2
2,3,22,4.6,8.4,12.5,0.0,11.6,0.2
2,3,23,6.1,9.2,13.5,0.1,8.9,0.6
2,3,24,5.9,9.3,14.3,0.2,12.0,0.4
2,3,25,5.8,9.3,13.6,1.9,10.0,0.6
2,3,26,4.0,8.9,12.0,16.2,18.4,0.6
2,3,27,5.8,8.0,10.6,2.2,20.9,0.8
2,3,28,4.4,7.5,10.5,2.2,14.3,0.8
2,3,29,11.6,11.9,12.3,15.1,30.0,1.0
3,1,1,4.1,7.6,10.4,5.9,16.3,0.8
3,1,2,4.1,8.0,11.6,0.7,13.6,0.6
3,1,3,3.6,7.0,12.1,0.7,12.6,0.4
3,1,4,2.4,7.3,11.4,1.8,13.7,0.4
3,1,5,4.5,8.3,13.4,0.1,12.9,0.4
3,1,6,3.2,7.8,11.0,2.1,11.8,0.8
3,1,7,2.8,6.9,11.1,0.2,13.4,0.4
3,1,8,4.0,7.9,11.5,0.8,12.9,0.8
3,1,9,5.9,8.7,11.6,2.1,12.8,0.4
3,1,10,5.4,9.2,14.2,2.6,17.1,0.8
3,2,11,5.5,9.3,14.9,5.6,12.4,0.4
3,2,12,5.8,9.8,13.1,0.2,10.7,0.5
3,2,13,4.1,9.6,15.3,0.0,11.9,0.0
3,2,14,4.7,9.6,14.9,2.1,11.2,0.5
3,2,15,5.5,8.6,13.7,0.2,16.3,0.5
3,2,16,5.2,9.2,13.1,0.3,14.1,0.5
3,2,17,4.1,9.0,14.1,0.0,8.3,0.0
3,2,18,4.5,9.4,13.6,0.4,12.0,0.5
3,2,19,4.8,8.0,10.9,0.4,13.1,0.5
3,2,20,3.7,8.1,11.3,0.7,10.4,0.75
3,3,21,4.6,8.6,12.7,0.9,14.9,0.75
3,3,22,5.1,9.0,14.0,0.1,17.0,0.5
3,3,23,5.9,10.4,16.0,0.0,18.2,0.0
3,3,24,8.1,12.0,16.3,0.0,11.8,0.25
3,3,25,5.7,12.2,16.7,0.0,11.6,0.25
3,3,26,7.1,10.5,16.0,0.0,14.5,0.25
3,3,27,7.4,10.5,14.4,1.7,12.5,0.5
3,3,28,6.3,10.3,14.1,0.8,12.6,0.5
3,3,29,7.5,11.0,16.5,0.0,13.2,0.0
3,3,30,8.1,12.4,16.8,0.0,13.0,0.25
3,3,31,10.0,13.4,16.9,0.0,10.9,0.25
4,1,1,9.5,14.3,20.3,0.6,13.8,0.75
4,1,2,10.6,13.9,17.0,1.1,13.2,0.75
4,1,3,8.6,11.6,14.1,0.7,12.3,0.75
4,1,4,6.7,10.1,13.6,0.5,15.7,0.5
4,1,5,4.8,8.9,13.2,0.0,11.2,0.25
4,1,6,6.1,9.2,13.5,1.8,11.9,0.5
4,1,7,7.8,11.1,15.5,0.0,12.8,0.25
4,1,8,8.3,12.8,16.8,0.0,13.8,0.25
4,1,9,8.9,12.6,16.6,0.9,15.2,0.5
4,1,10,7.6,11.2,15.2,0.2,13.5,0.75
4,2,11,8.7,11.7,15.5,0.1,11.9,0.5
4,2,12,10.8,12.8,16.5,0.0,9.8,0.25
4,2,13,7.5,10.9,13.8,1.6,15.2,0.5
4,2,14,6.5,10.0,13.3,0.0,11.7,0.25
4,2,15,8.2,11.6,15.1,0.0,14.3,0.25
4,2,16,8.7,11.2,14.8,0.2,15.2,0.5
4,2,17,7.9,10.8,13.6,0.0,17.5,0.25
4,2,18,8.3,10.6,13.4,0.9,12.7,0.5
4,2,19,8.0,11.9,15.7,0.2,14.7,0.75
4,2,20,8.1,11.7,14.1,0.2,13.6,0.75
4,3,21,7.8,12.0,15.1,0.9,13.8,0.75
4,3,22,9.8,12.5,15.8,4.4,15.8,0.75
4,3,23,10.6,13.0,16.3,0.2,13.6,0.75
4,3,24,10.1,14.1,18.2,4.1,11.8,0.75
4,3,25,7.3,12.6,17.1,2.6,11.3,0.75
4,3,26,8.3,12.6,16.4,0.6,10.9,0.75
4,3,27,9.9,13.1,17.0,0.0,12.6,0.25
4,3,28,9.1,13.2,17.5,0.0,12.5,0.25
4,3,29,9.1,13.7,18.2,0.6,11.0,0.5
4,3,30,10.1,14.3,18.2,0.0,10.3,0.25
5,1,1,10.9,14.6,18.7,6.9,10.6,1.0
5,1,2,12.2,15.9,19.4,4.1,16.4,1.0
5,1,3,11.4,14.4,17.7,2.4,15.3,0.5
5,1,4,9.2,14.4,18.5,0.0,13.5,0.25
5,1,5,9.6,15.0,20.2,0.0,11.9,0.25
5,1,6,11.7,16.2,20.7,0.0,13.9,0.25
5,1,7,12.5,16.0,19.8,1.0,12.1,0.5
5,1,8,12.7,15.3,18.2,0.3,11.3,0.75
5,1,9,12.0,15.9,19.9,0.0,10.9,0.0
