m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,4.3,7.3,5.9,89.5,10.5,0.16
1,1,1,3.9,7.2,5.9,88.5,11.1,0.18
1,1,2,4.2,6.8,5.8,89.0,11.0,0.1
1,1,3,4.1,7.1,5.7,89.3,10.5,0.08
1,1,4,4.5,6.8,5.6,89.5,9.7,0.1
1,1,5,4.0,6.4,5.2,88.0,10.7,0.1
1,1,6,3.9,6.8,5.3,87.5,10.1,0.1
1,1,7,4.1,6.7,5.2,87.3,9.9,0.02
1,1,8,5.4,7.8,6.3,82.8,9.0,0.08
1,1,9,6.7,9.1,7.8,82.0,8.6,0.14
1,1,10,8.1,10.8,9.3,78.3,10.1,0.18
1,1,11,9.3,11.8,10.4,73.8,9.2,0.2
1,1,12,9.5,12.4,10.6,72.8,9.6,0.08
1,1,13,9.4,12.6,10.9,72.5,10.4,0.16
1,1,14,9.0,11.7,10.4,74.8,11.1,0.2
1,1,15,7.8,10.6,9.3,83.5,11.1,0.18
1,1,16,6.8,9.2,8.2,84.8,10.9,0.16
1,1,17,6.1,8.6,7.3,88.3,11.0,0.16
1,1,18,5.4,7.9,6.9,88.3,11.1,0.14
1,1,19,4.6,8.0,6.6,88.3,10.5,0.12
1,1,20,4.7,7.6,6.3,87.8,10.5,0.08
1,1,21,4.8,7.3,6.1,87.3,9.8,0.08
1,1,22,4.4,7.1,6.0,86.5,10.9,0.14
1,1,23,4.4,7.4,5.8,87.3,12.0,0.18
1,2,0,3.0,5.9,4.2,80.3,15.2,0.14
1,2,1,3.1,5.4,4.2,79.0,13.8,0.12
1,2,2,3.0,5.4,4.2,77.8,15.6,0.08
1,2,3,2.8,5.3,3.7,80.0,14.5,0.08
1,2,4,2.5,5.0,3.3,81.8,13.1,0.08
1,2,5,2.5,5.1,3.4,81.8,13.3,0.08
1,2,6,1.9,5.2,3.4,83.8,13.5,0.08
1,2,7,1.9,5.3,3.5,84.3,12.5,0.14
1,2,8,4.2,5.9,5.1,82.3,12.8,0.12
1,2,9,5.4,7.7,6.5,77.0,12.6,0.14
1,2,10,6.8,9.1,7.9,70.3,13.6,0.12
1,2,11,7.8,9.9,8.7,62.8,14.4,0.14
1,2,12,7.7,10.7,9.4,61.8,14.8,0.1
1,2,13,7.2,10.4,9.1,63.8,14.7,0.1
1,2,14,7.0,10.4,9.0,65.0,15.1,0.1
1,2,15,6.3,9.3,8.1,72.0,12.5,0.08
1,2,16,5.0,7.2,6.3,80.3,12.3,0.08
1,2,17,4.3,6.9,5.7,79.3,11.6,0.08
1,2,18,3.9,6.1,5.2,83.5,12.2,0.08
1,2,19,3.8,5.4,4.8,84.8,12.0,0.18
1,2,20,3.0,5.7,4.6,83.0,13.0,0.1
1,2,21,3.6,5.4,4.8,82.3,12.9,0.08
1,2,22,3.2,5.5,4.5,82.0,13.5,0.1
1,2,23,3.0,5.0,4.4,82.3,14.4,0.14
1,3,0,2.6,4.4,3.6,86.0,11.9,0.15
1,3,1,2.8,4.1,3.4,85.5,12.3,0.11
1,3,2,2.6,4.0,3.2,87.0,13.0,0.13
1,3,3,2.4,4.5,3.3,88.0,13.2,0.07
1,3,4,2.5,4.6,3.7,87.0,13.0,0.09
1,3,5,2.2,4.5,3.2,84.5,11.7,0.07
1,3,6,1.8,4.6,3.4,83.0,11.7,0.11
1,3,7,2.5,5.1,3.9,82.0,11.4,0.15
1,3,8,4.3,6.3,5.2,79.5,12.4,0.15
1,3,9,5.6,7.9,6.8,77.0,12.8,0.15
1,3,10,7.2,9.4,7.8,72.0,11.9,0.11
