m,coco,coco_pct
1,8.0,0.023
3,27.0,0.0
9,27.0,0.001
12,9.0,0.013
3,17.0,0.002
10,7.0,0.069
11,3.0,0.332
8,4.0,0.001
11,14.0,0.0
5,8.0,0.031
7,5.0,0.002
5,13.0,0.0
12,12.0,0.0
4,17.0,0.0
6,27.0,0.0
8,27.0,0.0
7,7.0,0.009
3,1.0,0.283
2,18.0,0.0
11,7.0,0.099
5,27.0,0.001
3,25.0,0.003
11,15.0,0.0
1,27.0,0.0
4,7.0,0.058
7,3.0,0.04
7,4.0,0.0
1,7.0,0.075
2,8.0,0.022
6,9.0,0.001
3,13.0,0.0
8,17.0,0.0
7,8.0,0.004
4,3.0,0.218
9,15.0,0.0
10,18.0,0.0
7,14.0,0.0
10,2.0,0.331
7,17.0,0.0
2,7.0,0.074
10,1.0,0.244
12,4.0,0.19
10,15.0,0.0
2,2.0,0.253
6,1.0,0.356
3,14.0,0.001
3,12.0,0.001
9,4.0,0.006
8,13.0,0.0
11,8.0,0.043
12,2.0,0.171
1,14.0,0.0
4,14.0,0.0
11,17.0,0.0
7,13.0,0.0
9,1.0,0.355
11,2.0,0.245
8,2.0,0.399
9,5.0,0.0
2,15.0,0.0
5,15.0,0.0
7,1.0,0.607
5,2.0,0.45
5,9.0,0.005
6,12.0,0.0
12,15.0,0.0
1,3.0,0.274
1,12.0,0.0
12,8.0,0.04
6,7.0,0.029
5,18.0,0.001
6,2.0,0.469
11,12.0,0.0
2,27.0,0.0
2,17.0,0.001
1,18.0,0.0
7,18.0,0.0
9,9.0,0.004
10,13.0,0.0
1,25.0,0.0
4,4.0,0.026
10,8.0,0.026
8,25.0,0.01
9,25.0,0.022
10,4.0,0.032
4,9.0,0.005
4,8.0,0.02
11,13.0,0.0
6,4.0,0.005
6,8.0,0.006
1,15.0,0.0
6,15.0,0.0
8,7.0,0.01
5,4.0,0.028
3,9.0,0.002
9,7.0,0.035
6,13.0,0.0
10,14.0,0.0
10,9.0,0.011
8,5.0,0.0
9,2.0,0.426
9,8.0,0.016
8,3.0,0.046
11,27.0,0.0
7,27.0,0.0
2,1.0,0.321
5,14.0,0.0
11,25.0,0.006
2,9.0,0.009
11,4.0,0.075
7,12.0,0.0
9,12.0,0.0
12,25.0,0.003
4,25.0,0.01
12,14.0,0.0
7,9.0,0.001
3,7.0,0.06
10,25.0,0.005
1,1.0,0.241
9,3.0,0.131
5,7.0,0.076
5,17.0,0.001
12,13.0,0.0
10,5.0,0.001
4,1.0,0.276
1,13.0,0.0
10,27.0,0.001
1,5.0,0.052
11,18.0,0.0
1,17.0,0.0
6,25.0,0.02
11,1.0,0.173
9,18.0,0.006
12,7.0,0.108
4,18.0,0.0
10,3.0,0.281
11,9.0,0.025
5,1.0,0.141
12,18.0,0.001
9,17.0,0.0
2,13.0,0.0
7,25.0,0.003
10,12.0,0.0
3,4.0,0.036
9,13.0,0.0
6,3.0,0.106
8,14.0,0.0
5,5.0,0.009
4,5.0,0.006
8,9.0,0.0
8,15.0,0.0
8,12.0,0.0
3,2.0,0.369
8,1.0,0.524
4,2.0,0.381
3,5.0,0.002
1,2.0,0.195
12,3.0,0.219
8,8.0,0.007
4,15.0,0.0
12,17.0,0.0
6,5.0,0.005
3,8.0,0.027
12,1.0,0.234
1,4.0,0.136
12,27.0,0.0
5,25.0,0.02
2,5.0,0.013
7,2.0,0.335
5,3.0,0.238
3,3.0,0.213
6,17.0,0.001
2,12.0,0.001
4,12.0,0.0
2,3.0,0.204
6,14.0,0.0
4,27.0,0.0
3,15.0,0.001
6,18.0,0.003
2,4.0,0.095
9,14.0,0.0
8,18.0,0.002
2,25.0,0.002
7,15.0,0.0
11,5.0,0.003
1,9.0,0.005
3,18.0,0.0
10,17.0,0.0
12,5.0,0.023
4,13.0,0.0
2,14.0,0.005
5,12.0,0.0
