m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,1.7,7.6,4.3,88.0,7.4,0.14
1,1,1.5,7.6,4.4,89.5,7.4,0.15
1,2,1.4,7.5,4.5,90.0,6.5,0.18
1,3,1.4,6.7,4.2,89.5,6.5,0.13
1,4,1.1,6.5,4.2,91.5,6.5,0.14
1,5,0.7,6.1,3.8,91.0,6.5,0.17
1,6,0.2,5.7,3.2,94.5,5.6,0.19
1,7,1.2,6.2,4.0,92.0,5.6,0.16
1,8,2.2,6.7,4.5,91.0,5.6,0.18
1,9,3.0,7.1,5.1,89.0,6.5,0.18
1,10,3.7,8.6,6.2,82.5,7.4,0.16
1,11,4.9,9.2,7.3,77.0,8.3,0.16
1,12,6.0,9.9,8.2,72.0,9.3,0.17
1,13,6.3,10.3,8.5,70.5,9.3,0.15
1,14,6.7,10.7,8.8,69.5,8.4,0.16
1,15,7.0,10.7,9.1,67.5,8.3,0.17
1,16,5.9,10.0,8.0,74.5,7.4,0.17
1,17,4.7,8.8,6.9,79.0,7.4,0.15
1,18,3.4,7.8,5.8,85.0,7.4,0.19
1,19,3.0,7.8,5.5,88.5,7.4,0.14
1,20,2.5,7.7,5.1,89.5,7.4,0.15
1,21,2.2,7.1,4.8,89.0,7.4,0.15
1,22,2.0,7.3,4.6,89.0,7.4,0.15
1,23,1.8,7.5,4.4,90.0,7.4,0.17
2,0,3.2,7.1,5.5,87.5,6.5,0.09
2,1,3.3,7.3,5.6,89.5,6.5,0.09
2,2,3.1,7.4,5.4,90.0,7.4,0.09
2,3,2.5,6.7,4.8,90.5,6.5,0.12
2,4,2.4,6.9,4.9,90.0,6.5,0.14
2,5,2.2,6.8,4.5,90.0,7.4,0.14
2,6,1.3,5.4,3.6,93.0,6.5,0.09
2,7,3.2,7.0,5.1,87.0,7.3,0.14
2,8,4.9,8.1,6.3,82.5,7.4,0.16
2,9,5.3,9.5,7.5,78.0,7.4,0.1
2,10,7.9,10.5,9.0,71.5,8.4,0.19
2,11,9.0,11.7,10.1,67.5,10.2,0.22
2,12,7.8,12.6,10.4,64.0,11.1,0.21
2,13,9.5,13.1,11.2,61.0,10.3,0.21
2,14,10.1,13.5,11.6,59.5,10.2,0.22
2,15,8.6,13.7,11.3,59.5,10.2,0.16
2,16,9.0,12.6,10.8,65.5,8.3,0.1
2,17,7.9,11.2,9.5,73.0,7.4,0.09
2,18,5.3,9.8,7.9,79.5,6.5,0.16
