m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,2.7,3.9,8.6,4.9,3.0,0.33,13.0
1,2,1.2,3.1,8.2,5.3,2.0,0.16,3.0
1,3,1.8,3.6,9.3,5.4,2.0,0.19,5.0
2,1,3.5,5.7,9.9,4.6,3.0,0.29,15.0
2,2,3.7,6.1,11.4,4.4,1.0,0.1,1.0
2,3,4.8,7.4,12.4,4.9,3.0,0.3,7.0
3,1,4.0,7.2,12.3,5.5,3.0,0.27,25.0
3,2,5.9,8.7,14.2,7.4,2.0,0.21,11.0
3,3,6.2,10.0,14.8,6.4,3.0,0.28,14.0
4,1,6.7,10.7,15.7,7.3,3.0,0.3,30.0
4,2,8.4,12.9,17.9,7.6,2.0,0.2,20.0
4,3,10.2,13.9,17.9,6.1,5.0,0.46,50.0
5,1,11.7,15.1,19.5,5.7,5.0,0.5,51.0
5,2,12.3,16.2,20.4,6.1,6.0,0.6,90.0
5,3,13.7,18.0,22.7,5.8,6.0,0.51,35.0
6,1,15.3,19.9,24.4,5.8,5.0,0.53,60.0
6,2,17.4,22.4,27.0,5.4,3.0,0.29,36.0
6,3,18.5,23.1,27.9,5.6,4.0,0.37,25.0
7,1,18.8,23.4,28.1,6.1,3.0,0.3,18.0
7,2,19.0,24.1,28.5,6.0,3.0,0.34,36.0
7,3,20.3,24.8,29.9,5.5,4.0,0.36,51.0
8,1,18.8,23.8,28.9,5.9,3.0,0.32,49.0
8,2,19.0,23.9,29.0,5.6,3.0,0.34,32.0
8,3,18.2,21.7,27.1,5.3,4.0,0.35,57.0
9,1,16.5,20.0,25.3,5.2,4.0,0.4,33.0
9,2,16.4,20.0,24.6,4.7,3.0,0.29,38.0
9,3,12.9,16.2,21.4,4.9,3.0,0.32,33.0
10,1,12.1,15.0,20.0,4.6,4.0,0.36,53.0
10,2,10.9,13.3,18.5,4.4,3.0,0.3,39.0
10,3,11.2,13.4,17.3,4.0,5.0,0.44,50.0
11,1,7.7,10.3,13.8,4.4,4.0,0.41,55.0
11,2,6.2,8.0,13.0,4.3,4.0,0.36,25.0
11,3,4.4,6.0,10.9,4.8,3.0,0.3,37.0
12,1,2.6,3.9,8.9,4.6,4.0,0.37,34.0
12,2,2.5,3.5,8.6,4.3,3.0,0.26,8.0
12,3,3.7,4.3,9.3,3.7,2.0,0.16,1.0
