m,m3,coco,coco_pct
3,3,9.0,0.031
12,2,7.0,0.061
2,2,18.0,0.0
1,1,1.0,0.377
9,1,18.0,0.011
8,1,13.0,0.0
1,1,13.0,0.0
10,2,8.0,0.022
6,1,27.0,0.0
6,1,2.0,0.346
8,1,3.0,0.137
1,3,9.0,0.004
9,3,25.0,0.005
10,1,21.0,0.0
1,3,26.0,0.0
7,1,8.0,0.031
10,3,14.0,0.0
7,3,3.0,0.108
8,3,12.0,0.0
5,1,17.0,0.006
11,3,1.0,0.291
8,3,25.0,0.023
7,2,25.0,0.019
8,1,15.0,0.0
4,2,3.0,0.175
12,2,1.0,0.389
7,1,13.0,0.0
6,1,26.0,0.003
5,2,25.0,0.004
4,3,13.0,0.0
12,1,4.0,0.167
11,2,16.0,0.0
1,2,1.0,0.492
5,3,5.0,0.012
10,1,5.0,0.073
11,2,15.0,0.0
12,3,25.0,0.0
3,1,17.0,0.002
12,3,2.0,0.181
9,3,7.0,0.09
4,2,1.0,0.282
4,1,7.0,0.097
6,1,9.0,0.01
9,2,17.0,0.001
12,2,3.0,0.112
3,3,21.0,0.0
10,1,17.0,0.004
3,3,8.0,0.019
2,1,7.0,0.075
4,1,17.0,0.015
9,1,13.0,0.0
5,1,9.0,0.034
2,3,3.0,0.071
11,3,12.0,0.0
5,1,12.0,0.0
6,3,17.0,0.003
2,1,1.0,0.381
7,1,7.0,0.051
5,3,8.0,0.051
5,2,14.0,0.0
6,1,21.0,0.0
11,1,1.0,0.248
5,1,16.0,0.0
8,1,8.0,0.032
2,1,3.0,0.089
2,3,26.0,0.0
2,2,5.0,0.095
1,2,14.0,0.0
11,2,7.0,0.13
2,3,18.0,0.0
6,2,26.0,0.0
9,3,1.0,0.217
3,2,3.0,0.124
11,1,17.0,0.006
5,1,5.0,0.011
1,3,16.0,0.0
8,3,5.0,0.009
4,2,13.0,0.0
3,1,16.0,0.0
4,2,26.0,0.0
2,3,17.0,0.006
9,3,18.0,0.004
6,3,16.0,0.0
7,1,12.0,0.0
2,2,26.0,0.0
12,3,15.0,0.004
6,3,3.0,0.17
2,2,9.0,0.0
10,2,21.0,0.0
9,2,27.0,0.0
5,2,3.0,0.205
12,2,21.0,0.0
7,3,25.0,0.029
3,3,25.0,0.0
9,2,3.0,0.182
9,3,21.0,0.0
5,2,15.0,0.0
1,3,17.0,0.001
3,2,7.0,0.055
5,1,7.0,0.156
3,1,8.0,0.049
12,1,25.0,0.0
6,2,9.0,0.014
11,1,9.0,0.037
10,2,4.0,0.115
4,2,5.0,0.008
7,1,15.0,0.0
11,1,25.0,0.0
9,2,5.0,0.024
10,2,14.0,0.0
8,2,12.0,0.0
9,2,26.0,0.0
2,3,25.0,0.0
12,2,25.0,0.0
8,1,26.0,0.001
10,3,1.0,0.198
12,2,14.0,0.007
11,2,14.0,0.0
6,2,5.0,0.016
8,2,16.0,0.0
10,3,17.0,0.002
9,2,9.0,0.026
2,3,4.0,0.129
11,3,21.0,0.0
11,3,15.0,0.0
3,2,4.0,0.155
10,2,26.0,0.001
4,2,15.0,0.0
7,1,25.0,0.025
10,2,12.0,0.0
10,1,2.0,0.246
11,1,7.0,0.146
4,3,4.0,0.176
9,2,21.0,0.0
8,3,18.0,0.011
12,1,16.0,0.0
11,2,4.0,0.134
4,2,14.0,0.0
8,2,4.0,0.027
1,2,12.0,0.004
8,2,5.0,0.009
4,3,18.0,0.001
1,3,3.0,0.093
5,3,9.0,0.021
2,1,26.0,0.0
5,2,13.0,0.0
11,1,14.0,0.0
2,2,27.0,0.0
7,2,17.0,0.008
8,1,16.0,0.0
2,2,15.0,0.0
5,3,16.0,0.0
4,2,7.0,0.061
3,2,26.0,0.0
10,3,13.0,0.0
7,3,14.0,0.0
2,2,1.0,0.479
11,3,26.0,0.0
9,2,2.0,0.299
7,2,15.0,0.0
2,3,16.0,0.0
7,1,9.0,0.018
2,1,16.0,0.005
12,1,13.0,0.002
10,3,18.0,0.001
10,2,15.0,0.0
10,3,3.0,0.088
12,3,1.0,0.364
1,3,14.0,0.016
11,2,12.0,0.003
8,3,15.0,0.0
4,2,8.0,0.022
1,1,8.0,0.021
12,3,27.0,0.0
6,2,25.0,0.031
11,2,1.0,0.253
8,2,17.0,0.01
2,2,17.0,0.0
9,1,1.0,0.231
12,3,21.0,0.001
7,2,4.0,0.028
4,3,25.0,0.006
8,1,27.0,0.0
7,3,12.0,0.0
12,1,18.0,0.0
2,1,17.0,0.002
1,3,7.0,0.041
9,3,2.0,0.261
9,1,4.0,0.05
6,2,18.0,0.023
4,2,9.0,0.02
6,3,26.0,0.0
4,3,21.0,0.0
2,1,15.0,0.006
10,3,25.0,0.003
3,1,13.0,0.0
3,3,16.0,0.0
4,2,16.0,0.0
3,1,18.0,0.0
4,3,1.0,0.165
5,3,14.0,0.0
1,2,26.0,0.0
10,3,9.0,0.056
6,3,12.0,0.0
1,1,27.0,0.0
7,2,26.0,0.001
11,3,18.0,0.0
3,3,13.0,0.0
4,1,16.0,0.0
8,1,25.0,0.031
5,2,5.0,0.01
8,1,7.0,0.072
1,1,2.0,0.139
4,1,8.0,0.033
11,1,27.0,0.0
5,3,7.0,0.126
11,3,25.0,0.0
7,2,16.0,0.0
3,3,26.0,0.0
10,3,16.0,0.0
10,1,12.0,0.0
3,2,12.0,0.0
5,2,12.0,0.0
11,1,16.0,0.0
6,3,9.0,0.005
11,3,5.0,0.085
10,1,16.0,0.0
5,1,8.0,0.036
12,1,12.0,0.016
11,3,7.0,0.122
10,2,5.0,0.113
10,1,8.0,0.05
5,3,2.0,0.353
4,1,14.0,0.0
11,3,8.0,0.026
6,3,21.0,0.0
10,1,18.0,0.001
3,1,26.0,0.0
1,2,9.0,0.0
3,2,16.0,0.0
6,2,17.0,0.013
11,2,18.0,0.001
9,2,7.0,0.062
9,1,21.0,0.0
11,3,4.0,0.174
1,3,27.0,0.0
7,3,1.0,0.227
12,1,17.0,0.0
12,3,7.0,0.011
2,1,5.0,0.083
6,2,4.0,0.06
9,3,12.0,0.0
4,1,5.0,0.036
8,2,2.0,0.437
10,2,27.0,0.0
8,1,17.0,0.006
6,2,13.0,0.0
5,1,25.0,0.004
5,3,4.0,0.076
7,2,3.0,0.152
8,1,4.0,0.027
9,1,26.0,0.0
11,2,17.0,0.002
10,3,26.0,0.0
4,3,17.0,0.007
2,3,12.0,0.002
3,2,13.0,0.0
12,3,17.0,0.002
3,3,1.0,0.431
1,2,27.0,0.0
1,3,2.0,0.213
2,2,2.0,0.224
4,3,15.0,0.0
3,2,17.0,0.001
10,3,12.0,0.0
4,3,3.0,0.189
6,3,1.0,0.28
9,3,3.0,0.196
7,3,7.0,0.051
3,3,3.0,0.112
3,1,5.0,0.068
1,1,9.0,0.014
8,3,21.0,0.0
6,3,7.0,0.075
6,1,18.0,0.009
1,3,8.0,0.012
1,2,15.0,0.0
12,2,8.0,0.02
9,2,13.0,0.0
5,3,13.0,0.0
10,3,7.0,0.128
10,3,8.0,0.069
9,3,9.0,0.024
2,3,27.0,0.0
1,1,15.0,0.001
10,2,2.0,0.265
11,3,14.0,0.0
11,3,17.0,0.0
10,3,27.0,0.001
7,3,9.0,0.012
8,3,8.0,0.017
7,3,21.0,0.0
5,1,21.0,0.0
4,2,17.0,0.008
11,1,8.0,0.064
9,2,18.0,0.0
4,2,2.0,0.34
4,2,18.0,0.001
4,1,15.0,0.0
12,3,9.0,0.001
1,2,7.0,0.024
10,1,4.0,0.148
7,3,26.0,0.001
12,1,1.0,0.298
7,3,8.0,0.037
10,3,2.0,0.163
8,2,21.0,0.0
10,2,13.0,0.0
6,1,13.0,0.0
2,3,14.0,0.004
1,3,4.0,0.107
12,2,17.0,0.0
4,1,27.0,0.0
4,3,16.0,0.0
9,1,25.0,0.012
1,1,25.0,0.0
6,1,4.0,0.078
7,1,5.0,0.017
8,3,16.0,0.0
12,1,14.0,0.008
1,2,3.0,0.094
1,1,5.0,0.104
12,2,13.0,0.0
6,1,5.0,0.029
4,2,12.0,0.0
11,2,13.0,0.0
8,2,15.0,0.0
8,3,9.0,0.034
11,2,5.0,0.133
8,2,18.0,0.017
7,2,8.0,0.025
7,1,14.0,0.0
11,1,18.0,0.0
10,2,9.0,0.031
7,2,9.0,0.009
1,1,16.0,0.0
2,2,4.0,0.101
5,2,21.0,0.0
3,3,18.0,0.001
12,3,26.0,0.0
12,3,13.0,0.0
12,2,27.0,0.0
6,2,15.0,0.0
7,1,26.0,0.0
6,3,2.0,0.304
6,3,18.0,0.038
2,3,5.0,0.109
5,3,26.0,0.0
4,1,21.0,0.0
3,1,14.0,0.005
12,3,3.0,0.124
8,2,1.0,0.248
7,1,2.0,0.38
12,2,4.0,0.16
3,2,27.0,0.0
8,2,14.0,0.0
1,2,8.0,0.0
12,3,14.0,0.005
2,2,14.0,0.005
5,2,16.0,0.0
7,2,5.0,0.011
2,3,15.0,0.001
11,2,26.0,0.0
10,1,15.0,0.0
6,3,14.0,0.0
4,1,3.0,0.126
1,3,21.0,0.0
11,1,26.0,0.0
7,3,4.0,0.023
5,2,18.0,0.003
11,2,2.0,0.218
9,2,8.0,0.028
1,2,2.0,0.23
7,2,21.0,0.0
8,3,17.0,0.009
11,2,21.0,0.0
5,1,26.0,0.001
3,1,4.0,0.118
1,2,17.0,0.0
11,3,27.0,0.0
4,1,25.0,0.0
7,1,1.0,0.301
2,3,7.0,0.072
8,3,13.0,0.0
7,1,27.0,0.001
6,2,3.0,0.174
2,2,25.0,0.0
3,3,12.0,0.002
9,2,15.0,0.0
10,1,9.0,0.05
1,3,1.0,0.414
5,1,1.0,0.103
4,1,9.0,0.009
3,1,3.0,0.118
7,3,18.0,0.029
6,3,5.0,0.012
4,1,26.0,0.0
12,1,7.0,0.096
11,1,12.0,0.0
2,1,8.0,0.013
5,1,4.0,0.178
5,3,27.0,0.001
10,1,26.0,0.0
1,1,7.0,0.058
10,1,27.0,0.0
10,3,5.0,0.134
3,2,5.0,0.036
9,1,7.0,0.072
8,2,8.0,0.034
12,1,5.0,0.078
5,1,15.0,0.0
4,1,12.0,0.0
4,2,21.0,0.0
2,1,4.0,0.11
3,2,1.0,0.293
9,1,12.0,0.0
5,1,27.0,0.001
7,3,13.0,0.0
9,3,26.0,0.001
12,1,27.0,0.0
1,1,3.0,0.08
2,3,2.0,0.158
1,2,25.0,0.0
3,1,7.0,0.089
6,1,16.0,0.0
8,3,26.0,0.002
9,1,8.0,0.026
6,1,25.0,0.019
2,2,7.0,0.011
11,2,8.0,0.025
12,2,5.0,0.083
2,2,21.0,0.0
1,1,12.0,0.009
11,3,2.0,0.189
7,2,14.0,0.0
7,2,12.0,0.0
7,2,27.0,0.002
1,2,5.0,0.055
7,3,15.0,0.0
2,3,1.0,0.401
8,2,9.0,0.007
8,3,27.0,0.0
5,3,21.0,0.0
12,3,18.0,0.0
1,1,17.0,0.001
3,3,17.0,0.003
3,3,14.0,0.0
7,3,16.0,0.0
1,3,5.0,0.095
4,3,14.0,0.0
2,1,18.0,0.0
7,2,18.0,0.019
12,3,8.0,0.003
12,1,15.0,0.004
9,3,5.0,0.039
8,2,25.0,0.022
6,2,1.0,0.221
11,2,9.0,0.001
10,1,3.0,0.115
8,2,3.0,0.134
6,1,15.0,0.0
10,3,15.0,0.0
6,3,27.0,0.0
11,1,3.0,0.109
3,1,12.0,0.002
4,3,2.0,0.22
5,3,17.0,0.008
4,3,7.0,0.128
4,3,26.0,0.0
12,2,16.0,0.0
2,1,21.0,0.0
6,2,2.0,0.325
9,1,27.0,0.0
10,2,17.0,0.004
5,2,2.0,0.244
5,1,13.0,0.0
11,1,21.0,0.0
9,1,16.0,0.0
8,1,5.0,0.013
12,3,12.0,0.002
9,1,3.0,0.167
12,2,18.0,0.0
11,2,3.0,0.101
12,2,15.0,0.002
8,1,18.0,0.02
11,2,25.0,0.0
12,1,21.0,0.0
12,3,16.0,0.001
8,1,12.0,0.0
5,2,26.0,0.001
7,3,5.0,0.011
8,1,21.0,0.0
1,1,26.0,0.0
2,2,13.0,0.0
8,3,2.0,0.444
3,1,2.0,0.254
1,2,16.0,0.0
2,1,14.0,0.005
1,2,4.0,0.103
7,1,21.0,0.0
2,1,25.0,0.0
9,3,15.0,0.0
7,1,16.0,0.0
6,1,12.0,0.0
6,3,15.0,0.0
6,1,7.0,0.136
1,3,15.0,0.0
3,2,25.0,0.0
7,2,7.0,0.041
5,2,1.0,0.091
1,2,21.0,0.0
9,3,17.0,0.005
4,3,12.0,0.0
3,3,4.0,0.086
4,1,1.0,0.338
11,3,13.0,0.0
9,1,2.0,0.395
10,3,21.0,0.0
3,3,7.0,0.074
6,2,27.0,0.001
12,2,26.0,0.0
1,3,12.0,0.004
6,2,21.0,0.0
3,3,15.0,0.0
11,1,4.0,0.134
3,3,27.0,0.001
6,3,25.0,0.037
7,2,1.0,0.29
8,2,27.0,0.0
2,3,21.0,0.001
10,1,7.0,0.093
5,2,7.0,0.164
6,1,3.0,0.245
7,1,4.0,0.028
10,2,16.0,0.0
9,3,27.0,0.0
