m,m3,coco,coco_pct
4,3,9.0,0.001
6,2,4.0,0.003
6,1,25.0,0.002
9,1,17.0,0.0
9,3,12.0,0.0
1,2,9.0,0.029
1,1,17.0,0.003
9,1,5.0,0.001
7,1,4.0,0.004
8,3,18.0,0.0
3,2,1.0,0.492
6,3,1.0,0.755
8,3,9.0,0.0
6,2,17.0,0.001
9,2,3.0,0.069
7,2,5.0,0.0
7,1,8.0,0.003
3,1,5.0,0.013
10,2,16.0,0.0
11,3,17.0,0.0
3,1,15.0,0.001
5,2,12.0,0.0
4,2,18.0,0.0
5,2,16.0,0.0
5,2,1.0,0.383
7,3,16.0,0.0
6,3,2.0,0.191
1,3,18.0,0.0
10,2,15.0,0.0
8,2,26.0,0.001
12,3,21.0,0.0
9,3,26.0,0.0
2,3,18.0,0.0
11,3,12.0,0.0
12,2,21.0,0.0
3,2,12.0,0.0
10,3,15.0,0.0
2,3,16.0,0.001
2,1,2.0,0.312
3,2,9.0,0.0
6,1,18.0,0.003
11,1,7.0,0.036
1,1,23.0,0.0
6,2,3.0,0.041
3,2,23.0,0.0
4,1,17.0,0.001
2,2,15.0,0.0
2,2,7.0,0.047
11,1,23.0,0.0
4,2,25.0,0.0
6,3,7.0,0.004
5,1,23.0,0.0
7,1,1.0,0.803
11,3,15.0,0.0
6,3,25.0,0.002
10,1,7.0,0.046
12,2,14.0,0.0
7,3,2.0,0.11
7,1,15.0,0.0
3,1,21.0,0.0
7,1,9.0,0.0
8,2,4.0,0.008
9,2,14.0,0.0
2,1,17.0,0.003
1,1,12.0,0.006
2,3,12.0,0.004
2,2,4.0,0.017
8,3,14.0,0.0
6,1,21.0,0.0
6,1,13.0,0.0
2,3,13.0,0.001
10,1,26.0,0.001
2,1,3.0,0.184
12,1,14.0,0.0
3,3,13.0,0.001
10,3,14.0,0.0
5,3,8.0,0.009
11,1,1.0,0.379
8,1,13.0,0.0
10,2,3.0,0.091
4,1,25.0,0.001
12,2,17.0,0.003
12,3,9.0,0.005
3,3,21.0,0.001
1,1,15.0,0.003
5,2,3.0,0.173
1,1,5.0,0.04
3,3,3.0,0.116
12,1,21.0,0.0
5,2,21.0,0.0
1,1,3.0,0.139
4,1,4.0,0.011
1,1,7.0,0.095
4,3,15.0,0.0
11,2,16.0,0.0
3,3,9.0,0.001
3,2,15.0,0.0
4,1,18.0,0.001
12,1,16.0,0.0
5,1,13.0,0.0
10,3,5.0,0.024
8,3,12.0,0.0
12,3,15.0,0.0
10,2,21.0,0.0
8,3,13.0,0.0
11,2,26.0,0.0
3,1,7.0,0.052
4,3,8.0,0.02
11,1,15.0,0.0
1,2,25.0,0.001
10,3,17.0,0.0
2,1,5.0,0.002
4,3,13.0,0.0
9,2,16.0,0.0
10,1,15.0,0.0
8,2,13.0,0.0
6,3,17.0,0.0
3,2,18.0,0.001
11,1,26.0,0.0
12,2,7.0,0.052
5,3,2.0,0.376
4,2,1.0,0.407
11,1,16.0,0.0
1,2,18.0,0.003
6,2,7.0,0.018
12,3,2.0,0.327
1,2,17.0,0.004
4,2,14.0,0.0
8,2,7.0,0.013
3,1,13.0,0.0
5,2,25.0,0.006
4,3,26.0,0.0
2,3,8.0,0.034
8,3,8.0,0.001
4,2,3.0,0.178
9,2,2.0,0.372
12,2,8.0,0.017
7,1,18.0,0.001
3,1,12.0,0.0
4,2,16.0,0.0
7,2,1.0,0.794
3,3,8.0,0.022
6,3,15.0,0.0
6,1,3.0,0.109
12,2,9.0,0.001
9,2,9.0,0.0
6,3,13.0,0.0
8,3,4.0,0.002
8,3,1.0,0.705
10,2,13.0,0.0
10,3,1.0,0.608
1,3,7.0,0.058
4,2,7.0,0.055
5,3,17.0,0.001
8,1,12.0,0.0
8,2,17.0,0.0
3,2,5.0,0.013
12,3,4.0,0.007
1,1,9.0,0.001
10,1,16.0,0.0
2,3,2.0,0.283
7,1,7.0,0.007
11,1,18.0,0.0
12,2,13.0,0.0
7,3,13.0,0.0
3,2,3.0,0.109
4,3,21.0,0.0
6,1,14.0,0.0
10,2,8.0,0.024
6,2,8.0,0.01
9,3,15.0,0.0
11,3,2.0,0.389
9,2,1.0,0.517
7,2,18.0,0.0
5,1,1.0,0.391
7,2,23.0,0.0
7,3,18.0,0.0
6,1,17.0,0.001
12,1,8.0,0.028
5,1,26.0,0.0
1,3,14.0,0.0
1,3,12.0,0.0
9,3,23.0,0.001
2,2,2.0,0.332
5,3,1.0,0.489
3,2,25.0,0.0
8,3,26.0,0.0
6,3,4.0,0.004
8,1,7.0,0.012
1,1,26.0,0.0
12,1,17.0,0.002
8,3,25.0,0.003
8,3,23.0,0.0
1,3,23.0,0.0
4,2,9.0,0.0
7,1,23.0,0.0
6,3,18.0,0.0
2,2,12.0,0.0
2,3,9.0,0.004
9,2,25.0,0.005
2,1,13.0,0.0
7,3,17.0,0.0
1,2,5.0,0.007
5,3,16.0,0.0
7,1,26.0,0.0
12,2,26.0,0.0
10,1,25.0,0.005
2,1,14.0,0.001
4,1,9.0,0.0
1,3,25.0,0.0
8,1,8.0,0.0
8,1,23.0,0.001
4,1,21.0,0.0
2,2,13.0,0.0
5,2,14.0,0.0
4,3,25.0,0.0
12,3,16.0,0.0
4,1,3.0,0.171
11,3,25.0,0.0
5,2,4.0,0.028
8,1,18.0,0.001
7,1,5.0,0.0
9,2,23.0,0.0
12,1,2.0,0.413
2,1,7.0,0.03
2,3,25.0,0.0
3,2,7.0,0.044
8,3,17.0,0.0
6,3,5.0,0.0
9,1,4.0,0.003
5,3,9.0,0.002
7,3,8.0,0.001
8,2,23.0,0.0
5,1,3.0,0.154
5,2,15.0,0.0
3,3,1.0,0.471
9,1,9.0,0.001
6,2,13.0,0.0
5,1,21.0,0.0
4,2,13.0,0.0
12,3,17.0,0.002
12,1,1.0,0.255
9,3,14.0,0.0
9,3,5.0,0.0
4,3,17.0,0.0
9,2,5.0,0.002
4,3,4.0,0.024
3,3,26.0,0.0
8,3,2.0,0.233
5,2,13.0,0.0
10,3,12.0,0.0
7,3,1.0,0.868
8,1,5.0,0.0
2,1,12.0,0.001
4,2,23.0,0.0
8,2,1.0,0.746
7,2,9.0,0.0
12,1,4.0,0.019
8,1,2.0,0.21
2,2,25.0,0.005
5,2,23.0,0.0
2,3,23.0,0.0
6,2,15.0,0.0
4,1,14.0,0.0
5,1,5.0,0.01
3,1,9.0,0.001
3,2,8.0,0.027
10,3,26.0,0.0
7,2,17.0,0.0
5,3,3.0,0.072
5,3,15.0,0.0
1,2,23.0,0.0
9,2,8.0,0.008
12,2,16.0,0.0
4,3,16.0,0.0
11,1,21.0,0.0
6,1,23.0,0.0
