m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,4.0,8.8,14.4,0.0,12.5,0.0
1,1,2,4.8,8.7,14.5,0.0,12.5,0.2
1,1,3,4.9,9.3,14.1,0.0,11.3,0.2
1,1,4,2.9,9.3,15.1,0.0,10.9,0.0
1,1,5,4.5,9.8,14.7,0.0,15.3,0.0
1,1,6,7.3,10.0,14.0,0.1,15.1,0.4
1,1,7,7.0,9.2,12.5,1.9,11.4,0.6
1,1,8,6.0,9.3,13.6,4.0,10.8,0.4
1,1,9,5.4,9.7,12.5,2.0,12.6,1.0
1,1,10,5.9,8.5,10.5,6.0,14.0,0.6
1,2,11,6.1,9.2,10.6,0.7,13.0,0.6
1,2,12,5.6,8.3,10.7,0.5,13.7,0.8
1,2,13,4.5,7.8,10.5,0.2,11.8,0.4
1,2,14,3.2,8.1,11.2,0.1,11.2,0.4
1,2,15,5.1,8.7,12.6,0.2,10.5,0.4
1,2,16,3.5,8.6,13.4,0.0,11.1,0.2
1,2,17,4.4,10.2,14.0,0.2,11.4,0.8
1,2,18,6.1,10.8,14.5,0.3,10.0,0.6
1,2,19,5.4,8.4,12.7,0.0,11.9,0.2
1,2,20,4.6,8.9,12.9,0.1,11.8,0.6
1,3,21,5.2,9.0,12.2,0.2,11.1,0.4
1,3,22,4.4,8.3,11.6,1.3,10.6,0.6
1,3,23,4.7,9.5,12.5,0.3,13.3,0.4
1,3,24,3.5,8.6,13.5,0.1,12.5,0.4
1,3,25,4.8,8.8,13.2,0.1,13.4,0.4
1,3,26,4.8,8.7,13.1,1.7,14.3,0.6
1,3,27,5.0,8.8,11.6,1.0,11.9,0.4
1,3,28,4.5,9.5,14.7,0.0,13.5,0.2
1,3,29,5.8,9.5,14.0,0.3,12.6,0.6
1,3,30,3.9,8.8,13.6,0.1,10.8,0.4
1,3,31,3.1,8.9,13.7,0.1,11.7,0.4
2,1,1,4.7,9.5,14.1,0.1,10.5,0.4
2,1,2,7.4,11.0,14.3,0.1,12.1,0.4
2,1,3,5.2,11.0,15.1,0.1,9.7,0.4
2,1,4,5.5,10.3,14.9,0.1,12.0,0.4
2,1,5,5.6,9.4,13.6,0.0,17.9,0.0
2,1,6,5.7,9.5,13.0,0.0,14.7,0.2
2,1,7,4.8,9.5,14.4,0.5,12.5,0.6
2,1,8,6.0,9.2,14.0,0.0,16.0,0.2
2,1,9,4.4,10.0,14.1,0.0,11.0,0.2
2,1,10,6.1,10.9,15.6,0.0,11.0,0.2
2,2,11,6.0,11.0,15.5,0.0,12.8,0.2
2,2,12,6.0,9.8,13.0,0.0,11.0,0.0
2,2,13,4.8,9.2,11.7,0.2,10.6,0.6
2,2,14,5.9,10.1,15.0,0.0,14.8,0.2
2,2,15,5.3,10.0,13.9,0.4,12.0,0.6
2,2,16,5.5,9.2,13.2,0.3,10.8,0.4
2,2,17,4.5,8.9,13.1,0.0,8.9,0.2
2,2,18,4.0,9.3,14.7,0.0,9.0,0.0
2,2,19,4.7,10.2,14.6,0.0,9.5,0.0
2,2,20,6.4,9.9,14.2,0.0,9.7,0.2
2,3,21,4.8,9.8,14.2,0.0,10.4,0.0
2,3,22,5.7,10.0,14.1,0.0,11.6,0.2
2,3,23,6.1,10.6,15.3,0.0,13.4,0.0
2,3,24,4.4,10.3,15.5,0.0,9.4,0.2
2,3,25,6.4,10.3,14.1,0.0,9.9,0.2
2,3,26,6.9,11.6,17.0,0.1,13.7,0.4
2,3,27,6.4,10.2,13.8,0.5,14.0,0.6
2,3,28,6.5,10.5,14.0,0.1,12.6,0.4
2,3,29,7.2,11.9,15.3,4.1,16.6,1.0
3,1,1,6.1,10.8,15.6,1.5,11.5,0.6
3,1,2,6.3,10.1,15.0,0.4,11.9,0.8
3,1,3,5.8,10.8,14.6,0.0,12.4,0.2
3,1,4,4.4,10.0,14.0,0.6,10.1,0.4
3,1,5,6.4,9.9,14.2,0.3,11.3,0.4
3,1,6,5.0,10.8,15.5,0.3,13.2,0.4
3,1,7,5.1,10.0,13.7,0.0,10.7,0.2
3,1,8,7.0,11.7,15.7,3.2,10.7,0.6
3,1,9,7.7,11.6,16.3,0.9,11.1,0.6
3,1,10,9.0,12.6,17.0,2.4,17.2,0.8
3,2,11,8.0,12.4,16.2,0.8,12.8,0.6
3,2,12,6.5,10.9,14.2,0.2,11.5,0.75
3,2,13,7.0,11.7,15.0,0.1,11.8,0.5
3,2,14,7.2,11.1,15.8,0.0,12.6,0.25
3,2,15,6.3,10.6,16.0,0.0,17.2,0.25
3,2,16,7.5,11.5,16.0,0.4,12.9,0.5
3,2,17,6.4,11.2,15.7,0.4,13.8,0.5
3,2,18,6.0,11.3,16.8,0.0,10.8,0.25
3,2,19,5.9,11.0,14.9,1.3,11.3,0.75
3,2,20,6.0,9.0,14.2,0.2,10.5,0.5
3,3,21,4.7,10.1,14.6,1.4,12.7,0.75
3,3,22,6.0,10.6,13.8,0.1,14.7,0.5
3,3,23,6.5,10.6,14.6,0.0,17.6,0.25
3,3,24,5.5,10.3,14.2,0.0,12.9,0.25
3,3,25,4.4,10.7,15.1,0.0,10.1,0.25
3,3,26,6.5,11.6,15.3,0.0,14.0,0.25
3,3,27,7.9,12.3,16.4,0.6,14.1,0.5
3,3,28,6.8,11.3,14.6,0.2,12.9,0.5
3,3,29,7.7,12.5,17.7,0.0,11.5,0.25
3,3,30,8.5,13.8,17.6,0.0,14.5,0.25
3,3,31,10.5,14.0,18.5,0.0,15.0,0.25
4,1,1,8.5,13.8,18.5,0.2,14.9,0.5
4,1,2,7.1,12.9,18.6,0.0,11.8,0.25
4,1,3,7.4,12.1,17.5,0.1,12.1,0.5
4,1,4,8.0,12.4,15.6,0.2,12.6,0.5
4,1,5,8.4,12.1,16.2,0.0,10.5,0.25
4,1,6,7.5,12.7,18.0,0.1,13.9,0.75
4,1,7,7.5,11.5,15.5,0.4,11.3,0.5
4,1,8,6.5,12.5,17.6,0.2,12.1,0.5
4,1,9,8.2,13.3,18.3,0.0,13.6,0.25
4,1,10,9.5,13.2,17.4,0.8,13.0,0.5
4,2,11,9.3,14.0,18.5,0.0,11.3,0.0
4,2,12,10.0,14.7,19.8,0.0,10.5,0.25
4,2,13,10.0,14.6,20.1,0.0,10.2,0.25
4,2,14,9.5,13.3,17.5,0.0,13.9,0.25
4,2,15,8.8,12.9,15.7,0.0,11.2,0.0
4,2,16,8.7,13.3,17.2,1.3,10.1,0.75
4,2,17,9.7,13.4,16.7,1.8,10.8,0.75
4,2,18,8.8,13.4,17.7,0.2,12.4,0.75
4,2,19,10.8,14.1,17.6,1.4,11.9,0.75
4,2,20,8.0,14.0,18.5,0.4,11.0,0.75
4,3,21,9.5,13.4,18.0,0.5,12.0,0.5
4,3,22,11.0,15.2,18.8,1.4,13.8,0.5
4,3,23,10.0,14.9,17.8,0.1,10.9,0.5
4,3,24,10.6,16.6,21.0,0.4,11.3,0.5
4,3,25,10.0,16.2,21.6,0.1,10.8,0.5
4,3,26,10.5,16.8,22.0,0.0,11.9,0.0
4,3,27,11.1,16.3,20.7,0.0,10.2,0.25
4,3,28,10.0,16.2,20.5,0.0,11.0,0.25
4,3,29,10.5,16.8,21.5,0.0,11.0,0.25
4,3,30,11.7,18.3,23.0,0.0,10.6,0.25
5,1,1,11.4,17.7,22.1,0.2,10.7,0.5
5,1,2,12.8,17.3,23.0,1.9,13.2,0.5
5,1,3,12.3,16.1,20.5,0.3,11.8,0.5
5,1,4,10.8,15.5,19.5,0.0,11.4,0.0
5,1,5,11.7,17.0,22.2,0.0,10.6,0.0
5,1,6,12.0,17.2,21.7,0.0,13.9,0.25
5,1,7,12.5,18.1,22.5,0.0,13.3,0.25
5,1,8,11.9,16.7,20.7,0.0,10.1,0.25
5,1,9,12.0,17.2,21.5,0.0,10.1,0.25
5,1,10,12.4,18.0,23.1,0.0,10.8,0.25
5,2,11,13.0,18.7,23.1,0.0,10.7,0.25
5,2,12,13.6,18.1,23.4,0.0,11.0,0.0
5,2,13,12.7,18.1,23.2,0.4,11.4,0.5
5,2,14,15.4,19.5,24.0,0.2,13.9,0.5
5,2,15,14.4,18.5,21.6,0.8,11.8,0.5
5,2,16,14.0,18.3,22.7,0.0,12.4,0.25
5,2,17,13.9,19.3,23.4,0.0,10.0,0.25
5,2,18,14.5,18.6,22.0,0.0,11.1,0.25
5,2,19,13.7,18.2,21.8,0.0,10.7,0.25
5,2,20,13.9,17.8,22.4,0.2,10.4,0.5
5,3,21,14.5,19.0,24.0,0.0,11.2,0.25
5,3,22,14.0,19.5,24.9,0.0,11.4,0.0
5,3,23,14.9,20.4,24.1,0.0,9.8,0.0
5,3,24,15.3,22.0,28.0,0.0,11.1,0.0
5,3,25,16.0,20.4,24.0,0.0,9.8,0.25
5,3,26,16.2,20.0,23.0,0.0,10.7,0.0
5,3,27,15.5,20.6,24.4,0.0,12.9,0.0
5,3,28,15.3,20.8,25.7,0.0,11.3,0.25
5,3,29,16.1,20.1,23.4,0.0,9.7,0.0
5,3,30,14.7,19.6,23.0,0.0,10.2,0.25
5,3,31,16.0,20.2,24.1,0.0,12.0,0.25
6,1,1,15.4,20.0,23.5,0.0,11.5,0.25
6,1,2,15.5,20.8,26.5,0.0,11.4,0.25
6,1,3,16.0,21.8,26.1,0.0,10.4,0.25
6,1,4,17.0,22.9,27.0,0.0,10.3,0.25
6,1,5,17.4,22.9,26.5,0.0,10.3,0.0
6,1,6,18.0,23.0,27.2,0.0,9.8,0.25
6,1,7,17.9,23.0,26.5,0.0,9.6,0.25
6,1,8,18.9,23.3,28.8,0.0,9.3,0.25
6,1,9,17.9,23.1,28.0,0.1,10.6,0.5
6,1,10,18.5,22.8,26.8,1.1,12.0,0.5
6,2,11,19.4,23.5,26.5,0.3,11.1,0.75
6,2,12,18.8,24.4,28.6,0.0,12.2,0.0
6,2,13,19.0,23.3,28.3,0.0,11.8,0.0
6,2,14,17.9,22.5,26.3,0.0,10.5,0.25
6,2,15,17.5,21.9,25.5,0.0,10.9,0.25
6,2,16,17.3,23.0,26.8,0.0,14.1,0.25
6,2,17,18.0,23.4,27.4,0.0,13.3,0.0
6,2,18,19.1,23.7,27.5,0.0,10.8,0.0
6,2,19,17.8,24.3,28.7,0.0,9.4,0.0
6,2,20,19.5,25.5,28.7,0.0,9.9,0.0
6,3,21,21.3,26.2,30.0,0.0,9.3,0.0
6,3,22,20.7,26.6,32.2,0.0,10.2,0.0
6,3,23,21.0,26.2,30.0,0.0,12.7,0.25
6,3,24,21.0,25.6,29.3,0.0,12.7,0.25
6,3,25,20.0,24.8,28.9,0.0,12.5,0.25
6,3,26,19.0,24.5,28.4,0.0,11.8,0.25
6,3,27,20.2,25.6,29.0,0.0,9.8,0.25
6,3,28,20.9,26.4,32.0,0.0,11.6,0.0
6,3,29,21.2,26.1,30.3,0.0,10.7,0.0
6,3,30,22.0,26.5,30.1,0.0,11.6,0.0
7,1,1,20.9,26.7,31.7,0.0,10.6,0.25
7,1,2,21.4,26.1,29.3,0.0,10.1,0.25
7,1,3,21.0,25.7,30.0,0.0,10.0,0.0
7,1,4,21.0,25.5,30.4,0.0,11.0,0.25
7,1,5,21.0,25.4,29.3,0.0,12.3,0.25
7,1,6,21.0,26.4,29.8,0.0,11.2,0.0
7,1,7,21.2,26.5,30.2,0.0,12.9,0.0
7,1,8,20.5,25.8,28.3,0.0,12.9,0.25
7,1,9,21.5,26.8,29.7,0.0,14.6,0.0
7,1,10,21.2,25.2,29.7,0.0,11.5,0.0
7,2,11,19.3,25.3,29.7,0.0,11.1,0.0
7,2,12,20.1,26.8,30.8,0.0,10.9,0.0
7,2,13,21.5,27.5,32.3,0.0,11.6,0.0
7,2,14,21.9,26.1,29.5,0.0,10.7,0.25
7,2,15,20.0,25.5,29.5,0.0,9.9,0.0
