m,m3,coco,coco_pct
1,1,16.0,0.0
2,3,13.0,0.0
3,2,5.0,0.015
3,3,13.0,0.0
8,2,2.0,0.23
11,2,13.0,0.0
4,2,16.0,0.0
4,2,9.0,0.0
3,1,3.0,0.181
7,2,9.0,0.004
3,2,3.0,0.147
4,1,3.0,0.182
10,3,18.0,0.0
7,2,25.0,0.014
4,1,13.0,0.0
2,2,2.0,0.194
12,1,8.0,0.035
9,1,9.0,0.004
2,3,8.0,0.038
12,3,12.0,0.0
3,3,12.0,0.0
12,3,15.0,0.0
6,2,27.0,0.001
7,1,5.0,0.008
8,3,17.0,0.0
11,3,2.0,0.214
8,2,26.0,0.0
3,1,14.0,0.003
11,3,14.0,0.0
11,1,15.0,0.0
2,3,14.0,0.015
12,2,8.0,0.023
1,1,7.0,0.09
3,2,18.0,0.0
12,1,15.0,0.0
3,2,14.0,0.0
2,1,7.0,0.058
2,1,2.0,0.167
9,3,14.0,0.0
3,2,16.0,0.0
5,1,15.0,0.0
6,2,1.0,0.532
6,1,5.0,0.015
1,2,7.0,0.057
11,1,25.0,0.001
11,1,13.0,0.0
12,3,25.0,0.0
9,2,2.0,0.314
10,1,26.0,0.0
9,2,25.0,0.032
2,2,18.0,0.0
1,2,15.0,0.0
4,3,17.0,0.001
11,3,5.0,0.184
11,1,8.0,0.02
11,1,12.0,0.0
4,1,15.0,0.0
9,2,8.0,0.028
7,2,27.0,0.002
4,3,8.0,0.015
8,1,16.0,0.0
1,1,1.0,0.202
1,2,17.0,0.0
10,2,12.0,0.0
5,2,1.0,0.249
8,3,3.0,0.05
11,2,1.0,0.114
4,3,3.0,0.198
12,1,2.0,0.165
4,1,9.0,0.001
2,1,14.0,0.005
6,1,4.0,0.002
9,1,7.0,0.027
11,2,18.0,0.0
1,3,7.0,0.084
4,1,4.0,0.025
5,3,9.0,0.001
10,3,7.0,0.066
10,3,3.0,0.191
6,1,12.0,0.0
7,3,26.0,0.0
5,3,3.0,0.119
1,3,17.0,0.0
4,2,26.0,0.0
2,1,8.0,0.009
11,2,9.0,0.01
6,3,18.0,0.018
10,1,3.0,0.178
5,1,26.0,0.001
8,1,27.0,0.001
4,2,14.0,0.0
6,3,25.0,0.031
6,1,2.0,0.399
6,3,9.0,0.002
5,3,2.0,0.357
10,2,27.0,0.0
12,2,4.0,0.074
7,3,15.0,0.0
12,3,14.0,0.0
1,3,27.0,0.0
5,2,25.0,0.017
2,1,16.0,0.0
1,1,8.0,0.013
4,2,8.0,0.002
8,2,27.0,0.004
7,2,1.0,0.652
5,1,1.0,0.272
9,3,27.0,0.0
12,2,2.0,0.122
2,3,15.0,0.003
6,2,9.0,0.001
5,1,16.0,0.0
5,2,4.0,0.046
7,3,8.0,0.004
5,1,5.0,0.012
7,1,13.0,0.0
9,1,3.0,0.039
9,1,14.0,0.0
3,3,16.0,0.0
7,1,7.0,0.018
2,2,1.0,0.364
12,1,16.0,0.0
9,2,17.0,0.001
12,2,16.0,0.0
1,2,16.0,0.0
3,1,5.0,0.065
11,1,7.0,0.09
8,2,17.0,0.0
4,1,5.0,0.006
10,2,1.0,0.257
1,2,1.0,0.268
9,2,16.0,0.0
7,1,25.0,0.025
4,2,5.0,0.004
11,2,26.0,0.0
6,1,27.0,0.004
12,1,26.0,0.0
4,2,13.0,0.0
8,2,1.0,0.674
9,3,1.0,0.362
9,2,13.0,0.0
1,2,27.0,0.0
3,3,7.0,0.073
11,3,4.0,0.08
5,2,16.0,0.0
9,1,8.0,0.01
1,1,12.0,0.002
7,3,12.0,0.0
10,1,16.0,0.0
7,1,18.0,0.019
1,3,3.0,0.165
2,2,12.0,0.002
2,3,18.0,0.0
3,1,7.0,0.107
4,3,13.0,0.0
4,1,26.0,0.0
