m,m3,coco,coco_pct
9,3,7.0,0.066
9,1,3.0,0.127
12,2,15.0,0.0
3,1,7.0,0.103
10,1,4.0,0.0
4,3,3.0,0.233
2,1,14.0,0.0
7,2,25.0,0.004
6,1,18.0,0.009
2,3,25.0,0.0
2,1,4.0,0.007
3,2,26.0,0.0
12,3,5.0,0.076
4,1,8.0,0.025
1,2,9.0,0.017
8,1,8.0,0.002
10,2,17.0,0.007
5,3,5.0,0.014
11,3,8.0,0.058
11,2,5.0,0.037
6,1,14.0,0.0
7,3,9.0,0.0
1,1,1.0,0.241
8,3,12.0,0.0
8,2,17.0,0.017
10,3,1.0,0.28
7,2,3.0,0.046
11,1,17.0,0.016
12,1,18.0,0.001
10,3,12.0,0.0
2,3,4.0,0.003
5,1,26.0,0.0
3,1,12.0,0.001
5,2,3.0,0.301
6,2,7.0,0.027
3,1,17.0,0.022
3,2,25.0,0.002
7,2,12.0,0.0
11,2,14.0,0.0
4,1,1.0,0.368
10,3,18.0,0.003
10,2,5.0,0.014
4,3,2.0,0.317
9,3,18.0,0.009
10,2,2.0,0.277
8,2,3.0,0.108
12,3,25.0,0.001
4,2,4.0,0.014
4,1,12.0,0.0
7,2,14.0,0.0
2,3,14.0,0.002
5,1,4.0,0.025
11,1,2.0,0.252
6,1,5.0,0.009
3,2,12.0,0.0
10,3,17.0,0.014
4,3,1.0,0.276
2,2,7.0,0.052
10,3,7.0,0.059
7,1,1.0,0.697
12,3,2.0,0.206
9,3,8.0,0.044
12,1,26.0,0.0
3,2,5.0,0.026
6,1,12.0,0.0
12,2,17.0,0.012
3,2,8.0,0.027
5,3,1.0,0.289
3,2,14.0,0.0
3,1,8.0,0.067
6,2,25.0,0.009
11,3,9.0,0.028
12,3,9.0,0.013
4,1,5.0,0.018
5,2,26.0,0.0
10,1,2.0,0.335
5,2,4.0,0.008
8,1,7.0,0.006
1,3,3.0,0.245
2,3,12.0,0.001
12,2,7.0,0.066
6,3,9.0,0.002
7,3,3.0,0.073
8,1,26.0,0.001
10,2,18.0,0.003
3,3,12.0,0.0
8,1,17.0,0.014
4,2,1.0,0.307
1,2,26.0,0.0
4,3,4.0,0.025
2,2,8.0,0.014
11,1,7.0,0.112
4,3,15.0,0.0
10,2,7.0,0.06
3,1,15.0,0.0
7,3,27.0,0.0
11,2,17.0,0.013
2,1,1.0,0.351
8,3,18.0,0.005
9,2,18.0,0.005
12,2,12.0,0.0
8,1,2.0,0.299
4,1,14.0,0.0
9,3,17.0,0.022
6,3,7.0,0.006
9,2,25.0,0.006
2,1,7.0,0.089
1,1,14.0,0.0
3,2,7.0,0.054
6,1,9.0,0.006
4,1,25.0,0.014
1,2,7.0,0.055
3,3,27.0,0.001
8,2,8.0,0.005
8,2,25.0,0.01
4,1,26.0,0.0
5,2,9.0,0.015
2,1,15.0,0.0
1,3,15.0,0.0
1,1,8.0,0.05
11,2,9.0,0.033
11,2,8.0,0.053
9,1,18.0,0.005
11,1,26.0,0.001
2,2,3.0,0.185
6,3,8.0,0.005
3,1,5.0,0.026
5,3,7.0,0.065
4,1,3.0,0.245
8,2,4.0,0.001
1,2,1.0,0.368
9,3,12.0,0.0
8,3,2.0,0.31
8,3,8.0,0.019
2,2,15.0,0.0
9,3,3.0,0.147
12,2,9.0,0.02
10,2,15.0,0.0
12,3,18.0,0.0
9,2,4.0,0.001
10,2,3.0,0.202
6,1,27.0,0.001
5,3,12.0,0.0
4,1,7.0,0.054
11,3,25.0,0.014
2,2,4.0,0.007
12,3,8.0,0.044
10,1,25.0,0.011
5,2,18.0,0.003
6,2,4.0,0.003
8,1,14.0,0.0
5,1,25.0,0.009
11,3,12.0,0.0
11,2,18.0,0.003
3,1,9.0,0.022
6,2,3.0,0.154
1,1,12.0,0.001
2,2,25.0,0.006
8,3,4.0,0.002
9,1,1.0,0.456
2,1,9.0,0.014
6,2,1.0,0.498
3,3,15.0,0.0
11,1,1.0,0.206
6,3,2.0,0.198
1,3,7.0,0.09
2,2,26.0,0.0
3,1,27.0,0.0
7,1,25.0,0.003
10,1,3.0,0.234
2,2,27.0,0.0
8,3,25.0,0.008
7,3,26.0,0.0
3,1,26.0,0.0
9,1,15.0,0.0
1,2,5.0,0.031
9,1,5.0,0.001
1,3,14.0,0.0
10,2,12.0,0.0
3,2,2.0,0.305
6,3,14.0,0.0
8,1,1.0,0.559
3,3,18.0,0.002
2,3,2.0,0.187
6,3,26.0,0.0
12,1,1.0,0.161
5,3,26.0,0.0
9,3,4.0,0.001
12,2,14.0,0.0
1,2,12.0,0.0
11,1,5.0,0.02
10,2,26.0,0.0
9,2,8.0,0.023
1,3,8.0,0.04
9,2,1.0,0.394
5,1,17.0,0.016
3,3,2.0,0.252
10,3,3.0,0.253
3,1,4.0,0.019
1,3,25.0,0.006
1,1,17.0,0.013
11,3,3.0,0.285
10,3,4.0,0.01
12,1,2.0,0.21
9,2,5.0,0.001
2,1,2.0,0.23
2,2,12.0,0.001
8,2,2.0,0.235
2,1,8.0,0.045
1,3,18.0,0.001
10,3,9.0,0.015
12,2,18.0,0.001
5,3,3.0,0.203
7,1,2.0,0.199
8,2,15.0,0.0
3,2,1.0,0.274
4,3,8.0,0.02
10,2,25.0,0.006
10,1,27.0,0.0
4,3,12.0,0.0
12,1,7.0,0.11
2,2,5.0,0.076
11,2,7.0,0.111
7,3,4.0,0.0
7,1,27.0,0.0
4,2,15.0,0.0
6,3,27.0,0.0
11,1,27.0,0.005
2,3,17.0,0.004
2,1,25.0,0.002
9,1,4.0,0.001
12,3,12.0,0.0
9,2,17.0,0.017
10,1,12.0,0.0
6,1,17.0,0.022
5,1,8.0,0.045
12,1,3.0,0.316
