m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,7.4,12.0,9.8,70.5,10.2,
1,1,1,7.3,12.0,9.8,70.5,10.6,
1,1,2,7.0,12.2,9.6,70.5,10.6,
1,1,3,6.7,12.5,9.6,70.0,11.6,
1,1,4,6.8,11.9,9.3,67.8,10.2,
1,1,5,6.5,11.8,9.1,68.3,9.8,
1,1,6,6.8,11.5,9.1,69.0,9.8,
1,1,7,7.0,12.5,9.8,67.8,10.2,
1,1,8,7.9,13.4,10.6,65.8,10.2,
1,1,9,9.3,14.3,11.9,64.5,10.7,
1,1,10,9.4,14.6,11.9,64.0,10.2,
1,1,11,10.5,15.4,12.8,61.3,10.3,
1,1,12,11.3,16.4,13.7,59.5,10.6,
1,1,13,11.1,16.0,13.4,58.8,10.6,
1,1,14,11.0,15.7,13.3,60.5,10.2,
1,1,15,10.7,15.5,13.1,60.8,9.8,
1,1,16,10.6,14.7,12.6,63.3,8.4,
1,1,17,9.3,13.4,11.3,68.8,8.9,
1,1,18,8.4,11.6,10.1,71.5,9.3,
1,1,19,8.2,11.8,10.4,71.8,9.8,
1,1,20,8.1,11.7,10.1,71.3,9.3,
1,1,21,8.0,11.5,10.0,71.3,10.2,
1,1,22,7.8,11.2,9.7,70.3,10.2,
1,1,23,7.7,11.4,9.7,70.0,10.2,
1,2,0,7.1,12.5,10.1,69.3,12.6,
1,2,1,6.8,12.5,9.8,68.8,12.6,
1,2,2,6.8,12.4,9.7,67.8,12.5,
1,2,3,6.5,12.1,9.5,68.8,13.5,
1,2,4,6.7,12.1,9.6,66.3,12.6,
1,2,5,7.0,12.0,9.5,67.0,12.6,
1,2,6,6.9,11.6,9.3,66.5,12.6,
1,2,7,7.7,12.2,9.9,65.5,12.6,
1,2,8,8.4,13.3,10.6,64.3,13.0,
1,2,9,9.3,14.0,11.5,62.0,14.4,
1,2,10,8.8,13.1,11.0,62.5,12.6,
1,2,11,9.6,14.3,12.0,59.8,13.9,
1,2,12,10.6,15.2,13.0,57.3,14.8,
1,2,13,10.7,15.0,12.9,58.0,14.8,
1,2,14,10.6,14.5,12.7,58.8,15.3,
1,2,15,10.4,14.8,12.7,59.3,14.4,
1,2,16,10.4,14.3,12.1,59.8,12.1,
1,2,17,9.4,13.7,11.5,64.0,11.1,
1,2,18,7.9,12.6,10.2,70.8,10.2,
1,2,19,7.9,12.3,10.0,71.5,11.1,
1,2,20,7.7,12.2,9.9,71.0,11.1,
1,2,21,7.6,12.3,9.9,71.0,11.6,
1,2,22,7.0,12.6,10.0,69.8,11.1,
1,2,23,7.1,12.5,10.0,68.3,11.1,
1,3,0,5.6,12.1,9.0,67.0,13.0,
1,3,1,6.3,12.1,9.2,66.0,12.1,
1,3,2,6.1,12.2,9.1,66.0,13.0,
1,3,3,5.3,12.1,8.5,66.5,13.0,
1,3,4,5.9,12.1,8.8,68.0,12.1,
1,3,5,5.8,11.4,8.7,68.5,12.1,
1,3,6,5.7,11.5,8.7,67.5,12.1,
1,3,7,7.6,12.3,9.9,66.5,12.1,
1,3,8,8.6,13.0,10.7,65.0,12.1,
1,3,9,8.4,14.3,11.3,64.5,12.1,
1,3,10,8.8,14.5,11.8,63.5,13.0,
1,3,11,9.5,15.7,12.6,60.0,13.0,
1,3,12,9.6,16.4,13.1,58.5,13.9,
1,3,13,10.0,16.2,13.2,58.0,13.0,
1,3,14,9.9,16.2,13.2,59.0,12.1,
1,3,15,9.5,16.0,12.8,60.5,12.0,
1,3,16,10.5,15.2,12.5,62.5,11.1,
1,3,17,9.4,14.7,11.7,65.5,10.2,
1,3,18,6.5,13.4,9.8,70.5,11.1,
1,3,19,7.2,13.1,9.8,72.0,11.1,
1,3,20,7.1,12.7,9.4,71.5,12.1,
1,3,21,5.4,12.8,9.2,71.0,12.1,
1,3,22,6.6,12.7,9.3,69.0,12.1,
1,3,23,6.4,12.7,9.2,68.0,13.0,
2,1,0,5.6,12.0,8.9,68.8,11.1,
2,1,1,6.9,12.1,9.7,65.5,11.1,
2,1,2,7.0,12.1,9.6,65.0,10.6,
2,1,3,5.5,12.0,8.9,68.3,10.6,
2,1,4,7.4,11.4,9.4,65.5,10.2,
2,1,5,7.4,11.6,9.5,65.5,10.2,
2,1,6,5.3,12.1,8.5,69.3,10.7,
2,1,7,8.8,12.9,11.0,64.3,11.2,
2,1,8,9.5,13.7,11.7,62.0,11.6,
2,1,9,8.0,14.7,11.6,62.3,12.1,
2,1,10,11.6,15.6,13.3,56.5,11.1,
2,1,11,12.6,16.4,14.0,54.3,12.6,
2,1,12,9.5,16.8,13.5,55.8,13.0,
2,1,13,13.6,16.6,15.2,52.5,12.1,
2,1,14,13.5,16.4,15.0,53.8,12.6,
2,1,15,9.5,16.2,13.0,56.8,12.6,
2,1,16,12.5,15.7,14.1,59.3,11.6,
2,1,17,10.9,14.7,12.9,63.0,10.2,
2,1,18,6.8,13.2,10.1,71.0,9.3,
2,1,19,8.1,12.7,10.6,69.3,9.8,
2,1,20,7.8,12.4,10.4,68.5,10.2,
2,1,21,6.3,12.4,9.4,70.3,11.1,
2,1,22,7.5,12.5,10.1,67.3,10.2,
2,1,23,7.2,12.1,9.9,66.0,10.2,
2,2,0,5.6,11.4,8.7,74.3,8.4,
2,2,1,6.5,11.2,8.8,71.3,8.8,
2,2,2,6.3,11.3,8.8,71.3,8.9,
2,2,3,4.9,11.0,8.3,75.3,9.3,
2,2,4,6.6,11.3,9.1,68.0,9.3,
2,2,5,6.6,11.1,8.9,68.3,9.3,
2,2,6,4.5,11.0,7.8,71.0,9.3,
2,2,7,8.1,12.1,10.5,65.8,9.3,
2,2,8,9.6,13.5,11.7,61.8,8.9,
2,2,9,8.3,14.8,11.4,62.0,8.9,
2,2,10,11.3,15.3,12.9,60.3,8.9,
2,2,11,12.1,16.0,14.1,57.3,9.3,
2,2,12,11.7,16.6,13.8,56.0,11.1,
2,2,13,13.6,16.3,15.0,55.5,9.8,
2,2,14,13.7,16.0,14.9,56.3,9.8,
2,2,15,11.1,15.8,13.3,59.3,10.6,
2,2,16,12.5,14.8,13.4,60.8,8.4,
2,2,17,10.9,13.9,12.1,65.8,7.4,
2,2,18,7.9,12.1,10.1,75.8,7.4,
2,2,19,8.0,11.9,10.0,75.5,6.5,
2,2,20,7.6,11.7,9.6,77.0,6.5,
2,2,21,6.3,11.5,9.2,76.3,7.5,
2,2,22,7.4,11.5,9.5,76.0,8.4,
2,2,23,7.2,11.4,9.2,75.8,7.9,
2,3,0,5.6,11.2,9.1,73.5,8.4,
2,3,1,7.9,11.5,9.7,72.0,8.4,
2,3,2,7.8,11.5,9.6,71.5,9.3,
2,3,3,4.9,11.0,8.4,72.5,8.4,
2,3,4,8.1,11.2,9.8,69.5,8.4,
2,3,5,8.1,11.2,9.7,70.0,8.4,
2,3,6,4.4,11.3,8.4,75.0,8.4,
2,3,7,9.9,12.5,11.3,69.0,10.2,
2,3,8,11.7,13.8,12.8,66.0,10.2,
2,3,9,8.5,15.1,11.9,64.0,9.3,
2,3,10,13.3,15.6,14.8,58.5,11.1,
2,3,11,14.2,16.4,15.6,55.5,12.1,
2,3,12,11.3,16.9,14.1,55.0,13.0,
2,3,13,14.8,16.7,15.9,53.0,13.9,
2,3,14,14.7,16.6,15.7,54.5,13.0,
2,3,15,12.0,16.4,14.0,58.0,13.9,
2,3,16,13.8,15.3,14.6,57.5,10.2,
2,3,17,12.1,14.4,13.3,63.5,10.2,
2,3,18,8.1,12.6,10.5,72.5,9.3,
2,3,19,9.3,11.9,10.9,67.5,9.3,
2,3,20,9.0,11.7,10.5,68.0,9.3,
2,3,21,6.6,11.5,9.3,72.0,8.4,
2,3,22,8.3,11.7,10.0,72.0,9.3,
2,3,23,8.1,11.1,9.7,72.0,9.3,
3,1,0,6.4,11.1,8.6,73.8,10.2,
3,1,1,8.5,10.9,10.0,71.8,9.3,
3,1,2,8.4,10.7,9.8,72.0,9.3,
3,1,3,6.2,10.7,8.0,74.0,10.2,
3,1,4,7.7,10.8,9.4,71.3,8.9,
3,1,5,7.6,10.8,9.3,72.3,8.9,
3,1,6,7.0,11.0,8.9,72.8,8.9,
3,1,7,9.3,12.2,10.8,68.3,9.3,
3,1,8,10.8,13.4,12.2,65.0,9.8,
3,1,9,10.7,14.6,12.6,64.5,10.2,
3,1,10,12.6,15.1,13.7,61.0,12.1,
3,1,11,13.1,15.7,14.1,59.0,13.0,
3,1,12,12.0,16.2,14.1,59.8,13.0,
3,1,13,13.1,15.9,14.5,57.0,13.9,
3,1,14,13.0,15.5,14.2,58.0,13.9,
3,1,15,12.0,15.6,13.7,62.0,13.9,
3,1,16,12.7,14.7,13.6,59.0,11.6,
3,1,17,11.9,13.7,12.9,62.8,10.6,
3,1,18,8.1,12.5,10.1,71.3,11.6,
3,1,19,10.1,12.3,11.3,69.5,11.1,
3,1,20,9.6,12.0,10.9,70.0,10.2,
3,1,21,7.0,11.8,9.2,71.5,10.6,
3,1,22,9.0,11.8,10.4,71.0,9.3,
3,1,23,8.6,11.5,10.0,72.5,9.3,
3,2,0,8.4,12.8,10.7,72.8,10.7,
3,2,1,9.1,12.6,11.4,69.0,9.8,
3,2,2,8.5,12.6,11.1,69.3,10.6,
3,2,3,7.0,12.2,9.6,73.3,11.6,
3,2,4,9.4,12.4,10.8,71.0,9.8,
3,2,5,9.4,12.3,10.8,71.5,10.6,
3,2,6,7.1,12.8,10.1,71.8,10.2,
3,2,7,10.9,13.7,12.3,67.8,11.1,
3,2,8,12.3,14.8,13.7,64.0,12.1,
3,2,9,10.9,16.0,13.8,60.5,13.0,
3,2,10,13.1,16.7,14.8,59.3,14.9,
3,2,11,13.5,17.1,15.4,57.0,16.2,
3,2,12,11.7,17.9,15.0,56.5,17.6,
3,2,13,13.8,17.7,15.9,57.3,18.1,
3,2,14,13.7,17.6,15.7,60.0,17.6,
3,2,15,11.4,17.7,15.3,62.3,17.6,
3,2,16,13.0,16.4,15.1,61.3,13.9,
3,2,17,12.3,15.5,14.4,65.3,12.1,
3,2,18,8.6,13.6,11.7,73.8,10.6,
3,2,19,10.8,13.3,12.4,72.8,10.3,
3,2,20,10.6,13.2,12.0,72.0,9.8,
3,2,21,8.2,12.9,10.6,74.3,10.2,
3,2,22,9.6,12.6,11.2,72.3,8.9,
3,2,23,9.1,12.6,10.8,74.5,9.3,
3,3,0,6.3,12.5,9.3,76.0,9.3,
3,3,1,8.3,12.0,9.5,77.0,7.4,
3,3,2,8.1,11.9,9.3,77.5,9.3,
3,3,3,6.3,11.8,9.0,77.5,10.2,
3,3,4,8.6,11.7,9.9,74.5,8.4,
3,3,5,8.4,11.8,10.1,74.0,9.3,
3,3,6,7.4,12.7,10.0,72.5,9.3,
3,3,7,10.2,13.8,11.8,68.5,9.3,
3,3,8,11.7,15.3,13.2,65.5,10.2,
3,3,9,10.6,16.5,13.6,61.5,12.1,
3,3,10,13.6,18.1,15.6,58.0,12.1,
3,3,11,14.3,18.5,16.0,55.5,13.0,
3,3,12,12.1,19.0,15.7,57.5,14.8,
3,3,13,15.1,18.9,16.4,55.5,13.0,
3,3,14,14.8,18.8,16.4,58.5,13.0,
3,3,15,12.6,18.6,15.0,61.0,14.9,
3,3,16,13.9,17.7,15.1,61.0,11.1,
3,3,17,12.8,16.7,14.5,64.5,10.2,
3,3,18,9.0,14.2,11.4,72.5,9.3,
3,3,19,9.8,13.8,11.8,73.0,8.3,
3,3,20,9.8,13.6,11.5,73.0,7.4,
3,3,21,7.3,13.6,10.1,73.0,9.3,
3,3,22,9.4,13.3,11.2,69.5,7.4,
3,3,23,9.0,12.9,11.0,71.5,8.3,
4,1,0,8.6,13.6,10.7,71.3,9.8,
4,1,1,9.0,13.1,10.6,72.0,8.4,
4,1,2,8.7,12.6,10.4,72.5,9.3,
4,1,3,7.4,12.4,10.1,72.3,9.8,
4,1,4,9.2,12.7,11.1,69.3,8.3,
4,1,5,9.5,13.0,11.3,68.0,8.9,
4,1,6,8.5,14.2,11.6,65.3,10.2,
4,1,7,11.2,15.2,13.2,63.0,11.1,
4,1,8,12.4,16.6,14.7,58.0,11.6,
4,1,9,12.3,17.9,15.6,56.3,12.6,
4,1,10,13.7,18.7,16.3,54.8,12.1,
4,1,11,14.4,19.2,16.8,53.0,13.9,
4,1,12,13.8,19.6,16.8,52.3,16.3,
4,1,13,14.4,19.2,17.0,52.5,14.4,
4,1,14,14.2,18.8,16.6,54.8,14.4,
4,1,15,13.8,18.7,16.2,56.0,15.8,
4,1,16,13.4,17.8,15.7,57.3,11.6,
4,1,17,12.5,16.7,14.8,60.0,10.6,
4,1,18,10.6,14.9,13.1,68.3,10.2,
4,1,19,10.7,14.1,12.6,72.0,8.8,
4,1,20,10.2,13.8,12.1,71.5,8.4,
4,1,21,9.1,13.8,11.6,71.8,8.8,
4,1,22,9.5,13.8,11.4,72.8,7.9,
4,1,23,9.0,13.3,10.9,74.3,7.9,
4,2,0,9.2,14.2,11.6,76.0,8.9,
4,2,1,9.5,13.9,11.8,77.0,8.4,
4,2,2,9.1,13.6,11.5,77.3,8.4,
