m,m3,coco,coco_pct
6,1,9.0,0.033
7,2,19.0,0.0
5,1,21.0,0.0
1,3,8.0,0.004
2,2,19.0,0.0
10,3,5.0,0.181
6,2,12.0,0.0
5,1,1.0,0.246
5,1,15.0,0.0
2,2,8.0,0.019
10,2,5.0,0.11
9,1,1.0,0.394
3,1,13.0,0.0
1,1,21.0,0.0
7,3,9.0,0.0
12,3,1.0,0.402
9,3,2.0,0.172
1,1,2.0,0.108
6,1,7.0,0.027
4,2,8.0,0.019
3,3,5.0,0.104
1,1,17.0,0.012
8,3,19.0,0.0
7,2,1.0,0.9
2,3,2.0,0.118
5,2,14.0,0.0
6,2,19.0,0.0
3,3,14.0,0.0
4,2,17.0,0.04
11,1,15.0,0.0
9,1,17.0,0.027
6,2,7.0,0.01
4,2,2.0,0.138
2,2,3.0,0.29
9,2,5.0,0.043
7,1,3.0,0.107
6,1,15.0,0.0
9,3,21.0,0.0
8,1,8.0,0.004
5,2,19.0,0.0
11,2,18.0,0.0
1,3,17.0,0.016
12,3,13.0,0.0
1,1,3.0,0.296
4,1,19.0,0.0
4,1,9.0,0.015
1,2,14.0,0.0
4,1,13.0,0.0
11,2,9.0,0.018
11,2,5.0,0.186
8,2,1.0,0.695
9,3,16.0,0.0
2,3,19.0,0.0
8,3,8.0,0.003
10,1,13.0,0.0
8,2,17.0,0.017
3,3,3.0,0.292
11,1,19.0,0.0
4,3,7.0,0.01
6,1,16.0,0.0
12,2,5.0,0.183
6,1,18.0,0.002
10,2,3.0,0.205
6,2,9.0,0.008
2,2,1.0,0.367
5,2,21.0,0.0
10,1,5.0,0.069
8,1,16.0,0.0
6,3,8.0,0.0
1,1,19.0,0.0
11,3,21.0,0.0
12,3,2.0,0.13
5,1,17.0,0.027
8,1,15.0,0.0
12,1,18.0,0.001
4,3,18.0,0.0
2,3,16.0,0.0
12,2,21.0,0.0
4,1,12.0,0.0
8,2,3.0,0.125
10,1,2.0,0.117
6,1,17.0,0.038
8,3,5.0,0.014
5,3,15.0,0.0
12,2,16.0,0.0
9,1,19.0,0.0
9,3,8.0,0.019
10,1,18.0,0.0
7,2,5.0,0.0
4,2,12.0,0.0
7,1,9.0,0.0
10,1,9.0,0.003
2,3,14.0,0.0
5,2,12.0,0.0
4,1,1.0,0.346
12,2,12.0,0.0
2,1,13.0,0.023
6,1,2.0,0.113
11,3,7.0,0.031
7,1,18.0,0.0
4,2,5.0,0.025
7,3,7.0,0.001
11,1,21.0,0.0
2,1,9.0,0.008
11,2,3.0,0.279
10,2,17.0,0.007
2,1,21.0,0.0
4,1,21.0,0.0
2,1,1.0,0.392
6,3,12.0,0.0
6,3,15.0,0.0
5,3,5.0,0.038
1,3,1.0,0.352
8,3,18.0,0.003
9,2,8.0,0.003
11,3,12.0,0.0
9,3,7.0,0.021
7,1,12.0,0.0
3,2,17.0,0.006
5,3,21.0,0.0
10,1,21.0,0.0
8,3,2.0,0.166
8,1,13.0,0.0
10,2,13.0,0.0
6,3,14.0,0.0
11,3,13.0,0.0
10,2,12.0,0.0
5,2,18.0,0.006
4,1,3.0,0.44
12,2,9.0,0.001
1,2,13.0,0.0
8,3,12.0,0.0
8,2,2.0,0.144
2,1,16.0,0.04
