m,m3,d,tmin_avg,tavg_avg,tmax_avg,prcp_avg,wspd_avg,rain_pct
1,1,1,4.9,7.9,10.1,0.0,7.2,0.17
1,1,2,4.2,8.4,10.4,0.0,7.1,0.14
1,1,3,6.2,8.0,9.6,0.2,9.3,0.33
1,1,4,6.4,7.4,10.4,0.3,8.8,0.29
1,1,5,4.2,7.2,9.5,0.2,8.6,0.29
1,1,6,3.8,5.3,7.5,0.2,10.4,0.33
1,1,7,2.8,6.9,8.8,0.3,9.3,0.33
1,1,8,3.8,6.6,8.3,0.2,9.6,0.29
1,1,9,3.8,6.4,7.8,1.5,11.7,0.5
1,1,10,3.2,5.0,7.6,3.2,11.4,0.71
1,2,11,2.7,6.3,8.0,2.1,9.9,0.4
1,2,12,1.6,5.0,7.1,0.8,8.0,0.43
1,2,13,1.7,4.0,6.0,0.3,7.8,0.33
1,2,14,3.2,5.3,6.9,0.0,8.4,0.14
1,2,15,3.7,6.4,8.7,1.0,8.6,0.43
1,2,16,3.8,6.8,8.7,1.2,10.4,0.43
1,2,17,4.4,6.4,8.0,3.1,13.8,0.57
1,2,18,4.9,7.0,8.9,1.5,11.6,0.57
1,2,19,2.8,5.7,8.5,1.0,10.3,0.29
1,2,20,2.2,5.9,7.9,0.2,7.9,0.57
1,3,21,2.3,4.8,7.3,1.5,9.9,0.71
1,3,22,2.6,5.9,7.6,1.5,6.2,0.57
1,3,23,2.3,4.0,6.5,1.0,7.3,0.43
1,3,24,1.5,4.8,6.8,1.0,10.0,0.67
1,3,25,2.1,4.3,9.2,1.5,7.9,0.29
1,3,26,3.4,5.5,8.5,1.0,8.7,0.29
1,3,27,2.9,6.0,8.6,0.0,7.6,0.17
1,3,28,0.8,6.1,9.4,0.2,7.1,0.29
1,3,29,3.7,5.9,7.8,0.3,9.6,0.29
1,3,30,2.1,6.8,10.2,0.0,10.1,0.14
1,3,31,2.1,6.1,8.1,0.2,8.2,0.29
2,1,1,2.9,5.0,9.2,2.6,11.4,0.33
2,1,2,4.5,7.3,10.1,0.5,10.4,0.5
2,1,3,4.0,8.7,10.7,0.0,7.3,0.14
2,1,4,7.2,10.4,12.8,0.0,10.5,0.14
2,1,5,5.8,7.4,11.1,0.5,9.1,0.33
2,1,6,5.9,8.0,11.0,0.0,7.8,0.17
2,1,7,3.9,9.0,11.9,0.0,9.7,0.0
2,1,8,2.8,5.8,7.6,3.1,13.4,0.6
2,1,9,4.0,6.3,9.2,2.8,14.3,0.43
2,1,10,3.9,7.0,11.6,4.3,14.6,0.43
2,2,11,4.7,8.2,11.2,0.6,10.1,0.29
2,2,12,0.4,6.3,10.3,0.0,7.2,0.17
2,2,13,3.4,6.2,9.5,0.3,7.3,0.57
2,2,14,1.1,5.7,9.7,0.4,7.5,0.29
2,2,15,3.6,6.8,10.1,0.0,10.0,0.14
2,2,16,2.6,6.2,8.6,0.3,7.3,0.43
2,2,17,3.7,8.0,10.7,0.0,6.8,0.0
2,2,18,4.4,10.1,13.1,0.0,6.4,0.0
2,2,19,4.6,8.2,11.4,0.0,8.9,0.0
2,2,20,4.7,8.3,11.4,0.0,6.8,0.14
2,3,21,4.0,8.0,11.4,0.0,8.6,0.14
2,3,22,4.3,7.2,9.9,0.2,8.0,0.29
2,3,23,5.1,8.1,10.6,0.0,9.2,0.14
2,3,24,6.3,11.1,13.7,0.2,7.4,0.33
2,3,25,6.4,9.0,10.1,0.3,8.4,0.29
2,3,26,1.5,7.6,10.3,0.3,10.9,0.29
2,3,27,3.4,6.1,10.1,0.3,10.3,0.33
2,3,28,2.9,7.7,10.0,0.3,8.1,0.33
2,3,29,4.6,7.4,10.3,2.2,8.7,0.5
3,1,1,5.1,7.5,10.0,0.5,8.8,0.43
3,1,2,5.4,7.1,8.8,0.5,9.2,0.33
3,1,3,2.7,6.5,9.8,1.5,8.3,0.43
3,1,4,3.3,7.0,9.8,1.5,8.6,0.5
3,1,5,2.2,6.4,9.0,1.0,9.6,0.5
