m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,9.7,13.0,11.4,74.3,6.1,0.22
1,1,1,9.5,13.1,11.3,75.3,7.4,0.22
1,1,2,9.9,13.1,11.5,73.8,7.0,0.24
1,1,3,9.7,13.0,11.4,77.0,5.6,0.27
1,1,4,9.8,13.0,11.3,77.3,7.8,0.33
1,1,5,9.2,13.0,11.1,78.3,7.9,0.33
1,1,6,9.2,13.0,11.3,76.5,8.3,0.32
1,1,7,8.9,13.0,10.9,79.0,7.4,0.3
1,1,8,9.0,13.0,11.0,76.5,9.2,0.3
1,1,9,9.9,13.3,11.8,76.3,8.8,0.28
1,1,10,10.2,14.0,12.0,75.3,8.3,0.24
1,1,11,10.7,14.0,12.4,71.5,8.3,0.31
1,1,12,10.4,14.7,12.6,72.8,8.3,0.26
1,1,13,10.5,14.0,12.5,71.3,6.5,0.29
1,1,14,10.7,14.8,12.7,70.0,7.0,0.28
1,1,15,11.1,14.1,12.6,71.3,8.3,0.32
1,1,16,10.0,14.0,12.1,71.8,6.1,0.22
1,1,17,10.0,13.9,11.9,74.3,7.0,0.28
1,1,18,9.7,13.3,11.6,72.8,7.0,0.3
1,1,19,9.7,13.1,11.6,72.0,5.2,0.24
1,1,20,10.0,13.0,11.6,73.3,7.4,0.22
1,1,21,9.8,13.3,11.7,73.8,7.9,0.32
1,1,22,9.9,13.4,11.6,72.3,7.4,0.34
1,1,23,9.4,13.0,11.4,73.3,7.0,0.3
1,2,0,9.0,12.2,10.5,71.0,7.4,0.2
1,2,1,8.9,12.0,10.3,73.3,8.8,0.22
1,2,2,8.9,11.8,10.2,72.0,8.4,0.2
1,2,3,8.9,11.2,10.1,73.0,8.3,0.28
1,2,4,9.0,11.4,10.0,73.3,8.4,0.24
1,2,5,8.8,11.1,9.8,75.5,9.2,0.22
1,2,6,8.7,11.2,10.0,75.0,9.3,0.24
1,2,7,8.9,11.0,10.0,72.5,8.8,0.22
1,2,8,9.0,11.5,10.2,73.5,8.3,0.26
1,2,9,9.0,12.0,10.5,73.5,7.9,0.18
1,2,10,9.0,13.0,11.0,72.8,9.2,0.2
1,2,11,9.4,13.1,11.4,70.5,9.2,0.2
1,2,12,10.0,13.2,11.6,70.0,8.8,0.26
1,2,13,10.4,13.1,12.0,69.0,9.2,0.32
1,2,14,11.0,13.1,12.2,67.3,7.0,0.22
1,2,15,10.7,13.2,11.9,67.8,8.3,0.24
1,2,16,10.0,13.0,11.5,69.5,8.4,0.22
1,2,17,10.0,12.5,11.3,70.8,6.5,0.18
1,2,18,9.5,12.3,10.9,70.0,8.0,0.26
1,2,19,9.0,12.4,10.5,70.0,7.4,0.2
1,2,20,9.0,12.3,10.5,69.8,7.9,0.28
1,2,21,8.8,12.0,10.4,71.0,9.6,0.18
1,2,22,9.0,12.5,10.5,71.5,9.6,0.3
1,2,23,8.8,12.5,10.4,71.5,8.8,0.3
1,3,0,8.0,12.0,10.0,77.5,8.3,0.2
1,3,1,8.0,12.0,9.8,76.0,7.5,0.16
1,3,2,8.0,12.0,10.0,77.0,7.4,0.2
1,3,3,7.6,12.0,10.0,77.0,7.4,0.2
1,3,4,7.8,12.0,9.8,77.0,9.2,0.2
1,3,5,8.0,12.0,10.0,77.5,8.3,0.2
1,3,6,8.0,12.0,10.0,76.0,8.3,0.24
1,3,7,8.0,12.0,10.1,78.0,6.7,0.2
1,3,8,8.0,12.0,10.1,75.0,8.3,0.27
1,3,9,8.8,12.4,10.6,73.0,7.4,0.2
1,3,10,9.0,13.0,11.0,72.0,7.4,0.18
1,3,11,9.8,13.0,11.5,72.5,7.4,0.16
1,3,12,10.0,13.4,11.7,70.5,9.2,0.2
1,3,13,10.0,14.0,11.7,71.5,9.2,0.2
1,3,14,10.2,13.6,11.9,71.0,7.6,0.18
1,3,15,10.0,13.4,11.6,72.0,5.6,0.16
1,3,16,10.0,13.0,11.5,72.5,7.4,0.15
1,3,17,9.3,13.0,10.9,75.5,6.5,0.16
1,3,18,9.0,12.4,10.7,73.5,7.4,0.16
1,3,19,9.0,12.2,10.6,73.5,8.3,0.18
1,3,20,8.8,12.2,10.5,75.5,8.3,0.2
1,3,21,8.4,12.0,10.1,76.0,7.4,0.18
1,3,22,8.0,12.0,10.4,78.0,6.5,0.13
1,3,23,8.4,12.0,10.2,78.0,5.6,0.15
2,1,0,9.5,12.8,10.9,75.5,7.4,0.16
2,1,1,9.6,12.1,10.9,74.0,7.4,0.18
2,1,2,9.4,12.0,10.8,72.3,7.4,0.16
