m,coco,coco_pct
2,17.0,0.0
2,5.0,0.013
11,9.0,0.025
4,1.0,0.28
3,2.0,0.377
9,14.0,0.0
3,7.0,0.048
6,9.0,0.001
7,17.0,0.0
12,5.0,0.023
5,27.0,0.001
7,15.0,0.0
5,18.0,0.001
11,5.0,0.003
8,7.0,0.01
4,15.0,0.0
5,3.0,0.242
11,13.0,0.0
5,25.0,0.019
11,1.0,0.173
10,27.0,0.001
12,15.0,0.0
5,8.0,0.029
3,5.0,0.0
3,3.0,0.219
8,8.0,0.007
1,7.0,0.074
11,7.0,0.099
3,25.0,0.001
12,25.0,0.003
8,13.0,0.0
11,14.0,0.0
1,18.0,0.0
8,2.0,0.399
10,18.0,0.0
10,8.0,0.026
3,13.0,0.0
7,3.0,0.04
5,15.0,0.0
2,9.0,0.009
12,1.0,0.234
11,27.0,0.0
8,4.0,0.001
2,15.0,0.0
7,18.0,0.0
6,12.0,0.0
4,27.0,0.0
3,18.0,0.0
6,3.0,0.101
9,15.0,0.0
3,12.0,0.001
1,15.0,0.0
9,13.0,0.0
9,12.0,0.0
9,1.0,0.355
6,1.0,0.346
4,2.0,0.386
3,8.0,0.024
10,5.0,0.001
10,9.0,0.011
2,14.0,0.005
7,1.0,0.609
1,5.0,0.05
3,1.0,0.289
4,8.0,0.02
7,5.0,0.0
7,8.0,0.003
8,14.0,0.0
10,1.0,0.244
10,4.0,0.032
1,12.0,0.0
2,18.0,0.0
6,7.0,0.031
8,25.0,0.01
4,7.0,0.053
4,4.0,0.026
7,25.0,0.003
4,13.0,0.0
10,3.0,0.281
6,25.0,0.02
1,17.0,0.0
3,17.0,0.0
11,25.0,0.006
8,3.0,0.046
2,12.0,0.001
11,15.0,0.0
4,14.0,0.0
9,5.0,0.0
5,2.0,0.458
12,8.0,0.04
1,1.0,0.242
10,2.0,0.331
1,13.0,0.0
10,13.0,0.0
6,14.0,0.0
12,27.0,0.0
6,2.0,0.49
1,27.0,0.0
6,13.0,0.0
10,15.0,0.0
9,7.0,0.035
6,15.0,0.0
12,3.0,0.219
3,4.0,0.037
1,8.0,0.023
6,4.0,0.0
2,27.0,0.0
10,17.0,0.0
7,9.0,0.001
6,5.0,0.001
4,5.0,0.0
9,25.0,0.022
12,2.0,0.171
3,15.0,0.001
8,17.0,0.0
8,15.0,0.0
3,27.0,0.0
9,4.0,0.006
5,1.0,0.145
8,27.0,0.0
10,25.0,0.005
1,3.0,0.275
7,14.0,0.0
8,1.0,0.524
12,7.0,0.108
9,3.0,0.131
4,17.0,0.0
10,7.0,0.069
12,17.0,0.0
5,14.0,0.0
7,27.0,0.0
3,9.0,0.002
1,2.0,0.196
9,8.0,0.016
2,8.0,0.019
4,9.0,0.005
5,12.0,0.0
9,18.0,0.006
12,9.0,0.013
11,4.0,0.075
9,9.0,0.004
6,18.0,0.003
11,18.0,0.0
1,9.0,0.005
9,17.0,0.0
1,14.0,0.0
2,7.0,0.063
2,4.0,0.097
2,1.0,0.327
6,27.0,0.0
11,8.0,0.043
7,12.0,0.0
8,12.0,0.0
5,5.0,0.001
8,9.0,0.0
2,3.0,0.208
9,2.0,0.426
4,3.0,0.221
7,2.0,0.335
10,12.0,0.0
9,27.0,0.001
5,4.0,0.029
2,25.0,0.002
7,13.0,0.0
11,12.0,0.0
7,4.0,0.0
12,14.0,0.0
8,18.0,0.002
12,12.0,0.0
2,2.0,0.256
7,7.0,0.009
5,17.0,0.001
4,18.0,0.0
1,4.0,0.136
2,13.0,0.0
5,7.0,0.07
6,17.0,0.001
6,8.0,0.006
8,5.0,0.0
11,17.0,0.0
3,14.0,0.001
5,13.0,0.0
1,25.0,0.0
12,13.0,0.0
5,9.0,0.005
12,18.0,0.001
4,25.0,0.009
4,12.0,0.0
11,2.0,0.245
10,14.0,0.0
12,4.0,0.19
11,3.0,0.332
