m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,3.9,6.6,9.5,7.2,0.0,,0.0
1,2,1.8,5.2,8.6,7.0,0.0,,0.0
1,3,2.3,5.4,9.4,7.0,0.0,,0.0
2,1,3.6,7.4,12.1,7.7,0.0,,0.0
2,2,3.4,7.5,12.5,6.4,0.0,,0.0
2,3,4.3,8.8,13.7,9.9,0.0,,0.0
3,1,4.0,8.4,13.6,8.8,0.0,,0.0
3,2,5.3,9.9,14.6,8.8,0.0,,0.0
3,3,5.0,10.6,16.3,9.7,0.0,,0.0
4,1,5.8,10.7,16.5,8.8,0.0,,0.0
4,2,7.2,12.7,17.6,8.6,0.0,,0.0
4,3,9.2,13.8,18.9,8.8,0.0,,0.0
5,1,11.0,15.5,20.1,9.0,0.0,,0.0
5,2,12.3,16.3,20.8,9.1,0.0,,0.0
5,3,13.7,18.6,23.7,8.6,0.0,,0.0
6,1,15.9,20.7,25.3,8.6,0.0,,0.0
6,2,18.2,23.2,29.2,9.2,0.0,,0.0
6,3,19.7,25.5,31.6,9.1,0.0,,0.0
7,1,20.3,26.1,31.8,9.1,0.0,,0.0
7,2,20.4,26.2,31.8,9.2,0.0,,0.0
7,3,21.8,27.1,33.2,9.6,0.0,,0.0
8,1,21.0,26.9,32.3,9.4,0.0,,0.0
8,2,21.1,26.5,32.2,8.8,0.0,,0.0
8,3,20.2,25.0,30.9,9.1,0.0,,0.0
9,1,17.6,22.8,28.3,8.9,0.0,,0.0
9,2,16.7,22.4,27.2,8.6,0.0,,0.0
9,3,14.2,18.8,23.8,8.9,0.0,,0.0
10,1,13.1,17.0,21.8,8.2,0.0,,0.0
10,2,11.5,15.2,20.5,6.8,0.0,,0.0
10,3,12.7,15.7,19.5,8.0,0.0,,0.0
11,1,10.3,13.5,16.6,7.8,0.0,,0.0
11,2,7.8,11.1,14.5,7.1,0.0,,0.0
11,3,6.1,9.1,12.0,7.6,0.0,,0.0
12,1,4.3,7.0,9.6,7.4,0.0,,0.0
12,2,2.7,6.0,10.1,6.7,0.0,,0.0
12,3,4.6,7.5,10.5,5.4,0.0,,0.0
