m,m3,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,1,0,2.3,8.8,5.7,89.3,6.5,
1,1,1,2.1,8.7,5.4,90.8,6.5,
1,1,2,2.1,8.8,5.4,90.3,6.1,
1,1,3,2.0,8.3,5.2,90.3,6.1,
1,1,4,1.9,7.9,4.9,91.8,5.6,
1,1,5,1.6,7.5,4.6,91.0,6.1,
1,1,6,1.3,7.0,4.1,96.5,5.1,
1,1,7,1.9,7.3,4.8,94.0,5.6,
1,1,8,2.6,7.8,5.4,92.3,6.1,
1,1,9,3.3,8.1,5.9,91.8,7.0,
1,1,10,4.2,9.1,6.8,84.8,7.4,
1,1,11,5.1,10.3,7.6,81.5,8.3,
1,1,12,6.1,11.3,8.5,77.3,9.8,
1,1,13,6.4,11.4,8.9,77.3,9.3,
1,1,14,6.7,11.5,9.3,76.0,8.4,
1,1,15,7.1,11.9,9.5,76.3,7.4,
1,1,16,5.9,10.6,8.3,80.0,7.4,
1,1,17,4.9,10.1,7.6,84.0,7.4,
1,1,18,3.7,9.3,6.5,89.8,7.4,
1,1,19,3.0,9.0,5.9,90.8,7.4,
1,1,20,2.6,8.6,5.8,91.5,7.4,
1,1,21,2.3,8.4,5.6,91.3,7.0,
1,1,22,2.3,8.4,5.7,90.0,7.0,
1,1,23,2.4,8.3,5.6,90.8,7.0,
1,2,0,1.0,5.4,3.7,86.3,7.4,
1,2,1,0.8,5.3,3.5,87.5,7.0,
1,2,2,0.9,5.2,3.3,89.0,7.4,
1,2,3,1.1,4.8,3.1,89.8,6.5,
1,2,4,0.9,4.3,2.8,91.0,6.5,
1,2,5,0.5,4.4,2.4,91.8,5.6,
1,2,6,0.2,3.5,1.8,94.5,5.6,
1,2,7,0.9,4.2,2.8,92.0,5.6,
1,2,8,1.9,4.7,3.7,91.0,5.6,
1,2,9,2.8,5.9,4.6,89.5,5.6,
1,2,10,3.7,7.0,5.6,82.8,7.4,
1,2,11,4.8,8.2,6.7,75.8,8.4,
1,2,12,5.9,9.5,7.6,69.3,9.3,
1,2,13,6.2,9.8,8.0,68.5,8.4,
1,2,14,6.5,10.1,8.3,67.5,8.4,
1,2,15,6.9,10.2,8.6,67.0,7.9,
1,2,16,5.9,9.2,7.4,72.0,6.5,
1,2,17,4.6,8.3,6.3,76.3,6.5,
1,2,18,3.5,7.1,5.2,83.3,6.5,
1,2,19,2.9,6.9,4.9,84.3,7.4,
1,2,20,2.3,6.3,4.4,87.3,7.4,
1,2,21,2.0,5.7,4.1,88.3,7.4,
1,2,22,1.0,5.6,3.7,85.8,7.4,
1,2,23,1.0,5.5,3.7,88.3,7.4,
1,3,0,1.4,6.5,3.9,86.5,7.4,
1,3,1,1.5,6.0,3.7,88.0,7.4,
1,3,2,1.4,5.7,3.6,89.5,6.5,
1,3,3,1.4,5.7,3.4,88.5,5.6,
1,3,4,1.2,5.3,3.2,90.5,6.5,
1,3,5,0.4,5.1,2.9,91.0,6.5,
1,3,6,0.0,5.1,2.3,92.5,5.6,
1,3,7,0.9,5.4,3.2,90.5,5.6,
1,3,8,2.1,5.6,4.0,88.5,6.5,
1,3,9,3.0,6.4,4.7,87.5,6.5,
1,3,10,3.7,7.4,5.8,81.5,6.5,
1,3,11,4.9,8.4,6.9,74.5,7.4,
1,3,12,6.2,9.7,7.7,68.5,9.3,
1,3,13,6.6,9.3,8.3,68.5,9.3,
1,3,14,7.1,10.1,8.8,64.5,9.3,
1,3,15,7.4,10.2,9.3,63.5,9.3,
1,3,16,5.9,10.2,8.0,68.5,8.3,
1,3,17,4.4,8.5,6.5,76.0,7.4,
1,3,18,3.3,7.3,5.3,84.5,7.4,
1,3,19,3.1,6.9,5.2,88.0,6.5,
1,3,20,2.6,6.7,4.8,90.0,6.5,
1,3,21,2.2,6.7,4.3,89.5,7.4,
1,3,22,2.2,6.6,4.2,89.5,6.5,
1,3,23,1.8,6.5,4.2,89.5,7.4,
2,1,0,3.1,8.5,5.9,86.5,6.5,
2,1,1,3.1,8.3,5.7,88.3,6.5,
2,1,2,2.7,8.1,5.4,88.8,6.5,
2,1,3,2.0,7.6,5.1,88.8,6.1,
2,1,4,2.0,7.4,4.7,90.8,7.0,
2,1,5,1.4,7.1,4.4,90.5,7.0,
2,1,6,0.4,6.6,3.9,93.3,6.5,
2,1,7,2.2,7.3,5.1,89.3,6.1,
2,1,8,3.3,8.1,6.0,87.0,6.5,
2,1,9,4.4,9.1,6.8,82.5,7.4,
2,1,10,7.3,10.0,8.5,76.3,7.4,
2,1,11,8.8,11.0,9.8,70.0,8.8,
2,1,12,7.7,11.7,9.5,66.3,10.6,
2,1,13,10.2,12.0,11.1,63.8,10.6,
2,1,14,10.8,12.3,11.5,62.3,10.6,
2,1,15,8.2,12.6,10.3,61.5,10.6,
2,1,16,9.6,11.9,10.7,66.5,7.9,
2,1,17,8.0,10.7,9.4,72.5,7.4,
2,1,18,4.7,9.7,7.3,79.5,6.5,
2,1,19,5.2,9.4,7.3,81.5,6.5,
2,1,20,4.6,9.1,6.9,84.0,6.5,
2,1,21,3.0,8.5,6.0,86.5,7.4,
2,1,22,3.6,8.9,6.3,84.3,7.4,
2,1,23,3.6,8.6,6.2,84.8,7.0,
2,2,0,2.0,6.6,5.2,86.0,5.6,
