m,coco,coco_pct
1,5.0,0.196
12,7.0,0.031
5,9.0,0.034
6,7.0,0.05
3,7.0,0.046
5,3.0,0.224
3,15.0,0.001
8,16.0,0.0
5,2.0,0.247
7,19.0,0.0
1,7.0,0.025
7,13.0,0.0
11,1.0,0.246
3,25.0,0.001
4,27.0,0.001
11,10.0,0.0
2,8.0,0.018
5,4.0,0.04
4,12.0,0.0
9,26.0,0.0
1,26.0,0.0
3,12.0,0.0
6,4.0,0.013
9,12.0,0.0
12,17.0,0.0
3,27.0,0.001
1,19.0,0.0
12,14.0,0.006
6,2.0,0.255
1,15.0,0.001
3,16.0,0.0
2,12.0,0.011
4,2.0,0.183
10,18.0,0.001
2,7.0,0.032
8,18.0,0.016
10,3.0,0.255
6,16.0,0.0
8,4.0,0.008
12,9.0,0.004
9,16.0,0.0
5,14.0,0.0
1,3.0,0.199
2,9.0,0.012
7,4.0,0.01
12,8.0,0.015
6,9.0,0.013
9,5.0,0.025
6,14.0,0.0
8,13.0,0.0
5,18.0,0.004
9,1.0,0.373
1,16.0,0.0
1,1.0,0.425
9,8.0,0.025
10,7.0,0.066
1,9.0,0.005
4,5.0,0.026
11,19.0,0.0
5,19.0,0.0
10,12.0,0.0
10,9.0,0.021
7,7.0,0.019
5,1.0,0.238
3,17.0,0.001
1,17.0,0.001
12,25.0,0.0
4,17.0,0.004
4,19.0,0.0
4,7.0,0.074
12,21.0,0.0
12,12.0,0.01
11,9.0,0.005
3,1.0,0.419
7,27.0,0.004
6,25.0,0.03
4,15.0,0.0
11,26.0,0.0
9,3.0,0.242
4,25.0,0.005
7,25.0,0.026
11,2.0,0.131
8,3.0,0.17
8,26.0,0.0
10,1.0,0.305
9,21.0,0.0
3,9.0,0.018
4,26.0,0.0
1,4.0,0.026
3,2.0,0.142
11,27.0,0.0
12,26.0,0.0
6,10.0,0.0
8,7.0,0.022
3,5.0,0.065
1,18.0,0.0
2,10.0,0.001
8,1.0,0.421
9,13.0,0.0
2,17.0,0.001
9,27.0,0.0
7,21.0,0.0
6,15.0,0.0
6,18.0,0.008
12,2.0,0.115
7,12.0,0.0
11,7.0,0.076
5,21.0,0.0
12,15.0,0.004
7,2.0,0.288
8,15.0,0.0
11,5.0,0.224
1,21.0,0.001
6,12.0,0.0
4,16.0,0.0
11,21.0,0.0
8,25.0,0.024
11,12.0,0.003
4,4.0,0.054
2,21.0,0.0
2,3.0,0.164
8,8.0,0.015
3,18.0,0.0
1,27.0,0.0
4,10.0,0.0
8,5.0,0.003
1,14.0,0.003
4,14.0,0.0
3,4.0,0.048
11,14.0,0.0
2,26.0,0.0
6,26.0,0.001
9,7.0,0.034
6,27.0,0.002
5,12.0,0.0
9,4.0,0.029
4,21.0,0.0
7,15.0,0.0
6,1.0,0.277
7,5.0,0.006
1,25.0,0.0
2,19.0,0.0
1,13.0,0.0
10,2.0,0.128
12,10.0,0.0
5,8.0,0.056
12,5.0,0.215
3,19.0,0.0
4,3.0,0.254
2,16.0,0.0
3,14.0,0.004
7,14.0,0.0
2,15.0,0.004
10,19.0,0.0
6,8.0,0.033
4,18.0,0.002
10,14.0,0.0
1,8.0,0.021
5,13.0,0.0
10,4.0,0.035
4,1.0,0.351
5,17.0,0.017
7,10.0,0.0
2,1.0,0.449
7,3.0,0.208
12,13.0,0.001
12,18.0,0.0
10,15.0,0.0
6,3.0,0.27
8,10.0,0.0
3,3.0,0.226
7,26.0,0.0
8,17.0,0.011
1,12.0,0.003
9,14.0,0.0
8,2.0,0.299
11,18.0,0.0
12,27.0,0.0
9,18.0,0.006
9,2.0,0.235
4,8.0,0.036
11,8.0,0.046
3,10.0,0.0
5,7.0,0.099
7,16.0,0.0
2,14.0,0.008
2,27.0,0.0
10,26.0,0.0
8,27.0,0.004
6,17.0,0.023
6,21.0,0.0
10,21.0,0.0
8,21.0,0.0
8,14.0,0.0
10,13.0,0.0
10,16.0,0.0
2,18.0,0.0
2,2.0,0.106
9,19.0,0.0
10,5.0,0.139
10,17.0,0.004
3,26.0,0.0
8,9.0,0.009
11,25.0,0.0
11,3.0,0.212
1,10.0,0.0
12,19.0,0.0
7,1.0,0.397
5,26.0,0.001
4,13.0,0.0
11,17.0,0.001
3,21.0,0.0
2,4.0,0.023
5,27.0,0.003
7,17.0,0.019
8,12.0,0.0
5,16.0,0.0
6,19.0,0.0
10,10.0,0.0
5,25.0,0.013
2,25.0,0.0
9,10.0,0.0
3,13.0,0.0
5,5.0,0.025
1,2.0,0.094
10,25.0,0.002
12,3.0,0.186
9,25.0,0.01
7,8.0,0.01
10,8.0,0.046
11,16.0,0.0
12,1.0,0.357
11,4.0,0.056
7,9.0,0.005
11,15.0,0.001
12,16.0,0.0
7,18.0,0.008
6,13.0,0.0
8,19.0,0.0
9,15.0,0.0
11,13.0,0.0
5,15.0,0.0
6,5.0,0.023
9,9.0,0.011
10,27.0,0.001
2,13.0,0.0
5,10.0,0.0
9,17.0,0.011
12,4.0,0.056
2,5.0,0.171
4,9.0,0.011
3,8.0,0.03
