m,coco,coco_pct
7,4.0,0.006
3,9.0,0.003
1,18.0,0.0
12,7.0,0.072
12,4.0,0.073
2,10.0,0.0
4,15.0,0.0
12,3.0,0.159
9,15.0,0.0
9,25.0,0.011
3,17.0,0.001
7,10.0,0.0
5,13.0,0.0
1,2.0,0.135
10,12.0,0.0
5,4.0,0.032
7,14.0,0.0
11,7.0,0.085
3,3.0,0.116
9,10.0,0.0
1,9.0,0.006
6,1.0,0.533
6,5.0,0.024
6,10.0,0.0
8,7.0,0.037
3,10.0,0.0
11,10.0,0.0
10,5.0,0.159
8,15.0,0.0
10,1.0,0.342
10,26.0,0.0
11,2.0,0.163
7,3.0,0.043
11,5.0,0.167
10,14.0,0.0
6,4.0,0.009
11,18.0,0.001
12,25.0,0.0
4,27.0,0.0
2,8.0,0.021
9,18.0,0.008
11,15.0,0.0
4,5.0,0.037
4,2.0,0.246
4,1.0,0.431
2,18.0,0.0
2,12.0,0.0
7,17.0,0.002
8,3.0,0.045
6,3.0,0.075
8,1.0,0.635
2,2.0,0.12
3,25.0,0.002
11,27.0,0.0
8,10.0,0.0
8,27.0,0.0
11,4.0,0.04
3,12.0,0.0
11,12.0,0.0
5,17.0,0.006
5,9.0,0.012
9,13.0,0.0
9,9.0,0.003
5,7.0,0.103
5,26.0,0.0
7,13.0,0.0
1,13.0,0.0
11,26.0,0.0
7,25.0,0.015
5,1.0,0.315
12,9.0,0.006
2,9.0,0.009
11,1.0,0.359
1,17.0,0.0
10,15.0,0.0
9,5.0,0.032
8,12.0,0.0
7,9.0,0.001
1,8.0,0.016
5,8.0,0.037
5,27.0,0.0
12,10.0,0.0
6,17.0,0.002
3,4.0,0.028
7,15.0,0.0
12,26.0,0.0
1,5.0,0.254
9,1.0,0.526
12,15.0,0.0
2,17.0,0.0
11,14.0,0.0
10,17.0,0.001
1,4.0,0.056
2,15.0,0.0
3,18.0,0.001
12,2.0,0.131
2,7.0,0.035
3,7.0,0.049
5,25.0,0.016
3,15.0,0.0
8,14.0,0.0
9,14.0,0.0
2,26.0,0.0
3,27.0,0.0
10,2.0,0.238
12,13.0,0.0
10,13.0,0.0
12,18.0,0.0
11,8.0,0.034
2,13.0,0.0
7,27.0,0.0
7,26.0,0.0
9,17.0,0.002
5,15.0,0.0
2,14.0,0.0
1,25.0,0.0
7,12.0,0.0
7,18.0,0.007
3,26.0,0.0
4,8.0,0.024
11,3.0,0.142
3,5.0,0.138
4,13.0,0.0
12,14.0,0.0
3,1.0,0.439
6,27.0,0.0
7,1.0,0.638
10,18.0,0.003
4,3.0,0.141
10,10.0,0.0
10,7.0,0.064
11,9.0,0.01
3,13.0,0.0
11,25.0,0.001
7,5.0,0.005
2,27.0,0.0
12,27.0,0.0
8,26.0,0.001
9,8.0,0.011
9,4.0,0.012
7,8.0,0.008
10,8.0,0.031
10,3.0,0.117
9,27.0,0.0
8,5.0,0.002
1,3.0,0.111
2,1.0,0.355
6,15.0,0.0
4,26.0,0.0
5,5.0,0.008
4,4.0,0.036
2,5.0,0.326
4,14.0,0.0
6,14.0,0.0
6,8.0,0.011
11,17.0,0.001
1,1.0,0.37
8,25.0,0.013
4,10.0,0.0
4,17.0,0.002
1,27.0,0.0
5,12.0,0.0
9,26.0,0.0
12,8.0,0.022
3,2.0,0.198
1,26.0,0.0
5,10.0,0.0
6,7.0,0.046
1,10.0,0.0
3,14.0,0.0
2,4.0,0.036
1,14.0,0.002
6,18.0,0.007
2,3.0,0.099
10,4.0,0.032
2,25.0,0.0
12,1.0,0.276
6,25.0,0.016
1,7.0,0.049
5,18.0,0.004
6,12.0,0.0
5,3.0,0.14
4,7.0,0.072
12,17.0,0.0
11,13.0,0.0
8,17.0,0.002
5,14.0,0.0
6,26.0,0.0
4,25.0,0.004
6,13.0,0.0
8,9.0,0.001
9,2.0,0.252
10,27.0,0.0
7,2.0,0.244
7,7.0,0.031
4,18.0,0.001
8,18.0,0.003
8,8.0,0.007
8,2.0,0.249
6,2.0,0.277
1,15.0,0.0
9,3.0,0.099
10,25.0,0.002
1,12.0,0.0
4,9.0,0.006
5,2.0,0.328
4,12.0,0.0
12,12.0,0.001
10,9.0,0.012
6,9.0,0.001
8,4.0,0.007
8,13.0,0.0
9,7.0,0.045
3,8.0,0.025
12,5.0,0.26
9,12.0,0.0
