m,h,temp_lb,temp_ub,temp_med,rhum_med,wspd_med,rain_pct
1,0,0.5,5.1,2.9,85.5,7.4,0.12
1,1,0.0,5.0,3.0,86.5,8.3,0.1
1,2,0.0,5.0,3.0,86.5,8.3,0.1
1,3,-0.4,5.1,2.4,87.5,7.4,0.1
1,4,0.0,5.0,2.5,87.5,8.3,0.13
1,5,-1.0,5.0,2.0,87.5,8.2,0.11
1,6,-0.6,5.0,2.2,87.0,7.4,0.09
1,7,-1.0,5.0,2.5,87.0,8.6,0.1
1,8,0.0,5.0,2.5,85.0,8.3,0.11
1,9,2.2,6.2,4.3,83.0,8.3,0.13
1,10,4.0,7.0,5.0,78.5,10.1,0.14
1,11,4.0,8.0,6.5,76.0,9.2,0.14
1,12,5.2,8.8,7.2,73.0,8.3,0.12
1,13,6.0,9.0,7.5,69.0,9.2,0.11
1,14,6.0,9.0,8.0,72.0,8.3,0.09
1,15,5.4,8.8,7.1,75.0,6.5,0.1
1,16,4.0,8.0,6.0,79.0,8.3,0.12
1,17,4.0,7.0,5.5,79.5,8.3,0.11
1,18,3.0,6.7,4.9,82.0,7.4,0.1
1,19,2.0,7.0,4.5,84.0,9.2,0.11
1,20,2.0,6.0,4.5,81.5,9.2,0.12
1,21,1.7,6.0,4.1,83.5,7.4,0.12
1,22,2.0,6.0,3.5,84.0,9.2,0.12
1,23,1.0,6.0,3.5,84.5,8.5,0.13
2,0,2.8,7.6,4.8,87.5,6.5,0.1
2,1,2.0,7.0,5.0,87.5,8.3,0.1
2,2,2.0,7.0,4.5,87.5,8.3,0.13
2,3,2.0,6.7,4.3,89.0,7.4,0.1
2,4,2.0,7.0,4.5,88.5,8.3,0.1
2,5,2.0,7.0,4.0,87.5,8.3,0.1
2,6,1.0,7.0,3.7,87.5,7.4,0.08
2,7,1.0,7.0,3.5,87.0,8.5,0.1
2,8,3.0,8.0,5.0,82.5,8.3,0.1
2,9,4.9,8.9,6.6,79.0,9.2,0.09
2,10,6.0,10.0,8.0,73.5,9.4,0.1
2,11,7.0,11.0,9.0,72.0,9.2,0.1
2,12,8.4,11.4,9.5,69.0,8.3,0.12
2,13,9.0,11.0,10.0,67.0,8.5,0.1
2,14,9.0,12.0,10.5,69.0,8.3,0.1
2,15,8.8,11.4,10.2,70.5,7.4,0.09
2,16,8.0,11.0,9.0,74.0,8.2,0.07
2,17,7.0,10.0,8.0,81.5,7.4,0.13
2,18,5.9,9.0,7.4,82.0,6.5,0.1
2,19,5.0,9.0,7.0,84.5,7.3,0.08
2,20,5.0,9.0,6.5,85.0,7.5,0.08
2,21,4.3,8.3,6.0,86.5,6.5,0.06
2,22,4.0,8.0,5.5,84.5,7.4,0.06
2,23,3.0,8.0,5.5,85.0,7.4,0.15
3,0,4.8,9.2,6.6,82.0,9.2,0.1
3,1,5.0,9.0,7.0,84.0,10.2,0.08
3,2,4.0,9.0,6.5,85.0,9.4,0.08
3,3,4.1,8.6,6.2,84.5,9.2,0.05
3,4,3.6,9.0,6.0,84.5,10.2,0.04
3,5,3.0,8.0,5.5,84.5,9.4,0.06
3,6,3.3,8.1,5.9,85.0,9.2,0.06
3,7,5.0,9.0,7.0,82.0,10.3,0.06
3,8,6.0,10.0,8.5,76.0,11.2,0.07
3,9,8.4,12.0,10.2,70.0,11.0,0.08
3,10,9.0,13.0,11.0,66.5,11.9,0.1
3,11,10.0,13.0,11.5,62.5,11.2,0.1
3,12,10.3,14.0,12.0,60.5,10.3,0.09
3,13,11.0,15.0,12.5,59.5,12.2,0.08
3,14,10.0,14.0,12.5,60.0,12.1,0.07
3,15,10.4,13.8,12.1,61.0,10.3,0.09
