m,m3,tmin_med,tavg_med,tmax_med,wspd_med,rain_sum,rain_pct,prcp_sum
1,1,2.2,5.0,8.1,8.7,3.0,0.33,16.0
1,2,0.4,3.8,7.8,9.2,2.0,0.23,9.0
1,3,0.8,4.3,8.1,8.3,3.0,0.31,8.0
2,1,2.7,6.2,10.1,8.4,2.0,0.25,11.0
2,2,3.0,6.2,10.5,7.2,2.0,0.2,7.0
2,3,4.8,8.1,12.3,9.1,3.0,0.36,4.0
3,1,4.0,8.1,12.7,9.9,4.0,0.38,23.0
3,2,5.2,9.1,12.5,9.5,2.0,0.25,5.0
3,3,6.0,10.6,14.9,11.4,3.0,0.27,14.0
4,1,7.8,11.9,16.3,10.5,4.0,0.39,16.0
4,2,9.5,13.7,17.3,11.6,4.0,0.36,28.0
4,3,10.8,14.3,17.9,10.6,5.0,0.47,60.0
5,1,12.5,16.4,19.9,11.7,5.0,0.54,17.0
5,2,13.9,17.6,21.1,12.6,7.0,0.65,52.0
5,3,15.9,19.7,23.2,10.8,5.0,0.48,22.0
6,1,17.6,21.6,25.3,10.1,5.0,0.46,27.0
6,2,19.2,22.8,26.6,10.3,3.0,0.33,9.0
6,3,20.7,24.8,28.5,10.7,4.0,0.39,11.0
7,1,20.1,24.8,28.7,10.1,4.0,0.43,18.0
7,2,20.9,25.0,28.4,10.1,4.0,0.39,25.0
7,3,21.5,26.1,30.0,9.3,4.0,0.37,16.0
8,1,21.1,25.8,30.0,10.4,4.0,0.4,24.0
8,2,20.8,25.9,30.0,9.5,3.0,0.3,18.0
8,3,19.8,24.5,28.5,10.3,5.0,0.43,17.0
9,1,18.0,22.3,26.3,10.6,3.0,0.33,24.0
9,2,17.3,22.0,25.8,9.8,3.0,0.34,7.0
9,3,14.2,18.2,22.4,10.4,5.0,0.45,19.0
10,1,13.2,16.8,20.7,11.5,4.0,0.42,27.0
10,2,11.0,14.7,19.3,8.6,3.0,0.29,7.0
10,3,11.8,15.0,19.0,8.9,4.0,0.37,26.0
11,1,8.4,12.0,15.9,9.4,4.0,0.44,39.0
11,2,7.0,9.9,13.1,10.4,3.0,0.33,7.0
11,3,4.0,7.1,10.6,8.9,4.0,0.42,21.0
12,1,3.9,6.2,9.3,11.8,5.0,0.48,23.0
12,2,1.7,4.8,8.3,7.6,2.0,0.22,10.0
12,3,2.9,5.6,8.5,6.2,3.0,0.28,8.0
